"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"13","8/7/2017","16:33:27",25.19,738.8,131.6,10.84,322.7,8.05,-850.16,0,1.735,1.74,7.339,27.48,NA,NA,0
"14","8/7/2017","16:33:28",25.267,738.8,132,10.86,322.3,8.06,-850.5,0,1.804,1.8,6.275,23.5,NA,NA,0.003
"15","8/7/2017","16:33:29",25.333,738.8,132.4,10.87,321.8,8.08,-851.07,0,1.85,1.85,6.069,22.73,NA,NA,0.013
"16","8/7/2017","16:33:30",25.397,738.8,132.5,10.87,321.5,8.08,-851.68,0,1.921,1.92,6.201,23.22,NA,NA,0.026
"17","8/7/2017","16:33:31",25.405,738.8,132.6,10.87,321.4,8.09,-852.31,0,1.971,1.97,6.202,23.22,NA,NA,0.037
"18","8/7/2017","16:33:32",25.39,738.7,132.6,10.87,321.5,8.09,-852.62,0,2.03,2.03,4.9,18.35,NA,NA,0.047
"19","8/7/2017","16:33:33",25.375,738.8,132.6,10.87,321.6,8.1,-852.61,0,2.079,2.08,6.072,22.74,NA,NA,0.058
"20","8/7/2017","16:33:34",25.357,738.8,132.5,10.87,321.7,8.1,-852.63,0,2.14,2.14,6.484,24.28,NA,NA,0.069
"21","8/7/2017","16:33:35",25.341,738.8,132.9,10.9,321.8,8.1,-852.63,0,2.184,2.18,4.745,17.78,NA,NA,0.082
"22","8/7/2017","16:33:36",25.318,738.8,133,10.92,321.9,8.11,-852.62,0,2.198,2.2,4.745,17.78,NA,NA,0.094
"23","8/7/2017","16:33:37",25.3,738.8,133,10.92,322,8.11,-852.64,0,2.157,2.16,5.386,20.17,NA,NA,0.105
"24","8/7/2017","16:33:38",25.283,738.8,132.8,10.91,322.1,8.11,-852.67,0,2.069,2.07,5.394,20.2,NA,NA,0.118
"25","8/7/2017","16:33:39",25.267,738.8,132.6,10.89,322.2,8.12,-852.66,0,2.014,2.01,5.454,20.43,NA,NA,0.129
"26","8/7/2017","16:33:40",25.257,738.8,132.3,10.88,322.3,8.12,-852.64,0,1.936,1.94,4.963,18.59,NA,NA,0.141
"27","8/7/2017","16:33:41",25.254,738.8,132,10.85,322.3,8.12,-852.66,0,1.871,1.87,4.977,18.64,NA,NA,0.152
"28","8/7/2017","16:33:42",25.241,738.8,131.7,10.82,322.4,8.12,-852.66,0,1.804,1.8,4.986,18.67,NA,NA,0.166
"29","8/7/2017","16:33:43",25.228,738.7,131.3,10.79,322.5,8.13,-852.65,0,1.743,1.74,4.957,18.57,NA,NA,0.177
"30","8/7/2017","16:33:44",25.215,738.8,130.9,10.77,322.6,8.13,-852.65,0,1.703,1.7,4.955,18.56,NA,NA,0.189
"31","8/7/2017","16:33:45",25.199,738.8,126.3,10.39,322.7,8.13,-852.66,0,1.647,1.65,4.921,18.43,NA,NA,0.2
"32","8/7/2017","16:33:46",25.184,738.8,125.3,10.31,322.8,8.13,-852.66,0,1.596,1.6,4.873,18.25,NA,NA,0.212
"33","8/7/2017","16:33:47",25.165,738.8,124.9,10.28,322.9,8.13,-852.67,0,1.559,1.56,4.888,18.31,NA,NA,0.226
"34","8/7/2017","16:33:48",25.151,738.8,124.6,10.25,323.1,8.13,-852.66,0,1.558,1.56,4.949,18.54,NA,NA,0.237
"35","8/7/2017","16:33:49",25.139,738.8,124.2,10.23,323.2,8.14,-852.68,0,1.553,1.55,4.986,18.68,NA,NA,0.249
"36","8/7/2017","16:33:50",25.133,738.8,124,10.21,323.2,8.14,-852.7,0,1.528,1.53,5.029,18.84,NA,NA,0.26
"37","8/7/2017","16:33:51",25.126,738.8,123.9,10.21,323.3,8.14,-852.7,0,1.51,1.51,5.023,18.82,NA,NA,0.272
"38","8/7/2017","16:33:52",25.119,738.8,123.9,10.21,323.4,8.14,-852.67,0,1.505,1.51,5.044,18.89,NA,NA,0.285
"39","8/7/2017","16:33:53",25.11,738.8,123.8,10.2,323.5,8.15,-852.66,0,1.48,1.48,5.011,18.77,NA,NA,0.296
"40","8/7/2017","16:33:54",25.103,738.8,123.8,10.2,323.6,8.15,-852.71,0,1.469,1.47,5.031,18.84,NA,NA,0.308
"41","8/7/2017","16:33:55",25.099,738.8,123.8,10.2,323.6,8.15,-852.75,0,1.458,1.46,5.019,18.8,NA,NA,0.32
"42","8/7/2017","16:33:56",25.1,738.7,123.7,10.2,323.7,8.16,-852.73,0,1.445,1.45,5.061,18.96,NA,NA,0.332
"43","8/7/2017","16:33:57",25.102,738.8,123.7,10.19,323.7,8.16,-852.72,0,1.452,1.45,5.122,19.18,NA,NA,0.341
"44","8/7/2017","16:33:58",25.103,738.8,123.7,10.19,323.7,8.16,-852.73,0,1.46,1.46,5.171,19.37,NA,NA,0.348
"45","8/7/2017","16:33:59",25.104,738.8,123.6,10.19,323.7,8.16,-852.7,0,1.448,1.45,4.272,16.01,NA,NA,0.354
"46","8/7/2017","16:34:00",25.095,738.8,123.5,10.18,323.8,8.16,-852.67,0,1.433,1.43,4.321,16.19,NA,NA,0.365
"47","8/7/2017","16:34:01",25.084,738.8,118,9.72,323.9,8.16,-852.64,0,1.443,1.44,5.008,18.76,NA,NA,0.374
"48","8/7/2017","16:34:02",25.076,738.8,116.3,9.59,324,8.16,-852.62,0,1.441,1.44,4.715,17.66,NA,NA,0.382
"49","8/7/2017","16:34:03",25.059,738.8,114.9,9.48,324.2,8.16,-852.65,0,1.435,1.43,4.591,17.2,NA,NA,0.389
"50","8/7/2017","16:34:04",25.044,738.8,114.5,9.45,324.3,8.17,-852.65,0,1.426,1.43,4.482,16.79,NA,NA,0.396
"51","8/7/2017","16:34:05",25.027,738.8,113.9,9.4,324.5,8.17,-852.64,0,1.412,1.41,4.358,16.33,NA,NA,0.402
"52","8/7/2017","16:34:06",25.013,738.8,113.5,9.36,324.7,8.17,-852.66,0,1.397,1.4,4.284,16.05,NA,NA,0.409
"53","8/7/2017","16:34:07",24.994,738.7,112.9,9.32,324.9,8.17,-852.63,0,1.365,1.36,4.244,15.9,NA,NA,0.416
"54","8/7/2017","16:34:08",24.975,738.8,112.4,9.29,325,8.17,-852.59,0,1.334,1.33,4.252,15.93,NA,NA,0.424
"55","8/7/2017","16:34:09",24.958,738.8,111.8,9.24,325.2,8.17,-852.53,0,1.32,1.32,4.712,17.65,NA,NA,0.432
"56","8/7/2017","16:34:10",24.942,738.8,111.4,9.2,325.4,8.17,-852.5,0,1.305,1.3,4.75,17.79,NA,NA,0.44
"57","8/7/2017","16:34:11",24.927,738.8,110.9,9.17,325.6,8.17,-852.53,0,1.288,1.29,4.61,17.27,NA,NA,0.448
"58","8/7/2017","16:34:12",24.915,738.8,110.6,9.14,325.8,8.16,-852.53,0,1.278,1.28,4.659,17.45,NA,NA,0.455
"59","8/7/2017","16:34:13",24.913,738.8,110.2,9.11,325.9,8.16,-852.49,0,1.264,1.26,4.504,16.87,NA,NA,0.464
"60","8/7/2017","16:34:14",24.913,738.7,109.9,9.09,325.9,8.16,-852.52,0,1.256,1.26,4.403,16.49,NA,NA,0.471
"61","8/7/2017","16:34:15",24.907,738.8,109.7,9.07,326,8.16,-852.5,0,1.229,1.23,4.389,16.44,NA,NA,0.479
"62","8/7/2017","16:34:16",24.901,738.8,109.5,9.05,326.1,8.16,-852.5,0,1.213,1.21,4.306,16.13,NA,NA,0.488
"63","8/7/2017","16:34:17",24.893,738.8,109.1,9.02,326.2,8.16,-852.48,0,1.184,1.18,4.243,15.9,NA,NA,0.499
