Date,Time,DEP.m,X.C,DO_percent,DO_mgpL,pH,ORP,PC,CHL
9/27/2017,13:30:00,0,25.1,87,7.1,7.91,255,-1.13,5.9
9/27/2017,13:30:00,1,25.2,84,6.9,8.07,252,-1.19,5.55
9/27/2017,13:30:00,2,25.1,73,6.1,8.09,249,-1.36,5.3
9/27/2017,13:30:00,3,24.8,48,4,8.02,250,-1.7,3.8
9/27/2017,13:30:00,3.5,24.4,3,0.3,7.58,254,-2.35,1.8
9/27/2017,13:30:00,4,24.3,2,0.2,7.62,254,-2.39,1.7
9/27/2017,13:30:00,4.5,24.3,1.8,0.2,7.55,255,-2.35,1.7
9/27/2017,13:30:00,5,24.3,1.6,0.01,7.51,255,-2.4,1.7
9/27/2017,13:30:00,6,24.2,1.3,0.1,7.46,256,-2.37,1.6
9/27/2017,13:30:00,7,24.1,1.2,0.1,7.44,256,-2.36,1.5
9/27/2017,13:30:00,8,24,1.2,0.1,7.43,255,-2.39,1.5
9/27/2017,13:30:00,9,23.9,1.1,0.1,7.41,250,-2.38,1.4
9/27/2017,13:30:00,10,23.8,1,0.08,7.39,233,-2.37,1.4
9/27/2017,13:30:00,11,23.5,0.9,0.08,7.38,210,-2.37,1.4
9/27/2017,13:30:00,12,22.9,0.8,0.07,7.35,156,-2.33,1.4
9/27/2017,13:30:00,13,21.4,0.7,0.06,7.26,-44,-2.29,1.7
9/27/2017,13:30:00,14,20,0.5,0.05,7.17,-106,-2.27,1.7
