"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","ORP.mV","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"46","6/21/2017","10:06:05",27.972,729.7,96.3,7.54,51.8,7.57,215.2,-0.52,0,-0.49,NA,0.4,NA,0,0.5
"47","6/21/2017","10:06:06",27.966,729.7,96.3,7.54,51.8,7.56,215.4,-0.52,0,-0.48,NA,0.43,NA,0.016,0.5
"48","6/21/2017","10:06:07",27.961,729.6,96.3,7.54,51.8,7.56,215.6,-0.51,0,-0.49,NA,0.43,NA,0.032,0.5
"49","6/21/2017","10:06:08",27.955,729.8,96.3,7.54,51.8,7.56,215.8,-0.52,0,-0.49,NA,0.42,NA,0.048,0.5
"50","6/21/2017","10:06:09",27.95,729.7,96.3,7.55,51.8,7.56,216,-0.51,0,-0.49,NA,0.44,NA,0.065,0.5
"51","6/21/2017","10:06:10",27.946,729.7,96.3,7.55,51.8,7.56,216.1,-0.52,0,-0.49,NA,0.43,NA,0.084,0.5
"52","6/21/2017","10:06:11",27.943,729.7,96.3,7.55,51.8,7.56,216.3,-0.52,0,-0.49,NA,0.41,NA,0.1,0.5
"53","6/21/2017","10:06:12",27.939,729.7,96.3,7.55,51.8,7.56,216.3,-0.53,0,-0.49,NA,0.41,NA,0.116,0.5
"54","6/21/2017","10:06:13",27.936,729.8,96.3,7.55,51.8,7.56,216.4,-0.54,0,-0.49,NA,0.44,NA,0.133,0.5
"55","6/21/2017","10:06:14",27.934,729.7,96.3,7.55,51.8,7.56,216.4,-0.54,0,-0.49,NA,0.45,NA,0.152,0.5
"56","6/21/2017","10:06:15",27.932,729.7,96.4,7.55,51.8,7.56,216.5,-0.55,0,-0.5,NA,0.52,NA,0.169,0.5
"57","6/21/2017","10:06:16",27.93,729.5,96.4,7.55,51.8,7.56,216.5,-0.53,0,-0.49,NA,0.52,NA,0.185,0.5
"58","6/21/2017","10:06:17",27.927,729.7,96.4,7.55,51.8,7.56,216.6,-0.51,0,-0.5,NA,0.52,NA,0.201,0.5
"59","6/21/2017","10:06:18",27.926,729.7,96.4,7.55,51.8,7.56,216.6,-0.53,0,-0.49,NA,0.49,NA,0.221,0.5
"60","6/21/2017","10:06:19",27.924,729.7,96.4,7.55,51.8,7.56,216.6,-0.54,0,-0.49,NA,0.49,NA,0.237,0.5
"61","6/21/2017","10:06:20",27.924,729.7,96.4,7.55,51.8,7.57,216.7,-0.54,0,-0.49,NA,0.53,NA,0.254,0.5
"62","6/21/2017","10:06:21",27.922,729.6,96.4,7.55,51.8,7.57,216.7,-0.54,0,-0.49,NA,0.56,NA,0.27,0.5
"63","6/21/2017","10:06:22",27.92,729.7,96.4,7.55,51.8,7.57,216.8,-0.54,0,-0.49,NA,0.59,NA,0.292,0.6
"64","6/21/2017","10:06:23",27.915,729.7,96.3,7.55,51.8,7.57,216.8,-0.54,0,-0.48,NA,0.6,NA,0.312,0.6
"65","6/21/2017","10:06:24",27.911,729.7,96.3,7.55,51.8,7.57,216.8,-0.54,0,-0.48,NA,0.6,NA,0.333,0.7
"66","6/21/2017","10:06:25",27.904,729.7,96.3,7.55,51.8,7.57,216.8,-0.54,0,-0.48,NA,0.62,NA,0.358,0.7
"67","6/21/2017","10:06:26",27.897,729.7,96.3,7.55,51.8,7.57,216.9,-0.55,0,-0.48,NA,0.61,NA,0.38,0.7
"68","6/21/2017","10:06:27",27.889,729.7,96.3,7.55,51.8,7.57,216.9,-0.55,0,-0.47,NA,0.65,NA,0.403,0.8
"69","6/21/2017","10:06:28",27.881,729.8,96.3,7.55,51.8,7.57,217,-0.55,0,-0.48,NA,0.66,NA,0.426,0.8
"70","6/21/2017","10:06:29",27.874,729.7,96.3,7.55,51.8,7.57,217.1,-0.52,0,-0.48,NA,0.67,NA,0.449,0.9
"71","6/21/2017","10:06:30",27.865,729.6,96.3,7.55,51.8,7.57,217.1,-0.51,0,-0.48,NA,0.67,NA,0.477,0.9
"72","6/21/2017","10:06:31",27.855,729.8,96.3,7.55,51.8,7.57,217.2,-0.52,0,-0.49,NA,0.66,NA,0.5,0.9
"73","6/21/2017","10:06:32",27.844,729.7,96.2,7.55,51.8,7.57,217.3,-0.53,0,-0.49,NA,0.65,NA,0.523,0.9
"74","6/21/2017","10:06:33",27.833,729.7,96.2,7.55,51.8,7.57,217.4,-0.52,0,-0.49,NA,0.68,NA,0.545,1
"75","6/21/2017","10:06:34",27.822,729.7,96.2,7.56,51.8,7.57,217.5,-0.52,0,-0.5,NA,0.69,NA,0.572,1
"76","6/21/2017","10:06:35",27.814,729.6,96.2,7.56,51.8,7.57,217.6,-0.52,0,-0.5,NA,0.7,NA,0.595,1
"77","6/21/2017","10:06:36",27.806,729.8,96.2,7.56,51.8,7.57,217.7,-0.51,0,-0.5,NA,0.7,NA,0.616,1
"78","6/21/2017","10:06:37",27.799,729.6,96.2,7.56,51.8,7.57,217.9,-0.53,0,-0.49,NA,0.71,NA,0.638,1.1
