Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m
7/12/2017,15:58:18,32.5,729.3,106.6,7.72,72.2,7.51,190.5,-0.47,0,0.3,,6.87,,0.5
7/12/2017,15:58:32,32.3,729.2,109.2,7.93,72.4,7.59,189.2,-0.42,0,-0.53,,5.94,,1
7/12/2017,15:58:47,31.2,729.2,109.5,8.11,72.2,7.68,184.7,-0.36,0,-0.51,,7.84,,1.5
7/12/2017,15:59:07,30.6,729.2,104.9,7.85,71.7,7.82,179.5,-0.21,0,-0.51,,10.39,,2
7/12/2017,15:59:20,29.9,729.2,97.8,7.4,71.4,7.84,178.3,-0.04,0,-0.46,,15.07,,2.5
7/12/2017,15:59:38,26.6,729.2,74.7,6,72.4,7.71,177.7,0.21,0,-0.35,,30.06,,3
7/12/2017,16:00:03,22.5,729.3,43.7,3.78,73.5,7.65,180.7,1.5,0,-0.2,,42.79,,3.5
7/12/2017,16:00:18,18.5,729.2,32.5,3.04,76.9,7.61,180.5,1.46,0,-0.2,,41.04,,4
7/12/2017,16:00:39,15.6,729.2,20,1.99,83,7.55,182.7,2.74,0,-0.01,,46.87,,4.5
7/12/2017,16:01:09,11.7,729.3,9.3,1.01,153,7.02,154.4,26.69,0,4.38,,68.37,,5
7/12/2017,16:01:43,11.4,729.2,4.4,0.48,206.4,6.62,-25.4,606.76,0,0.6,,11.8,,5.4
