"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NTU","TSS.mg.L","BGA.PC.ug.L","BGA.PE.ug.L","Chl.ug.L","fDOM.RFU","DEP.m","VPos.m"
"1","11/14/2014","10:15:32",22.316,739,110.4,9.59,170.6,8.33,24.74,0,1.3,NA,12.72,NA,0.015,0.1
"2","11/14/2014","10:15:37",22.296,739.1,110.8,9.63,170.7,8.34,24.32,0,1.28,NA,13.23,NA,0.024,0.1
"3","11/14/2014","10:15:42",22.274,739.1,110.8,9.64,170.7,8.36,25.19,0,1.19,NA,12.62,NA,0.032,0.1
"4","11/14/2014","10:15:47",22.238,739.1,110.7,9.63,170.8,8.37,25.13,0,1.21,NA,12.54,NA,0.041,0.1
"5","11/14/2014","10:15:52",22.191,739.1,110.4,9.61,170.9,8.38,25.11,0,1.17,NA,12.52,NA,0.052,0.1
"6","11/14/2014","10:15:57",22.129,739.2,109.9,9.58,170.9,8.38,25.26,0,1.16,NA,12.1,NA,0.065,0.1
"7","11/14/2014","10:16:02",22.045,739.1,108.9,9.51,170.9,8.37,25.53,0,1.22,NA,11.91,NA,0.083,0.2
"8","11/14/2014","10:16:07",21.982,739.1,107.7,9.42,170.9,8.35,25.76,0,1.23,NA,11.07,NA,0.095,0.2
"9","11/14/2014","10:16:12",21.927,739.1,107,9.37,170.9,8.34,26.03,0,1.25,NA,10.9,NA,0.116,0.3
"10","11/14/2014","10:16:17",21.755,739.1,102.7,9.02,171,8.21,25.98,0,1.29,NA,9.98,NA,0.175,0.6
"11","11/14/2014","10:16:22",21.584,739.1,101.1,8.91,171.1,8.17,25.85,0,1.29,NA,9.14,NA,0.253,0.6
"12","11/14/2014","10:16:27",21.466,739.1,100.1,8.84,171.1,8.15,25.38,0,1.35,NA,9.03,NA,0.328,0.7
"13","11/14/2014","10:16:32",21.383,739.1,99,8.75,170.9,8.13,25.35,0,1.34,NA,8.43,NA,0.437,1
"14","11/14/2014","10:16:37",21.318,739.1,97.1,8.6,170.7,8.11,25.33,0,1.28,NA,9.2,NA,0.56,1.1
"15","11/14/2014","10:16:42",21.295,739.1,95.9,8.49,170.7,8.09,25.41,0,1.29,NA,9.01,NA,0.683,1.1
"16","11/14/2014","10:16:47",21.289,739.1,95.1,8.43,170.7,8.05,25.45,0,1.27,NA,7.55,NA,0.817,1.2
"17","11/14/2014","10:16:52",21.282,739.1,94.6,8.39,170.6,8.03,25.63,0,1.25,NA,8.52,NA,0.939,1.3
"18","11/14/2014","10:16:57",21.278,739.1,94.3,8.36,170.6,8.01,25.66,0,1.24,NA,9.72,NA,1.034,1.3
"19","11/14/2014","10:17:02",21.279,739.1,94.1,8.34,170.7,8,25.72,0,1.23,NA,8.66,NA,1.131,1.4
"20","11/14/2014","10:17:07",21.278,739.1,94,8.33,170.7,8,25.03,0,1.2,NA,7.22,NA,1.254,1.7
"21","11/14/2014","10:17:12",21.269,739.1,94,8.33,170.7,7.99,25.75,0,1.16,NA,10.61,NA,1.342,1.7
"22","11/14/2014","10:17:17",21.262,739.1,94,8.33,170.7,7.99,25.92,0,1.15,NA,11.34,NA,1.43,1.8
"23","11/14/2014","10:17:22",21.18,739.1,93.7,8.32,170.7,7.99,25.89,0,1.03,NA,8.56,NA,2.341,2.3
"24","11/14/2014","10:17:27",21.029,739.1,92.8,8.26,170.6,7.97,25.67,0,0.95,NA,8.78,NA,2.44,2.4
"25","11/14/2014","10:17:32",20.878,739.1,91.6,8.18,170.5,7.96,25.53,0,0.89,NA,10.83,NA,2.444,2.4
"26","11/14/2014","10:17:37",20.836,739.1,90.9,8.13,170.4,7.94,25.67,0,0.85,NA,12.53,NA,2.49,2.7
"27","11/14/2014","10:17:42",20.79,739.1,90.5,8.1,170.3,7.91,25.73,0,0.81,NA,9.46,NA,2.588,2.9
"28","11/14/2014","10:17:47",20.747,739.2,90.2,8.08,170.3,7.89,25.78,0,0.84,NA,8.93,NA,2.654,2.9
"29","11/14/2014","10:17:52",20.727,739.2,90,8.07,170.3,7.88,25.63,0,0.82,NA,8.18,NA,2.693,2.9
"30","11/14/2014","10:17:57",20.699,739.2,89.8,8.05,170.3,7.87,25.65,0,0.8,NA,8.25,NA,2.763,3.2
"31","11/14/2014","10:18:02",20.677,739.1,89.6,8.03,170.2,7.86,25.63,0,0.82,NA,8.17,NA,2.828,3.2
"32","11/14/2014","10:18:07",20.653,739.1,89.4,8.02,170.3,7.86,25.45,0,0.81,NA,8.58,NA,2.916,3.2
"33","11/14/2014","10:18:12",20.626,739.1,89.2,8.01,170.3,7.85,25.1,0,0.79,NA,8.45,NA,3.043,3.5
"34","11/14/2014","10:18:17",20.593,739.1,89,7.99,170.3,7.84,25.06,0,0.78,NA,7.21,NA,3.156,3.6
"35","11/14/2014","10:18:22",20.55,739.2,88.6,7.97,170.3,7.84,25.26,0,0.73,NA,8.5,NA,3.265,3.9
"36","11/14/2014","10:18:27",20.482,739.1,88,7.92,170.3,7.82,23.58,0,0.68,NA,8.47,NA,4.426,4.4
"37","11/14/2014","10:18:32",20.421,739.1,87.2,7.85,170.3,7.81,23.97,0,0.61,NA,8.24,NA,4.427,4.4
"38","11/14/2014","10:18:37",20.389,739.1,86.4,7.8,170.3,7.8,24.52,0,0.58,NA,8.53,NA,4.446,4.6
"39","11/14/2014","10:18:42",20.356,739.1,86.1,7.77,170.4,7.79,25.15,0,0.55,NA,10.94,NA,4.56,4.9
