"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","pH","NH4.N.mg.L","NO3.N.mg.L","Cl.mg.L","FNU","TSS.mg.L","BGA.PC.RFU","BGA.PC.ug.L","BGA.PE.RFU","BGA.PE.ug.L","Chl.RFU","Chl.ug.L","fDOM.RFU","fDOM.QSU","DEP.m"
"25","8/7/2017","13:20:19",24.644,737.7,101.2,8.41,274.2,7.73,NA,NA,NA,-841.9,0,1.344,1.34,NA,NA,4.011,15.03,NA,NA,0
"26","8/7/2017","13:20:20",24.638,737.8,101.2,8.41,274.2,7.74,NA,NA,NA,-841.98,0,1.354,1.35,NA,NA,3.997,14.98,NA,NA,0.002
"27","8/7/2017","13:20:21",24.633,737.7,101.2,8.41,274.2,7.74,NA,NA,NA,-842.07,0,1.362,1.36,NA,NA,3.976,14.9,NA,NA,0.012
"28","8/7/2017","13:20:22",24.628,737.7,101.2,8.42,274.1,7.74,NA,NA,NA,-842.11,0,1.35,1.35,NA,NA,3.955,14.82,NA,NA,0.021
"29","8/7/2017","13:20:23",24.624,737.7,101.2,8.42,274.1,7.75,NA,NA,NA,-842.15,0,1.35,1.35,NA,NA,3.971,14.88,NA,NA,0.031
"30","8/7/2017","13:20:24",24.623,737.7,101.2,8.42,274.1,7.75,NA,NA,NA,-842.17,0,1.351,1.35,NA,NA,3.959,14.83,NA,NA,0.042
"31","8/7/2017","13:20:25",24.623,737.7,101.2,8.42,274,7.76,NA,NA,NA,-842.13,0,1.355,1.35,NA,NA,3.933,14.74,NA,NA,0.052
"32","8/7/2017","13:20:26",24.624,737.7,101.3,8.42,274,7.76,NA,NA,NA,-842.12,0,1.357,1.36,NA,NA,3.92,14.69,NA,NA,0.061
"33","8/7/2017","13:20:27",24.624,737.8,101.3,8.42,274,7.77,NA,NA,NA,-842.12,0,1.359,1.36,NA,NA,3.927,14.72,NA,NA,0.071
"34","8/7/2017","13:20:28",24.624,737.7,101.3,8.42,274,7.77,NA,NA,NA,-842.11,0,1.346,1.35,NA,NA,3.92,14.69,NA,NA,0.084
"35","8/7/2017","13:20:29",24.625,737.7,101.3,8.42,274,7.78,NA,NA,NA,-842.07,0,1.333,1.33,NA,NA,3.918,14.68,NA,NA,0.094
"36","8/7/2017","13:20:30",24.626,737.7,101.3,8.42,273.9,7.78,NA,NA,NA,-841.95,0,1.338,1.34,NA,NA,3.896,14.6,NA,NA,0.106
"37","8/7/2017","13:20:31",24.626,737.7,101.3,8.43,273.9,7.78,NA,NA,NA,-841.91,0,1.335,1.33,NA,NA,3.876,14.53,NA,NA,0.12
"38","8/7/2017","13:20:32",24.625,737.8,101.3,8.42,274,7.79,NA,NA,NA,-841.89,0,1.337,1.34,NA,NA,3.863,14.47,NA,NA,0.146
"39","8/7/2017","13:20:33",24.625,737.8,101.3,8.43,274,7.79,NA,NA,NA,-841.85,0,1.334,1.33,NA,NA,3.86,14.46,NA,NA,0.17
