Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,ORP mV,NTU,TSS mg/L,BGA-PC ug/L,BGA-PE ug/L,Chl ug/L,fDOM RFU,DEP m,VPos m
6/9/2017,11:27:05,25.016,739.1,105.1,8.69,132.8,9.08,192.4,7.48,0,0.13,,2.19,,0.001,0
6/9/2017,11:27:06,25.04,739.1,108.4,8.95,137.3,9.08,192.8,7.34,0,0.17,,2.66,,0.001,0
6/9/2017,11:27:07,25.035,739.1,110.9,9.15,137.8,9.09,192.5,7.64,0,0.25,,3.22,,0.002,0
6/9/2017,11:27:08,25.031,739.2,111.8,9.23,138,9.09,192.3,7.89,0,0.32,,3.8,,0.005,0.1
6/9/2017,11:27:09,25.03,739.1,112.9,9.32,138,9.09,192.1,7.73,0,0.37,,4.42,,0.013,0.2
6/9/2017,11:27:10,25.032,739.1,113.9,9.41,138,9.09,191.9,7.79,0,0.4,,5.09,,0.025,0.3
6/9/2017,11:27:11,25.03,739.1,114.6,9.46,138,9.1,191.7,7.76,0,0.46,,5.82,,0.036,0.4
6/9/2017,11:27:12,25.029,739.1,115.3,9.52,137.9,9.1,191.6,7.98,0,0.55,,6.47,,0.055,0.5
6/9/2017,11:27:13,25.024,739.1,115.8,9.57,137.9,9.1,191.5,8.41,0,0.6,,6.89,,0.075,0.6
6/9/2017,11:27:14,25.02,739.2,119.9,9.9,137.9,9.11,191.3,8.25,0,0.67,,6.93,,0.1,0.7
6/9/2017,11:27:15,25.017,739.1,120.6,9.96,138,9.11,191.2,8.07,0,0.73,,7.13,,0.876,0.8
6/9/2017,11:27:16,25.014,739.1,121.1,10,138,9.11,191.1,8.04,0,0.81,,7.37,,1.016,0.9
6/9/2017,11:27:17,25.009,739.1,121.7,10.05,138,9.12,191.1,8.06,0,0.9,,7.57,,1.149,1.1
6/9/2017,11:27:18,25.005,739.1,121.9,10.07,138,9.13,191,8.02,0,0.97,,7.73,,1.224,1.2
6/9/2017,11:27:19,25.001,739.1,122,10.08,138,9.13,190.9,8.16,0,1.01,,7.85,,1.259,1.3
6/9/2017,11:27:20,24.986,739.1,121.9,10.07,138,9.14,190.9,8.26,0,1.05,,7.98,,1.308,1.4
6/9/2017,11:27:21,24.922,739.1,115.6,9.55,138.1,9.14,191,8.32,0,1.03,,8.1,,1.391,1.5
6/9/2017,11:27:22,24.86,739.1,108,8.94,138.2,9.14,191.2,8.24,0,0.98,,8.2,,1.451,1.6
6/9/2017,11:27:23,23.63,739.1,101.8,8.44,141.3,8.94,191.4,8.12,0,0.96,,8.38,,1.503,1.7
6/9/2017,11:27:24,23.346,739.1,98.6,8.37,142.1,8.86,191.7,8.07,0,0.94,,8.52,,1.548,1.8
6/9/2017,11:27:25,23.355,739.2,88.1,7.51,142.1,8.78,192.1,8.1,0,0.93,,8.74,,1.606,1.9
6/9/2017,11:27:26,23.292,739.1,79.6,6.79,142.2,8.76,192.6,7.99,0,0.92,,8.87,,1.651,2
6/9/2017,11:27:27,23.218,739.1,72.7,6.2,142.3,8.74,192.9,7.85,0,0.91,,18.83,,1.695,2.1
6/9/2017,11:27:28,22.854,739.1,65,5.57,143.2,8.72,204.1,7.76,0,0.9,,13.94,,1.738,2.1
6/9/2017,11:27:29,22.655,739.1,59.6,5.13,143.9,8.7,205.7,7.96,0,0.87,,15.03,,1.79,2.2
6/9/2017,11:27:30,22.391,739.1,52.4,4.54,144.6,8.57,205.3,7.94,0,0.86,,16.69,,1.831,2.3
6/9/2017,11:27:31,22.289,739.1,47.5,4.13,145,8.5,206.7,7.88,0,0.83,,11.22,,1.868,2.3
6/9/2017,11:27:32,20.598,739.1,45.4,4.08,150.2,8.47,206.7,7.89,0,0.8,,12.46,,1.913,2.4
6/9/2017,11:27:33,20.484,739.1,38.4,3.45,150.6,8.42,206.5,7.85,0,0.75,,10.54,,1.952,2.5
6/9/2017,11:27:34,19.942,739.2,33.9,3.08,152.5,8.42,206.3,7.55,0,0.71,,9.12,,1.991,2.6
6/9/2017,11:27:35,19.578,739.1,30.2,2.76,153.6,8.4,206.1,7.4,0,0.65,,9.18,,2.8,2.7
6/9/2017,11:27:36,19.222,739.1,28.5,2.62,155.2,8.39,205.7,7.21,0,0.58,,9.16,,2.902,2.9
6/9/2017,11:27:37,18.948,739.1,27.2,2.52,156.3,8.37,164.7,7.3,0,0.52,,8.9,,3.001,3
6/9/2017,11:27:38,18.842,739.1,22.4,2.08,157.2,8.24,115.3,7.28,0,0.47,,8.49,,3.035,3.1
6/9/2017,11:27:39,18.68,739.1,20.6,1.92,158.1,8.18,83.1,7.54,0,0.42,,8.18,,3.092,3.2
6/9/2017,11:27:40,18.546,739.1,18.7,1.75,159.5,8.13,59.3,7.66,0,0.37,,7.88,,3.164,3.3
6/9/2017,11:27:41,18.421,739.2,17.4,1.63,160.7,8.1,31.4,7.7,0,0.33,,7.59,,3.247,3.4
6/9/2017,11:27:42,18.318,739.1,17,1.6,162.2,8.08,10.4,7.64,0,0.31,,7.34,,3.3,3.5
6/9/2017,11:27:43,18.207,739.1,16.2,1.52,163.5,8.06,-6.2,7.79,0,0.28,,4.12,,3.35,3.6
6/9/2017,11:27:44,17.127,739.1,15.6,1.5,168.9,8.05,-30.6,7.86,0,0.25,,5.93,,3.395,3.7
6/9/2017,11:27:45,16.911,739.1,15.1,1.46,170.9,7.88,-49.4,8.12,0,0.23,,4.26,,3.454,3.8
6/9/2017,11:27:46,16.611,739.1,14.6,1.42,174,7.84,-62.1,8.23,0,0.21,,4.39,,3.504,3.9
6/9/2017,11:27:47,16.581,739.1,14.2,1.38,175.9,7.8,-79,8.34,0,0.16,,4.4,,3.55,4
