Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
12/14/2017,12:00:13,3.703,743.1,93.1,12.3,153,8.04,,,,-859.06,0,0.196,0.2,,,0.74,2.8,,,0
12/14/2017,12:00:14,3.634,743.1,93.3,12.32,190,8.04,,,,-858.97,0,0.2,0.2,,,0.965,3.64,,,0
12/14/2017,12:00:15,3.582,743.1,93.5,12.38,314.7,8.04,,,,-858.98,0,0.202,0.2,,,2.117,7.95,,,0
12/14/2017,12:00:16,3.565,743.1,93.7,12.41,65.6,8.03,,,,-858.99,0,0.207,0.21,,,2.132,8,,,0
12/14/2017,12:00:17,3.586,743.1,93.9,12.44,107.4,8.02,,,,-858.97,0,0.197,0.2,,,2.123,7.97,,,0
12/14/2017,12:00:18,3.578,743.1,93.9,12.44,330.1,8.02,,,,-858.98,0,0.19,0.19,,,2.324,8.72,,,0
12/14/2017,12:00:19,3.564,743.1,94.1,12.46,356.2,8.01,,,,-859,0,0.184,0.18,,,2.376,8.91,,,0
12/14/2017,12:00:20,3.55,743.1,94.1,12.47,360,8.01,,,,-859.01,0,0.195,0.19,,,2.465,9.25,,,0
12/14/2017,12:00:21,3.537,743.1,94.3,12.49,361.5,8,,,,-859.04,0,0.21,0.21,,,2.503,9.39,,,0.001
12/14/2017,12:00:22,3.534,743.1,94.4,12.51,362,8,,,,-859.06,0,0.216,0.22,,,2.535,9.51,,,0.001
12/14/2017,12:00:23,3.536,743.1,94.5,12.53,362.2,8,,,,-859.07,0,0.218,0.22,,,2.553,9.58,,,0.002
12/14/2017,12:00:24,3.539,743.1,94.6,12.54,362.4,7.99,,,,-859.05,0,0.233,0.23,,,2.565,9.62,,,0.002
12/14/2017,12:00:25,3.542,743,94.7,12.55,362.6,7.99,,,,-859.08,0,0.235,0.24,,,2.568,9.63,,,0.003
12/14/2017,12:00:26,3.542,743.1,94.8,12.56,362.7,7.99,,,,-859.09,0,0.244,0.24,,,2.567,9.63,,,0.003
12/14/2017,12:00:27,3.538,743,95,12.59,362.8,7.99,,,,-859.11,0,0.257,0.26,,,2.574,9.66,,,0.004
12/14/2017,12:00:28,3.535,743.1,95.2,12.62,363,7.98,,,,-859.12,0,0.257,0.26,,,2.592,9.72,,,0.004
12/14/2017,12:00:29,3.53,743,95.4,12.64,363,7.98,,,,-859.12,0,0.264,0.26,,,2.598,9.74,,,0.004
12/14/2017,12:00:30,3.517,743,95.5,12.66,363,7.98,,,,-859.13,0,0.271,0.27,,,2.613,9.8,,,0.005
12/14/2017,12:00:31,3.508,743,95.7,12.69,362.8,7.98,,,,-859.14,0,0.284,0.28,,,2.621,9.83,,,0.005
12/14/2017,12:00:32,3.506,743.1,95.8,12.71,362.7,7.97,,,,-859.16,0,0.3,0.3,,,2.63,9.86,,,0.005
12/14/2017,12:00:33,3.507,743.1,96,12.73,362.5,7.97,,,,-859.2,0,0.307,0.31,,,2.647,9.93,,,0.005
12/14/2017,12:00:34,3.511,743,96.1,12.75,362.4,7.97,,,,-859.19,0,0.308,0.31,,,2.651,9.94,,,0.005
12/14/2017,12:00:35,3.513,743.2,96.2,12.76,362.2,7.97,,,,-859.19,0,0.313,0.31,,,2.665,9.99,,,0.005
12/14/2017,12:00:36,3.51,743,96.3,12.78,362,7.96,,,,-859.18,0,0.322,0.32,,,2.696,10.11,,,0.005
12/14/2017,12:00:37,3.507,743.1,96.4,12.79,361.9,7.96,,,,-859.15,0,0.334,0.33,,,2.718,10.19,,,0.006
12/14/2017,12:00:38,3.503,743.1,96.5,12.8,361.7,7.95,,,,-859.15,0,0.347,0.35,,,2.72,10.2,,,0.006
12/14/2017,12:00:39,3.5,743.1,96.6,12.82,361.6,7.95,,,,-859.17,0,0.352,0.35,,,2.699,10.12,,,0.007
12/14/2017,12:00:40,3.498,743.1,96.7,12.83,361.5,7.95,,,,-859.14,0,0.35,0.35,,,2.717,10.19,,,0.007
12/14/2017,12:00:41,3.493,743,96.8,12.84,361.3,7.94,,,,-859.13,0,0.354,0.35,,,2.722,10.21,,,0.008
12/14/2017,12:00:42,3.488,743.1,96.8,12.85,361.1,7.94,,,,-859.12,0,0.363,0.36,,,2.736,10.26,,,0.011
12/14/2017,12:00:43,3.485,743.1,96.9,12.86,360.9,7.93,,,,-859.13,0,0.363,0.36,,,2.744,10.29,,,0.015
12/14/2017,12:00:44,3.483,743.1,97,12.87,360.5,7.93,,,,-859.15,0,0.371,0.37,,,2.741,10.28,,,0.019
12/14/2017,12:00:45,3.479,743.1,97,12.88,360.2,7.92,,,,-859.16,0,0.376,0.38,,,2.751,10.32,,,0.024
12/14/2017,12:00:46,3.473,743.1,97.1,12.89,359.9,7.92,,,,-859.15,0,0.391,0.39,,,2.759,10.35,,,0.035
12/14/2017,12:00:47,3.466,743.1,97.1,12.9,359.5,7.92,,,,-859.14,0,0.397,0.4,,,2.752,10.32,,,0.041
12/14/2017,12:00:48,3.458,743.1,97.2,12.91,359.1,7.91,,,,-859.13,0,0.394,0.39,,,2.767,10.38,,,0.057
12/14/2017,12:00:49,3.45,743.1,97.2,12.92,358.7,7.91,,,,-859.13,0,0.393,0.39,,,2.783,10.44,,,0.071
12/14/2017,12:00:50,3.442,743.1,97.3,12.93,358.3,7.9,,,,-859.14,0,0.393,0.39,,,2.8,10.5,,,0.088
12/14/2017,12:00:51,3.435,743.1,97.3,12.93,357.8,7.9,,,,-859.13,0,0.399,0.4,,,2.814,10.55,,,0.109
12/14/2017,12:00:52,3.426,743,97.3,12.94,357.4,7.9,,,,-859.15,0,0.403,0.4,,,2.833,10.62,,,0.128
12/14/2017,12:00:53,3.418,743.1,97.4,12.95,356.9,7.89,,,,-859.14,0,0.41,0.41,,,2.842,10.66,,,0.916
12/14/2017,12:00:54,3.413,743.1,97.4,12.96,356.4,7.89,,,,-859.13,0,0.406,0.41,,,2.868,10.75,,,1.045
12/14/2017,12:00:55,3.412,743.1,97.5,12.96,356,7.89,,,,-859.13,0,0.411,0.41,,,2.894,10.85,,,1.148
12/14/2017,12:00:56,3.411,743,97.5,12.97,355.8,7.88,,,,-859.15,0,0.404,0.4,,,2.906,10.9,,,1.144
12/14/2017,12:00:57,3.409,743.1,97.5,12.97,355.7,7.88,,,,-859.14,0,0.402,0.4,,,2.908,10.9,,,1.164
