sep=,
Unit ID:,1
User ID:,
Site:,5
Log Interval:,2.00

Model, Submodel, S/N, S/W Ver
Handheld,2, 17F105819,1.0.18
5P Sonde,4, 17G100162,1.0.35
Turbidity,1, 17F102796,3.0.0
pH/ORP,1, 17E101062,3.0.0
CT,1, 17F102078,3.0.5
ODO,1, 17F104582,3.0.0
Depth,2, 17F104892,3.0.0

Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
5/30/2018,13:40:35,30.818,735.3,105.7,7.87,145.3,8.07,,,,3.53,0,0.22,0.22,,,0.281,1.06,,,0.008,
5/30/2018,13:40:37,30.829,735.2,106.2,7.91,145.3,8.06,,,,3.47,0,0.15,0.15,,,0.293,1.1,,,0.012,
5/30/2018,13:40:39,30.84,735.3,106.6,7.94,145.3,8.05,,,,3.51,0,0.062,0.06,,,0.264,1,,,0.015,
5/30/2018,13:40:41,30.849,735.2,106.9,7.96,145.3,8.04,,,,3.55,0,0.012,0.01,,,0.246,0.94,,,0.019,
5/30/2018,13:40:43,30.852,735.2,107.1,7.98,145.3,8.04,,,,3.52,0,-0.068,-0.07,,,0.242,0.93,,,0.023,
5/30/2018,13:40:45,30.855,735.2,107.4,8,145.3,8.04,,,,3.5,0,-0.153,-0.15,,,0.235,0.9,,,0.028,
5/30/2018,13:40:47,30.864,735.2,107.8,8.03,145.3,8.04,,,,3.49,0,-0.212,-0.21,,,0.255,0.97,,,0.034,
5/30/2018,13:40:49,30.871,735.2,108.1,8.05,145.4,8.04,,,,3.44,0,-0.236,-0.24,,,0.268,1.02,,,0.039,
5/30/2018,13:40:51,30.875,735.2,108.3,8.06,145.4,8.04,,,,3.43,0,-0.235,-0.23,,,0.276,1.05,,,0.045,
5/30/2018,13:40:53,30.875,735.2,108.4,8.07,145.4,8.04,,,,3.43,0,-0.235,-0.23,,,0.293,1.11,,,0.051,
5/30/2018,13:40:55,30.877,735.2,108.5,8.08,145.4,8.05,,,,3.43,0,-0.234,-0.23,,,0.293,1.1,,,0.058,
5/30/2018,13:40:57,30.878,735.2,108.6,8.08,145.4,8.05,,,,3.41,0,-0.229,-0.23,,,0.306,1.15,,,0.072,
5/30/2018,13:40:59,30.877,735.2,108.6,8.09,145.4,8.05,,,,3.42,0,-0.215,-0.22,,,0.317,1.19,,,0.091,
5/30/2018,13:41:01,30.871,735.2,108.7,8.09,145.4,8.06,,,,3.43,0,-0.207,-0.21,,,0.308,1.16,,,0.123,
5/30/2018,13:41:03,30.859,735.2,108.7,8.09,145.4,8.06,,,,3.47,0,-0.203,-0.2,,,0.312,1.17,,,0.153,
5/30/2018,13:41:05,30.853,735.3,108.8,8.1,145.4,8.07,,,,3.47,0,-0.205,-0.21,,,0.303,1.14,,,0.185,
5/30/2018,13:41:07,30.845,735.2,108.8,8.1,145.5,8.07,,,,3.53,0,-0.19,-0.19,,,0.311,1.17,,,0.214,
5/30/2018,13:41:09,30.828,735.2,108.8,8.1,145.5,8.08,,,,3.56,0,-0.191,-0.19,,,0.315,1.18,,,0.252,
5/30/2018,13:41:11,30.811,735.2,108.8,8.11,145.5,8.09,,,,3.59,0,-0.184,-0.18,,,0.316,1.19,,,0.286,
5/30/2018,13:41:13,30.794,735.2,108.8,8.11,145.5,8.09,,,,3.64,0,-0.17,-0.17,,,0.324,1.21,,,0.325,
5/30/2018,13:41:15,30.765,735.2,108.7,8.11,145.5,8.1,,,,3.67,0,-0.167,-0.17,,,0.329,1.23,,,0.364,
