sep=,
Unit ID:,1
User ID:,
Site:,92
Log Interval:,2.00

Model, Submodel, S/N, S/W Ver
Handheld,2, 17F105819,1.0.18
5P Sonde,4, 17G100162,1.0.35
CT,1, 17F102078,3.0.5
Turbidity,1, 17F102796,3.0.0
pH/ORP,1, 17E101062,3.0.0
CT,1, 17F102078,3.0.5
ODO,1, 17F104582,3.0.0
Depth,2, 17F104892,3.0.0

Depth,Temp,DO%,DO mg,Cond,pH,ORP,Turb,PC rfu,PC ug,CHL rfu,CHL ug
0,29.2,128,9.9,267,8.43,270,0.98,0.3,0.3,1,4.2,
1,29.1,136,10.4,267,8.49,274,0.95,0.5,0.4,1.8,7.3,
2,29.1,136,10.5,267,8.53,272,1.4,0.5,0.5,2,8.1,
3,29,1347,10.3,267,8.53,272,1.08,0.5,0.5,1.9,8.1,
4,28.8,136,10.5,264,8.54,273,1,0.5,0.5,2.1,8.5,
4.5,28.7,132,10.4,265,8.5,277,1,0.5,0.5,2,8.1,
5,25.7,103,8.7,255,8.13,290,1.05,1.4,1.4,1.9,8,
5.5,25,78,6.3,255,7.83,298,0.73,1.6,1.6,1.3,5.4,
6,24.8,54,4.4,255,7.53,304,0.56,1.6,1.6,1.2,4.6,
6.5,24.7,46,3.8,255,7.46,306,0.51,1.5,1.5,1.2,5,
7,24.6,36,2.9,255,7.37,307,0.4,1.3,1.3,1.1,4.4,
8,24.3,15,1.1,254,7.2,309,0.29,0.7,0.7,0.8,3.4,
9,23.7,2,0.2,253,7.13,308,0.27,0.7,0.6,0.7,2.9,
10,21,1,0,249,7.09,229,0.6,0.4,0.4,0.6,2.6,
12,14.4,0,0,214,6.9,211,1.27,0.4,0.3,0.4,1.8,
14,12.8,0,0,203,6.94,223,2.55,0.3,0.3,0.4,1.6,
16,12.3,0,0,200,6.92,228,3.3,0.3,0.3,0.4,1.5,
17.7,11.9,0,0,202,6.89,47,2.33,0.4,0.4,0.5,1.8,
