Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
9/13/2018,12:41:27,0,93,0.32,1.32,241.4,0.005,235.9,99.5,99.5,8.05,301.5,0.007,0.11,236.5,0.37,0.34,154,3.37,0,8.01,-140.8,26.088,0.039,37.68996,-93.76729,257.8,2.05,11.9,741
9/13/2018,12:41:28,0,93,0.26,1.09,241.4,0.006,236.2,99.6,99.6,8.07,301.8,0.009,0.11,236.7,0.33,0.3,154,3.13,0,8.01,-140.8,26.048,0.034,37.68996,-93.76729,258,2.05,11.9,741
9/13/2018,12:41:29,0,93,0.25,1.03,241.4,0.007,236.3,99.8,99.8,8.09,302.1,0.01,0.11,236.8,0.3,0.27,154,2.94,0,8.01,-140.8,26.014,0.035,37.68996,-93.76729,258.2,2.05,11.9,741
9/13/2018,12:41:30,0,93,0.2,0.81,241.4,0.007,236.5,100,100,8.11,302.3,0.01,0.11,236.9,0.27,0.24,154,2.78,0,8.01,-140.8,25.986,0.028,37.68996,-93.76729,258.3,2.05,11.9,741
9/13/2018,12:41:31,0,93,0.19,0.79,241.4,0.008,236.6,100.1,100.1,8.12,302.5,0.012,0.11,237,0.25,0.22,154,1.39,0,8.01,-140.8,25.965,0.028,37.68996,-93.76729,258.3,2.05,11.9,741
9/13/2018,12:41:32,0,93,0.2,0.81,241.4,0.009,236.6,100.3,100.3,8.14,302.7,0.013,0.11,237.1,0.23,0.2,154,0.66,0,8.01,-140.9,25.957,0.027,37.68996,-93.76729,258.4,2.05,11.9,740.9
9/13/2018,12:41:33,0,93,0.19,0.81,241.4,0.01,236.6,100.3,100.3,8.14,302.9,0.014,0.11,237.1,0.22,0.19,154,0.45,0,8.01,-140.8,25.951,0.026,37.68996,-93.76729,258.4,2.05,11.9,741.1
9/13/2018,12:41:34,0,93,0.19,0.81,241.4,0.01,236.6,100.4,100.4,8.15,303.1,0.015,0.11,237.1,0.2,0.17,154,0.13,0,8.01,-140.8,25.947,0.023,37.68996,-93.76729,258.5,2.05,11.9,740.9
9/13/2018,12:41:35,0,93,0.19,0.77,241.4,0.011,236.7,100.5,100.5,8.16,303.3,0.015,0.11,237.1,0.17,0.14,154,0.1,0,8.01,-140.8,25.943,0.024,37.68996,-93.76729,258.4,2.05,11.9,741
9/13/2018,12:41:36,0,93,0.18,0.76,241.4,0.011,236.7,100.6,100.6,8.17,303.5,0.016,0.11,237.1,0.11,0.08,154,0.1,0,8.01,-140.8,25.94,0.024,37.68996,-93.76729,258.4,2.05,11.9,741
9/13/2018,12:41:37,0,93,0.19,0.77,241.4,0.012,236.7,100.7,100.7,8.17,303.6,0.017,0.11,237.1,0.11,0.08,154,0.1,0,8.01,-140.9,25.937,0.017,37.68996,-93.7673,258.4,2.05,11.9,741
9/13/2018,12:41:38,0,93,0.19,0.79,241.4,0.013,236.7,100.7,100.7,8.18,303.7,0.018,0.11,237.1,0.1,0.07,154,0.08,0,8.01,-140.9,25.933,0.019,37.68996,-93.7673,258.4,2.05,11.9,740.9
9/13/2018,12:41:39,0,93,0.19,0.79,241.4,0.013,236.7,100.8,100.8,8.18,303.9,0.019,0.11,237.2,0.1,0.07,154,0.08,0,8.01,-140.9,25.928,0.012,37.68997,-93.7673,258,2.04,11.9,741
9/13/2018,12:41:40,0,93,0.18,0.74,241.3,0.014,236.7,100.9,100.9,8.19,304,0.019,0.11,237.1,0.1,0.08,154,0.08,0,8.01,-140.9,25.924,0.019,37.68997,-93.7673,257.6,2.04,11.9,741.1
9/13/2018,12:41:41,0,93,0.18,0.74,241.3,0.014,236.7,101,101,8.2,304.1,0.02,0.11,237.1,0.1,0.07,154,0.07,0,8.01,-140.9,25.92,0.016,37.68997,-93.7673,257.5,2.04,11.9,741.1
9/13/2018,12:41:42,0,93,0.18,0.74,241.3,0.015,236.7,101.1,101.1,8.21,304.3,0.021,0.11,237.1,0.09,0.07,154,0.07,0,8.01,-140.8,25.918,0.021,37.68997,-93.7673,257.3,2.04,11.9,741
9/13/2018,12:41:43,0,93,0.17,0.71,241.3,0.016,236.7,101.2,101.2,8.22,304.4,0.022,0.11,237.1,0.11,0.08,154,0.07,0,8.01,-140.7,25.914,0.025,37.68997,-93.7673,257.3,2.04,11.9,741
9/13/2018,12:41:44,0,93,0.16,0.67,241.3,0.016,236.7,101.3,101.3,8.23,304.8,0.023,0.11,237.1,0.11,0.08,154,0.09,0,8.01,-140.7,25.911,0.024,37.68997,-93.7673,257.2,2.04,11.9,741.1
9/13/2018,12:41:45,0,93,0.16,0.67,241.2,0.017,236.7,101.4,101.4,8.23,305.2,0.024,0.11,237.1,0.1,0.07,154,0.09,0,8.01,-140.7,25.909,0.029,37.68997,-93.7673,257.3,2.04,11.9,741.1
9/13/2018,12:41:46,0,93,0.17,0.7,241.2,0.018,236.7,101.5,101.5,8.24,305.4,0.026,0.11,237.1,0.11,0.08,154,0.1,0,8.01,-140.7,25.905,0.029,37.68997,-93.7673,257.3,2.04,11.9,741.1
9/13/2018,12:41:47,0,93,0.17,0.69,241.2,0.019,236.7,101.5,101.5,8.25,305.7,0.027,0.11,237.1,0.11,0.08,154,0.12,0,8.01,-140.7,25.904,0.035,37.68997,-93.7673,257.3,2.04,11.9,741
9/13/2018,12:41:48,0,93,0.17,0.71,241.2,0.02,236.7,101.6,101.6,8.25,305.9,0.028,0.11,237.1,0.12,0.09,154,0.11,0,8.01,-140.7,25.903,0.03,37.68997,-93.7673,257.5,2.04,11.9,741
9/13/2018,12:41:49,0,93,0.17,0.71,241.2,0.021,236.7,101.6,101.6,8.26,306.1,0.03,0.11,237.1,0.12,0.09,154,0.12,0,8.01,-140.7,25.901,0.036,37.68997,-93.7673,257.3,2.05,11.9,741
9/13/2018,12:41:50,0,93,0.17,0.7,241.2,0.022,236.7,101.7,101.7,8.26,306.2,0.031,0.11,237.1,0.13,0.1,154,0.12,0,8.01,-140.8,25.9,0.04,37.68997,-93.7673,256.9,2.05,11.9,741.1
9/13/2018,12:41:51,0,93,0.16,0.68,241.2,0.023,236.7,101.7,101.7,8.27,306.4,0.032,0.11,237.1,0.12,0.09,154,0.11,0,8.01,-140.8,25.9,0.04,37.68997,-93.7673,256.8,2.05,11.9,741.1
9/13/2018,12:41:52,0,93,0.16,0.66,241.2,0.024,236.7,101.8,101.8,8.27,306.6,0.034,0.11,237.1,0.12,0.09,154,0.09,0,8.01,-140.8,25.901,0.044,37.68997,-93.7673,256.5,2.05,11.9,740.9
9/13/2018,12:41:53,0,93,0.16,0.66,241.2,0.025,236.7,101.8,101.8,8.27,306.7,0.036,0.11,237.1,0.12,0.09,154,0.1,0,8.01,-140.8,25.902,0.042,37.68997,-93.7673,256.6,2.05,11.9,741
9/13/2018,12:41:54,0,93,0.16,0.65,241.2,0.026,236.7,101.9,101.9,8.27,306.8,0.037,0.11,237.1,0.13,0.1,154,0.13,0,8.01,-140.8,25.903,0.037,37.68997,-93.7673,256.7,2.05,11.9,741.1
