Unit ID:,1,,Lamar,LK 94,9/19/2018,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,94,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.55,,,,,,,,,,,
ODO,1, 18D104460,3.0.0,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
9/19/2018,8:29:22,27.523,735.2,132.8,10.48,211.1,8.72,310,5.01,1.778,1.74,2.475,10.07,0.096
9/19/2018,8:29:23,27.523,735.2,132.8,10.48,211.1,8.72,309.9,5.01,1.776,1.74,2.477,10.08,0.096
9/19/2018,8:29:24,27.524,735.2,132.8,10.48,211.1,8.72,309.8,5.01,1.771,1.74,2.451,9.98,0.097
9/19/2018,8:29:25,27.524,735.2,132.8,10.48,211.1,8.72,309.8,5.03,1.769,1.74,2.442,9.94,0.097
9/19/2018,8:29:26,27.524,735.2,132.8,10.48,211.1,8.72,309.8,5.03,1.767,1.73,2.435,9.91,0.098
9/19/2018,8:29:27,27.524,735.2,132.8,10.48,211.1,8.73,309.7,5.02,1.761,1.73,2.449,9.97,0.099
9/19/2018,8:29:28,27.524,735.2,132.9,10.48,211.1,8.73,309.7,5.01,1.768,1.73,2.438,9.92,0.101
9/19/2018,8:29:29,27.524,735.2,132.9,10.48,211.2,8.73,309.6,4.99,1.77,1.74,2.442,9.94,0.103
