sep=,
Unit ID:,94
User ID:,
Site:,LLDAM
Log Interval:,1.00

Model, Submodel, S/N, S/W Ver
Handheld,2, 18E100114,1.0.33
5P Sonde,4, 18E103044,1.0.55
CT,1, 18D101262,3.0.5
TAL-PC,1, 17F103116,3.0.0
pH/ORP,1, 17E101062,3.0.0
ODO,1, 18D104460,3.0.0
Turbidity,1, 17D108184,3.0.0
Depth,2, 18E100303,3.0.0

Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
10/2/2018,9:26:13,21.698,739.5,98.7,8.68,204.6,7.72,289.6,10.29,1.232,1.2,0.708,2.89,0.003,
10/2/2018,9:26:18,21.995,739.5,89.9,7.86,205.1,7.69,292.9,10.24,1.845,1.81,2.446,9.96,0.015,
10/2/2018,9:26:23,22.279,739.5,87.4,7.6,205.1,7.67,294.1,7,2.543,2.51,2.658,10.82,0.025,
10/2/2018,9:26:28,22.291,739.6,86,7.47,205.1,7.67,294.8,4.67,3.214,3.18,2.704,11,0.035,
10/2/2018,9:26:33,22.294,739.5,84,7.3,205.1,7.66,295.2,4.64,3.243,3.21,2.727,11.1,0.046,
10/2/2018,9:26:38,22.294,739.6,82.7,7.18,205.1,7.66,295.7,4.65,3.225,3.19,2.738,11.14,0.057,
10/2/2018,9:26:43,22.297,739.5,82,7.12,205.1,7.66,296.1,4.67,3.225,3.19,2.714,11.04,0.069,
10/2/2018,9:26:48,22.314,739.4,81.6,7.09,205.2,7.66,296.2,4.56,3.192,3.15,2.735,11.13,0.102,
10/2/2018,9:26:53,22.322,739.5,81.4,7.07,205.3,7.66,296.2,4.52,3.232,3.19,2.808,11.42,0.138,
10/2/2018,9:26:58,22.325,739.5,81.2,7.05,205.3,7.66,296.1,4.52,3.237,3.2,2.895,11.78,0.192,
10/2/2018,9:27:03,22.328,739.5,80.8,7.02,205.3,7.66,296.1,4.53,3.271,3.23,2.864,11.65,0.257,
10/2/2018,9:27:08,22.322,739.5,80.5,6.99,205.3,7.66,296,4.57,3.342,3.3,2.818,11.47,0.34,
10/2/2018,9:27:13,22.291,739.6,80,6.95,205.3,7.66,296,4.6,3.374,3.34,2.797,11.38,0.434,
10/2/2018,9:27:18,22.258,739.5,79.1,6.88,205.2,7.66,295.9,4.59,3.416,3.38,2.72,11.07,0.528,
10/2/2018,9:27:23,22.243,739.5,78.1,6.8,205.1,7.65,295.8,4.57,3.432,3.39,2.736,11.13,0.619,
10/2/2018,9:27:28,22.25,739.5,77.6,6.75,205.1,7.65,295.6,4.58,3.405,3.37,2.782,11.32,0.688,
10/2/2018,9:27:33,22.276,739.6,77.7,6.76,205.2,7.65,295.4,4.58,3.416,3.38,2.766,11.25,0.769,
10/2/2018,9:27:38,22.291,739.5,78.3,6.8,205.2,7.65,295.2,4.59,3.398,3.36,2.733,11.12,0.842,
10/2/2018,9:27:43,22.285,739.5,78.6,6.83,205.3,7.66,295,4.62,3.39,3.35,2.75,11.19,0.911,
10/2/2018,9:27:48,22.272,739.5,78.7,6.84,205.2,7.66,294.9,4.6,3.357,3.32,2.778,11.3,0.964,
10/2/2018,9:27:53,22.257,739.5,78.4,6.82,205.2,7.66,294.7,4.54,3.325,3.29,2.827,11.5,1.011,
10/2/2018,9:27:58,22.246,739.6,77.9,6.78,205.2,7.66,294.4,4.5,3.318,3.28,2.888,11.75,1.06,
10/2/2018,9:28:03,22.242,739.5,77.3,6.72,205.2,7.66,294.1,4.58,3.301,3.26,2.982,12.13,1.107,
10/2/2018,9:28:08,22.245,739.6,76.8,6.68,205.2,7.66,293.9,4.62,3.309,3.27,2.877,11.7,1.143,
10/2/2018,9:28:13,22.247,739.5,76.7,6.67,205.1,7.66,293.8,4.62,3.289,3.25,2.739,11.14,1.172,
10/2/2018,9:28:18,22.253,739.5,76.7,6.67,205.1,7.66,293.6,4.58,3.272,3.24,2.728,11.1,1.192,
10/2/2018,9:28:23,22.25,739.5,76.7,6.67,205.2,7.66,293.6,4.61,3.223,3.19,2.718,11.06,1.214,
10/2/2018,9:28:28,22.241,739.5,76.6,6.66,205.1,7.66,293.5,4.63,3.195,3.16,2.658,10.82,1.249,
10/2/2018,9:28:33,22.225,739.5,76.2,6.63,205.1,7.66,293.4,4.66,3.187,3.15,2.749,11.19,1.289,
10/2/2018,9:28:38,22.217,739.5,75.8,6.6,205.1,7.66,293.3,4.65,3.159,3.12,2.637,10.73,1.348,
10/2/2018,9:28:43,22.213,739.5,75.6,6.58,205,7.65,293.2,4.7,3.147,3.11,2.688,10.94,1.407,
10/2/2018,9:28:48,22.209,739.5,75.3,6.55,205,7.65,293.2,4.7,3.127,3.09,2.612,10.63,1.473,
10/2/2018,9:28:53,22.206,739.4,74.9,6.52,205,7.64,293.2,4.62,3.098,3.06,2.511,10.22,1.546,
10/2/2018,9:28:58,22.203,739.5,74.5,6.48,205.1,7.64,293.2,4.58,3.059,3.02,2.53,10.29,1.63,
10/2/2018,9:29:03,22.201,739.5,74,6.44,205.1,7.63,293.3,4.51,3.023,2.99,2.52,10.26,1.731,
10/2/2018,9:29:08,22.197,739.4,73.5,6.4,205.1,7.63,293.4,4.5,2.979,2.94,2.537,10.32,2.529,
10/2/2018,9:29:13,22.193,739.5,73.2,6.37,205.2,7.63,293.3,4.42,2.961,2.92,2.682,10.91,2.53,
10/2/2018,9:29:18,22.188,739.4,73.1,6.37,205.2,7.63,293.1,4.39,2.935,2.9,2.722,11.07,2.551,
10/2/2018,9:29:23,22.185,739.6,73.3,6.38,205.2,7.63,292.9,4.37,2.933,2.9,2.626,10.69,2.589,
10/2/2018,9:29:28,22.183,739.5,73.5,6.4,205.2,7.63,292.6,4.41,2.946,2.91,2.69,10.94,2.621,
10/2/2018,9:29:33,22.178,739.5,73.6,6.41,205.2,7.64,292.3,4.55,2.926,2.89,2.735,11.13,2.656,
10/2/2018,9:29:38,22.173,739.6,73.8,6.42,205.2,7.65,292,4.59,2.935,2.9,2.75,11.19,2.687,
10/2/2018,9:29:43,22.169,739.5,73.9,6.44,205.2,7.65,291.8,4.58,2.943,2.91,2.791,11.36,2.716,
10/2/2018,9:29:48,22.169,739.5,74,6.45,205.1,7.66,291.7,4.53,2.923,2.89,2.615,10.64,2.751,
10/2/2018,9:29:53,22.17,739.6,74.1,6.45,205.1,7.66,291.5,4.49,2.951,2.91,2.86,11.63,2.811,
10/2/2018,9:29:58,22.171,739.4,74.1,6.46,205.1,7.66,291.4,4.5,2.941,2.91,2.726,11.09,2.856,
10/2/2018,9:30:03,22.171,739.5,74.2,6.46,205.1,7.67,291.2,4.5,2.94,2.9,2.785,11.33,2.904,
10/2/2018,9:30:08,22.172,739.5,74.3,6.47,205.1,7.67,291.1,4.49,2.966,2.93,2.859,11.63,2.948,
10/2/2018,9:30:13,22.172,739.4,74.3,6.47,205.1,7.67,290.9,4.5,2.973,2.94,3,12.2,2.984,
10/2/2018,9:30:18,22.172,739.5,74.4,6.48,205.1,7.68,290.8,4.5,2.987,2.95,3.046,12.39,3.015,
10/2/2018,9:30:23,22.171,739.5,74.4,6.48,205.1,7.68,290.7,4.56,2.988,2.95,2.997,12.19,3.049,
10/2/2018,9:30:28,22.167,739.6,74.4,6.48,205.1,7.68,290.7,4.59,2.98,2.94,2.936,11.94,3.085,
10/2/2018,9:30:33,22.162,739.5,74.3,6.48,205.1,7.68,290.7,4.57,2.955,2.92,2.877,11.7,3.129,
10/2/2018,9:30:38,22.157,739.5,74.3,6.47,205.2,7.68,290.8,4.64,2.915,2.88,2.707,11.01,3.172,
10/2/2018,9:30:43,22.151,739.5,74.1,6.45,205.2,7.68,291,4.77,2.889,2.85,2.693,10.96,3.208,
10/2/2018,9:30:48,22.144,739.4,73.7,6.43,205.3,7.67,291.1,4.91,2.833,2.8,2.695,10.96,3.249,
10/2/2018,9:30:53,22.137,739.4,73.2,6.38,205.5,7.66,291.2,4.85,2.808,2.77,2.582,10.51,3.29,
10/2/2018,9:30:58,22.129,739.5,72.6,6.33,205.6,7.65,291.4,4.84,2.781,2.75,2.567,10.45,3.345,
