Unit ID:,,,,,,,,,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,,,,,,,,
Site:,118,,,,,,,,,,,,,,,,,,,,
Log Interval:,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.35,,,,,,,,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,,,,,,,,
Turbidity,1, 17F102796,3.0.0,,,,,,,,,,,,,,,,,,
ODO,1, 17F104582,3.0.0,,,,,,,,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,,,,,,,,
TAL-PC,1, 17D109804,3.0.0,,,,,,,,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
6/13/2018,7:11:08,28.053,736.5,107.3,8.39,290,8.08,,,,2.37,0,0.141,0.14,,,4.074,14.33,,,0.01
6/13/2018,7:11:10,28.061,736.4,107.8,8.43,290.1,8.08,,,,2.37,0,0.188,0.19,,,4.092,14.39,,,0.012
6/13/2018,7:11:12,28.075,736.4,108.2,8.45,290.3,8.09,,,,2.37,0,0.174,0.17,,,4.051,14.25,,,0.014
6/13/2018,7:11:14,28.086,736.4,108.4,8.46,290.5,8.09,,,,2.36,0,0.185,0.19,,,4.022,14.15,,,0.017
6/13/2018,7:11:16,28.098,736.5,108.5,8.47,290.7,8.1,,,,2.35,0,0.188,0.19,,,4.054,14.26,,,0.019
6/13/2018,7:11:18,28.11,736.5,108.5,8.47,290.8,8.1,,,,2.38,0,0.186,0.19,,,4.041,14.21,,,0.021
6/13/2018,7:11:20,28.121,736.4,108.5,8.47,290.8,8.11,,,,2.37,0,0.191,0.19,,,4.001,14.07,,,0.023
6/13/2018,7:11:22,28.127,736.5,108.5,8.47,290.9,8.12,,,,2.36,0,0.194,0.19,,,3.992,14.04,,,0.026
6/13/2018,7:11:24,28.129,736.4,108.5,8.47,290.9,8.22,,,,2.34,0,0.185,0.18,,,3.984,14.01,,,0.027
6/13/2018,7:11:26,28.136,736.4,108.5,8.47,291,8.24,,,,2.34,0,0.19,0.19,,,3.934,13.84,,,0.033
6/13/2018,7:11:28,28.142,736.5,108.5,8.46,291,8.25,,,,2.34,0,0.178,0.18,,,3.9,13.72,,,0.052
6/13/2018,7:11:30,28.146,736.5,108.5,8.46,291,8.26,,,,2.35,0,0.169,0.17,,,3.905,13.74,,,0.08
6/13/2018,7:11:32,28.152,736.4,108.4,8.46,291,8.26,,,,2.3,0,0.182,0.18,,,3.918,13.78,,,0.113
6/13/2018,7:11:34,28.158,736.5,108.4,8.45,291.1,8.27,,,,2.32,0,0.172,0.17,,,3.949,13.89,,,0.146
6/13/2018,7:11:36,28.163,736.5,108.3,8.44,291.1,8.28,,,,2.34,0,0.159,0.16,,,3.976,13.98,,,0.183
6/13/2018,7:11:38,28.167,736.5,108.1,8.43,291.1,8.29,,,,2.36,0,0.165,0.16,,,3.946,13.88,,,0.22
6/13/2018,7:11:40,28.169,736.6,108,8.42,291.1,8.3,,,,2.37,0,0.155,0.15,,,3.953,13.9,,,0.261
6/13/2018,7:11:42,28.17,736.6,107.9,8.41,291.1,8.3,,,,2.37,0,0.143,0.14,,,3.933,13.83,,,0.299
6/13/2018,7:11:44,28.171,736.4,107.8,8.41,291.1,8.31,,,,2.4,0,0.136,0.14,,,3.89,13.68,,,0.341
6/13/2018,7:11:46,28.172,736.5,107.8,8.41,291.1,8.32,,,,2.42,0,0.141,0.14,,,3.903,13.73,,,0.379
6/13/2018,7:11:48,28.173,736.5,107.8,8.4,291.1,8.33,,,,2.42,0,0.142,0.14,,,3.928,13.82,,,0.424
6/13/2018,7:11:50,28.174,736.5,107.8,8.41,291.1,8.34,,,,2.39,0,0.139,0.14,,,3.943,13.87,,,0.465
6/13/2018,7:11:52,28.175,736.4,107.9,8.41,291.1,8.35,,,,2.37,0,0.125,0.13,,,3.957,13.92,,,0.512
6/13/2018,7:11:54,28.176,736.5,107.9,8.42,291.1,8.37,,,,2.38,0,0.113,0.11,,,3.995,14.05,,,0.557
6/13/2018,7:11:56,28.176,736.4,108,8.42,291.1,8.39,,,,2.35,0,0.115,0.11,,,3.989,14.03,,,0.608
6/13/2018,7:11:58,28.177,736.6,108,8.42,291.1,8.4,,,,2.35,0,0.13,0.13,,,3.99,14.03,,,0.657
6/13/2018,7:12:00,28.177,736.5,108.1,8.43,291.1,8.41,,,,2.34,0,0.126,0.13,,,3.988,14.03,,,0.707
6/13/2018,7:12:02,28.177,736.4,108.2,8.44,291.1,8.43,,,,2.33,0,0.145,0.15,,,3.929,13.82,,,0.767
6/13/2018,7:12:04,28.177,736.4,108.3,8.44,291.1,8.44,,,,2.33,0,0.138,0.14,,,3.896,13.7,,,0.815
6/13/2018,7:12:06,28.177,736.5,108.3,8.44,291.1,8.45,,,,2.33,0,0.132,0.13,,,3.855,13.56,,,0.859
