Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
8/1/2018,32:21.0,28.645,741.8,175.9,13.6,299.7,9.31,85.7,6.25,0,0,0,0,0.017
8/1/2018,32:21.2,28.649,741.8,176.3,13.63,299.7,9.31,85.6,6.24,0,0,0,0,0.017
8/1/2018,32:21.5,28.649,741.8,176.3,13.63,299.7,9.31,85.6,6.24,0,0,0,0,0.018
8/1/2018,32:21.7,28.651,741.8,176.4,13.64,299.8,9.31,85.6,6.25,0,0,0,0,0.018
8/1/2018,32:22.0,28.651,741.8,176.5,13.65,299.8,9.31,85.5,6.24,0,0,0,0,0.018
8/1/2018,32:22.3,28.652,741.8,181.2,14.01,299.8,9.31,85.5,6.23,0,0,0,0,0.019
8/1/2018,32:22.5,28.654,741.8,180.8,13.98,299.8,9.31,85.4,6.23,0,0,0,0,0.019
8/1/2018,32:22.8,28.655,741.8,181.4,14.03,299.8,9.31,85.4,6.24,0,0,0,0,0.019
8/1/2018,32:23.0,28.656,741.8,181.2,14.01,299.8,9.31,85.3,6.24,0,0,0,0,0.02
8/1/2018,32:23.3,28.658,741.8,181.1,14,299.8,9.31,85.3,6.25,0,0,0,0,0.02
8/1/2018,32:23.5,28.658,741.8,181.1,14,299.8,9.31,85.3,6.26,0,0,0,0,0.02
8/1/2018,32:23.7,28.658,741.8,182.3,14.1,299.9,9.31,85.2,6.27,0,0,0,0,0.021
8/1/2018,32:24.0,28.659,741.8,182.2,14.09,299.9,9.31,85.2,6.27,0,0,0,0,0.021
8/1/2018,32:24.3,28.659,741.8,181.8,14.06,299.9,9.31,85.2,6.28,0,0,0,0,0.022
8/1/2018,32:24.5,28.66,741.8,182.3,14.1,299.9,9.31,85.1,6.27,0,0,0,0,0.022
8/1/2018,32:24.8,28.661,741.8,182.1,14.08,299.9,9.31,85,6.27,0,0,0,0,0.023
8/1/2018,32:25.0,28.661,741.8,182.8,14.13,299.9,9.31,84.9,6.27,0,0,0,0,0.023
8/1/2018,32:25.2,28.662,741.8,182.4,14.11,299.9,9.31,84.8,6.27,0,0,0,0,0.023
8/1/2018,32:25.5,28.663,741.8,182.4,14.1,299.9,9.31,84.7,6.27,0,0,0,0,0.024
8/1/2018,32:25.8,28.664,741.8,182.4,14.11,299.9,9.31,84.6,6.27,0,0,0,0,0.024
8/1/2018,32:26.0,28.664,741.8,182.5,14.11,299.9,9.31,84.5,6.27,0,0,0,0,0.025
8/1/2018,32:26.3,28.665,741.8,182.6,14.12,300,9.31,84.4,6.27,0,0,0,0,0.025
8/1/2018,32:26.5,28.666,741.8,182.6,14.12,300,9.31,84.3,6.27,0,0,0,0,0.026
8/1/2018,32:26.8,28.667,741.7,182.8,14.13,300,9.31,84.2,6.29,0,0,0,0,0.026
8/1/2018,32:27.0,28.668,741.7,182.9,14.14,300,9.31,84.1,6.3,0,0,0,0,0.026
8/1/2018,32:27.3,28.669,741.7,183,14.15,300,9.31,84.1,6.29,0,0,0,0,0.027
8/1/2018,32:27.5,28.669,741.7,183.1,14.15,300,9.31,84,6.29,0,0,0,0,0.027
8/1/2018,32:27.7,28.67,741.8,183.1,14.16,300,9.32,83.9,6.29,0,0,0,0,0.028
8/1/2018,32:28.0,28.671,741.8,183.2,14.16,300,9.32,83.8,6.3,0,0,0,0,0.029
8/1/2018,32:28.3,28.672,741.8,183.2,14.16,300,9.32,83.8,6.31,0,0,0,0,0.029
8/1/2018,32:28.5,28.672,741.8,183.3,14.17,300,9.32,83.7,6.32,0,0,0,0,0.03
8/1/2018,32:28.7,28.672,741.6,183.3,14.17,300,9.32,83.6,6.33,0,0,0,0,0.031
8/1/2018,32:29.0,28.673,741.6,183.3,14.17,300,9.32,83.6,6.33,0,0,0,0,0.031
8/1/2018,32:29.3,28.673,741.6,183.3,14.17,300,9.32,83.5,6.35,0,0,0,0,0.032
8/1/2018,32:29.5,28.674,741.6,183.4,14.17,300.1,9.32,83.5,6.34,0,0,0,0,0.033
8/1/2018,32:29.8,28.675,741.7,183.4,14.18,300.1,9.32,83.4,6.34,0,0,0,0,0.033
8/1/2018,32:30.0,28.676,741.7,183.4,14.18,300.1,9.32,83.3,6.35,0,0,0,0,0.034
8/1/2018,32:30.3,28.676,741.7,183.4,14.18,300.1,9.32,83.3,6.36,0,0,0,0,0.035
8/1/2018,32:30.5,28.677,741.7,183.5,14.18,300.1,9.32,83.2,6.37,0,0,0,0,0.036
8/1/2018,32:30.7,28.678,741.8,183.5,14.19,300.1,9.32,83.1,6.37,0,0,0,0,0.036
8/1/2018,32:31.0,28.679,741.8,183.6,14.19,300.1,9.32,83.1,6.36,0,0,0,0,0.037
8/1/2018,32:31.2,28.68,741.8,183.6,14.19,300.1,9.32,83,6.36,0,0,0,0,0.038
8/1/2018,32:31.5,28.68,741.8,183.7,14.2,300.1,9.32,82.9,6.36,0,0,0,0,0.038
