Date..MM.DD.YYYY.,Time..HH.mm.ss.,Time..Fract..Sec.,Site.Name,Chlorophyll.RFU,Cond.µS.cm,Depth.m,nLF.Cond.µS.cm,ODO...sat,ODO...CB,ODO.mg.L,ORP.mV,Pressure.psi.a,Sal.psu,SpCond.µS.cm,TAL.PC.RFU,TDS.mg.L,Turbidity.FNU,TSS.mg.L,pH,pH.mV,Temp..C,Vertical.Position.m,GPS.Latitude..,GPS.Longitude..,Altitude.m,Battery.V,Cable.Pwr.V,Barometer.mmHg
8/8/2018,11:15:43,0,185,0,289.6,0.199,277.3,49.6,51.5,3.95,-108.1,0.282,0.13,278.5,0,181,10.18,0,7.74,-54.1,27.073,0.074,40.39861,-94.08649,289.2,2.06,12.1,736.4
8/8/2018,11:15:43,0.25,185,0,289.5,0.187,277.2,50.9,52.9,4.05,-108.2,0.265,0.13,278.4,0,181,10.12,0,7.74,-54.3,27.099,0.081,40.39861,-94.08649,289.2,2.06,12.1,736.4
8/8/2018,11:15:43,0.5,185,0,289.3,0.179,277,53.1,55.2,4.23,-115.6,0.254,0.13,278.2,0,181,10.03,0,7.75,-54.7,27.114,0.093,40.39861,-94.08649,289.2,2.06,12.1,736.4
8/8/2018,11:15:43,0.75,185,0,289.2,0.168,276.7,55.4,57.5,4.4,-116.1,0.239,0.13,277.9,0,181,9.97,0,7.77,-55.7,27.123,0.114,40.39861,-94.08649,289.1,2.06,12.1,736.4
8/8/2018,11:15:44,0,185,0,289,0.165,276.6,57.5,59.7,4.57,-116.5,0.234,0.13,277.8,0,181,9.89,0,7.77,-56.2,27.125,0.121,40.39861,-94.08649,289.1,2.06,12.1,736.4
8/8/2018,11:15:44,0.25,185,0,288.9,0.162,276.4,59.4,61.7,4.72,-117.2,0.23,0.13,277.6,0,180,9.84,0,7.79,-57.3,27.13,0.126,40.39861,-94.08649,289.1,2.06,12.1,736.4
8/8/2018,11:15:44,0.5,185,0,288.7,0.16,276.1,61.6,64,4.89,-117.2,0.227,0.13,277.4,0,180,9.77,0,7.79,-57.3,27.144,0.14,40.39861,-94.08649,289.1,2.06,12.1,736.4
8/8/2018,11:15:44,0.75,185,0,288.6,0.16,276,63.5,65.9,5.04,-117.4,0.226,0.13,277.2,0,180,9.74,0,7.81,-58.4,27.155,0.147,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:45,0,185,0,288.4,0.16,275.8,65.2,67.7,5.18,-118,0.227,0.13,277,0,180,9.7,0,7.82,-58.9,27.157,0.158,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:45,0.25,185,0,288.4,0.163,275.7,65.9,68.5,5.24,-118.3,0.231,0.13,277,0,180,9.66,0,7.92,-64.6,27.157,0.178,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:45,0.5,185,0,288.2,0.164,275.6,67.4,70.1,5.35,-118.5,0.233,0.13,276.8,0,180,9.64,0,7.92,-65.1,27.153,0.186,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:45,0.75,185,0,288.1,0.166,275.5,69.2,71.9,5.5,-118.6,0.235,0.13,276.7,0,180,9.61,0,7.94,-66.2,27.149,0.194,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:46,0,185,0,287.9,0.168,275.4,69.2,71.9,5.5,-119.1,0.238,0.13,276.6,0,180,9.56,0,7.96,-67.2,27.141,0.199,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:46,0.25,185,0,287.8,0.171,275.3,69.7,72.4,5.54,-119.1,0.242,0.13,276.5,0,180,9.51,0,7.96,-67.2,27.133,0.204,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:46,0.5,185,0,287.7,0.172,275.2,73.8,76.7,5.87,-119,0.244,0.13,276.4,0,180,9.49,0,7.97,-67.6,27.129,0.206,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:46,0.75,185,0,287.6,0.173,275.2,75.2,78.1,5.97,-119,0.246,0.13,276.4,0,180,9.46,0,7.98,-68.3,27.122,0.207,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:47,0,185,0,287.4,0.176,275.1,75.8,78.8,6.02,-119,0.249,0.13,276.3,0,180,9.43,0,7.98,-68.6,27.118,0.211,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:47,0.25,185,0,287.4,0.177,275,77.2,80.2,6.14,-119,0.251,0.13,276.2,0,180,9.39,0,7.99,-68.9,27.116,0.213,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:47,0.5,185,0,287.3,0.178,275,78.2,81.3,6.22,-119,0.253,0.13,276.1,0,179,9.34,0,8,-69.5,27.117,0.214,40.39861,-94.08649,289.7,2.06,12.1,736.4
8/8/2018,11:15:47,0.75,185,0,287.2,0.18,274.9,79.3,82.4,6.3,-118.9,0.256,0.13,276.1,0,179,9.33,0,8,-69.8,27.118,0.215,40.39861,-94.08649,289.6,2.06,12.1,736.4
8/8/2018,11:15:48,0,185,0,287.1,0.181,274.8,80.5,83.7,6.4,-118.8,0.257,0.13,276,0,179,9.31,0,8.01,-70.1,27.119,0.215,40.39861,-94.08649,289.6,2.06,12.1,736.4
8/8/2018,11:15:48,0.25,185,0,287.1,0.182,274.7,81.5,84.7,6.48,-118.7,0.258,0.13,275.9,0,179,9.29,0,8.01,-70.4,27.12,0.215,40.39861,-94.08649,289.6,2.06,12.1,736.4
8/8/2018,11:15:48,0.5,185,0,287,0.184,274.6,82.5,85.7,6.56,-118.7,0.261,0.13,275.8,0,179,9.27,0,8.01,-70.4,27.121,0.214,40.39861,-94.08649,289.6,2.06,12.1,736.4
8/8/2018,11:15:48,0.75,185,0,286.9,0.184,274.5,83.3,86.6,6.62,-118.6,0.261,0.13,275.7,0,179,9.26,0,8.01,-70.5,27.123,0.214,40.39861,-94.08649,289.8,2.06,12.1,736.4
8/8/2018,11:15:49,0,185,0,286.9,0.185,274.5,84,87.3,6.68,-118.5,0.263,0.13,275.7,0,179,9.24,0,8.01,-70.6,27.125,0.217,40.39861,-94.08649,289.8,2.06,12.1,736.4
8/8/2018,11:15:49,0.25,185,0,286.8,0.187,274.4,84.6,87.9,6.73,-118.4,0.265,0.13,275.6,0,179,9.23,0,8.02,-70.7,27.127,0.227,40.39861,-94.08649,289.8,2.06,12.1,736.4
8/8/2018,11:15:49,0.5,185,0,286.8,0.191,274.4,85.3,88.6,6.77,-118.3,0.271,0.13,275.6,0,179,9.23,0,8.02,-70.9,27.128,0.26,40.39861,-94.08649,289.8,2.06,12.1,736.4
8/8/2018,11:15:49,0.75,185,0,286.7,0.194,274.3,85.3,88.6,6.77,-118.3,0.275,0.13,275.5,0,179,9.22,0,8.02,-71.1,27.127,0.278,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:50,0,185,0,286.7,0.197,274.3,85.5,88.8,6.79,-118.2,0.279,0.13,275.5,0,179,9.2,0,8.03,-71.2,27.126,0.295,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:50,0.25,185,0,286.6,0.203,274.3,85.9,89.3,6.83,-118.1,0.287,0.13,275.5,0,179,9.19,0,8.03,-71.4,27.124,0.318,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:50,0.5,185,0,286.6,0.206,274.3,86.4,89.8,6.87,-118,0.291,0.13,275.5,0,179,9.17,0,8.04,-71.8,27.123,0.326,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:50,0.75,185,0,286.6,0.208,274.3,86.9,90.3,6.91,-118,0.295,0.13,275.5,0,179,9.15,0,8.04,-72.1,27.121,0.331,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:51,0,185,0,286.6,0.213,274.3,87.2,90.5,6.93,-117.9,0.302,0.13,275.5,0,179,9.13,0,8.04,-72.3,27.119,0.337,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:51,0.25,185,0,286.6,0.216,274.3,90.7,94.2,7.21,-117.8,0.306,0.13,275.5,0,179,9.11,0,8.05,-72.5,27.117,0.34,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:51,0.5,185,0,286.7,0.218,274.3,91.7,95.3,7.29,-117.7,0.309,0.13,275.5,0,179,9.09,0,8.05,-72.9,27.115,0.342,40.39861,-94.08649,289.9,2.06,12.1,736.4
8/8/2018,11:15:51,0.75,185,0,286.7,0.223,274.4,92.5,96.1,7.35,-117.6,0.316,0.13,275.5,0,179,9.08,0,8.06,-73.1,27.114,0.352,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:52,0,185,0,286.7,0.226,274.4,93.1,96.7,7.4,-117.5,0.32,0.13,275.6,0,179,9.07,0,8.06,-73.3,27.113,0.356,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:52,0.25,185,0,286.7,0.228,274.4,93.6,97.2,7.44,-117.5,0.323,0.13,275.6,0,179,8.98,0,8.06,-73.5,27.111,0.362,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:52,0.5,185,0,286.8,0.231,274.5,94.2,97.9,7.49,-117.4,0.327,0.13,275.7,0,179,8.91,0,8.07,-73.8,27.11,0.367,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:52,0.75,185,0,286.8,0.236,274.5,94.8,98.5,7.53,-117.2,0.334,0.13,275.7,0,179,8.82,0,8.07,-73.9,27.109,0.383,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:53,0,185,0,286.8,0.238,274.5,95.1,98.8,7.56,-117.1,0.338,0.13,275.7,0,179,8.77,0,8.07,-74.1,27.108,0.392,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:53,0.25,185,0,286.9,0.241,274.6,95.6,99.3,7.6,-117.1,0.341,0.13,275.8,0,179,8.7,0,8.08,-74.2,27.107,0.397,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:53,0.5,185,0,286.9,0.246,274.6,95.9,99.6,7.62,-117,0.349,0.13,275.8,0,179,8.66,0,8.08,-74.5,27.105,0.405,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:53,0.75,185,0,286.9,0.248,274.6,96.3,100.1,7.66,-116.8,0.352,0.13,275.8,0,179,8.61,0,8.08,-74.6,27.104,0.408,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:54,0,185,0,286.9,0.251,274.7,96.7,100.5,7.69,-116.7,0.356,0.13,275.9,0,179,8.58,0,8.09,-74.8,27.102,0.411,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:54,0.25,185,0,287,0.256,274.7,97,100.7,7.71,-116.6,0.362,0.13,275.9,0,179,8.55,0,8.09,-75.3,27.101,0.414,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:54,0.5,185,0,287,0.258,274.8,97,100.7,7.71,-116.6,0.366,0.13,275.9,0,179,8.51,0,8.09,-75.3,27.099,0.416,40.39861,-94.08649,289.8,2.06,12.1,736.3
8/8/2018,11:15:54,0.75,185,0,287,0.26,274.8,97,100.8,7.71,-116.4,0.369,0.13,276,0,179,8.49,0,8.1,-75.4,27.099,0.418,40.39861,-94.08649,289.6,2.06,12.1,736.3
8/8/2018,11:15:55,0,185,0,287.1,0.265,274.8,97.2,101,7.73,-116.3,0.375,0.13,276,0,179,8.46,0,8.1,-75.5,27.098,0.424,40.39861,-94.08649,289.6,2.06,12.1,736.3
