Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
9/11/2018,16:07:10,0,185,0.68,2.77,241.8,-0.149,254.7,76.6,76.6,6.62,267.4,-0.212,0.12,253.5,0.38,0.35,165,22.87,0,7.64,-117.7,22.569,-0.295,40.3988,-94.08698,287.4,2.04,12.1,736.4
9/11/2018,16:07:10,0.25,185,0.74,3.01,241.7,-0.155,254.7,75.6,75.6,6.54,267.6,-0.221,0.12,253.5,0.38,0.35,165,22.88,0,7.64,-117.5,22.561,-0.289,40.3988,-94.08698,287.5,2.04,12.1,736.4
9/11/2018,16:07:10,0.5,185,0.74,3.01,241.7,-0.155,254.7,75.6,75.6,6.54,267.6,-0.221,0.12,253.5,0.38,0.35,165,22.88,0,7.64,-117.5,22.561,-0.289,40.3988,-94.08698,287.5,2.04,12.1,736.4
9/11/2018,16:07:10,0.75,185,0.75,3.06,241.7,-0.157,254.7,75.6,75.6,6.53,267.7,-0.223,0.12,253.5,0.39,0.36,165,22.79,0,7.64,-117.4,22.559,-0.288,40.39879,-94.08698,287.5,2.04,12.1,736.2
9/11/2018,16:07:11,0,185,0.76,3.11,241.7,-0.159,254.7,75.2,75.2,6.5,267.7,-0.225,0.12,253.5,0.39,0.36,165,22.76,0,7.63,-117.4,22.558,-0.288,40.39879,-94.08698,287.5,2.04,12.1,736.2
9/11/2018,16:07:11,0.25,185,0.79,3.23,241.7,-0.162,254.7,74.8,74.8,6.47,267.8,-0.229,0.12,253.5,0.39,0.36,165,22.67,0,7.63,-117.3,22.556,-0.284,40.39879,-94.08698,287.5,2.04,12.1,736.2
9/11/2018,16:07:11,0.5,185,0.81,3.32,241.7,-0.163,254.7,74.6,74.6,6.45,267.9,-0.232,0.12,253.5,0.39,0.36,165,22.63,0,7.63,-117.3,22.556,-0.284,40.39879,-94.08698,287.5,2.04,12.1,736.2
9/11/2018,16:07:11,0.75,185,0.83,3.39,241.6,-0.165,254.6,74.4,74.4,6.43,267.9,-0.234,0.12,253.5,0.38,0.36,165,22.64,0,7.63,-117.2,22.555,-0.281,40.39879,-94.08698,287.5,2.04,12.1,736.3
9/11/2018,16:07:12,0,185,0.85,3.45,241.6,-0.166,254.6,74.2,74.2,6.41,267.9,-0.236,0.12,253.5,0.39,0.36,165,22.63,0,7.63,-117.2,22.555,-0.28,40.39879,-94.08698,287.4,2.04,12.1,736.3
9/11/2018,16:07:12,0.25,185,0.88,3.59,241.6,-0.169,254.6,73.9,73.9,6.39,268,-0.24,0.12,253.5,0.39,0.36,165,22.55,0,7.63,-117.1,22.555,-0.275,40.39879,-94.08698,287.4,2.04,12.1,736.3
