Date,Time,Temp,mmHg,DO %,DO mg/L,SPC-uS/cm,pH,NH4-N mg/L,NO3-N mg/L,Cl mg/L,FNU,TSS mg/L,BGA-PC RFU,BGA-PC ug/L,BGA-PE RFU,BGA-PE ug/L,Chl RFU,Chl ug/L,fDOM RFU,fDOM QSU,DEP m
2/15/2018,11:35:26,4.715,733.3,102.9,13.22,351.1,8.28,,,,-859.55,0,0.168,0.17,,,2.41,9.04,,,0.018
2/15/2018,11:35:27,4.717,733.3,103.2,13.26,351.1,8.29,,,,-859.55,0,0.156,0.16,,,2.422,9.09,,,0.02
2/15/2018,11:35:28,4.716,733.3,103.5,13.3,351.1,8.29,,,,-859.56,0,0.148,0.15,,,2.434,9.13,,,0.022
2/15/2018,11:35:29,4.712,733.4,103.8,13.34,351.1,8.3,,,,-859.57,0,0.122,0.12,,,2.442,9.16,,,0.024
2/15/2018,11:35:30,4.71,733.4,107.3,13.79,351.1,8.3,,,,-859.57,0,0.114,0.11,,,2.448,9.18,,,0.027
2/15/2018,11:35:31,4.708,733.4,107.5,13.81,351.1,8.3,,,,-859.61,0,0.104,0.1,,,2.465,9.25,,,0.029
2/15/2018,11:35:32,4.705,733.4,107.9,13.87,351.1,8.3,,,,-859.62,0,0.102,0.1,,,2.493,9.35,,,0.032
2/15/2018,11:35:33,4.701,733.4,108.1,13.9,351.1,8.3,,,,-859.64,0,0.101,0.1,,,2.509,9.41,,,0.035
2/15/2018,11:35:34,4.697,733.4,108.3,13.92,351.1,8.31,,,,-859.66,0,0.092,0.09,,,2.542,9.54,,,0.038
2/15/2018,11:35:35,4.694,733.4,108.5,13.95,351.1,8.31,,,,-859.66,0,0.092,0.09,,,2.579,9.67,,,0.042
2/15/2018,11:35:36,4.692,733.4,108.6,13.97,351.1,8.31,,,,-859.67,0,0.081,0.08,,,2.612,9.8,,,0.045
2/15/2018,11:35:37,4.69,733.4,108.8,13.99,351.1,8.31,,,,-859.67,0,0.084,0.08,,,2.659,9.97,,,0.049
2/15/2018,11:35:38,4.687,733.3,108.9,14.01,351.1,8.31,,,,-859.66,0,0.097,0.1,,,2.708,10.16,,,0.053
2/15/2018,11:35:39,4.683,733.4,109,14.02,351,8.31,,,,-859.65,0,0.107,0.11,,,2.757,10.34,,,0.057
2/15/2018,11:35:40,4.678,733.3,109.2,14.04,351,8.32,,,,-859.65,0,0.113,0.11,,,2.805,10.52,,,0.062
2/15/2018,11:35:41,4.675,733.4,109.3,14.06,351,8.32,,,,-859.66,0,0.123,0.12,,,2.851,10.69,,,0.066
2/15/2018,11:35:42,4.674,733.4,109.4,14.07,350.9,8.32,,,,-859.66,0,0.136,0.14,,,2.889,10.83,,,0.07
2/15/2018,11:35:43,4.674,733.3,109.5,14.08,350.9,8.32,,,,-859.65,0,0.14,0.14,,,2.93,10.99,,,0.074
2/15/2018,11:35:44,4.672,733.4,109.6,14.1,350.9,8.32,,,,-859.65,0,0.148,0.15,,,2.977,11.16,,,0.078
