Date,Time,°C,mmHg,DO %,DO mg/L,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
7/27/2018,9:41:57,26.26,748,92.9,7.51,7.37,260.7,14.22,2.353,2.37,0.678,2.8,0.001
7/27/2018,9:41:58,26.233,748,90.2,7.29,7.37,261.2,14.25,2.411,2.42,0.764,3.15,0.001
7/27/2018,9:41:59,26.239,747.9,84.9,6.85,7.36,262,14.28,2.427,2.44,0.878,3.62,0.001
7/27/2018,9:42:00,26.227,747.9,81.8,6.61,7.36,262.8,14.34,2.432,2.45,1.462,6,0.002
7/27/2018,9:42:01,26.215,748.1,79.7,6.44,7.35,263.5,14.46,2.462,2.48,1.419,5.83,0.002
7/27/2018,9:42:02,26.214,748.1,78.3,6.33,7.35,264,14.49,2.453,2.47,1.704,6.99,0
7/27/2018,9:42:03,26.219,747.9,77.3,6.25,7.34,264.4,14.63,2.459,2.47,1.569,6.44,0
7/27/2018,9:42:04,26.223,747.9,76.2,6.16,7.34,264.9,14.81,2.47,2.48,1.54,6.32,0.002
7/27/2018,9:42:05,26.224,748,75.4,6.09,7.33,265.2,14.77,2.48,2.49,1.495,6.14,0.002
7/27/2018,9:42:06,26.222,748,74.6,6.03,7.33,265.6,14.7,2.486,2.5,1.482,6.08,0.001
7/27/2018,9:42:07,26.222,748.1,70.8,5.72,7.32,265.9,14.7,2.522,2.54,1.489,6.11,0.001
7/27/2018,9:42:08,26.222,748.1,69.9,5.65,7.32,266.2,14.65,2.602,2.62,1.49,6.12,0
7/27/2018,9:42:09,26.222,748,69.2,5.59,7.32,266.4,14.71,2.682,2.7,1.509,6.19,0
7/27/2018,9:42:10,26.221,748,68.6,5.55,7.32,266.6,14.69,2.758,2.77,1.514,6.22,0.001
7/27/2018,9:42:11,26.221,748.1,68.3,5.52,7.32,266.8,14.63,2.79,2.81,1.523,6.25,0.001
7/27/2018,9:42:12,26.22,747.9,68,5.49,7.32,266.9,14.67,2.819,2.84,1.542,6.33,0
