Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,149,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.55,,,,,,,,,,,
ODO,1, 18D104460,3.0.0,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 17E101062,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
9/7/2018,41:10.0,25.602,742.4,40.1,3.27,134.6,7.97,-161.4,7.65,1.452,1.45,2.148,8.59,0
9/7/2018,41:10.2,25.619,742.4,42.8,3.5,174.1,7.99,-154.9,8.41,1.541,1.54,10.316,41.26,0
9/7/2018,41:10.5,25.642,742.4,43.6,3.56,180.7,8.13,-152.8,8,1.629,1.63,13.378,53.51,0
9/7/2018,41:10.8,25.664,742.4,43.8,3.58,183.9,8.16,-150.2,7.82,1.672,1.67,13.416,53.66,0
9/7/2018,41:11.0,25.683,742.4,44.6,3.64,184.9,8.17,-146,7.84,1.712,1.71,13.407,53.63,0
9/7/2018,41:11.2,25.699,742.4,49,4,186,8.18,-143.2,7.31,1.756,1.76,13.4,53.6,0
9/7/2018,41:11.5,25.712,742.4,50.3,4.11,186.6,8.19,-140.9,8.39,1.843,1.84,13.413,53.65,0
9/7/2018,41:11.8,25.723,742.4,51.6,4.2,186.8,8.19,-138.2,6.91,1.888,1.89,13.383,53.53,0
9/7/2018,41:12.0,25.723,742.4,51.6,4.2,186.8,8.19,-138.2,6.91,1.888,1.89,13.383,53.53,0
9/7/2018,41:12.2,25.736,742.4,53.3,4.35,187.3,8.2,-132.8,6.68,1.972,1.97,11.974,47.9,0
9/7/2018,41:12.5,25.743,742.4,54.5,4.44,187.3,8.21,-132.8,6.78,2.055,2.06,12.407,49.63,0
9/7/2018,41:12.8,25.749,742.4,55.5,4.53,187.3,8.22,-132.8,6.87,2.099,2.1,12.765,51.06,0.003
9/7/2018,41:13.0,25.749,742.4,55.5,4.53,187.3,8.22,-132.8,6.87,2.099,2.1,12.765,51.06,0.003
9/7/2018,41:13.3,25.754,742.4,56.6,4.61,187.3,8.23,-131.3,7.05,2.143,2.14,13.023,52.09,0.01
9/7/2018,41:13.5,25.763,742.4,58.5,4.77,187.3,8.24,-128.9,7.3,2.266,2.27,12.503,50.01,0.023
9/7/2018,41:13.7,25.766,742.4,59.5,4.85,187.3,8.24,-115.2,7.33,2.309,2.31,11.778,47.11,0.036
9/7/2018,41:14.0,25.769,742.4,60.4,4.92,187.3,8.24,-113.2,7.42,2.353,2.35,12.113,48.45,0.043
9/7/2018,41:14.3,25.771,742.4,60.4,4.92,187.3,8.24,-111.4,7.49,2.397,2.4,12.51,50.04,0.051
9/7/2018,41:14.5,25.771,742.4,60.4,4.92,187.3,8.24,-111.4,7.49,2.397,2.4,12.51,50.04,0.051
9/7/2018,41:14.8,25.777,742.4,60.8,4.95,187.3,8.25,-105.6,7.44,2.523,2.52,12.208,48.83,0.073
9/7/2018,41:15.0,25.779,742.4,61.2,4.98,187.3,8.25,-103.7,7.46,2.565,2.56,12.077,48.31,0.081
9/7/2018,41:15.3,25.782,742.4,61.6,5.01,187.3,8.25,-101.8,7.49,2.606,2.61,12.438,49.75,0.096
9/7/2018,41:15.5,25.782,742.4,61.6,5.01,187.3,8.25,-101.8,7.49,2.606,2.61,12.438,49.75,0.096
9/7/2018,41:15.8,25.786,742.4,65.5,5.33,187.3,8.26,-96.3,7.47,2.728,2.73,11.167,44.67,0.104
9/7/2018,41:16.0,25.788,742.4,66.2,5.39,187.3,8.26,-94.8,7.48,2.765,2.76,11.686,46.74,0.13
9/7/2018,41:16.3,25.789,742.4,66.5,5.42,187.3,8.27,-92.9,7.49,2.806,2.81,11.495,45.98,0.139
9/7/2018,41:16.5,25.791,742.4,67.1,5.46,187.3,8.27,-91.3,7.49,2.885,2.89,11.789,47.16,0.15
9/7/2018,41:16.8,25.793,742.4,67.8,5.52,187.3,8.27,-87.8,7.51,2.925,2.93,12.466,49.86,0.16
9/7/2018,41:17.0,25.795,742.4,68.3,5.56,187.3,8.27,-87.8,7.5,2.966,2.97,11.918,47.67,0.181
9/7/2018,41:17.2,25.796,742.4,68.9,5.61,187.3,8.27,-87.8,7.55,3.006,3.01,12.142,48.57,0.191
9/7/2018,41:17.5,25.798,742.4,69.5,5.66,187.3,8.27,-87.3,7.53,3.081,3.08,12.144,48.58,0.201
9/7/2018,41:17.8,25.799,742.4,70,5.7,187.3,8.28,-85.9,7.52,3.119,3.12,11.639,46.56,0.221
9/7/2018,41:18.0,25.8,742.3,70.4,5.73,187.3,8.28,-84.9,7.51,3.155,3.15,11.706,46.83,0.221
9/7/2018,41:18.3,25.8,742.3,70.4,5.73,187.3,8.28,-84.9,7.51,3.155,3.15,11.706,46.83,0.221
9/7/2018,41:18.5,25.802,742.3,71.1,5.79,187.3,8.28,-83,7.46,3.278,3.28,13.207,52.83,0.242
9/7/2018,41:18.8,25.804,742.3,71.5,5.82,187.3,8.28,-72.3,7.46,3.314,3.31,12.669,50.68,0.275
