Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
9/21/2018,13:15:08,19.638,746.7,96.9,8.87,4.5,7.99,314.7,8.06,3.202,3.24,0.228,0.91,0.001
9/21/2018,13:15:09,19.633,746.7,96.9,8.88,4.5,8,314.4,8.02,3.233,3.27,0.236,0.94,0.002
9/21/2018,13:15:10,19.631,746.7,97,8.88,4.5,8,314.2,7.96,3.265,3.3,0.235,0.94,0.002
9/21/2018,13:15:11,25.921,746.6,114,10.45,6.8,9.87,187.9,8.1,3.247,3.28,0.319,1.26,0.002
9/21/2018,13:15:12,26.571,746.7,104.2,8.39,178.3,9.42,217.5,8.11,3.219,3.26,0.611,2.37,0.003
9/21/2018,13:15:13,26.534,746.6,103.5,8.31,176.2,9.25,228.7,8.18,3.18,3.22,3.419,13.1,0.004
9/21/2018,13:15:14,26.511,746.7,103.6,8.33,174.8,9.21,230.3,8.27,3.152,3.19,3.858,14.77,0.009
9/21/2018,13:15:15,26.563,746.7,103.8,8.34,174,9.21,230.1,8.33,3.099,3.13,3.918,15,0.014
9/21/2018,13:15:16,26.6,746.6,103.8,8.33,173.9,9.19,231.2,8.38,3.064,3.1,4.213,16.13,0.021
9/21/2018,13:15:17,26.617,746.7,103.8,8.33,173.6,9.16,232.3,8.33,3.036,3.07,4.213,16.13,0.03
9/21/2018,13:15:18,26.629,746.8,103.8,8.32,173.5,9.15,233,8.42,3.002,3.04,4.362,16.7,0.038
9/21/2018,13:15:19,26.638,746.6,103.8,8.32,173.4,9.14,233.5,8.58,2.94,2.97,4.509,17.26,0.054
9/21/2018,13:15:20,26.644,746.6,103.7,8.32,173.3,9.13,233.8,8.8,2.889,2.92,4.586,17.55,0.066
9/21/2018,13:15:21,26.649,746.6,103.7,8.31,173.3,9.12,233.9,8.96,2.848,2.88,4.679,17.91,0.077
9/21/2018,13:15:22,26.656,746.7,103.7,8.31,173.3,9.12,234,9.13,2.801,2.83,5.566,21.3,0.088
9/21/2018,13:15:23,26.661,746.7,103.6,8.3,173.3,9.11,234.1,9.33,2.765,2.8,5.37,20.55,0.106
9/21/2018,13:15:24,26.666,746.8,103.6,8.3,173.3,9.11,234.2,9.55,2.713,2.74,5.573,21.33,0.122
9/21/2018,13:15:25,26.67,746.7,103.6,8.3,173.3,9.11,234.2,9.64,2.664,2.69,5.513,21.1,0.969
9/21/2018,13:15:26,26.674,746.7,103.5,8.29,173.3,9.1,234.3,9.63,2.608,2.64,5.526,21.14,1.079
9/21/2018,13:15:27,26.678,746.8,103.5,8.29,173.3,9.1,234.3,9.62,2.556,2.59,5.526,21.15,1.301
