Unit ID:,1,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,PFC,,,,,,,,,,,,,
Log Interval:,0.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17F105819,1.0.18,,,,,,,,,,,
5P Sonde,4, 17G100162,1.0.35,,,,,,,,,,,
CT,1, 17F102078,3.0.5,,,,,,,,,,,
ODO,1, 17D108766,3.0.0,,,,,,,,,,,
TAL-PC,1, 18E100678,3.0.0,,,,,,,,,,,
pH/ORP,1, 18E103391,3.0.0,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
Depth,2, 17F104892,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
8/3/2018,09:51.0,28.415,741.5,99,7.69,89.7,8.55,121.6,8.6,0,0,0,0,0.001
8/3/2018,09:51.2,28.376,741.5,100.6,7.81,88.2,8.54,120.5,8.32,0,0,0,0,0.005
8/3/2018,09:51.5,28.352,741.5,102.4,7.96,87.7,8.53,120.5,8.21,0,0,0,0,0.006
8/3/2018,09:51.7,28.33,741.5,103.3,8.03,87.3,8.53,120.2,8.21,0,0,0,0,0.009
8/3/2018,09:52.0,28.309,741.5,103.8,8.07,87.3,8.53,120.1,8.02,0,0,0,0,0.01
8/3/2018,09:52.3,28.291,741.5,103.9,8.08,87.3,8.53,120.1,7.96,0,0,0,0,0.012
8/3/2018,09:52.5,28.291,741.5,103.9,8.08,87.3,8.53,120.1,7.96,0,0,0,0,0.012
8/3/2018,09:52.8,28.26,741.5,104.7,8.16,87.3,8.52,120.1,7.87,0,0,0,0,0.015
8/3/2018,09:53.0,28.252,741.5,105.4,8.21,87.2,8.52,120.1,7.55,0,0,0,0,0.017
8/3/2018,09:53.3,28.233,741.5,105.9,8.25,87.1,8.52,120.1,7.34,0,0,0,0,0.018
8/3/2018,09:53.5,28.233,741.5,105.9,8.25,87.1,8.52,120.1,7.34,0,0,0,0,0.018
8/3/2018,09:53.7,28.19,741.5,106.9,8.33,86.9,8.51,120.2,7.2,0,0,0,0,0.022
8/3/2018,09:54.0,28.169,741.5,107.2,8.36,86.9,8.51,120.2,7,0,0,0,0,0.023
8/3/2018,09:54.3,28.169,741.5,107.2,8.36,86.9,8.51,120.2,7,0,0,0,0,0.023
8/3/2018,09:54.5,28.148,741.5,107.6,8.39,86.8,8.51,120.2,6.75,0,0,0,0,0.025
8/3/2018,09:54.8,28.128,741.5,108,8.43,86.7,8.51,120.2,6.58,0,0,0,0,0.026
8/3/2018,09:55.0,28.096,741.5,108.7,8.49,86.5,8.5,120.2,6.34,0,0,0,0,0.03
8/3/2018,09:55.2,28.096,741.4,108.7,8.49,86.5,8.5,120.2,6.34,0,0,0,0,0.03
8/3/2018,09:55.5,28.075,741.4,109,8.51,86.4,8.5,120.2,6.25,0,0,0,0,0.031
8/3/2018,09:55.8,28.053,741.4,109.2,8.54,86.3,8.5,120.2,6.1,0,0,0,0,0.032
8/3/2018,09:56.0,28.011,741.4,113.5,8.88,86.2,8.5,120.2,6.01,0,0,0,0,0.035
8/3/2018,09:56.3,28.011,741.5,113.5,8.88,86.2,8.5,120.2,6.01,0,0,0,0,0.035
8/3/2018,09:56.5,27.992,741.5,113.4,8.87,86.1,8.5,120.2,5.75,0,0,0,0,0.036
8/3/2018,09:56.8,27.973,741.5,113.8,8.91,86,8.5,120.3,5.6,0,0,0,0,0.037
8/3/2018,09:57.0,27.955,741.5,113.8,8.91,85.9,8.49,120.3,5.6,0,0,0,0,0.039
8/3/2018,09:57.3,27.937,741.5,114.3,8.95,85.7,8.49,120.3,5.45,0,0,0,0,0.04
8/3/2018,09:57.5,27.929,741.5,114.9,9,85.6,8.49,120.3,5.2,0,0,0,0,0.041
8/3/2018,09:57.7,27.91,741.5,114.6,8.98,85.4,8.49,120.4,5.11,0,0,0,0,0.043
8/3/2018,09:58.0,27.889,741.5,115.2,9.03,85.2,8.49,120.4,5.11,0,0,0,0,0.044
8/3/2018,09:58.3,27.868,741.5,115.4,9.05,85,8.49,120.4,4.96,0,0,0,0,0.046
8/3/2018,09:58.5,27.824,741.5,115.7,9.08,84.7,8.49,120.5,4.62,0,0,0,0,0.048
8/3/2018,09:58.7,27.824,741.5,115.7,9.08,84.7,8.49,120.5,4.62,0,0,0,0,0.048
8/3/2018,09:59.0,27.801,741.5,116,9.11,84.5,8.48,120.5,4.47,0,0,0,0,0.049
8/3/2018,09:59.3,27.777,741.5,116,9.11,84.3,8.48,120.5,4.47,0,0,0,0,0.051
8/3/2018,09:59.5,27.763,741.5,116.2,9.13,84.1,8.48,120.5,4.23,0,0,0,0,0.053
8/3/2018,09:59.8,27.736,741.5,116.4,9.14,83.9,8.48,120.5,4.08,0,0,0,0,0.054
8/3/2018,10:00.0,27.707,741.5,116.6,9.16,83.8,8.48,120.6,4.08,0,0,0,0,0.055
8/3/2018,10:00.3,27.678,741.5,116.7,9.17,83.6,8.48,120.6,3.83,0,0,0,0,0.058
8/3/2018,10:00.5,27.648,741.5,116.8,9.19,83.5,8.48,120.6,3.75,0,0,0,0,0.059
8/3/2018,10:00.7,27.617,741.5,117,9.21,83.3,8.47,120.6,3.61,0,0,0,0,0.061
8/3/2018,10:01.0,27.587,741.5,117.1,9.23,83.2,8.47,120.6,3.52,0,0,0,0,0.063
8/3/2018,10:01.2,27.556,741.5,117.3,9.24,83,8.47,120.7,3.37,0,0,0,0,0.064
8/3/2018,10:01.5,27.527,741.5,117.5,9.26,82.9,8.47,120.7,3.37,0,0,0,0,0.066
8/3/2018,10:01.8,27.513,741.5,117.7,9.28,82.7,8.47,120.7,3.11,0,0,0,0,0.068
8/3/2018,10:02.0,27.486,741.5,117.8,9.3,82.6,8.47,120.7,3.11,0,0,0,0,0.07
8/3/2018,10:02.3,27.435,741.5,118.1,9.33,82.4,8.47,120.7,2.82,0,0,0,0,0.074
8/3/2018,10:02.5,27.435,741.5,118.1,9.33,82.4,8.47,120.7,2.82,0,0,0,0,0.074
8/3/2018,10:02.8,27.412,741.5,118.2,9.34,82.3,8.47,120.8,2.41,0,0,0,0,0.075
8/3/2018,10:03.0,27.392,741.5,118.4,9.36,82.2,8.46,120.8,2.2,0,0,0,0,0.076
8/3/2018,10:03.2,27.356,741.5,118.7,9.39,82,8.46,120.8,2.05,0,0,0,0,0.08
8/3/2018,10:03.5,27.356,741.5,118.7,9.39,82,8.46,120.8,2.05,0,0,0,0,0.08
8/3/2018,10:03.8,27.349,741.5,118.8,9.4,81.9,8.46,120.8,1.65,0,0,0,0,0.081
8/3/2018,10:04.0,27.333,741.5,118.9,9.41,81.8,8.46,120.8,1.65,0,0,0,0,0.082
8/3/2018,10:04.3,27.321,741.4,119,9.42,81.7,8.46,120.8,1.52,0,0,0,0,0.085
8/3/2018,10:04.5,27.313,741.4,119.1,9.43,81.6,8.46,120.9,1.52,0,0,0,0,0.086
8/3/2018,10:04.7,27.302,741.4,119.2,9.44,81.5,8.46,120.9,1.42,0,0,0,0,0.087
8/3/2018,10:05.0,27.29,741.4,119.3,9.45,81.4,8.45,120.9,1.38,0,0,0,0,0.09
8/3/2018,10:05.3,27.262,741.5,119.5,9.47,81.3,8.45,120.9,1.32,0,0,0,0,0.092
8/3/2018,10:05.5,27.262,741.5,119.5,9.47,81.3,8.45,120.9,1.32,0,0,0,0,0.092
8/3/2018,10:05.8,27.254,741.5,119.6,9.48,81.1,8.45,120.9,1.31,0,0,0,0,0.095
8/3/2018,10:06.0,27.238,741.5,119.7,9.49,80.9,8.45,121,1.31,0,0,0,0,0.096
8/3/2018,10:06.3,27.223,741.4,119.8,9.5,80.7,8.45,121,1.25,0,0,0,0,0.097
8/3/2018,10:06.5,27.211,741.4,119.9,9.51,80.5,8.45,121,1.25,0,0,0,0,0.099
8/3/2018,10:06.8,27.201,741.4,119.9,9.52,80.4,8.45,121,1.17,0,0,0,0,0.101
8/3/2018,10:07.0,27.191,741.4,120,9.53,80.2,8.45,121,1.15,0,0,0,0,0.102
8/3/2018,10:07.2,27.174,741.5,120.2,9.54,79.9,8.44,121,1.1,0,0,0,0,0.106
8/3/2018,10:07.5,27.174,741.5,120.2,9.54,79.9,8.44,121,1.1,0,0,0,0,0.106
8/3/2018,10:07.8,27.165,741.5,120.3,9.55,79.7,8.44,121.1,1.08,0,0,0,0,0.107
8/3/2018,10:08.0,27.16,741.5,120.3,9.56,79.5,8.44,121.1,1.08,0,0,0,0,0.109
8/3/2018,10:08.2,27.145,741.5,120.4,9.57,79.2,8.44,121.1,1.04,0,0,0,0,0.112
8/3/2018,10:08.5,27.145,741.5,120.4,9.57,79.2,8.44,121.1,1.04,0,0,0,0,0.112
8/3/2018,10:08.8,27.137,741.5,120.5,9.57,79,8.44,121.1,1.04,0,0,0,0,0.114
8/3/2018,10:09.0,27.129,741.5,120.5,9.58,78.9,8.44,121.1,1.01,0,0,0,0,0.116
8/3/2018,10:09.3,27.122,741.5,120.6,9.58,78.7,8.44,121.1,1,0,0,0,0,0.117
8/3/2018,10:09.5,27.114,741.5,120.6,9.59,78.6,8.44,121.1,0.99,0,0,0,0,0.118
8/3/2018,10:09.8,27.108,741.5,120.7,9.59,78.4,8.44,121.2,0.98,0,0,0,0,0.12
8/3/2018,10:10.0,27.105,741.5,120.7,9.6,78.3,8.44,121.2,0.98,0,0,0,0,0.122
8/3/2018,10:10.2,27.099,741.5,120.8,9.6,78.1,8.44,121.2,0.98,0,0,0,0,0.123
8/3/2018,10:10.5,27.092,741.5,120.8,9.61,78,8.43,121.2,0.96,0,0,0,0,0.124
