Date..MM.DD.YYYY.,Time..HH.mm.ss.,Time..Fract..Sec.,Site.Name,Chlorophyll.RFU,Chlorophyll.ug.L,Cond.µS.cm,Depth.m,nLF.Cond.µS.cm,ODO...sat,ODO...local,ODO.mg.L,ORP.mV,Pressure.psi.a,Sal.psu,SpCond.µS.cm,TAL.PC.RFU,TAL.PC.ug.L,TDS.mg.L,Turbidity.FNU,TSS.mg.L,pH,pH.mV,Temp..C,Vertical.Position.m,GPS.Latitude..,GPS.Longitude..,Altitude.m,Battery.V,Cable.Pwr.V,Barometer.mmHg
6/26/2019,8:40:53,0,LLMID,17.12,69.65,146,0,142.2,136.9,136.9,11.05,241.6,-0.001,0.07,142.6,2.73,2.76,93,5.27,0,8.93,-152.3,26.251,0.005,37.48294,-94.25256,286.7,0,12,740.6
6/26/2019,8:40:54,0,LLMID,17.31,70.41,146,0.016,142.3,136.9,136.9,11.05,240.9,0.022,0.07,142.6,2.76,2.8,93,5.53,0,8.93,-152.5,26.25,0.024,37.48294,-94.25256,286.5,0,12,740.5
6/26/2019,8:40:55,0,LLMID,17.18,69.89,146.1,0.034,142.3,136.9,136.9,11.06,240.3,0.048,0.07,142.6,2.72,2.75,93,5.7,0,8.94,-152.7,26.25,0.038,37.48294,-94.25256,286.5,0,12,740.6
6/26/2019,8:40:56,0,LLMID,17.12,69.66,146.1,0.044,142.3,136.9,136.9,11.06,239.6,0.063,0.07,142.7,2.68,2.71,93,5.22,0,8.94,-152.9,26.251,0.054,37.48294,-94.25256,286.8,0,12,740.5
6/26/2019,8:40:57,0,LLMID,17.24,70.12,146.1,0.074,142.3,137,137,11.06,239.1,0.105,0.07,142.7,2.7,2.73,93,5.21,0,8.94,-153,26.25,0.09,37.48294,-94.25256,286.8,0,12,740.6
6/26/2019,8:40:58,0,LLMID,17.45,71,146.1,0.111,142.3,137,137,11.06,238.5,0.157,0.07,142.7,2.71,2.75,93,5.17,0,8.94,-153.1,26.249,0.118,37.48294,-94.25256,287,0,12,740.6
6/26/2019,8:40:59,0,LLMID,17.74,72.19,146,0.131,142.3,137,137,11.07,238.1,0.186,0.07,142.6,2.69,2.72,93,4.94,0,8.95,-153.2,26.246,0.14,37.48294,-94.25256,287,0,12,740.6
6/26/2019,8:41:00,0,LLMID,17.81,72.47,146,0.152,142.3,137,137,11.07,237.6,0.215,0.07,142.6,2.75,2.78,93,4.94,0,8.95,-153.3,26.245,0.159,37.48294,-94.25256,287,0,12,740.6
6/26/2019,8:41:01,0,LLMID,17.52,71.26,146.1,0.179,142.3,137.1,137.1,11.07,237.2,0.254,0.07,142.7,2.66,2.69,93,5.23,0,8.95,-153.5,26.246,0.19,37.48294,-94.25256,287,0,12,740.5
6/26/2019,8:41:02,0,LLMID,16.98,69.05,146.1,0.198,142.4,137.2,137.2,11.08,236.8,0.281,0.07,142.7,2.47,2.5,93,5.19,0,8.95,-153.7,26.248,0.2,37.48294,-94.25256,287,0,12,740.6
