Date..MM.DD.YYYY.,Time..HH.mm.ss.,Time..Fract..Sec.,Site.Name,Chlorophyll.RFU,Chlorophyll.ug.L,Cond.µS.cm,Depth.m,nLF.Cond.µS.cm,ODO...sat,ODO...local,ODO.mg.L,ORP.mV,Pressure.psi.a,Sal.psu,SpCond.µS.cm,TAL.PC.RFU,TAL.PC.ug.L,TDS.mg.L,Turbidity.FNU,TSS.mg.L,pH,pH.mV,Temp..C,Vertical.Position.m,GPS.Latitude..,GPS.Longitude..,Altitude.m,Battery.V,Cable.Pwr.V,Barometer.mmHg
6/26/2019,9:32:38,0,LLNORTH,8.52,34.61,161.4,0.008,156.1,99.3,99.3,7.97,223.7,0.012,0.07,156.6,1.67,1.68,102,11.75,0,8.22,-110.5,26.605,0.024,37.48649,-94.25069,287,0,12,741.5
6/26/2019,9:32:39,0,LLNORTH,8.47,34.39,161.5,0.054,156.2,99.3,99.3,7.96,223.9,0.076,0.07,156.7,1.79,1.8,102,11.82,0,8.22,-110.4,26.609,0.057,37.48649,-94.25069,287.5,0,12,741.5
6/26/2019,9:32:40,0,LLNORTH,8.25,33.52,161.7,0.069,156.3,99.2,99.2,7.95,223.9,0.098,0.07,156.8,1.76,1.78,102,11.55,0,8.22,-110.4,26.615,0.08,37.48649,-94.25069,287.5,0,12,741.5
6/26/2019,9:32:41,0,LLNORTH,8.83,35.87,161.7,0.093,156.4,99.1,99.1,7.95,223.9,0.132,0.07,156.9,1.72,1.73,102,11.54,0,8.22,-110.4,26.613,0.1,37.48649,-94.25069,287.9,0,12,741.5
6/26/2019,9:32:42,0,LLNORTH,8.73,35.46,161.7,0.119,156.4,99,99,7.94,224,0.168,0.07,156.9,1.74,1.76,102,11.84,0,8.22,-110.4,26.612,0.134,37.48649,-94.25069,287.8,0,12,741.5
6/26/2019,9:32:43,0,LLNORTH,8.09,32.87,161.7,0.151,156.4,99,99,7.94,224.2,0.214,0.07,156.9,1.7,1.71,102,12.23,0,8.22,-110.3,26.613,0.154,37.48649,-94.25069,288,0,12,741.6
6/26/2019,9:32:44,0,LLNORTH,8.35,33.92,161.7,0.176,156.4,98.9,98.9,7.93,224.2,0.25,0.07,156.9,1.62,1.64,102,12.03,0,8.22,-110.2,26.614,0.182,37.48649,-94.25069,288.2,0,12,741.5
6/26/2019,9:32:45,0,LLNORTH,8.44,34.28,161.7,0.196,156.4,98.8,98.8,7.92,224.2,0.277,0.07,156.9,1.65,1.66,102,12.3,0,8.22,-110.1,26.615,0.206,37.48649,-94.2507,288.2,0,12,741.5
6/26/2019,9:32:46,0,LLNORTH,8.53,34.65,161.8,0.219,156.5,98.7,98.7,7.92,224.2,0.31,0.07,157,1.65,1.66,102,12,0,8.22,-110.2,26.616,0.222,37.48649,-94.2507,288.2,0,12,741.5
6/26/2019,9:32:47,0,LLNORTH,8.33,33.81,161.9,0.233,156.5,98.7,98.7,7.91,224.3,0.331,0.07,157,1.58,1.59,102,11.7,0,8.22,-110.1,26.613,0.251,37.48649,-94.2507,288.2,0,12,741.5
6/26/2019,9:32:48,0,LLNORTH,7.84,31.82,161.9,0.278,156.5,98.6,98.6,7.91,224.4,0.395,0.07,157,1.55,1.56,102,11.82,0,8.21,-109.9,26.611,0.284,37.48649,-94.2507,288.2,0,12,741.5
6/26/2019,9:32:49,0,LLNORTH,7.41,30.08,161.9,0.303,156.6,98.5,98.5,7.9,224.5,0.43,0.07,157.1,1.48,1.49,102,11.93,0,8.21,-109.7,26.612,0.329,37.48648,-94.2507,288.2,0,12,741.5
6/26/2019,9:32:50,0,LLNORTH,6.88,27.94,162.2,0.37,156.8,98.3,98.3,7.89,224.8,0.525,0.07,157.3,1.39,1.4,102,12.16,0,8.2,-109.1,26.609,0.387,37.48648,-94.2507,288.3,0,12,741.5
6/26/2019,9:32:51,0,LLNORTH,6.45,26.17,162.4,0.414,157.1,98.2,98.2,7.87,225,0.587,0.07,157.6,1.43,1.44,102,12.23,0,8.19,-108.4,26.604,0.428,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:32:52,0,LLNORTH,6.64,26.95,162.5,0.456,157.1,97.9,97.9,7.85,225.1,0.646,0.07,157.6,1.47,1.48,102,11.82,0,8.19,-108.2,26.601,0.47,37.48648,-94.2507,288.3,0,12,741.5
6/26/2019,9:32:53,0,LLNORTH,6.45,26.18,162.5,0.493,157.2,97.7,97.7,7.84,225.1,0.699,0.07,157.7,1.4,1.41,102,11.72,0,8.18,-107.9,26.6,0.501,37.48648,-94.2507,288.3,0,12,741.5
6/26/2019,9:32:54,0,LLNORTH,6.56,26.62,162.5,0.51,157.2,97.5,97.5,7.82,225.1,0.723,0.07,157.7,1.29,1.29,102,12.25,0,8.17,-107.6,26.597,0.519,37.48648,-94.2507,288.3,0,12,741.5
6/26/2019,9:32:55,0,LLNORTH,6.82,27.67,162.6,0.529,157.3,97.4,97.4,7.81,225.2,0.75,0.07,157.8,1.28,1.28,103,12.5,0,8.17,-107.2,26.593,0.534,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:01,0,LLNORTH,6.77,27.48,163.4,0.533,158.1,96.3,96.3,7.73,225.6,0.755,0.07,158.6,1.25,1.25,103,12.28,0,8.13,-105.2,26.579,0.531,37.48648,-94.25071,289.3,0,12,741.5
6/26/2019,9:33:02,0,LLNORTH,7.2,29.23,163.5,0.536,158.2,96.1,96.1,7.72,225.6,0.76,0.07,158.7,1.33,1.33,103,12.7,0,8.13,-105,26.577,0.547,37.48648,-94.25071,289.3,0,12,741.5
6/26/2019,9:33:03,0,LLNORTH,6.97,28.28,163.8,0.562,158.5,96,96,7.7,225.7,0.797,0.07,159,1.36,1.36,103,12.48,0,8.13,-104.8,26.573,0.566,37.48648,-94.25071,289.2,0,12,741.5
6/26/2019,9:33:04,0,LLNORTH,6.34,25.7,163.8,0.588,158.6,95.8,95.8,7.69,225.7,0.833,0.07,159.1,1.29,1.29,103,12.21,0,8.13,-104.6,26.571,0.615,37.48648,-94.25071,289.2,0,12,741.4
6/26/2019,9:33:05,0,LLNORTH,6.01,24.37,163.9,0.644,158.6,95.6,95.6,7.68,225.8,0.913,0.07,159.1,1.17,1.18,103,11.96,0,8.12,-104.3,26.569,0.648,37.48648,-94.25071,289.1,0,12,741.5
6/26/2019,9:33:06,0,LLNORTH,6.7,27.18,163.9,0.665,158.7,95.4,95.4,7.66,225.8,0.942,0.07,159.2,1.15,1.15,103,12.1,0,8.12,-104.3,26.56,0.68,37.48648,-94.2507,288.8,0,12,741.5
6/26/2019,9:33:07,0,LLNORTH,6.67,27.06,163.9,0.703,158.7,95.2,95.2,7.65,225.9,0.997,0.07,159.2,1.13,1.13,103,12.38,0,8.12,-104.2,26.549,0.712,37.48648,-94.2507,288.7,0,12,741.5
6/26/2019,9:33:08,0,LLNORTH,5.48,22.21,164,0.725,158.9,95,95,7.63,225.9,1.027,0.07,159.4,1.06,1.06,104,12.53,0,8.11,-103.9,26.541,0.729,37.48648,-94.2507,288.6,0,12,741.5
6/26/2019,9:33:09,0,LLNORTH,5.53,22.43,164.2,0.747,159,94.7,94.7,7.6,226,1.059,0.07,159.5,1.13,1.13,104,12.58,0,8.11,-103.6,26.535,0.765,37.48648,-94.2507,288.5,0,12,741.5
6/26/2019,9:33:10,0,LLNORTH,5.91,23.95,164.3,0.78,159.1,94.4,94.4,7.59,226,1.106,0.07,159.6,1.15,1.15,104,13.03,0,8.1,-103.3,26.542,0.782,37.48648,-94.2507,288.5,0,12,741.4
6/26/2019,9:33:11,0,LLNORTH,5.92,24,164.3,0.796,159.1,94.1,94.1,7.56,226.1,1.128,0.07,159.6,1.05,1.05,104,13.15,0,8.09,-102.8,26.546,0.801,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:12,0,LLNORTH,5.32,21.57,164.6,0.824,159.4,93.9,93.9,7.54,226.2,1.168,0.07,159.9,0.93,0.92,104,13.52,0,8.09,-102.3,26.537,0.838,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:13,0,LLNORTH,4.29,17.38,164.9,0.857,159.8,93.5,93.5,7.51,226.4,1.214,0.07,160.3,0.82,0.82,104,14.86,0,8.07,-101.3,26.51,0.874,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:14,0,LLNORTH,3.94,15.95,165.4,0.893,160.4,93.2,93.2,7.49,226.6,1.266,0.07,160.9,0.78,0.77,105,15.19,0,8.05,-100.3,26.468,0.896,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:15,0,LLNORTH,3.89,15.72,166.4,0.92,161.5,92.5,92.5,7.44,226.9,1.305,0.08,161.9,0.79,0.78,105,16.95,0,8.02,-98.6,26.447,0.938,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:17,0,LLNORTH,3.44,13.92,168.3,0.94,163.3,90.2,90.2,7.26,227.3,1.332,0.08,163.8,0.72,0.71,106,17.08,0,7.98,-96.1,26.452,0.94,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:18,0,LLNORTH,3.78,15.29,168.4,0.942,163.4,89.2,89.2,7.17,227.3,1.335,0.08,163.9,0.75,0.74,107,16.42,0,7.97,-95.4,26.446,0.942,37.48648,-94.2507,288.4,0,12,741.5
6/26/2019,9:33:19,0,LLNORTH,4.04,16.33,168.6,0.946,163.6,88.2,88.2,7.09,227.4,1.34,0.08,164.1,0.79,0.79,107,16.74,0,7.96,-95,26.438,0.954,37.48648,-94.2507,288.3,0,12,741.5
6/26/2019,9:33:20,0,LLNORTH,3.72,15.06,169,0.968,164.1,87.4,87.4,7.04,227.4,1.373,0.08,164.5,0.78,0.77,107,18.35,0,7.96,-94.5,26.427,0.976,37.48648,-94.2507,288.3,0,12,741.5
6/26/2019,9:33:21,0,LLNORTH,3.29,13.29,169.2,0.986,164.3,86.8,86.8,6.98,227.5,1.398,0.08,164.7,0.73,0.72,107,17.68,0,7.95,-94,26.422,0.99,37.48648,-94.2507,288.2,0,12,741.6
6/26/2019,9:33:22,0,LLNORTH,3.23,13.04,169.4,1.004,164.4,86.3,86.3,6.95,227.6,1.423,0.08,164.9,0.68,0.67,107,24.47,0,7.93,-93,26.415,1.015,37.48648,-94.2507,288,0,12,741.5
6/26/2019,9:33:23,0,LLNORTH,3.33,13.46,169.7,1.023,164.8,85.7,85.7,6.9,227.7,1.451,0.08,165.2,0.69,0.68,107,18.88,0,7.91,-92.1,26.408,1.024,37.48648,-94.2507,287.8,0,12,741.5
6/26/2019,9:33:24,0,LLNORTH,2.94,11.88,169.9,1.044,165,85.2,85.2,6.86,227.8,1.48,0.08,165.5,0.73,0.72,108,21.16,0,7.9,-91.4,26.403,1.073,37.48648,-94.2507,287.6,0,12,741.5
6/26/2019,9:33:25,0,LLNORTH,2.7,10.9,170.3,1.099,165.4,84.6,84.6,6.81,228,1.557,0.08,165.9,0.67,0.66,108,21.9,0,7.89,-90.4,26.398,1.099,37.48648,-94.25069,287.6,0,12,741.4
6/26/2019,9:33:26,0,LLNORTH,2.74,11.06,170.6,1.111,165.7,83.9,83.9,6.76,228.1,1.575,0.08,166.1,0.65,0.64,108,21.57,0,7.87,-89.3,26.395,1.121,37.48648,-94.25069,287.6,0,12,741.5
6/26/2019,9:33:27,0,LLNORTH,2.75,11.08,170.8,1.138,165.9,83,83,6.68,228.1,1.613,0.08,166.4,0.58,0.57,108,23.74,0,7.85,-88.5,26.39,1.154,37.48648,-94.25069,287.6,0,12,741.5
6/26/2019,9:33:28,0,LLNORTH,2.64,10.63,171,1.168,166.2,82.2,82.2,6.62,228.2,1.656,0.08,166.6,0.5,0.49,108,25.12,0,7.84,-87.9,26.384,1.169,37.48648,-94.25069,287.6,0,12,741.5
6/26/2019,9:33:29,0,LLNORTH,2.25,9.04,171.1,1.19,166.3,81.5,81.5,6.56,228.3,1.688,0.08,166.7,0.52,0.51,108,23.75,0,7.83,-87.2,26.381,1.203,37.48648,-94.25069,287.4,0,12,741.5
6/26/2019,9:33:30,0,LLNORTH,2.07,8.32,171.2,1.212,166.4,80.8,80.8,6.51,228.4,1.718,0.08,166.9,0.57,0.56,108,24.98,0,7.82,-86.5,26.379,1.216,37.48648,-94.25069,287.2,0,12,741.4
6/26/2019,9:33:31,0,LLNORTH,2.02,8.11,171.5,1.238,166.7,80.1,80.1,6.46,228.5,1.755,0.08,167.1,0.6,0.59,109,27.7,0,7.81,-85.9,26.376,1.25,37.48648,-94.25069,287,0,12,741.5
6/26/2019,9:33:32,0,LLNORTH,2.19,8.82,171.7,1.263,166.9,79.4,79.4,6.39,228.6,1.79,0.08,167.3,0.6,0.59,109,29.4,0,7.8,-85.2,26.374,1.27,37.48648,-94.25069,287,0,12,741.5
6/26/2019,9:33:33,0,LLNORTH,2.08,8.37,171.7,1.283,166.9,78.6,78.6,6.33,228.6,1.819,0.08,167.3,0.75,0.75,109,29.02,0,7.79,-84.7,26.373,1.288,37.48648,-94.25069,286.8,0,12,741.5
6/26/2019,9:33:34,0,LLNORTH,1.83,7.36,171.8,1.301,167,77.8,77.8,6.27,228.7,1.844,0.08,167.4,0.73,0.73,109,28.95,0,7.78,-84.1,26.371,1.307,37.48648,-94.25069,286.7,0,12,741.5
6/26/2019,9:33:35,0,LLNORTH,1.88,7.54,171.9,1.317,167,77.1,77.1,6.21,228.7,1.867,0.08,167.5,0.62,0.61,109,29.44,0,7.77,-83.6,26.365,1.325,37.48648,-94.25069,286.6,0,12,741.5
6/26/2019,9:33:36,0,LLNORTH,1.83,7.34,171.9,1.334,167,76.4,76.4,6.16,228.7,1.892,0.08,167.5,0.62,0.61,109,28.98,0,7.76,-83,26.363,1.343,37.48648,-94.25069,286.5,0,12,741.5
6/26/2019,9:33:37,0,LLNORTH,1.73,6.93,172,1.36,167.2,75.9,75.9,6.12,228.8,1.928,0.08,167.6,0.6,0.59,109,30.08,0,7.75,-82.5,26.362,1.366,37.48648,-94.25069,286.5,0,12,741.5
6/26/2019,9:33:38,0,LLNORTH,1.67,6.69,172.1,1.378,167.3,75.3,75.3,6.07,228.9,1.953,0.08,167.8,0.56,0.55,109,32.61,0,7.74,-81.9,26.361,1.382,37.48648,-94.25069,286.5,0,12,741.5
6/26/2019,9:33:39,0,LLNORTH,1.74,6.97,172.2,1.394,167.4,74.8,74.8,6.03,228.9,1.976,0.08,167.8,0.57,0.56,109,35.17,0,7.73,-81.3,26.361,1.401,37.48648,-94.25069,286.7,0,12,741.5
6/26/2019,9:33:40,0,LLNORTH,1.75,7.03,172.2,1.407,167.3,74.2,74.2,5.98,229,1.994,0.08,167.8,0.66,0.65,109,39.14,0,7.73,-80.9,26.36,1.407,37.48648,-94.25069,286.8,0,12,741.5
6/26/2019,9:33:41,0,LLNORTH,1.8,7.21,172.1,1.412,167.3,73.8,73.8,5.94,229,2.001,0.08,167.8,0.7,0.69,109,36.77,0,7.72,-80.6,26.357,1.413,37.48648,-94.25069,286.8,0,12,741.5
6/26/2019,9:33:42,0,LLNORTH,1.8,7.21,172,1.418,167.2,73.3,73.3,5.91,229,2.01,0.08,167.7,0.59,0.58,109,35.1,0,7.72,-80.3,26.356,1.42,37.48648,-94.25069,286.7,0,12,741.5
6/26/2019,9:33:43,0,LLNORTH,1.6,6.41,172.1,1.425,167.3,72.9,72.9,5.88,229,2.019,0.08,167.8,0.53,0.52,109,43.23,0,7.71,-80.1,26.357,1.429,37.48648,-94.25069,286.7,0,12,741.5
