Date,Time,X.C,mmHg,DO..,DO.mg.L,SPC.uS.cm,C.uS.cm,pH,ORP.mV,FNU,BGA.PC.RFU,BGA.PC.ug.L,BGA.PC.c.mL,Chl.RFU,Chl.ug.L,PAR1.ppfd,PAR2.ppfd,DEP.m
8/14/2019,16:41:34,32.993,739.7,141.1,10.13,168.8,194.6,9.28,154.7,6.49,2.072,2.09,NA,1.91,7.67,NA,NA,0
8/14/2019,16:41:35,32.996,739.7,141.1,10.13,168.8,194.6,9.28,155,6.51,2.052,2.07,NA,1.877,7.53,NA,NA,0.009
8/14/2019,16:41:40,33.009,739.7,141.4,10.16,169,194.9,9.29,155.2,6.52,2.048,2.07,NA,1.986,7.98,NA,NA,0.012
8/14/2019,16:41:41,33.014,739.7,141.4,10.15,169.1,194.9,9.29,155.4,6.54,2.075,2.1,NA,1.945,7.81,NA,NA,0.033
8/14/2019,16:41:42,33.01,739.7,141.4,10.15,169.1,195,9.29,155.7,6.83,2.092,2.11,NA,1.881,7.55,NA,NA,0.11
8/14/2019,16:41:43,32.956,739.7,141.3,10.15,169.2,195,9.29,155.8,7.18,2.127,2.15,NA,1.889,7.58,NA,NA,0.206
8/14/2019,16:41:44,32.922,739.7,141.3,10.16,169.3,195,9.29,155.7,6.53,2.165,2.19,NA,1.959,7.87,NA,NA,0.235
8/14/2019,16:41:45,32.921,739.7,141.4,10.17,169.3,195,9.29,155.6,6.22,2.1,2.12,NA,1.922,7.72,NA,NA,0.25
8/14/2019,16:41:46,32.91,739.7,141.4,10.17,169.3,194.9,9.3,155.5,6.28,2.066,2.09,NA,1.929,7.74,NA,NA,0.275
8/14/2019,16:41:47,32.871,739.7,141.3,10.17,169.3,194.7,9.3,155.5,6.49,2.054,2.07,NA,1.955,7.85,NA,NA,0.291
8/14/2019,16:41:48,32.75,739.7,141.5,10.19,169.5,194.7,9.3,155.4,6.86,2.046,2.07,NA,1.976,7.94,NA,NA,0.304
8/14/2019,16:41:49,32.657,739.7,141.5,10.21,169.7,194.5,9.31,155.2,6.78,2.086,2.11,NA,2.007,8.07,NA,NA,0.328
8/14/2019,16:41:50,32.628,739.7,141.6,10.23,169.6,194.3,9.31,155.1,6.77,2.167,2.19,NA,2.044,8.21,NA,NA,0.345
8/14/2019,16:41:51,32.573,739.7,142.1,10.27,169.6,194.1,9.32,154.9,6.89,2.221,2.25,NA,2.122,8.53,NA,NA,0.364
8/14/2019,16:41:52,32.488,739.7,142.5,10.31,169.5,193.7,9.34,154.8,6.73,2.213,2.24,NA,2.196,8.83,NA,NA,0.378
8/14/2019,16:41:53,32.333,739.7,143.4,10.4,169.6,193.4,9.36,154.7,6.92,2.23,2.25,NA,2.276,9.16,NA,NA,0.392
8/14/2019,16:41:54,32.129,739.8,145.3,10.57,169.4,192.6,9.39,154.6,7.29,2.274,2.3,NA,2.344,9.44,NA,NA,0.412
8/14/2019,16:41:55,31.981,739.7,147,10.73,169.2,191.8,9.43,154.3,7.36,2.26,2.28,NA,2.387,9.61,NA,NA,0.425
8/14/2019,16:41:58,31.789,739.7,154.7,11.33,169.2,191.2,9.47,153.8,7.93,2.372,2.4,NA,2.524,10.17,NA,NA,0.426
8/14/2019,16:41:59,31.386,739.7,155.1,11.41,169.3,189.9,9.49,153.4,8.42,2.537,2.57,NA,2.745,11.07,NA,NA,0.457
8/14/2019,16:42:00,31.082,739.8,157.4,11.67,169.7,189.4,9.48,153.5,8.8,2.567,2.6,NA,2.94,11.86,NA,NA,0.47
8/14/2019,16:42:01,31.02,739.7,158.4,11.75,169.9,189.5,9.48,153.5,8.95,2.582,2.61,NA,2.921,11.79,NA,NA,0.473
8/14/2019,16:42:02,30.972,739.7,159.8,11.87,170.2,189.6,9.48,153.5,9.27,2.521,2.55,NA,2.89,11.66,NA,NA,0.476
8/14/2019,16:42:03,30.925,739.7,160.3,11.91,170.3,189.6,9.47,153.7,8.93,2.524,2.55,NA,2.971,11.99,NA,NA,0.486
8/14/2019,16:42:04,30.874,739.7,160.4,11.93,170.5,189.6,9.47,153.7,8.81,2.537,2.57,NA,3.031,12.24,NA,NA,0.496
8/14/2019,16:42:05,30.765,739.7,160.6,11.97,170.7,189.6,9.46,153.6,8.87,2.595,2.63,NA,3.051,12.32,NA,NA,0.499
8/14/2019,16:42:06,30.721,739.7,160.8,11.99,170.7,189.4,9.45,153.6,9.26,2.608,2.64,NA,3.051,12.32,NA,NA,0.507
8/14/2019,16:42:08,30.666,739.7,160.8,12.01,170.5,188.9,9.45,153.2,8.94,2.657,2.69,NA,3.266,13.2,NA,NA,0.509
8/14/2019,16:42:09,30.568,739.7,160.9,12.02,170.1,188.2,9.45,153.2,9.09,2.608,2.64,NA,3.29,13.29,NA,NA,0.517
8/14/2019,16:42:10,30.456,739.7,160.4,12.02,169.8,187.5,9.45,153.1,8.95,2.598,2.63,NA,3.234,13.06,NA,NA,0.523
8/14/2019,16:42:11,30.417,739.7,160.1,12.01,169.5,187.1,9.44,153.1,9.2,2.683,2.72,NA,3.268,13.2,NA,NA,0.529
8/14/2019,16:42:12,30.334,739.7,159.6,11.98,168.9,186.1,9.44,153.2,9.14,2.647,2.68,NA,3.382,13.67,NA,NA,0.547
8/14/2019,16:42:13,30.289,739.7,159,11.96,168.7,185.7,9.43,153.4,8.96,2.644,2.68,NA,3.341,13.5,NA,NA,0.549
8/14/2019,16:42:14,30.267,739.7,158.6,11.93,168.6,185.6,9.42,153.5,9.51,2.693,2.73,NA,3.359,13.57,NA,NA,0.554
8/14/2019,16:42:15,30.185,739.7,158,11.89,168.5,185.1,9.41,153.6,9.44,2.647,2.68,NA,3.412,13.79,NA,NA,0.575
8/14/2019,16:42:16,30.18,739.7,157.3,11.85,168.3,184.9,9.41,153.4,9.39,2.639,2.67,NA,3.385,13.68,NA,NA,0.577
8/14/2019,16:42:17,30.172,739.7,156.9,11.82,168.1,184.7,9.4,153.4,10,2.674,2.71,NA,3.431,13.87,NA,NA,0.589
8/14/2019,16:42:18,30.106,739.7,155.5,11.72,168,184.4,9.39,153.4,9.5,2.743,2.78,NA,3.528,14.26,NA,NA,0.613
8/14/2019,16:42:19,30.084,739.7,154.7,11.67,168.1,184.4,9.39,153.2,8.94,2.728,2.76,NA,3.583,14.48,NA,NA,0.624
8/14/2019,16:42:20,30.047,739.7,154.1,11.63,168.2,184.5,9.38,153.1,9.18,2.638,2.67,NA,3.546,14.34,NA,NA,0.63
8/14/2019,16:42:21,29.98,739.7,153.7,11.61,168.2,184.3,9.38,152.9,9.07,2.656,2.69,NA,3.63,14.68,NA,NA,0.634
8/14/2019,16:42:22,29.956,739.7,153,11.57,168.2,184.1,9.38,152.9,8.7,2.685,2.72,NA,3.628,14.67,NA,NA,0.639
8/14/2019,16:42:23,29.972,739.7,152.4,11.52,168.1,184,9.37,153.1,8.78,2.694,2.73,NA,3.498,14.14,NA,NA,0.652
8/14/2019,16:42:24,30.069,739.7,151.9,11.48,167.7,183.9,9.37,153,8.85,2.703,2.74,NA,3.492,14.12,NA,NA,0.663
8/14/2019,16:42:25,30.097,739.7,151.4,11.42,167.6,184,9.38,152.9,8.87,2.694,2.73,NA,3.48,14.06,NA,NA,0.67
8/14/2019,16:42:26,30.047,739.7,151,11.4,167.7,183.9,9.38,152.9,9,2.781,2.82,NA,3.582,14.48,NA,NA,0.678
8/14/2019,16:42:27,29.978,739.7,150.8,11.39,167.9,183.8,9.38,152.9,8.99,2.824,2.86,NA,3.73,15.09,NA,NA,0.697
8/14/2019,16:42:28,29.933,739.7,150.3,11.36,167.9,183.7,9.38,153.1,8.95,2.706,2.74,NA,3.648,14.75,NA,NA,0.712
8/14/2019,16:42:29,29.871,739.7,149.8,11.34,167.9,183.5,9.37,153.2,9.12,2.633,2.66,NA,3.417,13.81,NA,NA,0.727
8/14/2019,16:42:30,29.835,739.7,149.3,11.31,167.9,183.4,9.36,153.5,9.27,2.636,2.67,NA,3.442,13.91,NA,NA,0.751
8/14/2019,16:42:31,29.786,739.7,148.7,11.27,167.8,183.2,9.35,153.6,9.25,2.735,2.77,NA,3.501,14.15,NA,NA,0.788
8/14/2019,16:42:32,29.772,739.7,148.2,11.24,167.8,183.1,9.34,154.2,9.24,2.831,2.87,NA,3.362,13.58,NA,NA,0.807
8/14/2019,16:42:33,29.733,739.7,147.2,11.17,167.8,183,9.33,154.4,9.29,2.871,2.91,NA,3.13,12.64,NA,NA,0.827
8/14/2019,16:42:34,29.621,739.7,146.2,11.11,167.7,182.5,9.31,154.9,9.71,2.871,2.91,NA,3.005,12.13,NA,NA,0.867
8/14/2019,16:42:35,29.52,739.7,145.1,11.05,167.7,182.2,9.29,155,9.99,2.86,2.9,NA,3.054,12.33,NA,NA,0.897
8/14/2019,16:42:36,29.475,739.7,144.2,10.99,167.9,182.2,9.28,154.8,9.67,2.929,2.97,NA,3.112,12.57,NA,NA,0.927
8/14/2019,16:42:37,29.476,739.7,142.8,10.89,168,182.3,9.27,154.8,9.46,2.945,2.98,NA,3.23,13.05,NA,NA,0.947
8/14/2019,16:42:38,29.465,739.7,141.7,10.81,168.1,182.4,9.24,154.9,9.7,2.962,3,NA,3.307,13.36,NA,NA,0.966
8/14/2019,16:42:39,29.45,739.7,140.5,10.71,168.2,182.5,9.22,154.9,9.64,3.034,3.07,NA,3.364,13.59,NA,NA,0.984
8/14/2019,16:42:40,29.426,739.7,139.3,10.63,168.2,182.5,9.22,154.9,9.38,3.046,3.09,NA,3.353,13.55,NA,NA,1.01
8/14/2019,16:42:41,29.342,739.8,138.1,10.55,168.4,182.3,9.2,155.3,9.71,2.995,3.03,NA,3.124,12.62,NA,NA,1.037
8/14/2019,16:42:42,29.268,739.7,137,10.48,168.5,182.3,9.17,155.6,9.7,3.088,3.13,NA,3.132,12.65,NA,NA,1.065
8/14/2019,16:42:43,29.222,739.7,135.9,10.41,168.7,182.3,9.14,155.6,9.31,3.168,3.21,NA,3.128,12.63,NA,NA,1.087
8/14/2019,16:42:44,29.213,739.7,135.1,10.35,168.7,182.3,9.12,155.6,9.58,3.12,3.16,NA,3.025,12.21,NA,NA,1.104
8/14/2019,16:42:45,29.217,739.7,133.8,10.25,168.6,182.1,9.11,155.5,9.18,3.117,3.16,NA,3.034,12.25,NA,NA,1.14
8/14/2019,16:42:47,29.237,739.7,130.4,9.99,168.6,182.2,9.08,155.4,9.44,3.203,3.25,NA,3.045,12.3,NA,NA,1.143
8/14/2019,16:42:48,29.25,739.8,128.3,9.82,168.5,182.2,9.07,155.7,9.5,3.248,3.29,NA,2.89,11.66,NA,NA,1.152
8/14/2019,16:42:49,29.212,739.7,125.8,9.63,168.6,182.2,9.05,156,9.41,3.235,3.28,NA,2.893,11.67,NA,NA,1.168
8/14/2019,16:42:50,29.177,739.7,123.8,9.49,168.7,182.2,9.04,156.2,9.34,3.16,3.2,NA,2.979,12.03,NA,NA,1.173
8/14/2019,16:42:51,29.172,739.7,121.6,9.32,168.8,182.3,9.04,156.3,9.39,3.179,3.22,NA,3.06,12.36,NA,NA,1.179
8/14/2019,16:42:52,29.182,739.7,119.7,9.17,168.8,182.3,9.03,156.5,9.69,3.308,3.35,NA,3.102,12.53,NA,NA,1.193
8/14/2019,16:42:53,29.18,739.7,117.9,9.03,168.8,182.3,9.02,156.8,10.01,3.211,3.26,NA,3.038,12.26,NA,NA,1.199
8/14/2019,16:42:54,29.162,739.7,116.4,8.92,168.9,182.3,9.01,157,9.9,3.124,3.17,NA,2.99,12.07,NA,NA,1.214
8/14/2019,16:42:55,29.135,739.7,114.7,8.8,169,182.3,9,157.2,9.84,3.286,3.33,NA,3.036,12.26,NA,NA,1.223
8/14/2019,16:42:56,29.112,739.6,113.4,8.7,169,182.3,8.99,157.4,9.68,3.342,3.39,NA,3.065,12.37,NA,NA,1.237
8/14/2019,16:42:57,29.096,739.7,112,8.59,169.1,182.3,8.98,157.4,9.53,3.279,3.32,NA,3.089,12.47,NA,NA,1.252
8/14/2019,16:42:58,29.086,739.7,110.7,8.5,169.2,182.4,8.98,157.6,9.85,3.325,3.37,NA,3.114,12.58,NA,NA,1.267
8/14/2019,16:42:59,29.065,739.7,109.4,8.4,169.2,182.4,8.97,157.8,9.67,3.395,3.44,NA,3.174,12.82,NA,NA,1.291
8/14/2019,16:43:00,29.063,739.7,108.5,8.33,169.3,182.4,8.95,158,9.26,3.32,3.37,NA,3.219,13,NA,NA,1.3
8/14/2019,16:43:01,29.061,739.7,107.1,8.23,169.3,182.4,8.95,158.2,9.26,3.3,3.35,NA,3.11,12.56,NA,NA,1.313
8/14/2019,16:43:02,29.062,739.8,106.6,8.18,169.3,182.5,8.94,158.3,9.37,3.317,3.36,NA,3.262,13.18,NA,NA,1.316
8/14/2019,16:43:03,29.058,739.8,105.7,8.12,169.3,182.4,8.94,158.4,9.59,3.334,3.38,NA,3.401,13.74,NA,NA,1.325
8/14/2019,16:43:04,29.042,739.7,105,8.07,169.3,182.3,8.93,158.5,9.51,3.348,3.39,NA,3.296,13.32,NA,NA,1.356
8/14/2019,16:43:05,29.037,739.7,104.2,8.01,169.3,182.3,8.92,158.6,9.22,3.35,3.4,NA,3.238,13.08,NA,NA,1.365
8/14/2019,16:43:06,29.024,739.7,103.5,7.95,169.4,182.4,8.91,158.9,9.54,3.309,3.35,NA,3.118,12.59,NA,NA,1.387
8/14/2019,16:43:07,29.012,739.7,102.6,7.89,169.4,182.4,8.89,159.2,9.73,3.338,3.38,NA,3.267,13.2,NA,NA,1.403
8/14/2019,16:43:08,29.003,739.7,101.8,7.82,169.5,182.5,8.87,159.4,9.32,3.32,3.37,NA,3.297,13.32,NA,NA,1.408
8/14/2019,16:43:09,28.991,739.7,100.8,7.75,169.5,182.5,8.87,159.3,8.91,3.318,3.36,NA,3.068,12.39,NA,NA,1.423
8/14/2019,16:43:10,28.991,739.7,100,7.69,169.5,182.4,8.86,159.1,8.93,3.4,3.45,NA,3.094,12.49,NA,NA,1.433
8/14/2019,16:43:11,28.997,739.7,98.9,7.61,169.6,182.5,8.85,159.2,9.01,3.444,3.49,NA,3.199,12.92,NA,NA,1.447
8/14/2019,16:43:12,29.011,739.7,98.1,7.54,169.6,182.6,8.84,159.3,8.98,3.377,3.42,NA,3.143,12.69,NA,NA,1.456
8/14/2019,16:43:13,29.002,739.7,97.3,7.48,169.7,182.6,8.84,159.6,9,3.294,3.34,NA,2.997,12.1,NA,NA,1.461
8/14/2019,16:43:14,28.938,739.7,96.1,7.4,169.8,182.6,8.83,159.6,9.13,3.347,3.39,NA,2.937,11.85,NA,NA,1.477
