Date..MM.DD.YYYY.,Time..HH.mm.ss.,Time..Fract..Sec.,Site.Name,Chlorophyll.RFU,Chlorophyll.ug.L,Cond.µS.cm,Depth.m,nLF.Cond.µS.cm,ODO...sat,ODO...local,ODO.mg.L,ORP.mV,Pressure.psi.a,Sal.psu,SpCond.µS.cm,TAL.PC.RFU,TAL.PC.ug.L,TDS.mg.L,Turbidity.FNU,TSS.mg.L,pH,pH.mV,Temp..C,Vertical.Position.m,GPS.Latitude..,GPS.Longitude..,Altitude.m,Battery.V,Cable.Pwr.V,Barometer.mmHg
6/26/2019,9:55:12,0,LLSOUTH,12.43,50.55,144.4,0.004,142.2,130.8,130.8,10.66,198.1,0.005,0.07,142.4,1.99,2,93,5.12,0,8.86,-147.9,25.734,0.014,37.47903,-94.25249,287.5,0,12,741.8
6/26/2019,9:55:13,0,LLSOUTH,11.35,46.13,144.5,0.027,142.3,130.9,130.9,10.67,198,0.038,0.07,142.5,1.92,1.94,93,5.12,0,8.86,-148.1,25.735,0.027,37.47903,-94.25249,287.5,0,12,741.8
6/26/2019,9:55:14,0,LLSOUTH,11.59,47.1,144.5,0.034,142.2,131,131,10.67,197.9,0.048,0.07,142.5,1.95,1.97,93,4.98,0,8.87,-148.3,25.736,0.037,37.47903,-94.25249,287.5,0,12,741.6
6/26/2019,9:55:15,0,LLSOUTH,12.21,49.65,144.4,0.041,142.2,131.1,131.1,10.68,197.8,0.058,0.07,142.4,2.01,2.03,93,5.21,0,8.87,-148.4,25.737,0.042,37.47903,-94.25249,287.4,0,12,741.6
6/26/2019,9:55:16,0,LLSOUTH,12.65,51.44,144.4,0.045,142.2,131.1,131.1,10.68,197.7,0.064,0.07,142.4,2.08,2.11,93,5.27,0,8.87,-148.6,25.736,0.049,37.47903,-94.25249,287.3,0,12,741.7
6/26/2019,9:55:17,0,LLSOUTH,12.57,51.09,144.4,0.069,142.2,131.2,131.2,10.69,197.6,0.098,0.07,142.4,2.1,2.12,93,5.5,0,8.87,-148.7,25.737,0.085,37.47903,-94.25249,287.3,0,12,741.7
6/26/2019,9:55:18,0,LLSOUTH,13.08,53.19,144.4,0.108,142.2,131.2,131.2,10.7,197.5,0.153,0.07,142.4,2.15,2.17,93,5.68,0,8.88,-148.9,25.741,0.12,37.47903,-94.25248,287.4,0,12,741.6
6/26/2019,9:55:19,0,LLSOUTH,14.66,59.62,144.5,0.136,142.2,131.3,131.3,10.7,197.4,0.192,0.07,142.4,2.31,2.33,93,5.82,0,8.88,-149.2,25.747,0.148,37.47903,-94.25248,287.5,0,12,741.7
6/26/2019,9:55:20,0,LLSOUTH,15.6,63.46,144.5,0.168,142.2,131.3,131.3,10.7,197.4,0.238,0.07,142.4,2.38,2.41,93,5.8,0,8.88,-149.3,25.751,0.175,37.47904,-94.25248,287.8,0,12,741.7
6/26/2019,9:55:21,0,LLSOUTH,15.73,64,144.5,0.2,142.3,131.4,131.4,10.7,197.4,0.284,0.07,142.5,2.36,2.39,93,5.66,0,8.88,-149.4,25.753,0.215,37.47904,-94.25248,288,0,12,741.7
