Date,Time,X.C,mmHg,DO..,DO.mg.L,SPC.uS.cm,C.uS.cm,pH,ORP.mV,FNU,BGA.PC.RFU,BGA.PC.ug.L,BGA.PC.c.mL,Chl.RFU,Chl.ug.L,PAR1.ppfd,PAR2.ppfd,DEP.m
10/16/2019,15:49:55,17.614,743.1,96.6,9.22,176.7,151.8,15.1,187.1,6.65,1.204,1.21,NA,2.219,8.93,NA,NA,0
10/16/2019,15:49:56,17.614,743.1,96.7,9.23,176.7,151.8,15.09,187.6,6.44,1.262,1.27,NA,2.176,8.75,NA,NA,0.023
10/16/2019,15:49:57,17.611,743.1,96.8,9.24,176.7,151.8,15.07,188.6,6.56,1.221,1.22,NA,2.265,9.11,NA,NA,0.073
10/16/2019,15:49:58,17.61,743.1,96.9,9.24,176.7,151.8,15.06,189.7,6.6,1.187,1.19,NA,2.466,9.94,NA,NA,0.14
10/16/2019,15:49:59,17.611,743.1,97,9.25,176.7,151.8,15.05,190.9,6.26,1.28,1.28,NA,2.512,10.12,NA,NA,0.183
10/16/2019,15:50:00,17.609,743,97,9.26,176.7,151.7,15.03,191.9,6.14,1.4,1.41,NA,2.681,10.81,NA,NA,0.233
10/16/2019,15:50:01,17.609,743.1,97.1,9.27,176.7,151.8,15.02,192.9,6.17,1.354,1.36,NA,2.896,11.69,NA,NA,0.274
10/16/2019,15:50:02,17.611,743.1,97.2,9.27,176.7,151.8,15.01,193.9,6.22,1.295,1.3,NA,2.927,11.81,NA,NA,0.321
10/16/2019,15:50:03,17.612,743.1,97.2,9.28,176.7,151.7,14.99,194.9,6.28,1.326,1.33,NA,2.921,11.79,NA,NA,0.342
10/16/2019,15:50:04,17.615,743,97.3,9.28,176.7,151.7,14.98,195.7,6.32,1.372,1.38,NA,2.902,11.71,NA,NA,0.358
10/16/2019,15:50:05,17.617,743.2,97.3,9.28,176.6,151.7,14.97,196.6,6.37,1.364,1.37,NA,2.903,11.72,NA,NA,0.373
10/16/2019,15:50:06,17.616,743.1,97.3,9.28,176.6,151.7,14.96,197.8,6.25,1.4,1.41,NA,2.973,12,NA,NA,0.395
10/16/2019,15:50:07,17.613,743.1,97.3,9.28,176.7,151.7,14.95,198.6,6.28,1.419,1.43,NA,2.994,12.09,NA,NA,0.463
10/16/2019,15:50:08,17.612,743,97.3,9.28,176.7,151.8,14.93,199.5,6.33,1.396,1.4,NA,3.003,12.12,NA,NA,0.492
10/16/2019,15:50:09,17.609,743,97.3,9.28,176.8,151.8,14.92,200.6,6.21,1.424,1.43,NA,3.07,12.4,NA,NA,0.513
10/16/2019,15:50:10,17.606,743.1,97.4,9.29,176.8,151.8,14.91,201.4,6.34,1.479,1.49,NA,3.088,12.47,NA,NA,0.547
10/16/2019,15:50:11,17.604,743.1,97.4,9.29,176.7,151.8,14.9,202.2,6.23,1.496,1.51,NA,3.084,12.45,NA,NA,0.585
10/16/2019,15:50:12,17.603,743,97.4,9.29,176.7,151.7,14.89,202.9,6.34,1.529,1.54,NA,3.135,12.66,NA,NA,0.627
10/16/2019,15:50:13,17.604,743,97.4,9.3,176.7,151.7,14.88,203.7,6.3,1.531,1.54,NA,3.226,13.03,NA,NA,0.67
10/16/2019,15:50:14,17.605,743,97.5,9.3,176.7,151.8,14.86,204.4,6.32,1.518,1.53,NA,3.257,13.16,NA,NA,0.697
10/16/2019,15:50:15,17.604,743.1,97.5,9.3,176.7,151.7,14.86,205.2,6.66,1.555,1.57,NA,3.302,13.34,NA,NA,0.728
10/16/2019,15:50:16,17.6,743.1,97.5,9.3,176.7,151.7,14.85,205.8,6.66,1.593,1.6,NA,3.445,13.93,NA,NA,0.759
10/16/2019,15:50:17,17.592,743,97.5,9.31,176.6,151.6,14.84,206.7,6.31,1.576,1.59,NA,3.367,13.61,NA,NA,0.789
10/16/2019,15:50:18,17.588,743,97.6,9.31,176.5,151.5,14.83,207.5,6.07,1.564,1.57,NA,3.106,12.54,NA,NA,0.825
10/16/2019,15:50:19,17.569,743,97.6,9.32,176.6,151.5,14.82,208.3,6.23,1.622,1.63,NA,3.08,12.44,NA,NA,0.889
10/16/2019,15:50:20,17.561,743.1,97.7,9.33,176.7,151.6,14.81,209,6.35,1.612,1.62,NA,3.132,12.65,NA,NA,0.903
10/16/2019,15:50:21,17.564,743,97.7,9.33,176.6,151.5,14.8,209.6,6.16,1.553,1.56,NA,3.098,12.51,NA,NA,0.931
10/16/2019,15:50:22,17.564,743.1,97.7,9.33,176.5,151.4,14.79,210.2,6.12,1.546,1.56,NA,3.077,12.43,NA,NA,0.968
10/16/2019,15:50:23,17.554,743.1,97.7,9.33,176.5,151.4,14.78,210.8,6.29,1.554,1.56,NA,3.089,12.47,NA,NA,1.011
10/16/2019,15:50:24,17.539,743.1,97.7,9.33,176.5,151.4,14.77,211.4,6.42,1.608,1.62,NA,3.02,12.19,NA,NA,1.055
10/16/2019,15:50:25,17.519,743,97.7,9.34,176.5,151.3,14.76,211.8,6.2,1.696,1.71,NA,2.985,12.05,NA,NA,1.096
10/16/2019,15:50:26,17.506,743,97.7,9.34,176.5,151.3,14.76,212.5,6.11,1.631,1.64,NA,3.028,12.22,NA,NA,1.125
10/16/2019,15:50:27,17.485,743.1,97.7,9.34,176.5,151.2,14.75,213.3,6.04,1.59,1.6,NA,3.042,12.28,NA,NA,1.196
10/16/2019,15:50:28,17.435,743.1,97.6,9.34,176.6,151.1,14.74,213.9,6.33,1.647,1.66,NA,3.083,12.45,NA,NA,1.261
10/16/2019,15:50:29,17.386,743,97.7,9.36,176.8,151.1,14.73,214.5,6.42,1.669,1.68,NA,3.153,12.73,NA,NA,1.311
