"","Date","Time","X.C","mmHg","DO..","DO.mg.L","C.uS.cm","pH","ORP.mV","FNU","BGA.PC.RFU","BGA.PC.ug.L","BGA.PC.c.mL","Chl.RFU","Chl.ug.L","PAR1.ppfd","PAR2.ppfd","DEP.m"
"1","4/24/2019","9:30:00",17.638,734.2,98.5,9.39,192.8,6.02,249.5,3.23,0.032,0.06,NA,0.712,2.77,NA,NA,0.058
"2","4/24/2019","9:30:05",17.664,734.2,96.4,9.18,193.2,6.19,249.8,3.31,0.042,0.07,NA,0.681,2.65,NA,NA,0.076
"3","4/24/2019","9:30:10",17.665,734.1,94.8,9.03,193.6,6.3,248,3.09,0.045,0.07,NA,0.714,2.78,NA,NA,0.17
"4","4/24/2019","9:30:15",17.653,734.3,93.5,8.91,193.7,6.41,247.7,3.17,0.156,0.19,NA,0.649,2.52,NA,NA,0.224
"5","4/24/2019","9:30:20",17.688,734.2,92.7,8.83,193.9,6.5,246.7,3.27,-0.004,0.03,NA,0.618,2.39,NA,NA,0.297
"6","4/24/2019","9:30:25",17.699,734.3,91.9,8.75,194,6.59,246.6,3.02,0.064,0.09,NA,0.615,2.38,NA,NA,0.382
"7","4/24/2019","9:30:30",17.69,734.1,91.4,8.7,193.9,6.66,246.4,3.34,0.152,0.18,NA,0.707,2.75,NA,NA,0.448
"8","4/24/2019","9:30:35",17.698,734.2,90.9,8.66,193.8,6.71,246.4,2.71,0.11,0.14,NA,0.653,2.53,NA,NA,0.485
"9","4/24/2019","9:30:40",17.723,734.2,90.6,8.62,193.8,6.77,246.8,3.01,0.141,0.17,NA,0.746,2.91,NA,NA,0.528
"10","4/24/2019","9:30:45",17.732,734.3,90.3,8.59,194.7,6.8,245.8,3.08,0.148,0.18,NA,0.6,2.32,NA,NA,0.627
"11","4/24/2019","9:30:50",17.736,734.2,90,8.56,194.9,6.81,245.3,3.04,0.102,0.13,NA,0.615,2.38,NA,NA,0.673
"12","4/24/2019","9:30:55",17.733,734.1,89.6,8.52,194.8,6.86,245.4,3.15,0.034,0.06,NA,0.659,2.56,NA,NA,0.743
"13","4/24/2019","9:31:00",17.731,734.2,89.4,8.51,194.7,6.91,244.9,3.05,0.154,0.18,NA,0.693,2.69,NA,NA,0.796
"14","4/24/2019","9:31:05",17.734,734.2,89.3,8.5,194.8,6.95,245,3.01,0.144,0.17,NA,0.644,2.5,NA,NA,0.843
"15","4/24/2019","9:31:10",17.735,734.2,89.1,8.48,195,6.98,244.9,2.77,0.062,0.09,NA,0.655,2.54,NA,NA,0.883
"16","4/24/2019","9:31:15",17.731,734.2,89,8.47,195.1,6.99,245,3.12,0.093,0.12,NA,0.629,2.44,NA,NA,0.911
"17","4/24/2019","9:31:20",17.737,734.2,89,8.46,195,7.02,244.7,2.66,0.079,0.11,NA,0.622,2.41,NA,NA,0.95
"18","4/24/2019","9:31:25",17.727,734.2,88.8,8.45,194.9,7.05,244.9,2.91,0.142,0.17,NA,0.659,2.56,NA,NA,1.014
"19","4/24/2019","9:31:30",17.726,734.3,88.8,8.45,195,7.08,244.6,2.89,0.103,0.13,NA,0.616,2.39,NA,NA,1.073
"20","4/24/2019","9:31:35",17.728,734.2,88.7,8.44,194.9,7.11,244.4,3.21,0.103,0.13,NA,0.64,2.48,NA,NA,1.12
"21","4/24/2019","9:31:40",17.728,734.2,88.7,8.44,194.8,7.13,243.9,2.85,0.096,0.12,NA,0.631,2.44,NA,NA,1.152
"22","4/24/2019","9:31:45",17.729,734.2,88.7,8.44,195,7.15,243.8,2.86,0.084,0.11,NA,0.624,2.42,NA,NA,1.21
"23","4/24/2019","9:31:50",17.727,734.2,88.5,8.42,195.1,7.18,243.8,2.78,0.173,0.2,NA,0.589,2.28,NA,NA,1.29
"24","4/24/2019","9:31:55",17.727,734.2,88.4,8.41,195,7.2,242.9,2.97,0.04,0.07,NA,0.596,2.3,NA,NA,1.353
"25","4/24/2019","9:32:00",17.727,734.2,88.3,8.41,194.9,7.22,242.7,3.05,0.124,0.15,NA,0.559,2.16,NA,NA,1.41
"26","4/24/2019","9:32:05",17.726,734.1,88.3,8.4,195.1,7.24,242.2,2.75,0.022,0.05,NA,0.66,2.56,NA,NA,1.462
"27","4/24/2019","9:32:10",17.72,734.2,88.2,8.4,195,7.26,241.7,3.12,0.069,0.1,NA,0.57,2.2,NA,NA,1.523
"28","4/24/2019","9:32:15",17.722,734.3,88.1,8.39,195,7.28,241.5,3.09,0.1,0.13,NA,0.647,2.51,NA,NA,1.576
"29","4/24/2019","9:32:20",17.72,734.2,88.1,8.39,195,7.3,241.2,2.97,0.215,0.24,NA,0.736,2.87,NA,NA,1.638
"30","4/24/2019","9:32:25",17.718,734.2,88.1,8.39,194.9,7.32,240.8,3.04,0.063,0.09,NA,0.639,2.48,NA,NA,1.701
"31","4/24/2019","9:32:30",17.719,734.3,88,8.38,195,7.33,240.8,2.94,0.159,0.19,NA,0.649,2.52,NA,NA,1.766
"32","4/24/2019","9:32:35",17.72,734.3,88,8.38,195,7.35,240.7,3.12,0.111,0.14,NA,0.635,2.46,NA,NA,1.804
"33","4/24/2019","9:32:40",17.718,734.2,88,8.37,195,7.37,240.2,2.75,0.059,0.09,NA,0.655,2.54,NA,NA,1.842
"34","4/24/2019","9:32:45",17.719,734.3,87.9,8.37,195,7.38,240.6,2.91,0.053,0.08,NA,0.683,2.65,NA,NA,1.852
"35","4/24/2019","9:32:50",17.721,734.2,87.9,8.37,195.1,7.4,240.5,3.33,0.132,0.16,NA,0.629,2.44,NA,NA,1.887
"36","4/24/2019","9:32:55",17.708,734.2,87.7,8.35,195,7.41,240.2,2.8,0.178,0.21,NA,0.638,2.47,NA,NA,1.916
"37","4/24/2019","9:33:00",17.712,734.2,87.7,8.35,195,7.42,239.6,2.8,0.097,0.13,NA,0.671,2.6,NA,NA,1.936
"38","4/24/2019","9:33:05",17.707,734.2,87.6,8.34,195,7.43,239.3,3.03,0.115,0.14,NA,0.635,2.46,NA,NA,1.959
"39","4/24/2019","9:33:10",17.7,734.3,87.5,8.33,195.1,7.44,239,3.09,0.116,0.14,NA,0.663,2.57,NA,NA,1.98
"40","4/24/2019","9:33:15",17.7,734.3,87.4,8.32,194.9,7.45,239,3.01,0.24,0.27,NA,0.551,2.12,NA,NA,2.066
"41","4/24/2019","9:33:20",17.697,734.2,87.3,8.31,195,7.46,238.5,3.17,0.157,0.19,NA,0.58,2.24,NA,NA,2.102
"42","4/24/2019","9:33:25",17.694,734.2,87.2,8.3,195,7.46,238.4,3.17,-0.01,0.02,NA,0.631,2.44,NA,NA,2.161
"43","4/24/2019","9:33:30",17.696,734.3,87.2,8.31,195,7.47,238.3,3.15,0.103,0.13,NA,0.976,3.82,NA,NA,2.22
"44","4/24/2019","9:33:35",17.706,734.2,87.2,8.3,195,7.48,237.9,3.04,0.035,0.06,NA,0.705,2.74,NA,NA,2.273
"45","4/24/2019","9:33:40",17.701,734.2,87.2,8.3,195.1,7.49,237.7,3.03,0.133,0.16,NA,0.746,2.91,NA,NA,2.32
"46","4/24/2019","9:33:45",17.695,734.2,87.2,8.3,194.9,7.49,237.5,2.96,0.099,0.13,NA,0.635,2.46,NA,NA,2.365
"47","4/24/2019","9:33:50",17.688,734.2,87.2,8.3,195,7.5,237.1,2.99,0.158,0.19,NA,0.643,2.49,NA,NA,2.408
