"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","C.uS.cm","pH","ORP.mV","FNU","BGA.PC.RFU","BGA.PC.ug.L","BGA.PC.c.mL","Chl.RFU","Chl.ug.L","PAR1.ppfd","PAR2.ppfd","DEP.m"
"27","6/26/2019","8:14:04",25.606,740.5,125.7,10.27,142.5,144.2,8.66,222.3,4.48,2.181,2.2,NA,12.755,51.86,NA,NA,0
"28","6/26/2019","8:14:05",25.611,740.4,125.8,10.27,142.5,144.2,8.67,222.2,4.6,2.169,2.19,NA,12.642,51.4,NA,NA,0.041
"29","6/26/2019","8:14:06",25.623,740.4,125.8,10.27,142.5,144.2,8.67,222.3,4.57,2.16,2.18,NA,13.173,53.56,NA,NA,0.116
"30","6/26/2019","8:14:07",25.628,740.6,125.7,10.27,142.5,144.2,8.67,222.3,4.74,2.269,2.29,NA,14.112,57.39,NA,NA,0.133
"31","6/26/2019","8:14:08",25.63,740.5,125.7,10.27,142.5,144.2,8.68,222.3,4.8,2.262,2.29,NA,14.04,57.09,NA,NA,0.147
"32","6/26/2019","8:14:09",25.632,740.4,125.7,10.27,142.5,144.2,8.68,222.4,4.58,2.254,2.28,NA,13.563,55.15,NA,NA,0.185
"33","6/26/2019","8:14:10",25.64,740.5,125.7,10.26,142.5,144.2,8.67,222.4,4.42,2.309,2.33,NA,13.29,54.04,NA,NA,0.208
"34","6/26/2019","8:14:11",25.645,740.5,125.6,10.25,142.5,144.2,8.67,222.6,4.13,2.253,2.28,NA,13.37,54.36,NA,NA,0.23
"35","6/26/2019","8:14:12",25.645,740.4,125.5,10.25,142.5,144.3,8.67,222.8,4.34,2.214,2.24,NA,13.428,54.6,NA,NA,0.24
"36","6/26/2019","8:14:13",25.638,740.5,125.3,10.23,142.5,144.3,8.67,222.9,4.62,2.195,2.22,NA,13.383,54.42,NA,NA,0.256
"37","6/26/2019","8:14:14",25.638,740.4,125.2,10.23,142.5,144.3,8.67,223,4.44,2.207,2.23,NA,13.837,56.27,NA,NA,0.276
"38","6/26/2019","8:14:15",25.64,740.4,125.2,10.22,142.6,144.4,8.67,223,4.59,2.199,2.22,NA,13.623,55.39,NA,NA,0.294
"39","6/26/2019","8:14:16",25.643,740.5,125.1,10.22,142.6,144.3,8.67,222.9,4.77,2.275,2.3,NA,13.861,56.37,NA,NA,0.313
"40","6/26/2019","8:14:17",25.644,740.5,125,10.21,142.5,144.3,8.67,223.2,4.57,2.226,2.25,NA,13.353,54.29,NA,NA,0.339
"41","6/26/2019","8:14:18",25.642,740.5,125,10.21,142.5,144.3,8.67,223.4,4.48,2.167,2.19,NA,13.27,53.96,NA,NA,0.357
"42","6/26/2019","8:14:19",25.643,740.4,125.1,10.21,142.5,144.3,8.67,223.5,4.94,2.096,2.12,NA,13.509,54.93,NA,NA,0.38
"43","6/26/2019","8:14:20",25.643,740.5,125.1,10.21,142.5,144.3,8.67,223.5,4.86,2.104,2.13,NA,13.457,54.72,NA,NA,0.4
"44","6/26/2019","8:14:21",25.643,740.4,125.2,10.22,142.5,144.3,8.67,223.6,4.37,2.205,2.23,NA,13.784,56.05,NA,NA,0.424
"45","6/26/2019","8:14:22",25.643,740.4,125.2,10.22,142.5,144.3,8.68,223.7,4.64,2.184,2.21,NA,13.521,54.98,NA,NA,0.444
"46","6/26/2019","8:14:23",25.646,740.4,125.2,10.22,142.5,144.3,8.68,223.7,4.76,2.149,2.17,NA,13.997,56.92,NA,NA,0.464
"47","6/26/2019","8:14:24",25.647,740.4,125.2,10.22,142.5,144.2,8.68,223.9,4.51,2.145,2.17,NA,14.422,58.65,NA,NA,0.493
"48","6/26/2019","8:14:25",25.646,740.4,125.1,10.22,142.6,144.3,8.68,224.1,4.53,2.214,2.24,NA,14.517,59.04,NA,NA,0.524
"49","6/26/2019","8:14:26",25.645,740.5,125.2,10.22,142.5,144.3,8.68,224.1,4.75,2.148,2.17,NA,13.967,56.8,NA,NA,0.554
"50","6/26/2019","8:14:27",25.645,740.5,125.2,10.22,142.5,144.3,8.68,224.1,4.96,2.12,2.14,NA,13.603,55.32,NA,NA,0.581
"51","6/26/2019","8:14:28",25.648,740.5,125,10.21,142.6,144.3,8.68,224.3,5.01,2.073,2.09,NA,13.775,56.01,NA,NA,0.621
"52","6/26/2019","8:14:29",25.648,740.4,125,10.2,142.6,144.3,8.68,224.5,4.72,2.039,2.06,NA,13.784,56.05,NA,NA,0.645
"53","6/26/2019","8:14:30",25.648,740.5,124.9,10.2,142.5,144.3,8.68,224.4,4.53,2.115,2.14,NA,13.314,54.14,NA,NA,0.678
"54","6/26/2019","8:14:31",25.647,740.5,125,10.2,142.5,144.2,8.68,224.4,4.79,2.064,2.08,NA,13.435,54.63,NA,NA,0.709
"55","6/26/2019","8:14:32",25.643,740.5,125,10.21,142.5,144.2,8.69,224.7,4.66,2.24,2.26,NA,14.399,58.56,NA,NA,0.733
"56","6/26/2019","8:14:33",25.641,740.6,125.1,10.21,142.5,144.3,8.69,224.9,4.67,2.182,2.2,NA,14.28,58.07,NA,NA,0.746
"57","6/26/2019","8:14:34",25.639,740.6,125,10.21,142.6,144.3,8.69,225,4.65,2.061,2.08,NA,13.459,54.73,NA,NA,0.771
"58","6/26/2019","8:14:35",25.639,740.5,125,10.21,142.6,144.4,8.69,225.1,4.58,2.112,2.13,NA,12.97,52.73,NA,NA,0.787
"59","6/26/2019","8:14:36",25.638,740.5,125,10.21,142.6,144.3,8.69,225.1,4.4,2.033,2.05,NA,12.811,52.09,NA,NA,0.812
"60","6/26/2019","8:14:37",25.637,740.5,125.1,10.21,142.5,144.2,8.69,225.1,4.35,2.058,2.08,NA,13.164,53.53,NA,NA,0.832
"61","6/26/2019","8:14:38",25.637,740.6,125,10.21,142.5,144.2,8.7,225.2,4.55,2.123,2.14,NA,13.948,56.72,NA,NA,0.864
"62","6/26/2019","8:14:39",25.638,740.5,125,10.21,142.5,144.2,8.7,225.5,4.73,1.911,1.93,NA,12.852,52.25,NA,NA,0.904
"63","6/26/2019","8:14:40",25.639,740.5,125.1,10.21,142.5,144.3,8.7,225.4,4.62,1.783,1.8,NA,10.986,44.65,NA,NA,0.948
"64","6/26/2019","8:14:41",25.64,740.5,125,10.21,142.6,144.4,8.69,225.4,4.36,1.799,1.81,NA,10.367,42.13,NA,NA,0.996
"65","6/26/2019","8:14:42",25.64,740.6,124.9,10.2,142.7,144.4,8.69,225.6,4.29,1.741,1.75,NA,9.512,38.64,NA,NA,1.034
"66","6/26/2019","8:14:43",25.639,740.6,124.7,10.18,142.6,144.4,8.68,225.8,4.06,1.624,1.64,NA,8.875,36.05,NA,NA,1.097
"67","6/26/2019","8:14:44",25.638,740.5,124.5,10.17,142.6,144.3,8.68,226,3.91,1.552,1.56,NA,8.898,36.14,NA,NA,1.135
"68","6/26/2019","8:14:45",25.634,740.5,124.3,10.15,142.6,144.3,8.67,226.2,4.05,1.553,1.56,NA,9.772,39.7,NA,NA,1.172
"69","6/26/2019","8:14:46",25.631,740.5,124,10.13,142.6,144.3,8.67,226.5,3.73,1.55,1.56,NA,9.62,39.08,NA,NA,1.211
"70","6/26/2019","8:14:47",25.61,740.6,123.5,10.09,142.6,144.3,8.67,226.8,3.71,1.654,1.67,NA,9.322,37.87,NA,NA,1.283
"71","6/26/2019","8:14:48",25.566,740.5,122.8,10.04,142.8,144.4,8.66,226.9,4.13,1.792,1.81,NA,10.416,42.33,NA,NA,1.315
"72","6/26/2019","8:14:49",25.495,740.5,122.1,9.99,143.1,144.4,8.65,226.9,4.49,1.831,1.85,NA,11.079,45.03,NA,NA,1.355
"73","6/26/2019","8:14:50",25.469,740.5,121.4,9.94,143.1,144.4,8.62,227.2,4.74,1.783,1.8,NA,11.11,45.16,NA,NA,1.388
"74","6/26/2019","8:14:51",25.465,740.5,120,9.83,143.2,144.5,8.55,228.3,4.66,1.685,1.7,NA,10.499,42.67,NA,NA,1.42
"75","6/26/2019","8:14:52",25.449,740.5,118.4,9.7,143.3,144.6,8.54,228.4,4.57,1.705,1.72,NA,9.985,40.57,NA,NA,1.451
"76","6/26/2019","8:14:53",25.346,740.4,116.9,9.59,143.6,144.6,8.54,228.4,4.61,1.503,1.51,NA,8.762,35.59,NA,NA,1.487
"77","6/26/2019","8:14:54",25.281,740.5,114.5,9.41,143.9,144.6,8.54,228.4,4.58,1.324,1.33,NA,7.542,30.62,NA,NA,1.501
"78","6/26/2019","8:14:55",25.265,740.6,112.2,9.22,144,144.7,8.53,228.6,3.96,1.422,1.43,NA,7.71,31.3,NA,NA,1.523
"79","6/26/2019","8:14:56",25.261,740.4,109.8,9.02,144,144.8,8.5,229.1,3.98,1.453,1.46,NA,8.419,34.19,NA,NA,1.537
"80","6/26/2019","8:14:57",25.253,740.5,108.2,8.9,144.1,144.8,8.46,229.5,4.16,1.399,1.41,NA,8.43,34.24,NA,NA,1.555
"81","6/26/2019","8:14:58",25.216,740.5,105.4,8.67,144.2,144.8,8.42,230.1,4.11,1.497,1.51,NA,8.647,35.12,NA,NA,1.584
"82","6/26/2019","8:14:59",25.181,740.5,103.2,8.5,144.4,144.9,8.39,230.3,4.11,1.504,1.51,NA,8.982,36.49,NA,NA,1.616
"83","6/26/2019","8:15:00",25.14,740.6,100.7,8.29,144.6,145,8.36,230.6,3.98,1.45,1.46,NA,8.217,33.37,NA,NA,1.652
"84","6/26/2019","8:15:01",25.126,740.6,99.1,8.17,144.6,144.9,8.33,230.8,3.93,1.508,1.52,NA,8.582,34.85,NA,NA,1.676
"85","6/26/2019","8:15:02",25.119,740.6,96.1,7.92,144.6,145,8.3,231.3,4.17,1.488,1.5,NA,9.396,38.17,NA,NA,1.716
"86","6/26/2019","8:15:03",25.131,740.6,94.3,7.78,144.7,145,8.27,231.6,4.32,1.391,1.4,NA,9.63,39.13,NA,NA,1.76
"87","6/26/2019","8:15:04",25.114,740.5,92.9,7.66,144.7,145.1,8.26,231.7,4.27,1.423,1.43,NA,8.86,35.99,NA,NA,1.79
"88","6/26/2019","8:15:05",25.054,740.5,90.7,7.48,144.9,145.1,8.22,232,4.15,1.491,1.5,NA,8.846,35.93,NA,NA,1.824
