Date,Time,X.C,mmHg,DO..,DO.mg.L,SPC.uS.cm,C.uS.cm,pH,ORP.mV,FNU,BGA.PC.RFU,BGA.PC.ug.L,BGA.PC.c.mL,Chl.RFU,Chl.ug.L,PAR1.ppfd,PAR2.ppfd,DEP.m
10/16/2019,16:09:56,17.486,743,94.9,9.08,176.6,151.3,13.53,307.4,7.68,1.379,1.39,NA,2.652,10.69,NA,NA,0
10/16/2019,16:09:57,17.494,743,94.7,9.05,176.7,151.3,13.52,307.5,7.62,1.398,1.41,NA,2.687,10.84,NA,NA,0.064
10/16/2019,16:09:58,17.481,743,94.4,9.03,176.7,151.3,13.52,307.8,8,1.536,1.55,NA,2.922,11.79,NA,NA,0.094
10/16/2019,16:09:59,17.44,743,94.1,9.01,176.8,151.3,13.52,308.1,8.06,1.636,1.65,NA,3.087,12.47,NA,NA,0.148
10/16/2019,16:10:00,17.425,742.9,93.9,8.99,177,151.4,13.52,308.2,8.05,1.717,1.73,NA,3.052,12.32,NA,NA,0.213
10/16/2019,16:10:01,17.434,743,93.8,8.98,177,151.5,13.52,308.2,8.39,1.847,1.86,NA,3.168,12.79,NA,NA,0.313
10/16/2019,16:10:02,17.437,743,93.6,8.96,177,151.5,13.52,308.1,8.77,1.912,1.93,NA,3.379,13.66,NA,NA,0.413
10/16/2019,16:10:03,17.437,743,93.3,8.93,177.1,151.5,13.52,308,9.22,1.851,1.87,NA,3.33,13.45,NA,NA,0.502
10/16/2019,16:10:04,17.415,743,93,8.91,177.2,151.5,13.52,307.8,10.26,1.844,1.86,NA,3.179,12.84,NA,NA,0.558
10/16/2019,16:10:05,17.359,743,92.6,8.87,177.4,151.5,13.52,307.6,10.24,1.78,1.8,NA,2.983,12.04,NA,NA,0.62
10/16/2019,16:10:06,17.28,743,92.3,8.86,177.5,151.4,13.52,307.3,9.92,1.733,1.75,NA,2.849,11.49,NA,NA,0.675
10/16/2019,16:10:07,17.247,743,91.9,8.83,177.5,151.2,13.52,307,9.95,1.749,1.76,NA,2.909,11.74,NA,NA,0.727
