"","Date..MM.DD.YYYY.","Time..HH.mm.ss.","Time..Fract..Sec.","Site.Name","Chlorophyll.RFU","Chlorophyll.ug.L","Cond.µS.cm","Depth.m","nLF.Cond.µS.cm","ODO...sat","ODO...local","ODO.mg.L","ORP.mV","Pressure.psi.a","Sal.psu","SpCond.µS.cm","TAL.PC.RFU","TAL.PC.ug.L","TDS.mg.L","Turbidity.FNU","TSS.mg.L","pH","pH.mV","Temp..C","Vertical.Position.m","GPS.Latitude..","GPS.Longitude..","Altitude.m","Battery.V","Cable.Pwr.V","Barometer.mmHg"
"11","6/26/2019","9:08:36",0,"LLEAST",11.48,46.66,147.3,0.027,142.8,119.8,119.8,9.63,240.9,0.038,0.07,143.2,1.98,2,93,4.67,0,8.78,-143.5,26.484,0.03,37.48271,-94.24496,287.9,0,12,741.1
"12","6/26/2019","9:08:37",0,"LLEAST",11.47,46.63,147.3,0.039,142.8,119.9,119.9,9.64,240.4,0.055,0.07,143.2,2,2.02,93,4.87,0,8.78,-143.5,26.491,0.04,37.48272,-94.24496,287.6,0,12,741.2
"13","6/26/2019","9:08:38",0,"LLEAST",11.26,45.75,147.3,0.059,142.8,119.9,119.9,9.64,239.9,0.084,0.07,143.3,1.99,2.01,93,4.9,0,8.78,-143.4,26.492,0.083,37.48272,-94.24496,287.5,0,12,741.1
"14","6/26/2019","9:08:39",0,"LLEAST",11.16,45.37,147.4,0.114,142.9,119.9,119.9,9.64,239.7,0.161,0.07,143.3,1.93,1.94,93,4.83,0,8.78,-143.3,26.498,0.135,37.48272,-94.24496,287.5,0,12,741.1
"15","6/26/2019","9:08:40",0,"LLEAST",10.92,44.37,147.4,0.164,142.9,120,120,9.64,239.3,0.232,0.07,143.3,1.94,1.96,93,4.44,0,8.78,-143.3,26.501,0.178,37.48272,-94.24496,287.5,0,12,741.1
"16","6/26/2019","9:08:41",0,"LLEAST",11.78,47.88,147.4,0.205,142.9,120,120,9.64,238.9,0.29,0.07,143.3,2,2.02,93,4.59,0,8.78,-143.3,26.497,0.222,37.48272,-94.24496,287.5,0,12,741.1
"17","6/26/2019","9:08:42",0,"LLEAST",11.57,47.02,147.4,0.246,142.9,120,120,9.64,238.7,0.349,0.07,143.3,1.93,1.94,93,4.76,0,8.78,-143.1,26.498,0.26,37.48272,-94.24496,287.5,0,12,741.1
"18","6/26/2019","9:08:43",0,"LLEAST",10.93,44.43,147.4,0.289,142.9,120,120,9.64,238.7,0.409,0.07,143.3,1.89,1.91,93,4.84,0,8.77,-143,26.503,0.31,37.48272,-94.24496,287.5,0,12,741.1
"19","6/26/2019","9:08:44",0,"LLEAST",11.37,46.2,147.5,0.334,142.9,120,120,9.65,238.3,0.474,0.07,143.3,1.9,1.91,93,4.76,0,8.77,-143.1,26.507,0.355,37.48272,-94.24496,287.7,0,12,741.2
"20","6/26/2019","9:08:45",0,"LLEAST",11.3,45.91,147.5,0.385,142.9,120.1,120.1,9.65,238,0.545,0.07,143.3,1.95,1.97,93,4.77,0,8.78,-143.2,26.506,0.395,37.48272,-94.24496,287.7,0,12,741.2
