"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","C.uS.cm","pH","ORP.mV","FNU","BGA.PC.RFU","BGA.PC.ug.L","BGA.PC.c.mL","Chl.RFU","Chl.ug.L","PAR1.ppfd","PAR2.ppfd","DEP.m"
"2","8/14/2019","15:40:00",32.988,740.1,125,8.98,169.3,195.1,8.97,123.1,5.78,2.228,2.25,NA,1.75,7.02,NA,NA,0.241
"13","8/14/2019","15:40:11",32.913,740.2,128.8,9.26,169.4,195,8.99,124.8,5.87,2.128,2.15,NA,1.702,6.82,NA,NA,0.242
"14","8/14/2019","15:40:12",32.914,740.1,129.1,9.28,169.4,195,9,124.9,5.92,2.137,2.16,NA,1.744,6.99,NA,NA,0.244
"15","8/14/2019","15:40:13",32.91,740.1,129.2,9.29,169.5,195.1,9,124.9,6.01,2.154,2.18,NA,1.822,7.31,NA,NA,0.263
"16","8/14/2019","15:40:14",32.897,740.1,129.2,9.3,169.4,195,9,124.8,6.01,2.246,2.27,NA,1.805,7.24,NA,NA,0.311
"17","8/14/2019","15:40:15",32.893,740.1,129.3,9.3,169.5,195,9,124.8,5.91,2.251,2.28,NA,1.755,7.04,NA,NA,0.316
"18","8/14/2019","15:40:16",32.888,740,129.5,9.32,169.6,195.2,9,124.8,5.69,2.25,2.27,NA,1.783,7.15,NA,NA,0.32
"19","8/14/2019","15:40:17",32.863,740.1,129.7,9.34,169.7,195.1,9.01,124.9,5.83,2.19,2.21,NA,1.855,7.44,NA,NA,0.325
"20","8/14/2019","15:40:18",32.855,740.1,129.9,9.35,169.7,195.2,9.01,124.9,5.95,2.142,2.16,NA,1.826,7.33,NA,NA,0.338
"21","8/14/2019","15:40:19",32.856,740.1,129.9,9.35,169.8,195.2,9.01,125,5.97,2.213,2.24,NA,1.802,7.23,NA,NA,0.355
"22","8/14/2019","15:40:20",32.858,740.2,129.9,9.35,169.7,195.1,9.02,125,5.84,2.241,2.26,NA,1.841,7.39,NA,NA,0.377
"23","8/14/2019","15:40:21",32.854,740.1,130.1,9.36,169.6,195,9.02,125,5.85,2.229,2.25,NA,1.83,7.34,NA,NA,0.384
"24","8/14/2019","15:40:22",32.823,740.1,130.4,9.39,169.7,195.1,9.02,125.2,6.05,2.276,2.3,NA,1.856,7.45,NA,NA,0.391
"25","8/14/2019","15:40:23",32.787,740.1,130.6,9.41,169.8,195,9.02,125.2,6.42,2.301,2.33,NA,1.915,7.69,NA,NA,0.396
"26","8/14/2019","15:40:24",32.654,740,130.9,9.44,169.7,194.6,9.02,125.3,6.27,2.249,2.27,NA,1.952,7.84,NA,NA,0.418
"27","8/14/2019","15:40:25",32.586,740,131,9.47,169.8,194.4,9.03,125.4,6.09,2.335,2.36,NA,2.011,8.08,NA,NA,0.427
"28","8/14/2019","15:40:26",32.5,740.1,130.8,9.46,170,194.5,9.03,125.4,6.68,2.47,2.5,NA,2.324,9.36,NA,NA,0.435
"29","8/14/2019","15:40:27",32.215,740,129.9,9.43,170.9,194.4,9.03,125.5,6.56,2.53,2.56,NA,2.6,10.48,NA,NA,0.445
"30","8/14/2019","15:40:28",31.748,740.1,129.2,9.43,172,194.4,9.04,125.6,6.44,2.516,2.55,NA,2.653,10.7,NA,NA,0.45
"31","8/14/2019","15:40:29",31.361,740.2,130.2,9.59,173.2,194.3,9.04,125.6,6.67,2.464,2.49,NA,2.659,10.72,NA,NA,0.453
"32","8/14/2019","15:40:30",31.407,740.2,131.2,9.68,173.1,194.2,9.04,125.5,6.59,2.514,2.54,NA,2.581,10.4,NA,NA,0.456
"33","8/14/2019","15:40:31",31.42,740.1,132.1,9.74,173,194.2,9.04,125.4,6.32,2.579,2.61,NA,2.542,10.24,NA,NA,0.458
"35","8/14/2019","15:40:33",31.233,740.1,131.8,9.73,173.4,194.2,9.05,125.2,6.77,2.448,2.48,NA,2.61,10.52,NA,NA,0.459
"36","8/14/2019","15:40:34",31.156,740.1,131.1,9.7,173.6,194,9.05,125.1,6.85,2.475,2.5,NA,2.789,11.25,NA,NA,0.464
"37","8/14/2019","15:40:35",31.072,740,130.1,9.64,173.6,193.8,9.06,125,6.92,2.576,2.61,NA,2.984,12.04,NA,NA,0.47
"38","8/14/2019","15:40:36",30.833,740,129.7,9.64,174.1,193.5,9.07,124.9,6.97,2.668,2.7,NA,3.006,12.14,NA,NA,0.474
"39","8/14/2019","15:40:37",30.682,740,130.3,9.72,174.1,193.1,9.07,124.9,7.29,2.641,2.67,NA,2.935,11.85,NA,NA,0.478
"40","8/14/2019","15:40:38",30.679,740,131.1,9.79,173.8,192.7,9.07,125,7.24,2.605,2.64,NA,2.921,11.79,NA,NA,0.482
"41","8/14/2019","15:40:39",30.716,740.1,131.1,9.79,173.3,192.2,9.08,124.8,7.31,2.562,2.59,NA,2.936,11.85,NA,NA,0.488
"42","8/14/2019","15:40:40",30.803,740.1,130.6,9.74,172.9,192.1,9.08,124.8,7.18,2.619,2.65,NA,3.168,12.79,NA,NA,0.496
"43","8/14/2019","15:40:41",30.957,740.1,130.8,9.73,172.4,192,9.08,124.8,6.95,2.664,2.7,NA,3.268,13.2,NA,NA,0.498
"44","8/14/2019","15:40:42",30.868,740,131.1,9.74,172.4,191.7,9.09,124.7,6.99,2.636,2.67,NA,3.156,12.74,NA,NA,0.503
"45","8/14/2019","15:40:43",30.483,740.1,131.4,9.82,173.2,191.4,9.09,124.6,7.16,2.662,2.7,NA,3.195,12.9,NA,NA,0.51
"46","8/14/2019","15:40:44",30.328,740.1,132.4,9.94,173.6,191.3,9.1,124.6,7.41,2.72,2.75,NA,3.239,13.08,NA,NA,0.516
"47","8/14/2019","15:40:45",30.207,740,132.8,9.99,173.9,191.2,9.1,124.5,7.19,2.704,2.74,NA,3.344,13.51,NA,NA,0.523
"48","8/14/2019","15:40:46",30.21,740.1,132.9,10.01,173.8,191.1,9.11,124.4,7.14,2.703,2.74,NA,3.444,13.92,NA,NA,0.531
"49","8/14/2019","15:40:47",30.225,740,133.2,10.03,173.8,191.1,9.11,124.2,7.25,2.747,2.78,NA,3.449,13.94,NA,NA,0.537
"50","8/14/2019","15:40:48",30.181,740.1,133.1,10.02,173.8,191,9.11,124.2,7.51,2.776,2.81,NA,3.43,13.86,NA,NA,0.54
"51","8/14/2019","15:40:49",30.185,740.1,133.2,10.03,173.5,190.7,9.11,124.2,7.79,2.828,2.86,NA,3.445,13.92,NA,NA,0.543
"52","8/14/2019","15:40:50",30.28,740,133.1,10.02,173,190.4,9.11,124.2,7.77,2.841,2.88,NA,3.367,13.6,NA,NA,0.547
"53","8/14/2019","15:40:51",30.24,740,133.2,10.02,172.9,190.2,9.11,124.3,7.54,2.772,2.81,NA,3.327,13.44,NA,NA,0.553
"54","8/14/2019","15:40:52",30.075,740.2,133.5,10.06,173,189.8,9.11,124.3,7.48,2.716,2.75,NA,3.326,13.44,NA,NA,0.559
"55","8/14/2019","15:40:53",29.997,740.1,134,10.12,172.8,189.3,9.11,124.3,7.67,2.737,2.77,NA,3.329,13.45,NA,NA,0.568
"56","8/14/2019","15:40:54",29.949,740.1,134.4,10.16,172.3,188.6,9.11,124.2,7.75,2.707,2.74,NA,3.353,13.55,NA,NA,0.58
"57","8/14/2019","15:40:55",29.935,740.1,134.5,10.17,172,188.2,9.11,124.2,7.59,2.678,2.71,NA,3.383,13.67,NA,NA,0.592
"58","8/14/2019","15:40:56",29.943,740.1,134.6,10.19,172.2,188.5,9.11,124.2,7.27,2.683,2.72,NA,3.475,14.05,NA,NA,0.594
"59","8/14/2019","15:40:57",29.953,740.1,134.9,10.2,172.2,188.5,9.12,124.1,7.55,2.711,2.75,NA,3.477,14.05,NA,NA,0.595
"60","8/14/2019","15:40:58",29.97,740.1,135,10.2,172,188.4,9.12,124.1,7.61,2.718,2.75,NA,3.441,13.91,NA,NA,0.598
"61","8/14/2019","15:40:59",29.992,740.1,134.9,10.2,171.9,188.2,9.12,124,7.35,2.694,2.73,NA,3.451,13.95,NA,NA,0.602
"62","8/14/2019","15:41:00",30.013,740.1,134.9,10.19,171.5,187.9,9.12,124.4,7.75,2.757,2.79,NA,3.626,14.66,NA,NA,0.605
"63","8/14/2019","15:41:01",30.031,740,134.9,10.19,171.2,187.7,9.12,124.7,8.06,2.773,2.81,NA,3.708,15,NA,NA,0.607
"64","8/14/2019","15:41:02",30.043,740,135.1,10.2,171.2,187.7,9.12,124.6,7.79,2.686,2.72,NA,3.604,14.57,NA,NA,0.609
"65","8/14/2019","15:41:03",30.057,740.1,135.2,10.21,171.1,187.6,9.12,124.6,7.53,2.624,2.66,NA,3.503,14.16,NA,NA,0.61
"66","8/14/2019","15:41:04",30.076,740.1,135.3,10.21,170.9,187.4,9.12,124.7,7.41,2.623,2.65,NA,3.42,13.82,NA,NA,0.613
"67","8/14/2019","15:41:05",30.129,740.1,135.3,10.21,170.6,187.2,9.12,124.7,7.45,2.664,2.7,NA,3.348,13.53,NA,NA,0.618
"72","8/14/2019","15:41:10",30.11,740.1,135.6,10.23,170.5,187.1,9.12,125.1,7.52,2.738,2.77,NA,3.552,14.36,NA,NA,0.622
"73","8/14/2019","15:41:11",30.106,740.1,135.6,10.23,170.5,187.2,9.12,125.1,7.46,2.706,2.74,NA,3.497,14.14,NA,NA,0.623
"74","8/14/2019","15:41:12",30.096,740.1,135.7,10.23,170.3,186.9,9.12,125.1,7.85,2.718,2.75,NA,3.507,14.18,NA,NA,0.626
"75","8/14/2019","15:41:13",30.087,740.1,135.9,10.25,170,186.5,9.12,125.1,7.97,2.757,2.79,NA,3.5,14.15,NA,NA,0.628
