"","Date..MM.DD.YYYY.","Time..HH.MM.SS.","Time..Fract..Sec.","Site.Name","Chlorophyll.RFU","Chlorophyll.ug.L","Cond.µS.cm","Depth.m","nLF.Cond.µS.cm","ODO...sat","ODO...local","ODO.mg.L","ORP.mV","Pressure.psi.a","Sal.psu","SpCond.µS.cm","BGA.PC.RFU","BGA.PC.ug.L","TDS.mg.L","Turbidity.FNU","TSS.mg.L","pH","pH.mV","Temp..C","Vertical.Position.m","GPS.Latitude..","GPS.Longitude..","Altitude.m","Battery.V","Cable.Pwr.V","Barometer.mmHg"
"2","4/24/2019","10:46:57",0,"LLMID",0.72,2.8,194.7,0.145,229,87.9,87.3,8.37,240.6,0.206,0.11,226.3,0.08,0.11,147,2.68,0,7.35,-40.9,17.7,0.143,37.48281,-94.25038,282.9,2.34,11.9,734.2
"3","4/24/2019","10:47:00",0,"LLMID",0.72,2.81,195,0.209,229.1,87.7,87.2,8.34,240.4,0.298,0.11,226.4,0.14,0.17,147,2.68,0,7.37,-42.2,17.747,0.216,37.48281,-94.25038,283.8,2.34,11.9,734.3
"4","4/24/2019","10:47:03",0,"LLMID",0.63,2.43,195,0.28,229.1,87.6,87,8.33,240.4,0.398,0.11,226.4,-0.04,-0.01,147,2.73,0,7.39,-43.3,17.746,0.282,37.48281,-94.25038,284.4,2.34,11.9,734.1
"5","4/24/2019","10:47:06",0,"LLMID",0.6,2.31,195.1,0.325,229.3,87.5,86.9,8.32,240.3,0.462,0.11,226.5,0.15,0.18,147,2.75,0,7.41,-44.3,17.747,0.334,37.48282,-94.25038,284.9,2.34,11.8,734.3
"6","4/24/2019","10:47:09",0,"LLMID",0.57,2.19,195.1,0.35,229.2,87.3,86.8,8.31,240.2,0.498,0.11,226.4,0.17,0.2,147,2.95,0,7.43,-45.2,17.752,0.353,37.48282,-94.25038,285.4,2.34,11.8,734.2
"7","4/24/2019","10:47:12",0,"LLMID",0.66,2.54,195.1,0.366,229.2,87.2,86.6,8.29,240.1,0.521,0.11,226.5,0.15,0.18,147,2.79,0,7.44,-46.1,17.754,0.37,37.48282,-94.25039,284.2,2.34,11.8,734.3
"8","4/24/2019","10:47:15",0,"LLMID",0.67,2.6,195.3,0.42,229.3,87.2,86.6,8.29,240.2,0.596,0.11,226.6,0.12,0.15,147,2.95,0,7.46,-47.2,17.763,0.423,37.48282,-94.25039,284.9,2.35,11.8,734.2
"9","4/24/2019","10:47:18",0,"LLMID",0.77,2.99,195.2,0.456,229.2,87.1,86.5,8.28,240.1,0.648,0.11,226.4,0.19,0.22,147,3.07,0,7.48,-48.2,17.766,0.458,37.48282,-94.25038,285.1,2.35,11.8,734.2
"10","4/24/2019","10:47:21",0,"LLMID",0.65,2.53,195.3,0.48,229.4,87,86.4,8.27,240.3,0.682,0.11,226.6,0.17,0.2,147,3.01,0,7.49,-49,17.766,0.483,37.48282,-94.25038,285.7,2.35,11.8,734.2
"11","4/24/2019","10:47:24",0,"LLMID",0.7,2.72,195.3,0.511,229.3,86.9,86.3,8.26,240.1,0.725,0.11,226.6,0.09,0.12,147,2.87,0,7.51,-49.8,17.764,0.515,37.48283,-94.25038,286.1,2.35,11.8,734.3
"12","4/24/2019","10:47:27",0,"LLMID",0.7,2.71,195.2,0.548,229.2,86.8,86.3,8.26,240,0.778,0.11,226.5,0.09,0.12,147,2.94,0,7.52,-50.6,17.767,0.552,37.48283,-94.25038,286.5,2.35,11.9,734.2
"13","4/24/2019","10:47:30",0,"LLMID",0.68,2.65,195.3,0.578,229.3,86.8,86.2,8.25,239.9,0.821,0.11,226.6,0.11,0.14,147,2.85,0,7.53,-51.3,17.762,0.582,37.48283,-94.25038,286.8,2.35,11.9,734.2
"14","4/24/2019","10:47:33",0,"LLMID",0.68,2.64,195.2,0.612,229.2,86.7,86.2,8.24,240.1,0.869,0.11,226.5,0.04,0.07,147,2.96,0,7.54,-51.7,17.765,0.615,37.48283,-94.25038,286.8,2.35,11.9,734.3
"15","4/24/2019","10:47:36",0,"LLMID",0.65,2.54,195.1,0.642,229.1,86.7,86.1,8.24,240.1,0.912,0.11,226.4,0.03,0.06,147,3.2,0,7.55,-52.2,17.764,0.643,37.48283,-94.25038,286.7,2.35,11.9,734.2
"16","4/24/2019","10:47:39",0,"LLMID",0.72,2.81,195.3,0.679,229.3,86.8,86.2,8.25,240,0.965,0.11,226.6,0.16,0.19,147,2.55,0,7.55,-52.6,17.766,0.682,37.48282,-94.25038,286.6,2.35,11.9,734.3
"17","4/24/2019","10:47:42",0,"LLMID",0.61,2.35,195.2,0.712,229.2,86.7,86.1,8.24,239.9,1.011,0.11,226.5,0.06,0.09,147,2.69,0,7.56,-53.3,17.764,0.722,37.48283,-94.25038,286.6,2.35,11.9,734.3
"18","4/24/2019","10:47:45",0,"LLMID",0.62,2.39,195.3,0.727,229.3,86.7,86.2,8.25,240,1.033,0.11,226.6,0.03,0.06,147,3.12,0,7.57,-53.8,17.762,0.728,37.48283,-94.25038,286.8,2.35,11.9,734.2
"19","4/24/2019","10:47:48",0,"LLMID",0.67,2.6,195.3,0.75,229.3,86.6,86,8.23,239.9,1.066,0.11,226.6,0.09,0.11,147,2.68,0,7.58,-54.4,17.764,0.752,37.48283,-94.25037,286.6,2.35,11.9,734.2
"20","4/24/2019","10:47:51",0,"LLMID",0.67,2.61,195.2,0.776,229.3,86.6,86,8.23,239.7,1.102,0.11,226.5,0.19,0.21,147,2.99,0,7.59,-55,17.765,0.779,37.48283,-94.25037,286.8,2.35,11.9,734.2
"21","4/24/2019","10:47:54",0,"LLMID",0.65,2.51,195.3,0.804,229.3,86.5,86,8.23,239.6,1.142,0.11,226.6,0.01,0.03,147,2.91,0,7.6,-55.4,17.764,0.812,37.48283,-94.25037,286.9,2.35,11.9,734.2
"22","4/24/2019","10:47:57",0,"LLMID",0.63,2.43,195.3,0.851,229.3,86.6,86,8.23,239.6,1.209,0.11,226.6,0.23,0.26,147,2.86,0,7.61,-55.8,17.765,0.853,37.48283,-94.25037,286.9,2.35,11.9,734.1
"23","4/24/2019","10:48:00",0,"LLMID",0.68,2.63,195.3,0.885,229.3,86.5,86,8.23,239.6,1.258,0.11,226.6,0.14,0.17,147,2.78,0,7.61,-56.1,17.766,0.887,37.48283,-94.25037,286.8,2.35,11.9,734.2
"24","4/24/2019","10:48:03",0,"LLMID",0.67,2.58,195.3,0.915,229.3,86.5,86,8.23,239.5,1.299,0.11,226.6,0.11,0.14,147,2.73,0,7.62,-56.5,17.767,0.919,37.48283,-94.25038,287.2,2.35,11.9,734.2
"25","4/24/2019","10:48:06",0,"LLMID",0.62,2.4,195.2,0.953,229.3,86.5,85.9,8.22,239.8,1.354,0.11,226.5,0.11,0.14,147,2.6,0,7.63,-56.9,17.766,0.956,37.48283,-94.25038,287.2,2.35,11.9,734.3
"26","4/24/2019","10:48:09",0,"LLMID",0.71,2.75,195.3,0.982,229.4,86.4,85.9,8.22,239.7,1.396,0.11,226.7,0.12,0.15,147,2.83,0,7.63,-57.3,17.763,0.986,37.48283,-94.25038,287.2,2.35,11.9,734.3
"27","4/24/2019","10:48:12",0,"LLMID",0.56,2.17,195.3,1.012,229.4,86.4,85.9,8.22,239.6,1.437,0.11,226.6,0.07,0.1,147,2.78,0,7.64,-57.6,17.761,1.016,37.48283,-94.25038,287.1,2.35,11.9,734.2
"28","4/24/2019","10:48:15",0,"LLMID",0.61,2.35,195.3,1.048,229.4,86.4,85.8,8.21,239.5,1.488,0.11,226.6,0.06,0.09,147,2.69,0,7.64,-57.9,17.76,1.052,37.48283,-94.25038,287.1,2.35,11.9,734.1
"29","4/24/2019","10:48:18",0,"LLMID",0.67,2.61,195.3,1.079,229.3,86.3,85.7,8.21,239.5,1.532,0.11,226.6,0.13,0.16,147,2.84,0,7.65,-58,17.762,1.081,37.48283,-94.25038,287,2.35,11.9,734.1
"30","4/24/2019","10:48:21",0,"LLMID",0.6,2.33,195.3,1.109,229.4,86.2,85.7,8.2,239.4,1.575,0.11,226.7,0.17,0.2,147,2.72,0,7.65,-58.4,17.76,1.113,37.48283,-94.25038,287.2,2.35,11.9,734.3
"31","4/24/2019","10:48:24",0,"LLMID",0.66,2.56,195.2,1.141,229.3,86.2,85.6,8.19,239.4,1.621,0.11,226.5,0.08,0.11,147,2.71,0,7.66,-58.6,17.762,1.146,37.48283,-94.25038,287.3,2.35,11.9,734.1
"32","4/24/2019","10:48:27",0,"LLMID",0.69,2.69,195.3,1.173,229.3,86.1,85.6,8.19,239.4,1.667,0.11,226.6,0.08,0.11,147,2.85,0,7.66,-59.1,17.765,1.178,37.48284,-94.25039,287.5,2.36,11.9,734.1
"33","4/24/2019","10:48:30",0,"LLMID",0.58,2.24,195.3,1.204,229.4,86.1,85.6,8.19,239.4,1.71,0.11,226.6,0.08,0.11,147,2.73,0,7.67,-59.4,17.766,1.209,37.48284,-94.25039,287.6,2.36,11.9,734.1
"34","4/24/2019","10:48:33",0,"LLMID",0.68,2.63,195.3,1.237,229.3,86.1,85.5,8.18,239.4,1.757,0.11,226.6,0.13,0.16,147,2.71,0,7.68,-59.8,17.765,1.24,37.48284,-94.25039,287.6,2.36,11.9,734.1
