"","Date","Time","X.C","mmHg","DO..","DO.mg.L","SPC.uS.cm","C.uS.cm","pH","ORP.mV","FNU","BGA.PC.RFU","BGA.PC.ug.L","BGA.PC.c.mL","Chl.RFU","Chl.ug.L","PAR1.ppfd","PAR2.ppfd","DEP.m"
"15","8/14/2019","15:09:30",30.449,740.2,145.8,10.93,166.9,184.2,8.96,192.7,5.82,2.377,2.4,NA,2.517,10.14,NA,NA,0.193
"16","8/14/2019","15:09:31",30.528,740.2,146.7,11,166.8,184.4,8.97,192.8,5.84,2.282,2.31,NA,2.457,9.9,NA,NA,0.197
"17","8/14/2019","15:09:32",30.562,740.1,146.9,10.99,166.8,184.5,8.97,192.5,5.77,2.273,2.3,NA,2.391,9.63,NA,NA,0.2
"18","8/14/2019","15:09:33",30.59,740.2,147.7,11.05,166.8,184.7,8.98,192.4,5.67,2.284,2.31,NA,2.366,9.53,NA,NA,0.202
"19","8/14/2019","15:09:34",30.655,740.3,148.3,11.09,166.9,184.9,8.98,193,5.48,2.247,2.27,NA,2.384,9.6,NA,NA,0.204
"20","8/14/2019","15:09:35",30.652,740.2,148.3,11.08,167,185,8.99,193.3,5.56,2.221,2.25,NA,2.345,9.44,NA,NA,0.206
"22","8/14/2019","15:09:37",30.744,740.2,148.4,11.08,166.9,185.1,8.99,192.6,5.66,2.266,2.29,NA,2.386,9.61,NA,NA,0.207
"23","8/14/2019","15:09:38",30.876,740.2,147.9,11.02,166.5,185.2,8.99,192.1,5.59,2.301,2.33,NA,2.427,9.78,NA,NA,0.213
"24","8/14/2019","15:09:39",30.864,740.2,148.2,11.03,166.6,185.3,9,192,5.7,2.245,2.27,NA,2.3,9.26,NA,NA,0.236
"25","8/14/2019","15:09:40",30.849,740.2,149.8,11.15,166.8,185.4,9,192,5.71,2.175,2.2,NA,2.236,9,NA,NA,0.255
"26","8/14/2019","15:09:41",30.868,740.3,150.2,11.18,166.9,185.6,9,191.8,5.68,2.186,2.21,NA,2.287,9.21,NA,NA,0.279
"27","8/14/2019","15:09:42",30.894,740.2,150,11.16,166.9,185.7,9,191.5,5.55,2.104,2.13,NA,2.287,9.21,NA,NA,0.288
"28","8/14/2019","15:09:43",30.913,740.2,149.7,11.14,167.1,185.9,9.01,191,5.51,2.041,2.06,NA,2.319,9.34,NA,NA,0.302
"29","8/14/2019","15:09:44",30.94,740.2,149.3,11.11,167.2,186.1,9.02,191,5.65,2.067,2.09,NA,2.307,9.29,NA,NA,0.316
"30","8/14/2019","15:09:45",31.048,740.1,149.3,11.09,167.1,186.4,9.02,190.9,5.72,2.039,2.06,NA,2.232,8.98,NA,NA,0.331
"31","8/14/2019","15:09:46",31.096,740.1,149.2,11.07,167.2,186.7,9.02,190.7,5.6,1.989,2.01,NA,2.205,8.87,NA,NA,0.354
"32","8/14/2019","15:09:47",31.109,740.3,149.5,11.09,167.3,186.8,9.02,190.7,5.52,2.02,2.04,NA,2.213,8.91,NA,NA,0.371
"33","8/14/2019","15:09:48",31.089,740.3,149.8,11.1,167.4,186.9,9.03,190.7,5.52,2.008,2.03,NA,2.222,8.94,NA,NA,0.382
"34","8/14/2019","15:09:49",31.051,740.3,149.9,11.12,167.7,187,9.03,190.4,5.53,2.045,2.07,NA,2.183,8.78,NA,NA,0.396
"35","8/14/2019","15:09:50",31.057,740.2,150.2,11.15,167.7,187.1,9.03,190,5.47,2.082,2.1,NA,2.16,8.69,NA,NA,0.418
"36","8/14/2019","15:09:51",31.084,740.2,150.8,11.18,167.8,187.2,9.03,189.7,5.41,2.085,2.11,NA,2.25,9.06,NA,NA,0.44
"37","8/14/2019","15:09:52",31.094,740.2,151,11.2,167.8,187.3,9.03,189.8,5.37,2.038,2.06,NA,2.265,9.12,NA,NA,0.459
"38","8/14/2019","15:09:53",31.094,740.2,151.2,11.22,167.7,187.3,9.03,189.9,5.64,2.013,2.03,NA,2.162,8.7,NA,NA,0.469
"39","8/14/2019","15:09:54",31.086,740.2,151.2,11.21,167.7,187.2,9.03,189.8,5.84,2.049,2.07,NA,2.2,8.85,NA,NA,0.486
"40","8/14/2019","15:09:55",31.078,740.2,151.3,11.22,167.8,187.3,9.03,189.6,5.69,2.065,2.09,NA,2.361,9.51,NA,NA,0.497
"41","8/14/2019","15:09:56",31.085,740.2,151.3,11.22,167.8,187.3,9.04,189.3,5.6,2.077,2.1,NA,2.395,9.64,NA,NA,0.513
"42","8/14/2019","15:09:57",31.082,740.1,151,11.2,167.8,187.2,9.04,189.5,5.54,2.105,2.13,NA,2.268,9.13,NA,NA,0.524
"43","8/14/2019","15:09:58",31.037,740.2,150.8,11.19,167.8,187.2,9.03,189.6,5.6,2.117,2.14,NA,2.295,9.24,NA,NA,0.539
"44","8/14/2019","15:09:59",30.979,740.2,150.9,11.21,168,187.2,9.03,189.1,5.53,2.194,2.22,NA,2.343,9.43,NA,NA,0.552
"45","8/14/2019","15:10:00",30.931,740.2,151.2,11.24,168.1,187.2,9.04,188.9,5.45,2.231,2.26,NA,2.35,9.46,NA,NA,0.563
"46","8/14/2019","15:10:01",30.891,740.1,151.6,11.28,168.2,187.1,9.03,188.7,5.59,2.162,2.18,NA,2.456,9.89,NA,NA,0.585
"47","8/14/2019","15:10:02",30.722,740.1,151.7,11.3,168.4,186.9,9.02,189.1,5.74,2.381,2.41,NA,2.651,10.69,NA,NA,0.621
"48","8/14/2019","15:10:03",30.454,740.3,151.7,11.35,169,186.6,9.01,189.2,5.96,2.565,2.6,NA,2.815,11.36,NA,NA,0.643
"49","8/14/2019","15:10:04",30.356,740.2,151.4,11.36,168.9,186.2,9,189.2,6.06,2.546,2.58,NA,2.885,11.64,NA,NA,0.67
"50","8/14/2019","15:10:05",30.258,740.2,151.6,11.4,168.5,185.5,8.99,189.1,6,2.572,2.6,NA,2.897,11.69,NA,NA,0.706
"51","8/14/2019","15:10:06",30.15,740.2,151.8,11.42,168.5,185.1,8.98,189,6.18,2.704,2.74,NA,2.96,11.95,NA,NA,0.751
"52","8/14/2019","15:10:07",29.839,740.1,151.5,11.45,169,184.8,8.99,189.4,5.91,2.809,2.84,NA,3.118,12.59,NA,NA,0.793
"53","8/14/2019","15:10:08",29.79,740.2,151.4,11.48,169.1,184.6,9,189.5,5.9,2.89,2.93,NA,3.289,13.29,NA,NA,0.84
"54","8/14/2019","15:10:09",29.739,740.3,151.5,11.49,168.9,184.2,8.99,189.2,6.25,3.05,3.09,NA,3.45,13.94,NA,NA,0.884
"55","8/14/2019","15:10:10",29.517,740.1,150.9,11.47,168.7,183.2,8.98,189.2,6.12,3.153,3.2,NA,3.568,14.43,NA,NA,0.925
"56","8/14/2019","15:10:11",29.437,740.2,150.7,11.5,168.8,183.1,8.97,189.4,6.44,3.128,3.17,NA,3.63,14.68,NA,NA,0.946
"57","8/14/2019","15:10:12",29.485,740.2,150.2,11.46,168.8,183.3,8.96,189.3,6.86,3.04,3.08,NA,3.755,15.19,NA,NA,0.961
"58","8/14/2019","15:10:13",29.484,740.2,149.3,11.38,168.9,183.3,8.96,189.1,6.38,3.032,3.07,NA,3.75,15.16,NA,NA,0.969
"59","8/14/2019","15:10:14",29.447,740.2,148.5,11.32,169,183.4,8.96,188.6,6.15,3.122,3.16,NA,3.515,14.21,NA,NA,0.975
"60","8/14/2019","15:10:15",29.419,740.2,147.6,11.26,169.3,183.6,8.95,188.5,6.09,3.151,3.19,NA,3.549,14.35,NA,NA,0.988
"61","8/14/2019","15:10:16",29.403,740.2,146.5,11.18,169.5,183.8,8.94,188.8,5.92,3.143,3.19,NA,3.666,14.82,NA,NA,1.003
"62","8/14/2019","15:10:17",29.396,740.2,145.6,11.12,169.5,183.7,8.93,188.7,6.18,3.127,3.17,NA,3.607,14.59,NA,NA,1.017
"63","8/14/2019","15:10:18",29.408,740.1,144.4,11.03,169.6,183.8,8.93,188.5,6.49,3.116,3.16,NA,3.532,14.28,NA,NA,1.023
"64","8/14/2019","15:10:19",29.397,740.3,143.5,10.95,169.7,183.9,8.93,188.2,6.69,3.172,3.22,NA,3.498,14.14,NA,NA,1.035
"65","8/14/2019","15:10:20",29.321,740.2,142.2,10.87,169.9,183.9,8.92,188.2,6.72,3.201,3.24,NA,3.497,14.13,NA,NA,1.059
"66","8/14/2019","15:10:21",29.293,740.3,141.3,10.81,170,184,8.91,188.5,6.37,3.181,3.22,NA,3.488,14.1,NA,NA,1.08
"67","8/14/2019","15:10:22",29.266,740.2,140.2,10.72,170.1,184,8.9,188.6,6.36,3.114,3.16,NA,3.431,13.87,NA,NA,1.099
"68","8/14/2019","15:10:23",29.247,740.2,139.2,10.65,170.2,184,8.89,188.5,6.67,3.12,3.16,NA,3.467,14.01,NA,NA,1.118
"69","8/14/2019","15:10:24",29.25,740.3,137.9,10.56,170.3,184.1,8.88,188.6,6.76,3.185,3.23,NA,3.476,14.05,NA,NA,1.132
"70","8/14/2019","15:10:25",29.257,740.2,136.9,10.48,170.4,184.2,8.87,188.5,6.65,3.26,3.31,NA,3.428,13.86,NA,NA,1.14
"71","8/14/2019","15:10:26",29.223,740.3,135.8,10.4,170.5,184.3,8.86,188.4,6.59,3.327,3.37,NA,3.355,13.56,NA,NA,1.151
"72","8/14/2019","15:10:27",29.172,740.2,134.8,10.33,170.7,184.3,8.85,188.4,6.67,3.354,3.4,NA,3.22,13.01,NA,NA,1.162
"74","8/14/2019","15:10:29",29.126,740.2,133.3,10.23,170.8,184.3,8.84,188.4,6.39,3.335,3.38,NA,3.102,12.52,NA,NA,1.173
"75","8/14/2019","15:10:30",29.177,740.2,132.6,10.16,170.7,184.3,8.83,188.3,6.41,3.306,3.35,NA,3.179,12.84,NA,NA,1.18
"76","8/14/2019","15:10:31",29.153,740.3,131.9,10.11,170.8,184.4,8.83,188,6.29,3.259,3.3,NA,3.353,13.55,NA,NA,1.187
"77","8/14/2019","15:10:32",29.103,740.2,131,10.05,171,184.4,8.83,187.7,6.18,3.242,3.29,NA,3.409,13.78,NA,NA,1.193
"78","8/14/2019","15:10:33",29.068,740.2,130.5,10.02,171.1,184.4,8.83,187.4,5.97,3.173,3.22,NA,3.329,13.45,NA,NA,1.205
"79","8/14/2019","15:10:34",29.059,740.2,129.7,9.96,171.1,184.4,8.84,187.4,6,3.172,3.21,NA,3.292,13.3,NA,NA,1.214
"80","8/14/2019","15:10:35",29.045,740.2,128.8,9.9,171.1,184.3,8.83,187.4,6.11,3.232,3.28,NA,3.374,13.64,NA,NA,1.222
"81","8/14/2019","15:10:36",29.038,740.1,128,9.84,171.1,184.3,8.82,187.4,6.06,3.352,3.4,NA,3.336,13.48,NA,NA,1.225
"82","8/14/2019","15:10:37",29.048,740.2,127.6,9.8,171.1,184.3,8.8,187.5,6.06,3.394,3.44,NA,3.209,12.96,NA,NA,1.229
"85","8/14/2019","15:10:40",29.073,740.3,125.7,9.65,171,184.3,8.78,187,6.41,3.352,3.4,NA,3.27,13.21,NA,NA,1.232
"86","8/14/2019","15:10:41",29.071,740.2,125,9.6,171.1,184.4,8.77,186.9,6.29,3.367,3.41,NA,3.328,13.45,NA,NA,1.236
"87","8/14/2019","15:10:42",29.057,740.3,124.1,9.53,171.1,184.4,8.77,186.7,6.13,3.449,3.5,NA,3.22,13.01,NA,NA,1.247
"88","8/14/2019","15:10:43",29.037,740.2,123.5,9.49,171.1,184.3,8.76,186.5,6.01,3.377,3.42,NA,3.219,13,NA,NA,1.251
"89","8/14/2019","15:10:44",29.024,740.2,122.6,9.42,171.1,184.2,8.76,186.5,5.96,3.371,3.42,NA,3.196,12.91,NA,NA,1.257
"90","8/14/2019","15:10:45",29.017,740.2,121.2,9.32,171.1,184.3,8.75,186.6,6.14,3.407,3.45,NA,3.152,12.73,NA,NA,1.265
"91","8/14/2019","15:10:46",29.011,740.2,119.9,9.22,171.2,184.3,8.74,186.3,6.22,3.452,3.5,NA,3.161,12.77,NA,NA,1.273
"92","8/14/2019","15:10:47",29.002,740.2,118.4,9.1,171.2,184.2,8.73,186.2,6.44,3.518,3.57,NA,3.149,12.72,NA,NA,1.28
"93","8/14/2019","15:10:48",28.996,740.2,117.1,9,171.2,184.3,8.72,186.1,6.54,3.508,3.56,NA,3.207,12.95,NA,NA,1.291
"96","8/14/2019","15:10:51",28.963,740.2,113.3,8.72,171.3,184.3,8.69,186.5,6.03,3.533,3.58,NA,3.051,12.32,NA,NA,1.305
"97","8/14/2019","15:10:52",28.943,740.2,112,8.62,171.4,184.3,8.68,186.4,6.26,3.475,3.52,NA,3.124,12.62,NA,NA,1.307
"98","8/14/2019","15:10:53",28.942,740.2,110.6,8.51,171.5,184.4,8.66,186.4,6.69,3.51,3.56,NA,3.176,12.83,NA,NA,1.312
