Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
7/11/2019,14:47:57,27.168,746.7,106.8,8.49,235,244.7,7.85,184.7,8.38,0.586,0.58,,1.882,7.56,,,0.024
7/11/2019,14:47:58,27.197,746.7,105,8.34,246.5,256.8,7.82,185.7,4.4,0.187,0.17,,0.936,3.7,,,0.034
7/11/2019,14:47:59,27.19,746.6,104.2,8.27,247.2,257.6,7.8,185.7,4.42,0.152,0.13,,0.957,3.79,,,0.058
7/11/2019,14:48:00,27.192,746.6,103.5,8.22,247.4,257.8,7.79,184.5,4.38,0.227,0.21,,0.967,3.83,,,0.142
7/11/2019,14:48:01,27.187,746.7,102.7,8.15,247.6,257.9,7.77,184.3,4.42,0.249,0.23,,0.99,3.92,,,0.208
7/11/2019,14:48:02,27.186,746.7,101.8,8.08,247.8,258.1,7.76,184.9,4.35,0.197,0.18,,1.044,4.14,,,0.26
7/11/2019,14:48:03,27.17,746.8,101,8.02,248,258.2,7.74,185.4,4.31,0.215,0.2,,1.076,4.27,,,0.263
7/11/2019,14:48:04,27.103,746.8,100.1,7.95,248.1,258.1,7.72,185.5,4.41,0.224,0.21,,1.117,4.44,,,0.288
7/11/2019,14:48:05,27.019,746.6,99.5,7.91,248.2,257.8,7.7,186,4.42,0.249,0.23,,1.173,4.66,,,0.322
7/11/2019,14:48:06,26.974,746.7,98.6,7.85,248.1,257.4,7.69,186.1,4.69,0.352,0.34,,1.255,5,,,0.336
7/11/2019,14:48:07,26.832,746.6,97.8,7.8,248.2,256.9,7.68,186.3,4.8,0.351,0.34,,1.324,5.28,,,0.362
7/11/2019,14:48:08,26.712,746.7,97.2,7.78,248.1,256.3,7.67,186.7,4.84,0.292,0.28,,1.402,5.6,,,0.405
7/11/2019,14:48:09,26.611,746.7,96.6,7.74,248.1,255.7,7.66,186.7,4.82,0.378,0.36,,1.522,6.09,,,0.453
7/11/2019,14:48:10,26.51,746.6,95.8,7.7,248.4,255.6,7.65,186.7,4.9,0.426,0.41,,1.591,6.37,,,0.464
7/11/2019,14:48:11,26.415,746.6,95,7.63,248.1,254.8,7.64,186.7,5.21,0.37,0.36,,1.59,6.36,,,0.515
7/11/2019,14:48:12,26.343,746.7,93.9,7.56,247.6,254,7.62,186.7,5.51,0.366,0.35,,1.534,6.14,,,0.565
7/11/2019,14:48:13,26.281,746.7,92.7,7.47,247.6,253.6,7.61,186.7,5.55,0.298,0.28,,1.46,5.84,,,0.586
7/11/2019,14:48:14,26.226,746.7,91.4,7.38,247.6,253.4,7.59,186.7,5.43,0.252,0.24,,1.446,5.78,,,0.615
7/11/2019,14:48:15,26.2,746.6,90.3,7.29,247.6,253.3,7.58,186.5,5.43,0.229,0.21,,1.48,5.92,,,0.65
7/11/2019,14:48:16,26.191,746.7,89.1,7.2,247.6,253.3,7.57,186.5,5.55,0.277,0.26,,1.493,5.97,,,0.682
7/11/2019,14:48:17,26.179,746.7,88.2,7.13,247.6,253.2,7.56,186.5,5.46,0.402,0.39,,1.476,5.9,,,0.723
7/11/2019,14:48:18,26.159,746.7,87.2,7.05,247.6,253.1,7.55,186.5,5.39,0.42,0.41,,1.493,5.97,,,0.755
7/11/2019,14:48:19,26.149,746.7,86.4,6.99,247.5,253,7.54,186.4,5.37,0.382,0.37,,1.475,5.9,,,0.806
7/11/2019,14:48:20,26.121,746.7,85.5,6.92,247.6,252.9,7.53,186.5,5.54,0.311,0.3,,1.456,5.82,,,0.856
7/11/2019,14:48:21,26.106,746.7,84.8,6.86,247.6,252.8,7.52,186.6,5.55,0.277,0.26,,1.432,5.72,,,0.896
7/11/2019,14:48:22,26.097,746.6,84.1,6.8,247.6,252.7,7.51,187.1,5.4,0.277,0.26,,1.485,5.94,,,0.983
7/11/2019,14:48:23,26.081,746.7,83.5,6.76,247.6,252.7,7.51,187.7,5.4,0.314,0.3,,1.519,6.07,,,1.014
7/11/2019,14:48:24,26.073,746.7,83.1,6.73,247.7,252.7,7.5,187.5,5.46,0.362,0.35,,1.438,5.75,,,1.074
7/11/2019,14:48:25,26.071,746.7,82.8,6.71,247.7,252.8,7.49,187.2,5.47,0.334,0.32,,1.412,5.64,,,1.15
7/11/2019,14:48:26,26.071,746.6,82.6,6.69,247.7,252.8,7.49,187.1,5.45,0.294,0.28,,1.394,5.57,,,1.179
