Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
6/12/2019,13:44:41,21.175,745.4,97.9,8.7,1.2,1.1,7.55,364,31.67,0.57,0.56,,0.144,0.47,,,0
6/12/2019,13:44:42,21.173,745.4,97.9,8.7,1.3,1.2,7.4,364.3,31.66,0.565,0.55,,0.144,0.47,,,0
6/12/2019,13:44:43,21.161,745.4,97.9,8.7,1.3,1.2,7.39,364.5,31.61,0.564,0.55,,0.141,0.46,,,0
6/12/2019,13:44:44,21.155,745.4,109.1,9.7,4.3,4,8.78,299.8,2.49,0.585,0.58,,0.15,0.5,,,0
6/12/2019,13:44:45,25.55,745.3,104.1,8.54,258.5,261.1,8.74,311,1.72,0.654,0.65,,0.47,1.8,,,0
6/12/2019,13:44:46,25.532,745.4,106,8.66,264.8,267.5,8.73,315.8,2.18,0.729,0.72,,0.935,3.7,,,0.011
6/12/2019,13:44:47,25.543,745.4,107.1,8.75,265.7,268.5,8.72,317.5,2.38,0.796,0.79,,4.981,20.18,,,0.021
6/12/2019,13:44:48,25.551,745.4,107.9,8.82,266.3,269.1,8.72,318.2,1.68,0.857,0.85,,5.289,21.44,,,0.027
6/12/2019,13:44:49,25.571,745.4,108.8,8.9,266.3,269.2,8.71,318.8,1.52,0.904,0.9,,4.993,20.23,,,0.041
6/12/2019,13:44:50,25.591,745.4,109.7,8.96,266.4,269.4,8.71,319.3,1.4,0.944,0.94,,5.322,21.57,,,0.056
6/12/2019,13:44:51,25.598,745.4,110.3,9.01,266.5,269.6,8.71,319.7,1.57,0.985,0.98,,5.322,21.57,,,0.073
6/12/2019,13:44:52,25.602,745.4,110.8,9.05,266.5,269.6,8.7,319.9,1.51,1.026,1.03,,5.338,21.64,,,0.092
6/12/2019,13:44:53,25.605,745.4,111.2,9.09,266.5,269.6,8.7,320,1.51,1.058,1.06,,5.706,23.13,,,0.108
6/12/2019,13:44:54,25.607,745.4,111.7,9.12,266.5,269.6,8.7,320.1,1.5,1.119,1.12,,5.643,22.88,,,0.124
6/12/2019,13:44:55,25.606,745.4,112.1,9.15,266.5,269.6,8.7,320.1,1.48,1.178,1.18,,6.098,24.73,,,0.14
6/12/2019,13:44:56,25.606,745.4,112.5,9.19,266.5,269.6,8.7,320.1,1.53,1.231,1.24,,5.448,22.09,,,0.155
6/12/2019,13:44:57,25.607,745.4,112.8,9.21,266.5,269.6,8.7,320.1,1.55,1.291,1.3,,5.441,22.05,,,0.173
6/12/2019,13:44:58,25.608,745.4,113.1,9.24,266.5,269.6,8.69,320.1,1.63,1.348,1.35,,5.544,22.48,,,0.188
6/12/2019,13:44:59,25.608,745.4,116.6,9.52,266.5,269.6,8.69,320,1.66,1.394,1.4,,5.515,22.36,,,0.203
6/12/2019,13:45:00,25.609,745.4,116.8,9.54,266.5,269.6,8.69,320,1.64,1.446,1.45,,5.65,22.91,,,0.217
6/12/2019,13:45:01,25.611,745.4,117,9.55,266.5,269.6,8.69,319.9,1.67,1.535,1.54,,6.187,25.1,,,0.234
6/12/2019,13:45:02,25.612,745.4,117.2,9.57,266.5,269.6,8.69,319.9,1.65,1.577,1.59,,6.407,25.99,,,0.249
6/12/2019,13:45:03,25.612,745.4,117.4,9.58,266.5,269.6,8.69,319.8,1.63,1.593,1.6,,7.216,29.29,,,0.264
6/12/2019,13:45:04,25.611,745.4,117.5,9.59,266.5,269.7,8.69,319.7,1.63,1.613,1.62,,7.75,31.47,,,0.278
6/12/2019,13:45:05,25.608,745.3,117.6,9.61,266.5,269.6,8.69,319.7,1.7,1.638,1.65,,7.69,31.22,,,0.295
6/12/2019,13:45:06,25.604,745.4,117.7,9.61,266.6,269.6,8.69,319.6,1.65,1.657,1.67,,7.204,29.24,,,0.308
6/12/2019,13:45:07,25.6,745.4,117.8,9.62,266.6,269.6,8.69,319.5,1.68,1.688,1.7,,8.35,33.91,,,0.322
6/12/2019,13:45:08,25.596,745.4,118,9.63,266.6,269.6,8.69,319.5,1.67,1.704,1.72,,8.263,33.56,,,0.335
