Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
5/29/2019,10:04:14,24.991,740.1,103.2,8.52,233.4,233.4,7.74,214.5,10.61,0.503,0.49,,2.09,8.4,,,0
5/29/2019,10:04:15,24.999,740.1,108.6,8.97,233,232.9,7.78,213.5,10.2,0.496,0.48,,2.238,9,,,0
5/29/2019,10:04:16,25,740.1,110.9,9.16,232.8,232.8,7.92,212.8,9.84,0.49,0.48,,2.334,9.4,,,0
5/29/2019,10:04:17,24.994,740.2,113.1,9.34,232.5,232.5,7.96,212.6,9.44,0.499,0.49,,2.372,9.55,,,0
5/29/2019,10:04:18,24.981,740.1,114.8,9.48,232.2,232.1,8.02,212.5,9.07,0.505,0.49,,2.367,9.53,,,0
5/29/2019,10:04:19,24.97,740,115.7,9.56,231.9,231.8,8.04,212.4,8.68,0.504,0.49,,2.376,9.57,,,0.001
5/29/2019,10:04:20,24.954,740.2,116.7,9.65,231.6,231.4,8.07,212.5,8.3,0.514,0.5,,2.421,9.75,,,0.006
5/29/2019,10:04:21,24.935,740.3,117.6,9.72,231.4,231.1,8.09,212.6,7.93,0.533,0.52,,2.542,10.25,,,0.011
5/29/2019,10:04:22,24.912,740.3,118.2,9.78,231.3,230.9,8.11,212.8,7.59,0.536,0.53,,3.31,13.37,,,0.018
5/29/2019,10:04:23,24.883,740.3,118.8,9.83,231.2,230.7,8.12,212.9,7.28,0.559,0.55,,3.605,14.58,,,0.026
5/29/2019,10:04:24,24.849,740.2,119.2,9.87,231.1,230.5,8.13,213.1,6.97,0.574,0.56,,3.821,15.46,,,0.041
5/29/2019,10:04:25,24.822,740.1,119.6,9.91,231,230.2,8.14,213.2,6.94,0.593,0.58,,4.183,16.93,,,0.053
5/29/2019,10:04:26,24.782,740.2,119.9,9.94,231,230.1,8.14,213.3,6.96,0.61,0.6,,4.183,16.93,,,0.065
5/29/2019,10:04:27,24.735,740.2,120.1,9.97,231.2,230,8.15,213.5,6.99,0.597,0.59,,4.202,17.01,,,0.081
5/29/2019,10:04:28,24.684,740.2,120.4,9.99,231.2,229.8,8.15,213.7,7.05,0.62,0.61,,4.241,17.17,,,0.098
5/29/2019,10:04:29,24.623,740.2,120.6,10.02,231.1,229.5,8.15,213.9,7.11,0.641,0.63,,4.247,17.19,,,0.12
5/29/2019,10:04:30,24.566,740.3,120.7,10.04,231.2,229.3,8.15,214,7.16,0.666,0.66,,4.263,17.25,,,0.882
5/29/2019,10:04:31,24.485,740.3,120.8,10.06,231.4,229.1,8.15,214.2,7.24,0.698,0.69,,4.293,17.38,,,0.933
5/29/2019,10:04:32,24.41,740.2,121.1,10.1,231.6,229,8.15,214.3,7.3,0.717,0.71,,4.29,17.37,,,1.087
5/29/2019,10:04:33,24.333,740.2,121.3,10.14,231.8,228.9,8.15,214.5,7.36,0.734,0.73,,4.288,17.36,,,1.102
5/29/2019,10:04:34,24.266,740.2,121.4,10.16,232.1,228.8,8.15,214.7,7.43,0.743,0.74,,4.262,17.25,,,1.121
5/29/2019,10:04:35,24.189,740.3,121.4,10.17,232.3,228.7,8.14,214.8,7.49,0.752,0.75,,4.228,17.12,,,1.147
5/29/2019,10:04:36,24.123,740.3,121.3,10.18,232.5,228.6,8.14,215.1,7.52,0.749,0.74,,4.181,16.92,,,1.196
5/29/2019,10:04:37,24.051,740.3,121.1,10.17,232.8,228.6,8.13,215.3,7.56,0.758,0.75,,4.187,16.95,,,1.253
5/29/2019,10:04:38,23.993,740.2,120.9,10.17,233.1,228.6,8.13,215.7,7.57,0.764,0.76,,3.858,15.61,,,1.292
5/29/2019,10:04:39,23.95,740.3,116.9,9.84,233.3,228.6,8.13,216,7.6,0.766,0.76,,3.609,14.59,,,1.323
5/29/2019,10:04:40,23.887,740.3,116.2,9.8,233.4,228.5,8.12,216.3,7.63,0.755,0.75,,3.407,13.77,,,1.353
5/29/2019,10:04:41,23.837,740.3,115.6,9.75,233.5,228.4,8.12,216.7,7.64,0.751,0.74,,4.208,17.03,,,1.398
5/29/2019,10:04:42,23.781,740.2,115.5,9.76,233.6,228.2,8.12,217,7.67,0.729,0.72,,3.32,13.42,,,1.433
5/29/2019,10:04:43,23.738,740.2,115,9.72,233.7,228.1,8.03,217.3,7.67,0.706,0.7,,3.075,12.41,,,1.468
5/29/2019,10:04:44,23.704,740.2,114.7,9.7,233.8,228,8.02,217.6,7.68,0.684,0.68,,3.378,13.65,,,1.503
5/29/2019,10:04:45,23.68,740.2,114.4,9.68,233.9,228,8,217.8,7.66,0.669,0.66,,3.677,14.87,,,1.539
5/29/2019,10:04:46,23.656,740.2,114.1,9.66,233.9,227.9,8,218.1,7.63,0.655,0.65,,3.091,12.48,,,1.563
5/29/2019,10:04:47,23.634,740.2,113.9,9.64,234,227.9,8,218.4,7.64,0.625,0.62,,3.002,12.12,,,1.584
5/29/2019,10:04:48,23.614,740.1,113.6,9.63,234.1,227.9,8,218.7,7.65,0.601,0.59,,3.079,12.43,,,1.604
5/29/2019,10:04:49,23.606,740.2,113.3,9.6,234.1,227.8,7.99,219,7.64,0.57,0.56,,3.344,13.51,,,1.625
