Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
7/11/2019,12:03:17,30.003,747.7,171,12.92,293.1,321.1,8.77,183.2,1.31,0.555,0.54,,1.797,7.21,,,0.326
7/11/2019,12:03:18,30.009,747.7,172.2,13,293.2,321.3,8.77,183.3,1.35,0.593,0.58,,1.823,7.32,,,0.329
7/11/2019,12:03:19,30.009,747.6,172.7,13.04,293.4,321.4,8.77,183.4,1.43,0.546,0.54,,1.817,7.29,,,0.331
7/11/2019,12:03:20,30.009,747.6,173.7,13.12,293.3,321.3,8.77,183.3,1.38,0.526,0.51,,1.83,7.34,,,0.421
7/11/2019,12:03:21,30.005,747.6,174.2,13.16,293.3,321.3,8.77,183.3,1.3,0.613,0.6,,1.911,7.67,,,0.497
7/11/2019,12:03:22,29.983,747.7,174.7,13.2,293.3,321.3,8.77,183.2,1.39,0.676,0.67,,2.016,8.1,,,0.58
7/11/2019,12:03:23,29.97,747.7,175.1,13.24,293.1,320.9,8.78,183.2,1.36,0.698,0.69,,2.071,8.33,,,0.599
7/11/2019,12:03:24,29.968,747.7,175.8,13.29,292.9,320.6,8.78,183.1,1.36,0.683,0.68,,2.106,8.47,,,0.683
7/11/2019,12:03:25,29.972,747.7,176.2,13.32,292.9,320.7,8.78,183.2,1.3,0.645,0.64,,2.189,8.81,,,0.713
7/11/2019,12:03:26,29.947,747.7,176.5,13.34,292.6,320.3,8.78,183.2,1.34,0.734,0.73,,2.326,9.36,,,0.744
7/11/2019,12:03:27,29.902,747.6,176.6,13.36,292.1,319.5,8.78,183.2,1.45,0.854,0.85,,2.594,10.46,,,0.803
7/11/2019,12:03:28,29.864,747.7,177,13.4,291.7,318.9,8.78,183.3,1.48,0.905,0.9,,2.735,11.03,,,0.846
7/11/2019,12:03:29,29.829,747.7,177.4,13.44,291.3,318.2,8.79,183.4,1.56,0.941,0.94,,2.892,11.67,,,0.882
7/11/2019,12:03:30,29.801,747.7,177.7,13.46,290.7,317.4,8.79,183.5,1.78,0.928,0.93,,3.078,12.43,,,0.919
7/11/2019,12:03:31,29.775,747.6,177.9,13.49,290.4,316.9,8.79,183.4,1.69,0.91,0.91,,3.132,12.65,,,0.95
7/11/2019,12:03:32,29.755,747.6,178.3,13.52,290.2,316.6,8.8,183.3,1.82,0.924,0.92,,3.207,12.95,,,0.987
7/11/2019,12:03:33,29.746,747.6,178.5,13.54,290.1,316.4,8.8,183.3,1.95,0.931,0.93,,3.221,13.01,,,1.034
7/11/2019,12:03:34,29.738,747.6,178.6,13.55,290.1,316.3,8.8,183.2,1.86,0.91,0.91,,3.148,12.71,,,1.045
7/11/2019,12:03:35,29.73,747.6,178.6,13.56,290,316.2,8.8,183.2,1.86,0.955,0.95,,3.147,12.71,,,1.085
7/11/2019,12:03:36,29.724,747.6,178.4,13.54,290.1,316.3,8.8,183.4,1.88,1.07,1.07,,3.305,13.35,,,1.1
7/11/2019,12:03:37,29.704,747.6,178.4,13.54,290.1,316.2,8.8,183.5,1.92,1.106,1.11,,3.506,14.17,,,1.158
7/11/2019,12:03:38,29.69,747.6,178.3,13.54,290.1,316.2,8.8,183.5,2.02,1.07,1.07,,3.698,14.95,,,1.185
