Unit ID:,2,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,cow,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 17E100519,1.0.18,,,,,,,,,,,
5P Sonde,4, 17E101337,1.0.43,,,,,,,,,,,
pH/ORP,1, 17G100339,3.0.0,,,,,,,,,,,
TAL-PC,1, 17D109804,3.0.0,,,,,,,,,,,
CT,1, 17C104840,3.0.5,,,,,,,,,,,
Turbidity,1, 17D108184,3.0.0,,,,,,,,,,,
ODO,1, 18D104460,3.0.0,,,,,,,,,,,
Depth,2, 17K104869,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
5/6/2019,11:28:42,18.867,740.7,105.4,9.8,129.6,8.31,156.6,5.09,0.449,0.48,2.223,8.81,0
5/6/2019,11:28:43,18.87,740.7,106.1,9.87,129.6,8.32,156.6,5.1,0.506,0.53,2.166,8.59,0
5/6/2019,11:28:44,18.908,740.7,107,9.95,129.6,8.34,156.5,5.11,0.308,0.34,2.106,8.35,0
5/6/2019,11:28:45,18.918,740.7,107.6,9.99,129.6,8.35,156.5,5.24,0.312,0.34,2.123,8.41,0
5/6/2019,11:28:46,18.904,740.8,108.1,10.05,129.6,8.36,156.3,5.22,0.32,0.35,2.183,8.66,0
5/6/2019,11:28:47,18.898,740.8,108.6,10.09,129.7,8.37,156.1,5.14,0.451,0.48,2.144,8.5,0
5/6/2019,11:28:48,18.901,740.7,109.2,10.14,129.7,8.37,155.9,5.14,0.363,0.39,2.192,8.69,0
5/6/2019,11:28:49,18.908,740.8,109.6,10.18,129.7,8.38,155.8,5.11,0.269,0.3,2.126,8.43,0
5/6/2019,11:28:50,18.908,740.8,110,10.22,129.8,8.39,155.8,5.11,0.246,0.27,1.998,7.92,0
5/6/2019,11:28:51,18.908,740.8,110.3,10.25,129.7,8.4,155.8,5.09,0.241,0.27,2.052,8.13,0
5/6/2019,11:28:52,18.907,740.8,110.7,10.29,129.7,8.41,155.6,5.14,0.284,0.31,2.068,8.19,0
5/6/2019,11:28:53,18.906,740.7,111,10.31,129.8,8.43,155.5,5.22,0.261,0.29,1.921,7.61,0
5/6/2019,11:28:54,18.908,740.8,111.3,10.34,129.8,8.44,155.5,5.24,0.321,0.35,1.906,7.55,0
5/6/2019,11:28:55,18.914,740.7,111.6,10.37,129.8,8.45,155.6,5.11,0.258,0.29,1.995,7.9,0
5/6/2019,11:28:56,18.924,740.7,111.9,10.39,129.8,8.46,155.6,5.12,0.243,0.27,2.048,8.12,0
5/6/2019,11:28:57,18.926,740.7,112.1,10.41,129.8,8.47,155.5,5.27,0.281,0.31,2.143,8.49,0.009
5/6/2019,11:28:58,18.927,740.8,112.3,10.43,129.8,8.47,155.5,5.21,0.227,0.26,2.182,8.65,0.039
5/6/2019,11:28:59,18.929,740.7,112.5,10.44,129.8,8.48,155.4,5.06,0.352,0.38,2.088,8.27,0.061
5/6/2019,11:29:00,18.929,740.8,112.6,10.46,129.9,8.48,155.3,5.1,0.455,0.48,2.088,8.27,0.068
5/6/2019,11:29:01,18.929,740.8,112.8,10.47,129.9,8.49,155.2,5.29,0.334,0.36,2.1,8.32,0.073
5/6/2019,11:29:02,18.927,740.8,112.9,10.48,129.9,8.5,155.2,5.39,0.351,0.38,2.121,8.41,0.092
5/6/2019,11:29:03,18.93,740.8,113,10.5,129.9,8.5,155.2,5.27,0.352,0.38,2.038,8.08,0.121
5/6/2019,11:29:04,18.935,740.7,113.2,10.51,129.8,8.51,155.2,5.18,0.28,0.31,1.944,7.7,0.144
5/6/2019,11:29:05,18.938,740.8,113.3,10.52,129.9,8.51,155,5.33,0.315,0.34,2.04,8.08,0.158
5/6/2019,11:29:06,18.939,740.8,113.4,10.53,129.9,8.52,155,5.49,0.311,0.34,2.179,8.64,0.191
5/6/2019,11:29:07,18.939,740.7,113.5,10.53,130,8.52,155.1,5.42,0.422,0.45,2.207,8.75,0.224
5/6/2019,11:29:08,18.935,740.7,113.5,10.54,129.9,8.53,155,5.26,0.48,0.51,2.106,8.35,0.238
5/6/2019,11:29:09,18.918,740.8,113.5,10.54,129.9,8.53,154.9,5.24,0.382,0.41,2.106,8.35,0.245
5/6/2019,11:29:10,18.909,740.7,113.6,10.56,129.9,8.53,154.9,5.3,0.369,0.4,2.149,8.52,0.245
5/6/2019,11:29:11,18.907,740.7,113.7,10.56,129.9,8.54,154.9,5.3,0.412,0.44,2.194,8.7,0.244
5/6/2019,11:29:12,18.906,740.8,113.8,10.57,129.8,8.54,154.9,5.33,0.379,0.41,2.181,8.65,0.245
5/6/2019,11:29:13,18.899,740.7,113.9,10.59,129.8,8.54,154.9,5.19,0.257,0.29,2.098,8.31,0.246
5/6/2019,11:29:14,18.892,740.8,114,10.59,129.8,8.55,154.9,5.15,0.224,0.25,2.166,8.59,0.266
5/6/2019,11:29:15,18.879,740.8,114,10.6,129.7,8.55,154.8,5.18,0.352,0.38,2.183,8.65,0.316
5/6/2019,11:29:16,18.868,740.8,114.2,10.62,129.7,8.56,154.9,5.31,0.392,0.42,2.103,8.34,0.403
5/6/2019,11:29:17,18.868,740.8,114.2,10.62,129.7,8.56,154.9,5.22,0.332,0.36,2.146,8.51,0.404
5/6/2019,11:29:18,18.86,740.8,114.1,10.61,129.7,8.56,154.9,5.12,0.358,0.39,2.182,8.65,0.413
5/6/2019,11:29:19,18.843,740.7,114.2,10.62,129.7,8.56,154.9,5.19,0.341,0.37,2.113,8.38,0.449
5/6/2019,11:29:20,18.838,740.7,114.2,10.63,129.7,8.57,154.9,5.17,0.203,0.23,2.041,8.09,0.466
5/6/2019,11:29:21,18.838,740.7,114.2,10.63,129.6,8.57,154.9,4.98,0.197,0.23,2.108,8.36,0.471
5/6/2019,11:29:22,18.839,740.8,114.3,10.63,129.6,8.57,155,4.96,0.312,0.34,2.2,8.72,0.468
5/6/2019,11:29:23,18.842,740.8,114.3,10.64,129.6,8.57,155.1,5.18,0.263,0.29,2.221,8.81,0.46
5/6/2019,11:29:24,18.838,740.7,114.4,10.64,129.6,8.58,155,5.3,0.184,0.21,2.183,8.66,0.463
5/6/2019,11:29:25,18.837,740.8,114.5,10.65,129.7,8.58,155,5.35,0.275,0.3,2.168,8.6,0.494
5/6/2019,11:29:26,18.847,740.7,114.5,10.65,129.6,8.58,155.1,5.3,0.361,0.39,2.253,8.94,0.517
5/6/2019,11:29:27,18.849,740.8,114.5,10.65,129.6,8.58,155,5.22,0.32,0.35,2.272,9.01,0.533
5/6/2019,11:29:28,18.849,740.8,114.5,10.65,129.6,8.59,155,5.29,0.387,0.42,2.289,9.08,0.545
5/6/2019,11:29:29,18.845,740.7,114.5,10.65,129.7,8.59,155,5.19,0.363,0.39,2.194,8.7,0.549
5/6/2019,11:29:30,18.841,740.8,114.5,10.65,129.6,8.59,155,5.31,0.303,0.33,2.194,8.7,0.549
5/6/2019,11:29:31,18.836,740.8,114.6,10.66,129.6,8.59,154.9,5.39,0.292,0.32,2.366,9.39,0.549
5/6/2019,11:29:32,18.829,740.8,114.6,10.66,129.6,8.6,154.9,5.41,0.214,0.24,2.285,9.06,0.555
5/6/2019,11:29:33,18.814,740.8,114.5,10.66,129.6,8.6,155,5.35,0.578,0.61,2.14,8.48,0.558
5/6/2019,11:29:34,18.807,740.8,114.5,10.66,129.5,8.6,155.1,5.25,0.588,0.62,2.095,8.3,0.565
5/6/2019,11:29:35,18.793,740.8,114.4,10.66,129.5,8.6,155.2,5.19,0.295,0.32,2.13,8.44,0.593
5/6/2019,11:29:36,18.787,740.8,114.4,10.66,129.5,8.6,155.2,5.17,0.331,0.36,2.223,8.82,0.603
5/6/2019,11:29:37,18.786,740.9,114.5,10.66,129.6,8.6,155.1,5.21,0.257,0.29,2.261,8.97,0.607
5/6/2019,11:29:38,18.784,740.8,114.5,10.66,129.6,8.6,155.1,5.33,0.219,0.25,2.209,8.76,0.61
5/6/2019,11:29:39,18.78,740.8,114.5,10.66,129.6,8.61,155.1,5.39,0.279,0.31,2.23,8.85,0.613
