Date,Time,Site,Unit ID,User ID,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
5/31/2019,10:06:00,cow,4,,19.928,741.7,103.1,9.38,0.4,4.41,270.4,36.28,0.311,0.28,0.106,0.41,0
5/31/2019,10:06:01,cow,4,,19.924,741.7,103.1,9.39,0.4,4.41,270.3,36.31,0.325,0.3,0.098,0.38,0
5/31/2019,10:06:02,cow,4,,19.924,741.7,103.1,9.39,0.5,4.41,270.3,36.23,0.255,0.23,0.12,0.47,0
5/31/2019,10:06:03,cow,4,,19.917,741.7,103.1,9.39,0.5,4.41,270.3,36.18,0.184,0.15,0.138,0.55,0
5/31/2019,10:06:04,cow,4,,19.914,741.7,103.2,9.4,0.4,4.41,270.3,36.34,0.347,0.32,0.808,3.28,0
5/31/2019,10:06:05,cow,4,,19.923,741.7,103.2,9.4,0.4,4.4,270.3,5.44,0.935,0.91,1.731,7.04,0
5/31/2019,10:06:06,cow,4,,20.945,741.8,110.4,9.84,0.5,4.21,245.7,8.58,0.855,0.83,1.22,4.96,0
5/31/2019,10:06:07,cow,4,,23.03,741.6,107.4,9.29,135.7,4.5,249.1,5.99,0.441,0.41,0.549,2.22,0
5/31/2019,10:06:08,cow,4,,23.23,741.7,105.9,9.05,138.6,4.66,258.1,6.08,0.526,0.5,0.666,2.7,0
5/31/2019,10:06:09,cow,4,,23.236,741.7,105.2,8.98,137.8,4.75,257.2,7.25,0.587,0.56,0.746,3.03,0
5/31/2019,10:06:10,cow,4,,23.249,741.7,104.4,8.91,136.6,4.92,258.5,7.2,0.596,0.57,0.792,3.21,0
5/31/2019,10:06:11,cow,4,,23.258,741.7,103.4,8.82,136.3,5.07,259.4,7.51,0.623,0.6,0.814,3.3,0
5/31/2019,10:06:12,cow,4,,23.25,741.7,102.3,8.73,136.1,5.2,259.6,7.42,0.641,0.61,0.898,3.65,0
5/31/2019,10:06:13,cow,4,,23.249,741.7,101.5,8.66,136,5.24,259.5,7.76,0.82,0.79,0.918,3.73,0
5/31/2019,10:06:14,cow,4,,23.258,741.6,100.6,8.58,135.7,5.3,259.8,7.9,0.962,0.94,0.902,3.66,0
5/31/2019,10:06:15,cow,4,,23.251,741.7,99.9,8.52,135.6,5.37,260,7.43,0.626,0.6,0.843,3.42,0
5/31/2019,10:06:16,cow,4,,23.231,741.7,99.3,8.48,135.6,5.43,260.1,6.93,0.983,0.96,0.819,3.32,0.002
5/31/2019,10:06:17,cow,4,,23.225,741.7,99,8.45,135.8,5.49,259.9,6.59,1.188,1.17,0.841,3.41,0.001
5/31/2019,10:06:18,cow,4,,23.228,741.7,98.5,8.41,136,5.54,259.9,6.7,0.575,0.55,0.831,3.37,0
5/31/2019,10:06:19,cow,4,,23.229,741.7,98.1,8.38,136,5.58,259.9,7.05,0.808,0.78,0.893,3.63,0
5/31/2019,10:06:20,cow,4,,23.24,741.7,97.8,8.35,136,5.63,259.8,7.64,0.938,0.91,0.926,3.76,0.004
5/31/2019,10:06:21,cow,4,,23.262,741.7,97.5,8.33,136,5.66,259.5,7.34,0.523,0.5,0.887,3.6,0.011
5/31/2019,10:06:22,cow,4,,23.263,741.7,97.2,8.3,136,5.7,259.2,6.66,0.467,0.44,0.84,3.41,0.011
