Date,Time,°C,mmHg,DO %,DO mg/L,SPC-uS/cm,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,BGA-PC c/mL,Chl RFU,Chl ug/L,PAR1 ppfd,PAR2 ppfd,DEP m
11/26/2019,12:53:32,6.592,732.3,100.2,12.28,169.6,109.9,,,3.28,1.564,1.57,,4.576,18.53,,,0
11/26/2019,12:53:33,6.59,732.3,100.2,12.28,169.4,109.9,,,3.19,1.552,1.56,,4.614,18.69,,,0
11/26/2019,12:53:34,6.589,732.4,100.2,12.29,169.4,109.8,,,2.97,1.513,1.52,,4.462,18.07,,,0
11/26/2019,12:53:35,6.59,732.2,100.3,12.29,169.4,109.8,,,3.04,1.534,1.54,,4.425,17.92,,,0
11/26/2019,12:53:36,6.589,732.2,100.3,12.29,169.2,109.7,,,2.98,1.499,1.51,,4.463,18.07,,,0
11/26/2019,12:53:37,6.591,732.2,100.3,12.3,144.8,93.9,,,2.96,1.537,1.55,,4.411,17.86,,,0
11/26/2019,12:53:38,6.59,732.3,100.3,12.3,166.8,108.1,,,3.13,1.695,1.71,,4.688,18.99,,,0
11/26/2019,12:53:39,6.585,732.3,100.3,12.3,168.7,109.4,,,3.12,1.791,1.81,,5.146,20.86,,,0
11/26/2019,12:53:40,6.582,732.3,100.3,12.3,168.9,109.5,,,3.09,1.817,1.83,,5.419,21.97,,,0.018
11/26/2019,12:53:41,6.581,732.3,100.3,12.3,168.9,109.5,,,3.04,1.858,1.87,,5.549,22.5,,,0.054
11/26/2019,12:53:42,6.58,732.3,100.4,12.31,169,109.5,,,3.07,1.893,1.91,,5.656,22.93,,,0.103
11/26/2019,12:53:43,6.577,732.3,100.4,12.31,169,109.6,,,3.23,1.949,1.97,,6.085,24.68,,,0.144
11/26/2019,12:53:44,6.57,732.3,100.5,12.32,169.1,109.6,,,3.14,2.021,2.04,,6.491,26.33,,,0.188
11/26/2019,12:53:45,6.566,732.3,100.6,12.33,169.1,109.5,,,2.92,2.078,2.1,,6.433,26.1,,,0.238
11/26/2019,12:53:46,6.56,732.4,100.6,12.34,169.1,109.5,,,2.92,2.086,2.11,,6.343,25.73,,,0.285
11/26/2019,12:53:47,6.56,732.3,100.7,12.35,169.1,109.6,,,2.95,2.15,2.17,,6.669,27.06,,,0.325
11/26/2019,12:53:48,6.562,732.2,100.7,12.36,169.2,109.6,,,3.19,2.174,2.2,,6.921,28.09,,,0.362
11/26/2019,12:53:49,6.564,732.3,100.8,12.37,169,109.5,,,3.16,2.098,2.12,,6.69,27.15,,,0.4
11/26/2019,12:53:50,6.566,732.2,100.9,12.37,169,109.5,,,3.16,2.042,2.06,,6.521,26.46,,,0.446
11/26/2019,12:53:51,6.557,732.2,100.9,12.37,169,109.5,,,3.02,2.004,2.02,,6.59,26.74,,,0.495
11/26/2019,12:53:52,6.552,732.4,100.9,12.38,169,109.5,,,2.83,2.048,2.07,,6.474,26.27,,,0.549
11/26/2019,12:53:53,6.554,732.4,100.9,12.38,169.1,109.5,,,2.87,2.032,2.05,,6.195,25.13,,,0.575
11/26/2019,12:53:54,6.553,732.3,100.9,12.38,169.1,109.5,,,2.95,2.006,2.03,,6.357,25.79,,,0.596
11/26/2019,12:53:55,6.55,732.2,100.9,12.38,169.1,109.5,,,3,2.014,2.03,,6.536,26.52,,,0.62
11/26/2019,12:53:56,6.548,732.3,100.9,12.38,169,109.4,,,3.2,1.955,1.97,,6.494,26.35,,,0.666
11/26/2019,12:53:57,6.546,732.2,100.8,12.37,169,109.4,,,3.37,1.979,2,,6.554,26.59,,,0.697
11/26/2019,12:53:58,6.544,732.2,100.8,12.37,169,109.5,,,3.33,1.988,2.01,,6.518,26.44,,,0.74
11/26/2019,12:53:59,6.541,732.2,100.7,12.36,169,109.4,,,3.02,1.878,1.9,,6.281,25.48,,,0.778
