Unit ID:,4,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,mnbig,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 18F101544,1.0.42,,,,,,,,,,,
5P Sonde,4, 18F103759,1.0.68,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
TAL-PC,1, 18F102214,3.0.5,,,,,,,,,,,
pH/ORP,1, 18E106369,3.0.0,,,,,,,,,,,
ODO,1, 18D104462,3.0.0,,,,,,,,,,,
CT,1, 18D101260,3.0.5,,,,,,,,,,,
Depth,2, 18F101461,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
1/20/2020,16:13:06,0.175,751.7,90.8,13.2,217.4,8.08,279.8,0.93,0.284,0.26,0.394,1.59,0.026
1/20/2020,16:13:07,0.175,751.7,90.7,13.18,217.9,8.08,279.8,0.91,0.217,0.19,0.394,1.59,0.026
1/20/2020,16:13:08,0.175,751.8,90.6,13.17,218.5,8.08,279.8,0.82,0.157,0.13,0.414,1.67,0.027
1/20/2020,16:13:09,0.174,751.7,90.5,13.15,218.9,8.08,279.8,0.79,0.157,0.13,0.393,1.59,0.026
1/20/2020,16:13:10,0.175,751.8,90.4,13.14,219.2,8.08,279.9,0.83,0.247,0.22,0.413,1.67,0.026
1/20/2020,16:13:11,0.206,751.6,90.4,13.13,219.8,8.08,281.7,0.89,0.262,0.23,0.416,1.68,0.028
1/20/2020,16:13:12,0.287,751.8,90.5,13.13,219.9,8.08,283,0.82,0.237,0.21,0.395,1.59,0.034
1/20/2020,16:13:13,0.349,751.6,90.5,13.1,219.5,8.08,281.7,0.86,0.261,0.23,0.418,1.69,0.043
1/20/2020,16:13:14,0.372,751.6,90.4,13.07,219.1,8.09,281.2,0.91,0.221,0.19,0.424,1.71,0.057
1/20/2020,16:13:15,0.393,751.7,90.4,13.05,218.7,8.09,280.5,0.89,0.253,0.23,0.422,1.71,0.073
1/20/2020,16:13:16,0.417,751.7,90.3,13.03,218.6,8.1,279.5,0.8,0.254,0.23,0.441,1.78,0.112
1/20/2020,16:13:17,0.434,751.7,90.2,13.02,218.7,8.09,279.2,0.81,0.204,0.18,0.435,1.76,0.139
1/20/2020,16:13:18,0.431,751.7,90.2,13.01,219,8.09,278.8,0.88,0.218,0.19,0.424,1.71,0.17
1/20/2020,16:13:19,0.492,751.7,90.2,13,219.5,8.08,278.8,0.81,0.214,0.18,0.427,1.72,0.222
1/20/2020,16:13:20,0.553,751.6,90.1,12.96,220.1,8.08,277.9,0.74,0.191,0.16,0.421,1.7,0.268
1/20/2020,16:13:21,0.561,751.8,89.8,12.91,220.8,8.07,277.1,0.62,0.221,0.19,0.439,1.78,0.314
1/20/2020,16:13:22,0.573,751.7,89.7,12.88,221.6,8.07,276.4,0.63,0.287,0.26,0.485,1.96,0.362
1/20/2020,16:13:23,0.562,751.8,89.5,12.85,222.2,8.07,275.9,0.73,0.272,0.24,0.488,1.97,0.385
1/20/2020,16:13:24,0.545,751.8,89.2,12.83,222.9,8.06,275.7,0.73,0.238,0.21,0.468,1.89,0.404
1/20/2020,16:13:25,0.512,751.8,89,12.8,223.5,8.06,275.7,0.59,0.198,0.17,0.477,1.93,0.43
1/20/2020,16:13:26,0.503,751.8,89,12.81,224.2,8.06,275.6,0.52,0.226,0.2,0.431,1.74,0.441
1/20/2020,16:13:27,0.505,751.8,89,12.81,225,8.05,274.7,0.47,0.269,0.24,0.37,1.49,0.471
1/20/2020,16:13:28,0.504,751.8,89,12.81,225.7,8.05,274.1,0.43,0.21,0.18,0.393,1.59,0.505
1/20/2020,16:13:29,0.539,751.8,88.8,12.78,226.3,8.04,273.8,0.61,0.219,0.19,0.42,1.7,0.542
1/20/2020,16:13:30,0.556,751.7,88.7,12.75,226.9,8.04,273.9,1.61,0.203,0.17,0.412,1.66,0.562
1/20/2020,16:13:31,0.536,751.8,88.5,12.72,227.4,8.04,274.3,1.63,0.18,0.15,0.443,1.79,0.583
1/20/2020,16:13:32,0.547,751.7,88.3,12.7,228.2,8.04,273.5,0.63,0.251,0.22,0.466,1.88,0.604
1/20/2020,16:13:33,0.622,751.7,88.2,12.67,228.8,8.03,271.2,0.47,0.237,0.21,0.453,1.83,0.621
1/20/2020,16:13:34,0.623,751.7,88.2,12.66,229.5,8.03,269.4,0.36,0.172,0.14,0.455,1.84,0.636
1/20/2020,16:13:35,0.625,751.7,88.3,12.66,230.2,8.02,267.8,0.24,0.202,0.17,0.466,1.88,0.665
1/20/2020,16:13:36,0.691,751.7,88.3,12.66,230.8,8.02,266.4,0.21,0.224,0.2,0.492,1.99,0.684
1/20/2020,16:13:37,0.752,751.6,88.5,12.66,231.8,8.01,264.9,0.22,0.205,0.18,0.48,1.94,0.707
1/20/2020,16:13:38,0.808,751.6,88.4,12.63,232.4,8.01,263.8,1.35,0.228,0.2,0.451,1.82,0.726
1/20/2020,16:13:39,0.843,751.7,88.2,12.59,232.6,8,263.3,2.67,0.205,0.18,0.448,1.81,0.733
1/20/2020,16:13:40,0.856,751.8,88,12.54,232.8,8,264.1,1.01,0.174,0.15,0.429,1.73,0.734
1/20/2020,16:13:41,0.801,751.8,88.1,12.57,233.3,8,266,0.34,0.175,0.15,0.427,1.73,0.749
1/20/2020,16:13:42,0.774,751.7,88.2,12.6,233.9,8,266.3,0.32,0.199,0.17,0.438,1.77,0.765
1/20/2020,16:13:43,0.785,751.7,88.3,12.61,234.2,7.99,264.3,0.36,0.253,0.22,0.457,1.85,0.775
1/20/2020,16:13:44,0.843,751.8,88.3,12.6,234.5,7.99,263.7,0.39,0.24,0.21,0.431,1.74,0.791
1/20/2020,16:13:45,0.87,751.7,88.1,12.55,234.7,7.99,263.6,0.41,0.201,0.17,0.411,1.66,0.807
1/20/2020,16:13:46,0.888,751.7,88,12.54,235.2,7.99,265.8,0.37,0.222,0.19,0.428,1.73,0.824
1/20/2020,16:13:47,0.962,751.8,88.3,12.56,236,7.98,269.7,0.28,0.219,0.19,0.44,1.78,0.841
1/20/2020,16:13:48,0.99,751.8,88.4,12.56,235.9,7.97,271,0.22,0.22,0.19,0.473,1.91,0.851
1/20/2020,16:13:49,1.017,751.7,88.3,12.53,234.8,7.97,271.4,0.23,0.252,0.22,0.478,1.93,0.863
1/20/2020,16:13:50,1.086,751.7,88.6,12.56,235.1,7.96,271.8,0.36,0.24,0.21,0.412,1.66,0.888
1/20/2020,16:13:51,1.141,751.7,88.8,12.57,235.6,7.96,272.1,0.37,0.21,0.18,0.422,1.7,0.903
1/20/2020,16:13:52,1.177,751.7,88.9,12.56,236.1,7.95,272.3,0.39,0.208,0.18,0.426,1.72,0.926
1/20/2020,16:13:53,1.213,751.8,89,12.57,237,7.95,272.5,0.39,0.208,0.18,0.39,1.57,0.955
1/20/2020,16:13:54,1.224,751.7,89.2,12.59,237.8,7.94,272.8,0.3,0.203,0.17,0.386,1.56,0.974
1/20/2020,16:13:55,1.217,751.6,89.2,12.58,238.8,7.93,272.8,0.27,0.236,0.21,0.421,1.7,0.985
