Unit ID:,4,,,,,,,,,,,,,
User ID:,,,,,,,,,,,,,,
Site:,mn students site,,,,,,,,,,,,,
Log Interval:,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Model, Submodel, S/N, S/W Ver,,,,,,,,,,,
Handheld,2, 18F101544,1.0.42,,,,,,,,,,,
5P Sonde,4, 18F103759,1.0.68,,,,,,,,,,,
Turbidity,1, 18E100545,3.0.0,,,,,,,,,,,
TAL-PC,1, 18F102214,3.0.5,,,,,,,,,,,
pH/ORP,1, 18E106369,3.0.0,,,,,,,,,,,
ODO,1, 18D104462,3.0.0,,,,,,,,,,,
CT,1, 18D101260,3.0.5,,,,,,,,,,,
Depth,2, 18F101461,3.0.0,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Time,°C,mmHg,DO %,DO mg/L,C-uS/cm,pH,ORP mV,FNU,BGA-PC RFU,BGA-PC ug/L,Chl RFU,Chl ug/L,DEP m
1/20/2020,13:17:42,-0.023,752.4,78.1,11.43,98.9,6.49,193.3,4.83,0.391,0.36,0.337,1.36,0.017
1/20/2020,13:17:43,-0.022,752.3,78,11.4,118.4,6.57,192,4.62,0.223,0.19,0.443,1.79,0.018
1/20/2020,13:17:44,-0.022,752.3,77.8,11.37,121.2,6.6,191.9,4.49,0.171,0.14,0.432,1.74,0.018
1/20/2020,13:17:45,-0.023,752.3,77.6,11.35,123,6.61,191.5,4.44,0.173,0.14,0.421,1.7,0.018
1/20/2020,13:17:46,-0.023,752.2,77.4,11.32,123.7,6.62,191,4.42,0.171,0.14,0.406,1.64,0.017
1/20/2020,13:17:47,-0.023,752.2,77.2,11.29,124.5,6.62,190.8,4.46,0.185,0.16,0.439,1.77,0.018
1/20/2020,13:17:48,-0.022,752.2,77,11.26,126.1,6.62,190.9,4.4,0.195,0.17,0.443,1.79,0.018
1/20/2020,13:17:49,-0.023,752.2,76.8,11.22,127.4,6.62,190.9,4.32,0.236,0.21,0.426,1.72,0.018
1/20/2020,13:17:50,-0.023,752.3,76.6,11.19,128.5,6.62,191,4.24,0.268,0.24,0.426,1.72,0.018
1/20/2020,13:17:51,-0.022,752.3,76.3,11.16,129.3,6.62,191.1,4.44,0.294,0.27,0.425,1.72,0.023
1/20/2020,13:17:52,-0.022,752.3,76.1,11.13,130.5,6.62,191.1,4.62,0.288,0.26,0.444,1.8,0.035
1/20/2020,13:17:53,-0.023,752.3,75.9,11.1,131.4,6.62,191.1,4.69,0.176,0.15,0.508,2.06,0.05
1/20/2020,13:17:54,-0.023,752.3,75.7,11.07,132.1,6.62,191.1,4.73,0.175,0.15,0.508,2.06,0.067
1/20/2020,13:17:55,-0.022,752.3,75.5,11.04,132.8,6.62,191.1,5,0.274,0.25,0.52,2.11,0.085
1/20/2020,13:17:56,-0.022,752.3,75.3,11.01,133.5,6.62,191.1,5.09,0.291,0.26,0.499,2.02,0.099
1/20/2020,13:17:57,-0.022,752.3,75.1,10.99,134,6.62,191,4.82,0.232,0.2,0.427,1.73,0.109
1/20/2020,13:17:58,-0.022,752.2,74.9,10.95,134.6,6.62,190.9,4.59,0.223,0.19,0.422,1.7,0.123
1/20/2020,13:17:59,-0.022,752.2,74.8,10.93,135.3,6.62,190.8,4.48,0.216,0.19,0.387,1.56,0.138
1/20/2020,13:18:00,-0.022,752.2,74.6,10.9,136,6.62,190.7,4.42,0.237,0.21,0.411,1.66,0.151
1/20/2020,13:18:01,-0.022,752.2,74.4,10.88,136.7,6.62,190.6,4.43,0.235,0.21,0.429,1.73,0.164
1/20/2020,13:18:02,-0.021,752.2,74.2,10.85,137.3,6.62,190.5,4.36,0.211,0.18,0.415,1.67,0.173
1/20/2020,13:18:03,-0.022,752.2,74.1,10.83,138.5,6.63,190.5,4.16,0.259,0.23,0.446,1.8,0.181
1/20/2020,13:18:04,-0.022,752.3,73.9,10.8,139.4,6.63,190.4,4.07,0.257,0.23,0.47,1.9,0.187
1/20/2020,13:18:05,-0.022,752.2,73.7,10.78,140.2,6.63,190.4,4.06,0.237,0.21,0.469,1.9,0.194
1/20/2020,13:18:06,-0.022,752.3,73.6,10.75,140.7,6.63,190.4,4.15,0.207,0.18,0.467,1.89,0.2
1/20/2020,13:18:07,-0.021,752.2,73.4,10.74,141.2,6.63,190.3,4.08,0.208,0.18,0.438,1.77,0.204
1/20/2020,13:18:08,-0.022,752.3,73.3,10.71,141.6,6.63,190.3,3.97,0.221,0.19,0.422,1.7,0.21
1/20/2020,13:18:09,-0.022,752.2,73.1,10.69,142.1,6.63,190.3,4.16,0.194,0.17,0.425,1.72,0.215
1/20/2020,13:18:10,-0.022,752.2,73,10.67,142.6,6.63,190.3,4.18,0.242,0.21,0.436,1.76,0.22
1/20/2020,13:18:11,-0.022,752.3,72.9,10.65,143,6.63,190.3,4.04,0.266,0.24,0.474,1.92,0.222
1/20/2020,13:18:12,-0.022,752.2,72.7,10.63,143.5,6.63,190.3,4.11,0.235,0.21,0.48,1.94,0.228
1/20/2020,13:18:13,-0.021,752.3,72.6,10.61,144,6.63,190.4,4.04,0.225,0.2,0.448,1.81,0.233
1/20/2020,13:18:14,-0.022,752.2,72.4,10.59,144.5,6.62,190.4,4.01,0.24,0.21,0.458,1.85,0.236
1/20/2020,13:18:15,-0.022,752.2,72.3,10.57,144.9,6.62,190.4,3.98,0.241,0.21,0.482,1.95,0.238
1/20/2020,13:18:16,-0.021,752.2,72.2,10.55,145.3,6.62,190.4,3.9,0.223,0.19,0.47,1.9,0.243
1/20/2020,13:18:17,-0.021,752.2,72.1,10.54,145.5,6.62,190.4,3.84,0.204,0.18,0.487,1.97,0.246
1/20/2020,13:18:18,-0.022,752.2,71.9,10.52,145.9,6.62,190.5,3.87,0.216,0.19,0.496,2.01,0.248
1/20/2020,13:18:19,-0.022,752.2,71.8,10.5,146.1,6.62,190.6,4.1,0.254,0.23,0.48,1.94,0.253
1/20/2020,13:18:20,-0.021,752.2,71.7,10.48,146.6,6.62,190.7,4.22,0.197,0.17,0.449,1.82,0.263
1/20/2020,13:18:21,-0.021,752.2,71.6,10.47,147.1,6.62,190.8,4.34,0.186,0.16,0.454,1.83,0.271
1/20/2020,13:18:22,-0.021,752.3,71.5,10.45,147.4,6.61,190.8,4.38,0.231,0.2,0.444,1.79,0.276
1/20/2020,13:18:23,-0.021,752.2,71.4,10.44,147.7,6.61,190.9,4.24,0.223,0.19,0.422,1.71,0.281
1/20/2020,13:18:24,-0.021,752.2,71.3,10.42,148,6.61,191,4.06,0.244,0.22,0.455,1.84,0.288
1/20/2020,13:18:25,-0.021,752.2,71.2,10.4,148.3,6.61,191,3.98,0.218,0.19,0.5,2.02,0.295
1/20/2020,13:18:26,-0.021,752.2,71,10.38,148.6,6.61,190.9,3.96,0.187,0.16,0.483,1.95,0.299
1/20/2020,13:18:27,-0.02,752.3,70.9,10.37,149,6.61,190.8,4.11,0.203,0.17,0.46,1.86,0.304
1/20/2020,13:18:28,-0.02,752.2,70.8,10.35,149.5,6.61,190.7,4.1,0.216,0.19,0.473,1.91,0.309
1/20/2020,13:18:29,-0.021,752.2,70.8,10.34,149.9,6.61,190.7,4.89,0.25,0.22,0.45,1.82,0.313
1/20/2020,13:18:30,-0.021,752.4,70.6,10.33,150.3,6.61,190.6,11.08,0.271,0.24,0.471,1.9,0.315
1/20/2020,13:18:31,-0.021,752.3,70.6,10.32,150.7,6.61,190.5,13.96,0.216,0.19,0.501,2.03,0.318
