Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
4/11/2023,11:22:34,0,438,2.64,10.52,176.1,0.181,203.6,115.5,115.5,10.83,115.3,0.257,0.1,201.3,0.43,0.41,131,11.55,0,8.1,-84.3,18.446,0.127,38.90153,-92.34264,216.1,0,12,748.6
4/11/2023,11:22:35,0,438,2.64,10.5,176.1,0.177,203.6,115.5,115.5,10.83,115.2,0.251,0.1,201.3,0.43,0.42,131,11.57,0,8.11,-84.3,18.448,0.128,38.90153,-92.34264,216.2,0,12,748.6
4/11/2023,11:22:36,0,438,2.64,10.49,176.1,0.173,203.6,115.5,115.5,10.83,115.1,0.246,0.1,201.3,0.43,0.42,131,11.61,0,8.11,-84.3,18.45,0.148,38.90153,-92.34264,216.3,0,12,748.6
4/11/2023,11:22:37,0,438,2.64,10.49,176.2,0.172,203.6,115.6,115.6,10.83,115.1,0.244,0.1,201.4,0.43,0.42,131,11.6,0,8.11,-84.3,18.451,0.245,38.90153,-92.34264,216.3,0,12,748.6
4/11/2023,11:22:38,0,438,2.64,10.49,176.2,0.174,203.6,115.5,115.5,10.83,115,0.247,0.1,201.4,0.44,0.42,131,11.57,0,8.11,-84.3,18.45,0.328,38.90153,-92.34264,216.3,0,12,748.6
4/11/2023,11:22:39,0,438,2.64,10.51,176.2,0.175,203.6,115.5,115.5,10.83,114.9,0.249,0.1,201.4,0.43,0.42,131,11.55,0,8.11,-84.3,18.448,0.369,38.90153,-92.34264,216.3,0,12,748.7
4/11/2023,11:22:40,0,438,2.64,10.52,176.2,0.178,203.7,115.5,115.5,10.83,114.9,0.253,0.1,201.4,0.43,0.42,131,11.53,0,8.11,-84.4,18.445,0.423,38.90153,-92.34264,216.4,0,12,748.6
4/11/2023,11:22:41,0,438,2.65,10.54,176.2,0.182,203.7,115.5,115.5,10.83,114.8,0.259,0.1,201.4,0.43,0.41,131,11.53,0,8.11,-84.4,18.441,0.46,38.90153,-92.34264,216.4,0,12,748.6
4/11/2023,11:22:42,0,438,2.65,10.56,176.2,0.19,203.7,115.5,115.5,10.83,114.7,0.269,0.1,201.4,0.43,0.41,131,11.54,0,8.11,-84.4,18.438,0.481,38.90153,-92.34264,216.6,0,12,748.6
4/11/2023,11:22:43,0,438,2.65,10.55,176.2,0.198,203.7,115.5,115.5,10.83,114.7,0.282,0.1,201.5,0.43,0.42,131,11.59,0,8.11,-84.4,18.43,0.589,38.90153,-92.34264,216.8,0,12,748.6
