MULakeNumber,beginDateTime,sampleID,parameterType,SecchiDepth_m
317,5/18/2016 0:00,64,SECCHI,0.45
317,6/7/2016 0:00,66,SECCHI,0.34
317,7/12/2016 0:00,68,SECCHI,0.84
317,8/2/2016 0:00,69,SECCHI,0.68
273,5/28/2013 0:00,71,SECCHI,0.19
273,6/17/2013 0:00,73,SECCHI,0.87
273,7/15/2013 0:00,75,SECCHI,0.17
273,8/5/2013 0:00,77,SECCHI,0.12
273,6/2/2014 0:00,79,SECCHI,1.26
273,6/23/2014 0:00,81,SECCHI,0.3
273,7/21/2014 0:00,83,SECCHI,0.68
273,8/11/2014 0:00,85,SECCHI,0.19
272,5/30/2013 0:00,87,SECCHI,0.12
272,6/18/2013 0:00,89,SECCHI,0.17
272,7/9/2013 0:00,91,SECCHI,0.14
272,8/5/2013 0:00,93,SECCHI,0.22
272,6/11/2014 0:00,95,SECCHI,0.1
272,7/9/2014 0:00,97,SECCHI,0.06
272,7/30/2014 0:00,99,SECCHI,0.11
272,8/20/2014 0:00,101,SECCHI,0.14
272,5/28/2015 0:00,103,SECCHI,0.24
272,6/17/2015 0:00,106,SECCHI,0.28
272,7/15/2015 0:00,109,SECCHI,0.55
272,8/5/2015 0:00,112,SECCHI,0.27
271,6/1/2011 0:00,115,SECCHI,2.46
271,6/21/2011 0:00,117,SECCHI,1.69
271,7/19/2011 0:00,119,SECCHI,2.4
271,8/9/2011 0:00,121,SECCHI,1.92
270,6/2/2011 0:00,123,SECCHI,0.39
270,6/22/2011 0:00,125,SECCHI,0.97
270,7/20/2011 0:00,127,SECCHI,1.28
270,8/10/2011 0:00,129,SECCHI,0.86
270,5/23/2012 0:00,131,SECCHI,1.52
270,6/13/2012 0:00,133,SECCHI,1.32
270,7/11/2012 0:00,135,SECCHI,1.58
270,8/1/2012 0:00,137,SECCHI,1.28
270,6/5/2013 0:00,139,SECCHI,0.16
270,6/25/2013 0:00,141,SECCHI,0.64
270,7/16/2013 0:00,143,SECCHI,1.56
270,8/13/2013 0:00,145,SECCHI,1.02
270,6/11/2014 0:00,147,SECCHI,0.58
270,7/9/2014 0:00,149,SECCHI,0.96
270,7/30/2014 0:00,151,SECCHI,1.43
270,8/20/2014 0:00,153,SECCHI,0.79
269,6/1/2011 0:00,155,SECCHI,1.69
269,6/21/2011 0:00,157,SECCHI,0.85
269,7/19/2011 0:00,159,SECCHI,1.59
269,8/9/2011 0:00,161,SECCHI,0.73
269,5/22/2012 0:00,163,SECCHI,1.46
269,6/12/2012 0:00,165,SECCHI,1.32
269,7/10/2012 0:00,167,SECCHI,1.2
269,7/31/2012 0:00,169,SECCHI,1.22
269,6/4/2013 0:00,171,SECCHI,1.08
269,6/25/2013 0:00,173,SECCHI,1.27
269,7/23/2013 0:00,175,SECCHI,1.04
269,8/13/2013 0:00,177,SECCHI,1.42
269,6/3/2015 0:00,179,SECCHI,1.48
269,6/24/2015 0:00,181,SECCHI,1.81
269,7/21/2015 0:00,183,SECCHI,2.14
269,8/11/2015 0:00,185,SECCHI,1.09
269,5/23/2016 0:00,187,SECCHI,1.3
269,6/13/2016 0:00,189,SECCHI,1.1
269,7/25/2016 0:00,191,SECCHI,1.45
269,8/8/2016 0:00,193,SECCHI,1.4
268,6/1/2011 0:00,195,SECCHI,1.64
268,6/21/2011 0:00,197,SECCHI,1.08
268,7/19/2011 0:00,199,SECCHI,1.82
268,8/9/2011 0:00,201,SECCHI,1.6
268,5/22/2012 0:00,203,SECCHI,1.66
268,6/12/2012 0:00,205,SECCHI,1.86
268,7/10/2012 0:00,207,SECCHI,2.7
268,7/31/2012 0:00,209,SECCHI,2.28
267,5/25/2011 0:00,211,SECCHI,0.45
267,6/15/2011 0:00,214,SECCHI,0.33
267,7/13/2011 0:00,216,SECCHI,0.71
267,8/3/2011 0:00,218,SECCHI,0.71
266,5/24/2011 0:00,220,SECCHI,0.56
266,6/14/2011 0:00,222,SECCHI,0.48
266,7/12/2011 0:00,224,SECCHI,0.56
266,8/2/2011 0:00,226,SECCHI,0.48
266,6/4/2012 0:00,228,SECCHI,0.5
266,6/25/2012 0:00,230,SECCHI,0.58
266,7/23/2012 0:00,232,SECCHI,0.49
266,8/13/2012 0:00,234,SECCHI,0.25
266,5/29/2013 0:00,236,SECCHI,1.08
266,6/18/2013 0:00,238,SECCHI,1.5
266,7/16/2013 0:00,240,SECCHI,1.77
266,8/6/2013 0:00,242,SECCHI,1.52
266,6/3/2014 0:00,244,SECCHI,0.92
266,6/24/2014 0:00,246,SECCHI,1.38
266,7/22/2014 0:00,248,SECCHI,2.04
266,8/12/2014 0:00,250,SECCHI,1
265,5/24/2011 0:00,252,SECCHI,1.11
265,6/14/2011 0:00,254,SECCHI,0.96
265,7/12/2011 0:00,256,SECCHI,0.88
265,8/2/2011 0:00,258,SECCHI,0.65
265,6/5/2012 0:00,260,SECCHI,0.9
265,6/26/2012 0:00,262,SECCHI,0.96
265,7/24/2012 0:00,264,SECCHI,0.57
265,8/14/2012 0:00,266,SECCHI,0.62
265,6/3/2014 0:00,268,SECCHI,3.05
265,6/24/2014 0:00,270,SECCHI,0.9
265,7/22/2014 0:00,272,SECCHI,0.72
265,8/12/2014 0:00,274,SECCHI,0.57
265,5/19/2015 0:00,276,SECCHI,0.62
265,6/9/2015 0:00,278,SECCHI,0.85
265,6/30/2015 0:00,280,SECCHI,0.46
265,7/28/2015 0:00,282,SECCHI,0.6
264,5/24/2011 0:00,284,SECCHI,0.45
264,6/14/2011 0:00,286,SECCHI,1.09
264,7/12/2011 0:00,288,SECCHI,0.89
264,8/2/2011 0:00,290,SECCHI,0.68
263,5/31/2011 0:00,292,SECCHI,2.4
263,6/20/2011 0:00,294,SECCHI,2.07
263,7/18/2011 0:00,296,SECCHI,2.39
263,8/8/2011 0:00,298,SECCHI,1.84
263,5/21/2012 0:00,300,SECCHI,3.49
263,6/11/2012 0:00,302,SECCHI,2.64
263,7/9/2012 0:00,304,SECCHI,3.2
263,7/30/2012 0:00,306,SECCHI,3.62
261,5/24/2011 0:00,308,SECCHI,0.48
261,6/14/2011 0:00,310,SECCHI,0.35
261,7/12/2011 0:00,312,SECCHI,0.56
261,8/2/2011 0:00,314,SECCHI,0.54
261,6/5/2012 0:00,316,SECCHI,0.4
261,6/26/2012 0:00,318,SECCHI,0.34
261,7/24/2012 0:00,320,SECCHI,0.1
261,8/14/2012 0:00,322,SECCHI,0.2
261,5/29/2013 0:00,324,SECCHI,0.51
261,6/18/2013 0:00,326,SECCHI,0.48
261,7/16/2013 0:00,328,SECCHI,0.68
261,8/6/2013 0:00,330,SECCHI,0.52
261,6/3/2014 0:00,332,SECCHI,0.48
261,6/24/2014 0:00,334,SECCHI,0.55
261,7/22/2014 0:00,336,SECCHI,0.57
261,8/12/2014 0:00,338,SECCHI,0.38
260,6/6/2007 0:00,340,SECCHI,2.2
260,6/27/2007 0:00,342,SECCHI,1.8
260,7/25/2007 0:00,344,SECCHI,1.5
