MULakeNumber,Lake name,Date,Time,Parameter,SecchiDepth_m,Comments
117,Little Dixie,4/28/2023,8:57:00 AM,Secchi ,0.87,
117,Little Dixie,4/28/2023,8:57:00 AM,Secchi ,0.8,
440,Crow Pond ,5/12/2023,12:43:00 PM,Secchi ,0.89,
440,Crow Pond ,5/12/2023,12:43:00 PM,Secchi ,0.78,
219,Daisy Lake 1,5/17/2023,11:44:00 AM,Secchi,1.6,
219,Daisy Lake 1,5/17/2023,11:44:00 AM,Secchi ,1.71,
44,Fayette ,5/17/2023,2:05:00 PM,Secchi,1.33,
44,Fayette ,5/17/2023,2:05:00 PM,Secchi ,1.2,
48,Long Branch ,5/17/2023,11:29:00 AM,Secchi,1,
48,Long Branch ,5/17/2023,11:29:00 AM,Secchi ,0.92,
49,Macon Lake ,5/17/2023,10:13:00 AM,Secchi ,0.83,
49,Macon Lake ,5/17/2023,10:13:00 AM,Secchi ,0.76,
274,Alpine,5/18/2023,10:26:00 AM,Secchi,5.15,
274,Alpine,5/18/2023,10:26:00 AM,Secchi ,4.3,
276,Ashland,5/18/2023,1:27:00 PM,Secchi,0.32,
276,Ashland,5/18/2023,1:27:00 PM,Secchi ,0.24,
438,Bethel,5/18/2023,10:46:00 AM,Secchi,1.7,
438,Bethel ,5/18/2023,10:46:00 AM,Secchi ,1.5,
180,Bilby Ranch,5/22/2023,4:58:00 PM,Secchi,0.93,Time not written of field sheet. Time taken from YSI profile.
180,Bilby Ranch,5/22/2023,4:58:00 PM,Secchi ,0.81,Time not written of field sheet. Time taken from YSI profile.
140,Cameron 1,5/22/2023,12:15:00 PM,Secchi,0.9,
140,Cameron 1,5/22/2023,12:15:00 PM,Secchi ,0.78,
211,Cameron 2 Sunrise,5/22/2023,11:15:00 AM,Secchi,2.1,
211,Cameron 2 Sunrise,5/22/2023,11:15:00 AM,Secchi ,0.92,
213,Cameron 3,5/22/2023,1:02:00 PM,Secchi,0.81,
213,Cameron 3,5/22/2023,1:02:00 PM,Secchi ,0.68,
163,King,5/22/2023,2:20:00 PM,Secchi,0.45,
163,King,5/22/2023,2:20:00 PM,Secchi ,0.35,
88,Marceline,5/22/2023,12:31:00 PM,Secchi,1.5,
88,Marceline,5/22/2023,12:31:00 PM,Secchi ,1.16,
145,Mark Twain ,5/22/2023,4:00:00 PM,Secchi,1,
145,Mark Twain ,5/22/2023,4:00:00 PM,Secchi ,0.87,
46,Thomas Hill,5/22/2023,11:20:00 AM,Secchi,1.1,
46,Thomas Hill,5/22/2023,11:20:00 AM,Secchi ,1,
133,Forest,5/23/2023,5:23:00 PM,Secchi,1.66,
133,Forest,5/23/2023,5:23:00 PM,Secchi ,1.41,
185,Harrison County ,5/23/2023,10:45:00 AM,Secchi,0.71,
185,Harrison County ,5/23/2023,10:45:00 AM,Secchi ,0.5,
228,Jamesport,5/23/2023,2:58:00 PM,Secchi,0.57,Time not written of field sheet. Time taken from YSI profile.
228,Jamesport,5/23/2023,2:58:00 PM,Secchi ,0.46,Time not written of field sheet. Time taken from YSI profile.
85,Marie ,5/23/2023,12:43:00 PM,Secchi,3.1,
85,Marie ,5/23/2023,12:43:00 PM,Secchi ,3.05,
181,Mozingo,5/23/2023,9:30:00 AM,Secchi,1.4,
181,Mozingo,5/23/2023,9:30:00 AM,Secchi ,1.2,
179,Nodaway County ,5/23/2023,7:15:00 AM,Secchi,1.17,
179,Nodaway County ,5/23/2023,7:15:00 AM,Secchi ,1.1,
72,Smithville ,5/23/2023,1:36:00 PM,Secchi,1.5,
72,Smithville ,5/23/2023,1:36:00 PM,Secchi ,1.35,
57,Deer Ridge,5/24/2023,10:45:00 AM,Secchi,1.6,
57,Deer Ridge,5/24/2023,10:45:00 AM,Secchi ,1.3,
182,Fox Valley,5/24/2023,8:50:00 AM,Secchi,3.58,
182,Fox Valley,5/24/2023,8:50:00 AM,Secchi ,3.05,
114,Henry Sever,5/24/2023,12:03:00 PM,Secchi,0.98,
114,Henry Sever,5/24/2023,12:03:00 PM,Secchi ,0.8,
115,Hunnewell,5/24/2023,2:25:00 PM,Secchi,2,
