pH,NTU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.17,4.6,2014-11-14,2014-11-14T15:25:35Z,087,NA,982.4,22.793,103.1,8.88,205.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004,0
8.23,4.46,2014-11-14,2014-11-14T15:25:50Z,087,NA,982.5333333333333,22.757,104.1,8.97,205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,0.1
8.24,4.5,2014-11-14,2014-11-14T15:25:52Z,087,NA,982.4,22.737,104.1,8.97,205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.2
8.24,4.51,2014-11-14,2014-11-14T15:25:55Z,087,NA,982.2666666666668,22.687,104.1,8.98,205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.041,0.3
8.25,4.52,2014-11-14,2014-11-14T15:25:57Z,087,NA,982.4,22.634,104.1,8.98,205.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,0.4
8.28,4.76,2014-11-14,2014-11-14T15:26:12Z,087,NA,982.2666666666668,22.424,104.2,9.04,204.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.226,0.5
8.28,4.77,2014-11-14,2014-11-14T15:26:15Z,087,NA,982.4,22.389,104.2,9.04,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.266,0.6
8.29,4.75,2014-11-14,2014-11-14T15:26:17Z,087,NA,982.4,22.363,104.2,9.04,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.311,0.7
8.29,4.79,2014-11-14,2014-11-14T15:26:20Z,087,NA,982.2666666666668,22.296,104.1,9.04,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358,0.8
8.3,4.92,2014-11-14,2014-11-14T15:26:30Z,087,NA,982.5333333333333,21.788,103.2,9.05,205.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,1
