DO_percent,DO_mgpL,pH,PC,CHL,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
86.2,6.95,8.03,-1.88,4.68,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,26.3,86.2,6.95,NA,NA,4.68,-1.88,NA,NA,176.8,NA,NA,NA,0,0
85.7,6.91,8.07,-1.71,5.43,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,26.3,85.7,6.91,NA,NA,5.43,-1.71,NA,NA,178.3,NA,NA,NA,2,2
83,6.73,8.04,-1.73,5.45,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,26.2,83,6.73,NA,NA,5.45,-1.73,NA,NA,182.7,NA,NA,NA,4,4
81.5,6.59,8.02,-1.74,5.92,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,26.2,81.5,6.59,NA,NA,5.92,-1.74,NA,NA,186.8,NA,NA,NA,6,6
80,6.48,7.99,-1.76,5.84,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,26.2,80,6.48,NA,NA,5.84,-1.76,NA,NA,192,NA,NA,NA,8,8
78.9,6.42,7.96,-1.91,5.16,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,26.1,78.9,6.42,NA,NA,5.16,-1.91,NA,NA,197.6,NA,NA,NA,9,9
3,0.24,7.37,-2.32,1.9,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,22.6,3,0.24,NA,NA,1.9,-2.32,NA,NA,206.7,NA,NA,NA,9.5,9.5
1.7,0.14,7.27,-2.23,2.21,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,20.6,1.7,0.14,NA,NA,2.21,-2.23,NA,NA,206.9,NA,NA,NA,10,10
1.3,0.11,7.15,-2.26,2.04,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,19.7,1.3,0.11,NA,NA,2.04,-2.26,NA,NA,194.3,NA,NA,NA,10.5,10.5
0.9,0.08,7.06,-1.99,2.48,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,18.8,0.9,0.08,NA,NA,2.48,-1.99,NA,NA,132.5,NA,NA,NA,11,11
0.8,0.08,7.05,-1.97,2.46,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,18.6,0.8,0.08,NA,NA,2.46,-1.97,NA,NA,41,NA,NA,NA,11.5,11.5
0.8,0.07,7.05,-1.99,2.48,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,18.2,0.8,0.07,NA,NA,2.48,-1.99,NA,NA,-14,NA,NA,NA,12,12
0.6,0.06,7.01,-1.95,2.54,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,17.6,0.6,0.06,NA,NA,2.54,-1.95,NA,NA,-68.9,NA,NA,NA,13,13
0.5,0.05,6.98,-1.72,2.64,2017-08-17,2017-08-17T15:00:00Z,089,NA,NA,17.5,0.5,0.05,NA,NA,2.64,-1.72,NA,NA,-101.9,NA,NA,NA,14,14
