pH,orp_mV,NTU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
9.16,152.5,26.54,2017-06-27,2017-06-27T16:22:02Z,129,NA,992.2666666666668,25.257,155.5,12.78,176.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0
9.16,152.6,26.68,2017-06-27,2017-06-27T16:22:03Z,129,NA,992.1333333333333,25.265,155.7,12.8,176.6,NA,NA,NA,NA,NA,NA,NA,NA,0.001,0.1
9.17,152.7,26.65,2017-06-27,2017-06-27T16:22:04Z,129,NA,992.1333333333333,25.265,155.8,12.81,176.7,NA,NA,NA,NA,NA,NA,NA,NA,0.007,0.2
9.18,152.8,26.41,2017-06-27,2017-06-27T16:22:05Z,129,NA,992.1333333333333,25.261,155.9,12.82,176.7,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.3
9.18,153,26.11,2017-06-27,2017-06-27T16:22:06Z,129,NA,992.1333333333333,25.253,156,12.82,176.7,NA,NA,NA,NA,NA,NA,NA,NA,0.025,0.4
9.21,153.4,32.04,2017-06-27,2017-06-27T16:22:10Z,129,NA,992.1333333333333,25.212,155.7,12.81,176.8,NA,NA,NA,NA,NA,NA,NA,NA,0.068,0.5
9.21,153.5,24.43,2017-06-27,2017-06-27T16:22:11Z,129,NA,992.2666666666668,25.194,155.5,12.79,176.9,NA,NA,NA,NA,NA,NA,NA,NA,0.083,0.6
9.24,154.7,30.59,2017-06-27,2017-06-27T16:22:22Z,129,NA,992.2666666666668,24.968,146.2,12.08,177.1,NA,NA,NA,NA,NA,NA,NA,NA,0.252,0.7
9.22,155.9,21.77,2017-06-27,2017-06-27T16:22:39Z,129,NA,992.1333333333333,24.684,134.7,11.19,177.4,NA,NA,NA,NA,NA,NA,NA,NA,0.573,0.8
9.21,156.2,22.27,2017-06-27,2017-06-27T16:22:42Z,129,NA,992.1333333333333,24.637,128.9,10.72,177.4,NA,NA,NA,NA,NA,NA,NA,NA,0.63,0.9
9.2,156.5,22.24,2017-06-27,2017-06-27T16:22:45Z,129,NA,992,24.591,126.5,10.53,177.4,NA,NA,NA,NA,NA,NA,NA,NA,0.678,1
9.14,157.9,45.54,2017-06-27,2017-06-27T16:22:59Z,129,NA,992,24.472,115.2,9.61,177.6,NA,NA,NA,NA,NA,NA,NA,NA,0.859,1.1
9.14,158.1,21.54,2017-06-27,2017-06-27T16:23:01Z,129,NA,992.1333333333333,24.465,114.7,9.57,177.6,NA,NA,NA,NA,NA,NA,NA,NA,0.885,1.2
9.1,159,19.9,2017-06-27,2017-06-27T16:23:13Z,129,NA,991.8666666666667,24.401,107,8.93,177.9,NA,NA,NA,NA,NA,NA,NA,NA,1.049,1.3
9.09,159.1,20.89,2017-06-27,2017-06-27T16:23:14Z,129,NA,992,24.396,106.7,8.91,177.9,NA,NA,NA,NA,NA,NA,NA,NA,1.066,1.4
9.08,159.5,18.32,2017-06-27,2017-06-27T16:23:18Z,129,NA,992,24.365,105.3,8.8,178,NA,NA,NA,NA,NA,NA,NA,NA,1.137,1.5
9.06,160,17.6,2017-06-27,2017-06-27T16:23:22Z,129,NA,992.2666666666668,24.325,99.6,8.33,178.2,NA,NA,NA,NA,NA,NA,NA,NA,1.204,1.6
9.01,161.3,16.39,2017-06-27,2017-06-27T16:23:32Z,129,NA,992.1333333333333,24.225,92.5,7.75,178.9,NA,NA,NA,NA,NA,NA,NA,NA,1.352,1.7
9,161.6,13.18,2017-06-27,2017-06-27T16:23:34Z,129,NA,992.1333333333333,24.215,91.5,7.67,179,NA,NA,NA,NA,NA,NA,NA,NA,1.389,1.8
8.99,161.9,22.07,2017-06-27,2017-06-27T16:23:36Z,129,NA,992.2666666666668,24.202,90.5,7.59,179.2,NA,NA,NA,NA,NA,NA,NA,NA,1.429,1.9
8.98,162.1,14.13,2017-06-27,2017-06-27T16:23:38Z,129,NA,992.1333333333333,24.19,89.7,7.52,179.3,NA,NA,NA,NA,NA,NA,NA,NA,1.476,2
8.91,163.7,14.16,2017-06-27,2017-06-27T16:23:48Z,129,NA,992.2666666666668,24.154,82.3,6.91,180,NA,NA,NA,NA,NA,NA,NA,NA,1.697,2.1
8.87,164.6,14.29,2017-06-27,2017-06-27T16:23:54Z,129,NA,992.1333333333333,24.138,81.4,6.83,180.4,NA,NA,NA,NA,NA,NA,NA,NA,1.814,2.2
8.86,165,14.14,2017-06-27,2017-06-27T16:23:56Z,129,NA,992.1333333333333,24.132,77,6.46,180.5,NA,NA,NA,NA,NA,NA,NA,NA,1.856,2.3
8.84,165.7,14.02,2017-06-27,2017-06-27T16:23:59Z,129,NA,992.1333333333333,24.119,74.9,6.29,180.8,NA,NA,NA,NA,NA,NA,NA,NA,1.918,2.4
8.8,166.4,13.82,2017-06-27,2017-06-27T16:24:03Z,129,NA,992.2666666666668,24.107,73,6.13,181.3,NA,NA,NA,NA,NA,NA,NA,NA,2.009,2.5
8.76,167.4,13.05,2017-06-27,2017-06-27T16:24:08Z,129,NA,992.1333333333333,24.076,71.4,6,181.7,NA,NA,NA,NA,NA,NA,NA,NA,2.133,2.6
8.71,168.4,12.28,2017-06-27,2017-06-27T16:24:15Z,129,NA,992.1333333333333,24.048,69.1,5.81,182,NA,NA,NA,NA,NA,NA,NA,NA,2.286,2.7
8.71,168.5,12.24,2017-06-27,2017-06-27T16:24:16Z,129,NA,992,24.042,68.9,5.79,182.1,NA,NA,NA,NA,NA,NA,NA,NA,2.306,2.8
