X,pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
45,7.98,142.1,5.06,0.4,2017-06-26,2017-06-26T13:32:17Z,317,NA,987.7333333333332,25.148,78.2,6.44,182.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
60,7.95,142.7,5.16,0.8,2017-06-26,2017-06-26T13:32:32Z,317,NA,987.7333333333332,25.159,77.6,6.39,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.24,0.24
61,7.95,142.7,5.17,0.8,2017-06-26,2017-06-26T13:32:33Z,317,NA,987.6,25.16,77.6,6.39,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.262,0.262
62,7.95,142.7,5.17,0.8,2017-06-26,2017-06-26T13:32:34Z,317,NA,987.6,25.16,77.6,6.39,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.284,0.284
63,7.95,142.7,5.11,0.8,2017-06-26,2017-06-26T13:32:35Z,317,NA,987.7333333333332,25.16,77.5,6.38,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.306,0.306
64,7.95,142.7,5.15,0.8,2017-06-26,2017-06-26T13:32:36Z,317,NA,987.6,25.16,77.5,6.38,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.332,0.332
65,7.95,142.7,5.15,0.8,2017-06-26,2017-06-26T13:32:37Z,317,NA,987.4666666666667,25.16,77.4,6.37,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.353,0.353
66,7.95,142.8,5.19,0.8,2017-06-26,2017-06-26T13:32:38Z,317,NA,987.6,25.16,77.4,6.37,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.376,0.376
67,7.95,142.8,5.13,0.8,2017-06-26,2017-06-26T13:32:39Z,317,NA,987.6,25.16,77.3,6.37,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.403,0.403
68,7.95,142.8,5.13,0.9,2017-06-26,2017-06-26T13:32:40Z,317,NA,987.7333333333332,25.16,77.2,6.36,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.427,0.427
69,7.95,142.8,5.14,0.9,2017-06-26,2017-06-26T13:32:41Z,317,NA,987.7333333333332,25.16,77.2,6.36,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.452,0.452
70,7.95,142.9,5.13,0.9,2017-06-26,2017-06-26T13:32:42Z,317,NA,987.7333333333332,25.16,77.1,6.35,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.478,0.478
71,7.95,142.9,5.13,0.9,2017-06-26,2017-06-26T13:32:43Z,317,NA,987.6,25.16,77.1,6.35,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.503,0.503
72,7.94,142.9,5.16,1,2017-06-26,2017-06-26T13:32:44Z,317,NA,987.7333333333332,25.159,77,6.34,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.535,0.535
73,7.94,143,5.17,1,2017-06-26,2017-06-26T13:32:45Z,317,NA,987.4666666666667,25.158,77,6.34,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.561,0.561
74,7.94,143,5.19,1,2017-06-26,2017-06-26T13:32:46Z,317,NA,987.4666666666667,25.157,76.9,6.33,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.585,0.585
75,7.94,143.1,5.17,1,2017-06-26,2017-06-26T13:32:47Z,317,NA,987.7333333333332,25.156,76.8,6.33,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.609,0.609
76,7.94,143.1,5.19,1,2017-06-26,2017-06-26T13:32:48Z,317,NA,987.6,25.155,76.7,6.32,182.2,NA,NA,NA,NA,NA,NA,NA,NA,0.636,0.636
