X,pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
48,8.16,0.217,2017-08-14,2017-08-14T13:30:38Z,317,NA,976.4,27.158,109.8,8.71,376.2,NA,1.844,NA,NA,NA,NA,NA,NA,0,0
122,8.23,0.53,2017-08-14,2017-08-14T13:31:52Z,317,NA,976.4,25.595,93.6,7.64,376.5,NA,1.65,NA,NA,NA,NA,NA,NA,0.782,0.782
125,8.23,0.519,2017-08-14,2017-08-14T13:31:55Z,317,NA,976.5333333333333,25.555,93,7.6,376.6,NA,1.613,NA,NA,NA,NA,NA,NA,0.841,0.841
126,8.22,0.515,2017-08-14,2017-08-14T13:31:56Z,317,NA,976.4,25.544,92.8,7.59,376.6,NA,1.59,NA,NA,NA,NA,NA,NA,0.861,0.861
128,8.22,0.533,2017-08-14,2017-08-14T13:31:58Z,317,NA,976.4,25.527,92.5,7.56,376.7,NA,1.582,NA,NA,NA,NA,NA,NA,0.9,0.9
129,8.22,0.542,2017-08-14,2017-08-14T13:31:59Z,317,NA,976.4,25.519,92.4,7.55,376.8,NA,1.56,NA,NA,NA,NA,NA,NA,0.92,0.92
130,8.22,0.546,2017-08-14,2017-08-14T13:32:00Z,317,NA,976.4,25.512,92.2,7.54,376.8,NA,1.549,NA,NA,NA,NA,NA,NA,0.945,0.945
131,8.22,0.548,2017-08-14,2017-08-14T13:32:01Z,317,NA,976.4,25.506,92.1,7.53,376.8,NA,1.531,NA,NA,NA,NA,NA,NA,0.966,0.966
132,8.21,0.558,2017-08-14,2017-08-14T13:32:02Z,317,NA,976.4,25.501,92,7.53,376.9,NA,1.512,NA,NA,NA,NA,NA,NA,0.988,0.988
133,8.21,0.545,2017-08-14,2017-08-14T13:32:03Z,317,NA,976.4,25.499,91.8,7.51,376.9,NA,1.515,NA,NA,NA,NA,NA,NA,1.01,1.01
134,8.21,0.554,2017-08-14,2017-08-14T13:32:04Z,317,NA,976.2666666666668,25.496,91.5,7.49,376.9,NA,1.496,NA,NA,NA,NA,NA,NA,1.037,1.037
135,8.21,0.564,2017-08-14,2017-08-14T13:32:05Z,317,NA,976.5333333333333,25.494,91.3,7.47,376.9,NA,1.51,NA,NA,NA,NA,NA,NA,1.06,1.06
136,8.2,0.576,2017-08-14,2017-08-14T13:32:06Z,317,NA,976.4,25.492,91.1,7.45,376.9,NA,1.514,NA,NA,NA,NA,NA,NA,1.083,1.083
137,8.2,0.566,2017-08-14,2017-08-14T13:32:07Z,317,NA,976.4,25.489,90.9,7.43,376.9,NA,1.519,NA,NA,NA,NA,NA,NA,1.107,1.107
138,8.2,0.562,2017-08-14,2017-08-14T13:32:08Z,317,NA,976.5333333333333,25.487,90.7,7.42,376.9,NA,1.514,NA,NA,NA,NA,NA,NA,1.135,1.135
139,8.2,0.555,2017-08-14,2017-08-14T13:32:09Z,317,NA,976.4,25.485,90.4,7.4,376.9,NA,1.5,NA,NA,NA,NA,NA,NA,1.16,1.16
140,8.2,0.536,2017-08-14,2017-08-14T13:32:10Z,317,NA,976.4,25.483,90.3,7.38,376.9,NA,1.495,NA,NA,NA,NA,NA,NA,1.184,1.184
141,8.19,0.529,2017-08-14,2017-08-14T13:32:11Z,317,NA,976.2666666666668,25.482,90.1,7.37,376.9,NA,1.51,NA,NA,NA,NA,NA,NA,1.21,1.21
142,8.19,0.521,2017-08-14,2017-08-14T13:32:12Z,317,NA,976.5333333333333,25.48,89.8,7.35,376.9,NA,1.514,NA,NA,NA,NA,NA,NA,1.241,1.241
143,8.19,0.518,2017-08-14,2017-08-14T13:32:13Z,317,NA,976.4,25.479,89.6,7.34,377,NA,1.527,NA,NA,NA,NA,NA,NA,1.267,1.267
144,8.19,0.53,2017-08-14,2017-08-14T13:32:14Z,317,NA,976.4,25.478,89.4,7.32,377,NA,1.53,NA,NA,NA,NA,NA,NA,1.292,1.292
145,8.18,0.529,2017-08-14,2017-08-14T13:32:15Z,317,NA,976.4,25.476,89.2,7.3,377,NA,1.535,NA,NA,NA,NA,NA,NA,1.318,1.318
146,8.18,0.539,2017-08-14,2017-08-14T13:32:16Z,317,NA,976.4,25.474,88.9,7.28,377.1,NA,1.516,NA,NA,NA,NA,NA,NA,1.343,1.343
147,8.18,0.539,2017-08-14,2017-08-14T13:32:17Z,317,NA,976.4,25.471,88.8,7.26,377.1,NA,1.517,NA,NA,NA,NA,NA,NA,1.374,1.374
148,8.18,0.538,2017-08-14,2017-08-14T13:32:18Z,317,NA,976.5333333333333,25.467,88.5,7.24,377.2,NA,1.518,NA,NA,NA,NA,NA,NA,1.4,1.4
149,8.18,0.539,2017-08-14,2017-08-14T13:32:19Z,317,NA,976.4,25.461,88.3,7.23,377.2,NA,1.506,NA,NA,NA,NA,NA,NA,1.425,1.425
150,8.18,0.533,2017-08-14,2017-08-14T13:32:20Z,317,NA,976.2666666666668,25.456,88.1,7.21,377.3,NA,1.494,NA,NA,NA,NA,NA,NA,1.451,1.451
151,8.17,0.549,2017-08-14,2017-08-14T13:32:21Z,317,NA,976.4,25.448,87.9,7.2,377.3,NA,1.499,NA,NA,NA,NA,NA,NA,1.482,1.482
152,8.17,0.564,2017-08-14,2017-08-14T13:32:22Z,317,NA,976.2666666666668,25.441,87.7,7.18,377.4,NA,1.483,NA,NA,NA,NA,NA,NA,1.507,1.507
153,8.17,0.562,2017-08-14,2017-08-14T13:32:23Z,317,NA,976.4,25.432,87.5,7.17,377.4,NA,1.48,NA,NA,NA,NA,NA,NA,1.533,1.533
154,8.17,0.558,2017-08-14,2017-08-14T13:32:24Z,317,NA,976.4,25.423,87.3,7.15,377.5,NA,1.456,NA,NA,NA,NA,NA,NA,1.558,1.558
155,8.17,0.555,2017-08-14,2017-08-14T13:32:25Z,317,NA,976.5333333333333,25.415,87.1,7.14,377.5,NA,1.432,NA,NA,NA,NA,NA,NA,1.584,1.584
156,8.16,0.569,2017-08-14,2017-08-14T13:32:26Z,317,NA,976.4,25.408,86.9,7.12,377.6,NA,1.415,NA,NA,NA,NA,NA,NA,1.615,1.615
157,8.16,0.572,2017-08-14,2017-08-14T13:32:27Z,317,NA,976.4,25.399,86.7,7.1,377.7,NA,1.414,NA,NA,NA,NA,NA,NA,1.639,1.639
158,8.16,0.576,2017-08-14,2017-08-14T13:32:28Z,317,NA,976.2666666666668,25.389,86.5,7.09,377.7,NA,1.406,NA,NA,NA,NA,NA,NA,1.664,1.664
159,8.16,0.59,2017-08-14,2017-08-14T13:32:29Z,317,NA,976.5333333333333,25.381,86.2,7.07,377.8,NA,1.401,NA,NA,NA,NA,NA,NA,1.688,1.688
160,8.16,0.605,2017-08-14,2017-08-14T13:32:30Z,317,NA,976.4,25.372,85.9,7.05,377.8,NA,1.391,NA,NA,NA,NA,NA,NA,1.717,1.717
