MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
005,2018-07-16,2018-07-16T08:38:41Z,0.005,0.005,30.603,7.59,101.5,NA,NA,1.78,7.8,NA,218.7,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:21Z,0.175,0.175,30.708,7.71,103.3,NA,NA,1.45,8.07,NA,220.2,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:23Z,0.2,0.2,30.708,7.71,103.3,NA,NA,1.45,8.07,NA,220.3,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:25Z,0.23,0.23,30.708,7.71,103.3,NA,NA,1.44,8.08,NA,220.3,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:27Z,0.258,0.258,30.707,7.71,103.3,NA,NA,1.41,8.09,NA,220.3,NA,NA,NA,NA,NA,NA,994.8000000000001
005,2018-07-16,2018-07-16T08:39:29Z,0.289,0.289,30.704,7.71,103.3,NA,NA,1.38,8.09,NA,220.3,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:31Z,0.319,0.319,30.702,7.71,103.3,NA,NA,1.39,8.1,NA,220.4,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:33Z,0.356,0.356,30.699,7.71,103.3,NA,NA,1.39,8.12,NA,220.4,NA,NA,NA,NA,NA,NA,994.6666666666666
005,2018-07-16,2018-07-16T08:39:35Z,0.391,0.391,30.695,7.71,103.3,NA,NA,1.38,8.13,NA,220.4,NA,NA,NA,NA,NA,NA,994.8000000000001
005,2018-07-16,2018-07-16T08:39:37Z,0.432,0.432,30.692,7.71,103.3,NA,NA,1.38,8.14,NA,220.4,NA,NA,NA,NA,NA,NA,994.6666666666666
