pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
9.09,3.073,2018-06-06,2018-06-06T13:59:19Z,025,NA,994.2666666666668,30.888,185.4,13.8,175.8,11.97,3.589,NA,NA,NA,NA,NA,NA,0.015,0.015
9.18,4.183,2018-06-06,2018-06-06T14:00:03Z,025,NA,994.2666666666668,29.56,256.5,19.51,177.3,13.03,10.016,NA,NA,NA,NA,NA,NA,0.12,0.12
9.19,4.36,2018-06-06,2018-06-06T14:00:05Z,025,NA,994.4,29.419,256.3,19.55,177.1,13.13,9.207,NA,NA,NA,NA,NA,NA,0.147,0.147
9.2,4.489,2018-06-06,2018-06-06T14:00:07Z,025,NA,994.4,29.291,255.9,19.56,177,13.04,9.201,NA,NA,NA,NA,NA,NA,0.18,0.18
9.21,4.58,2018-06-06,2018-06-06T14:00:09Z,025,NA,994.4,29.147,255.4,19.58,177.1,13,8.376,NA,NA,NA,NA,NA,NA,0.208,0.208
9.21,4.624,2018-06-06,2018-06-06T14:00:11Z,025,NA,994.5333333333333,29.024,254.9,19.58,177,12.95,8.187,NA,NA,NA,NA,NA,NA,0.24,0.24
9.22,4.639,2018-06-06,2018-06-06T14:00:13Z,025,NA,994.2666666666668,28.893,254.2,19.56,176.9,12.8,8.098,NA,NA,NA,NA,NA,NA,0.268,0.268
9.22,4.639,2018-06-06,2018-06-06T14:00:15Z,025,NA,994.4,28.752,246.3,19.01,176.8,12.65,8.037,NA,NA,NA,NA,NA,NA,0.301,0.301
9.22,4.557,2018-06-06,2018-06-06T14:00:17Z,025,NA,994.4,28.656,245.1,18.95,176.8,12.5,7.95,NA,NA,NA,NA,NA,NA,0.333,0.333
9.21,4.489,2018-06-06,2018-06-06T14:00:19Z,025,NA,994.4,28.563,243.4,18.85,176.8,12.31,7.853,NA,NA,NA,NA,NA,NA,0.369,0.369
9.21,4.418,2018-06-06,2018-06-06T14:00:21Z,025,NA,994.4,28.495,242.3,18.79,176.7,12.31,7.695,NA,NA,NA,NA,NA,NA,0.403,0.403
9.2,4.379,2018-06-06,2018-06-06T14:00:23Z,025,NA,994.4,28.427,241.3,18.74,176.7,12.29,7.576,NA,NA,NA,NA,NA,NA,0.439,0.439
9.2,4.328,2018-06-06,2018-06-06T14:00:25Z,025,NA,994.5333333333333,28.367,240.3,18.68,176.7,12.3,7.429,NA,NA,NA,NA,NA,NA,0.475,0.475
9.19,4.301,2018-06-06,2018-06-06T14:00:27Z,025,NA,994.4,28.315,233.2,18.14,176.6,12.3,7.328,NA,NA,NA,NA,NA,NA,0.512,0.512
9.18,4.272,2018-06-06,2018-06-06T14:00:29Z,025,NA,994.5333333333333,28.284,231.5,18.02,176.6,12.16,7.212,NA,NA,NA,NA,NA,NA,0.55,0.55
9.17,4.28,2018-06-06,2018-06-06T14:00:31Z,025,NA,994.2666666666668,28.239,228.8,17.82,176.6,12.1,7.038,NA,NA,NA,NA,NA,NA,0.585,0.585
9.16,4.241,2018-06-06,2018-06-06T14:00:33Z,025,NA,994.4,28.194,227.1,17.71,176.4,12.14,6.873,NA,NA,NA,NA,NA,NA,0.619,0.619
9.15,4.209,2018-06-06,2018-06-06T14:00:35Z,025,NA,994.4,28.152,225.6,17.6,176.3,12.1,6.691,NA,NA,NA,NA,NA,NA,0.65,0.65
9.13,4.201,2018-06-06,2018-06-06T14:00:37Z,025,NA,994.4,28.094,214.8,16.77,176.2,11.95,6.557,NA,NA,NA,NA,NA,NA,0.684,0.684
8.97,4.17,2018-06-06,2018-06-06T14:00:39Z,025,NA,994.4,28.021,210.4,16.45,176.1,11.72,6.419,NA,NA,NA,NA,NA,NA,0.716,0.716
8.95,4.146,2018-06-06,2018-06-06T14:00:41Z,025,NA,994.2666666666668,27.951,206.8,16.19,175.9,11.67,6.362,NA,NA,NA,NA,NA,NA,0.746,0.746
8.94,4.126,2018-06-06,2018-06-06T14:00:43Z,025,NA,994.2666666666668,27.881,199.2,15.62,175.8,11.52,6.228,NA,NA,NA,NA,NA,NA,0.77,0.77
8.93,4.071,2018-06-06,2018-06-06T14:00:45Z,025,NA,994.4,27.816,195.1,15.31,175.6,11.28,6.169,NA,NA,NA,NA,NA,NA,0.796,0.796
8.92,4.019,2018-06-06,2018-06-06T14:00:47Z,025,NA,994.2666666666668,27.746,192.7,15.15,175.5,11.06,6.107,NA,NA,NA,NA,NA,NA,0.821,0.821
8.91,3.947,2018-06-06,2018-06-06T14:00:49Z,025,NA,994.4,27.675,190.2,14.96,175.3,10.82,5.988,NA,NA,NA,NA,NA,NA,0.845,0.845
8.89,3.874,2018-06-06,2018-06-06T14:00:51Z,025,NA,994.4,27.619,179.1,14.1,175.1,10.61,5.85,NA,NA,NA,NA,NA,NA,0.875,0.875
8.88,3.789,2018-06-06,2018-06-06T14:00:53Z,025,NA,994.2666666666668,27.575,175.3,13.82,175,10.54,5.826,NA,NA,NA,NA,NA,NA,0.907,0.907
8.86,3.728,2018-06-06,2018-06-06T14:00:55Z,025,NA,994.4,27.528,172.9,13.64,175,10.36,5.797,NA,NA,NA,NA,NA,NA,0.939,0.939
8.84,3.667,2018-06-06,2018-06-06T14:00:57Z,025,NA,994.2666666666668,27.482,170.8,13.48,175,10.15,5.705,NA,NA,NA,NA,NA,NA,0.969,0.969
8.83,3.642,2018-06-06,2018-06-06T14:00:59Z,025,NA,994.2666666666668,27.45,164.3,12.98,175,10.07,6.773,NA,NA,NA,NA,NA,NA,1.001,1.001
8.82,3.559,2018-06-06,2018-06-06T14:01:01Z,025,NA,994.5333333333333,27.428,162.6,12.85,175.1,9.9,7.137,NA,NA,NA,NA,NA,NA,1.03,1.03
8.81,3.512,2018-06-06,2018-06-06T14:01:03Z,025,NA,994.2666666666668,27.415,161.7,12.79,175.2,9.79,5.481,NA,NA,NA,NA,NA,NA,1.062,1.062
8.79,3.461,2018-06-06,2018-06-06T14:01:05Z,025,NA,994.2666666666668,27.397,160.5,12.7,175.3,9.68,5.65,NA,NA,NA,NA,NA,NA,1.092,1.092
8.76,3.443,2018-06-06,2018-06-06T14:01:07Z,025,NA,994.2666666666668,27.373,159.2,12.59,175.3,9.52,6.558,NA,NA,NA,NA,NA,NA,1.127,1.127
8.74,3.402,2018-06-06,2018-06-06T14:01:09Z,025,NA,994.4,27.356,157.8,12.49,175.4,9.32,5.606,NA,NA,NA,NA,NA,NA,1.159,1.159
8.72,3.369,2018-06-06,2018-06-06T14:01:11Z,025,NA,994.5333333333333,27.338,150.5,11.91,175.5,9.09,5.251,NA,NA,NA,NA,NA,NA,1.194,1.194
8.7,3.347,2018-06-06,2018-06-06T14:01:13Z,025,NA,994.5333333333333,27.316,148.1,11.73,175.5,8.9,5.904,NA,NA,NA,NA,NA,NA,1.226,1.226
