pH,orp_mV,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
8.82,276.9,0.609,2018-08-08,2018-08-08T11:41:04Z,074,NA,983.6,27.603,117.7,9.27,204.1,3.79,2.312,NA,NA,NA,NA,NA,0.12,0.12,0.020000000000000018,0.020000000000000018
8.82,276.2,0.66,2018-08-08,2018-08-08T11:41:15Z,074,NA,983.6,27.493,117.9,9.31,203.5,3.87,2.546,NA,NA,NA,NA,NA,0.294,0.294,0.020000000000000018,0.020000000000000018
8.82,276.1,0.659,2018-08-08,2018-08-08T11:41:18Z,074,NA,983.6,27.477,117.9,9.31,203.4,3.88,2.573,NA,NA,NA,NA,NA,0.343,0.343,0.022999999999999965,0.022999999999999965
8.82,275.8,0.688,2018-08-08,2018-08-08T11:41:23Z,074,NA,983.6,27.45,117.7,9.3,203.2,3.93,2.681,NA,NA,NA,NA,NA,0.431,0.431,0.020000000000000018,0.020000000000000018
8.82,275.7,0.704,2018-08-08,2018-08-08T11:41:27Z,074,NA,983.4666666666667,27.415,117.4,9.28,203.2,3.96,2.778,NA,NA,NA,NA,NA,0.503,0.503,0.026000000000000023,0.026000000000000023
8.81,275.6,0.718,2018-08-08,2018-08-08T11:41:31Z,074,NA,983.6,27.379,116.9,9.25,203.1,3.96,2.838,NA,NA,NA,NA,NA,0.584,0.584,0.028000000000000025,0.028000000000000025
8.81,275.5,0.712,2018-08-08,2018-08-08T11:41:32Z,074,NA,983.6,27.37,116.7,9.23,203.1,3.97,2.819,NA,NA,NA,NA,NA,0.612,0.612,0.02100000000000002,0.02100000000000002
8.81,275.5,0.711,2018-08-08,2018-08-08T11:41:33Z,074,NA,983.7333333333332,27.363,116.6,9.23,203.1,3.99,2.809,NA,NA,NA,NA,NA,0.633,0.633,0.02100000000000002,0.02100000000000002
8.81,275.4,0.709,2018-08-08,2018-08-08T11:41:35Z,074,NA,983.6,27.348,116.4,9.22,203.1,3.99,2.791,NA,NA,NA,NA,NA,0.671,0.671,0.028999999999999915,0.028999999999999915
8.81,275.4,0.704,2018-08-08,2018-08-08T11:41:36Z,074,NA,983.7333333333332,27.341,116.4,9.21,203.1,3.98,2.784,NA,NA,NA,NA,NA,0.7,0.7,0.02200000000000002,0.02200000000000002
8.81,275.4,0.71,2018-08-08,2018-08-08T11:41:37Z,074,NA,983.6,27.335,116.3,9.2,203.1,3.97,2.776,NA,NA,NA,NA,NA,0.722,0.722,0.02200000000000002,0.02200000000000002
8.81,275.4,0.711,2018-08-08,2018-08-08T11:41:38Z,074,NA,983.7333333333332,27.33,116.2,9.2,203.1,3.97,2.775,NA,NA,NA,NA,NA,0.744,0.744,0.02300000000000002,0.02300000000000002
8.81,275.3,0.714,2018-08-08,2018-08-08T11:41:40Z,074,NA,983.6,27.323,116.2,9.2,203,3.97,2.764,NA,NA,NA,NA,NA,0.785,0.785,0.029999999999999916,0.029999999999999916
8.81,275.3,0.705,2018-08-08,2018-08-08T11:41:41Z,074,NA,983.7333333333332,27.317,116.2,9.2,203,3.96,2.761,NA,NA,NA,NA,NA,0.815,0.815,0.02100000000000002,0.02100000000000002
8.81,275.2,0.706,2018-08-08,2018-08-08T11:41:42Z,074,NA,983.6,27.312,116.2,9.2,203,3.97,2.779,NA,NA,NA,NA,NA,0.836,0.836,0.02200000000000002,0.02200000000000002
8.81,275.2,0.699,2018-08-08,2018-08-08T11:41:44Z,074,NA,983.6,27.307,116.3,9.21,203,3.94,2.795,NA,NA,NA,NA,NA,0.875,0.875,0.031000000000000028,0.031000000000000028
8.81,275.2,0.696,2018-08-08,2018-08-08T11:41:45Z,074,NA,983.6,27.301,116.3,9.22,203,3.96,2.806,NA,NA,NA,NA,NA,0.906,0.906,0.02300000000000002,0.02300000000000002
8.81,275.1,0.688,2018-08-08,2018-08-08T11:41:46Z,074,NA,983.7333333333332,27.298,116.4,9.22,202.9,3.96,2.812,NA,NA,NA,NA,NA,0.929,0.929,0.02199999999999991,0.02199999999999991
8.81,275.1,0.693,2018-08-08,2018-08-08T11:41:47Z,074,NA,983.7333333333332,27.292,116.4,9.23,202.9,3.96,2.799,NA,NA,NA,NA,NA,0.951,0.951,0.027000000000000024,0.027000000000000024
8.82,275,0.69,2018-08-08,2018-08-08T11:41:49Z,074,NA,983.6,27.286,116.5,9.23,202.9,3.97,2.777,NA,NA,NA,NA,NA,0.991,0.991,0.03199999999999992,0.03199999999999992
8.82,275,0.678,2018-08-08,2018-08-08T11:41:50Z,074,NA,983.4666666666667,27.284,116.6,9.24,202.9,3.97,2.773,NA,NA,NA,NA,NA,1.023,1.023,0.02200000000000002,0.02200000000000002
8.82,275,0.681,2018-08-08,2018-08-08T11:41:51Z,074,NA,983.7333333333332,27.282,116.6,9.24,202.9,3.99,2.758,NA,NA,NA,NA,NA,1.045,1.045,0.028000000000000025,0.028000000000000025
8.82,274.9,0.68,2018-08-08,2018-08-08T11:41:52Z,074,NA,983.4666666666667,27.279,116.6,9.24,202.9,3.99,2.777,NA,NA,NA,NA,NA,1.073,1.073,0.02200000000000002,0.02200000000000002
8.82,274.9,0.677,2018-08-08,2018-08-08T11:41:54Z,074,NA,983.7333333333332,27.273,116.7,9.25,202.9,4.03,2.77,NA,NA,NA,NA,NA,1.113,1.113,0.026000000000000023,0.026000000000000023
8.82,274.8,0.672,2018-08-08,2018-08-08T11:41:55Z,074,NA,983.7333333333332,27.268,116.7,9.25,202.9,4.03,2.763,NA,NA,NA,NA,NA,1.139,1.139,0.02200000000000002,0.02200000000000002
8.82,274.8,0.669,2018-08-08,2018-08-08T11:41:56Z,074,NA,983.4666666666667,27.262,116.7,9.25,202.9,4.04,2.771,NA,NA,NA,NA,NA,1.161,1.161,0.02499999999999991,0.02499999999999991
8.82,274.8,0.667,2018-08-08,2018-08-08T11:41:57Z,074,NA,983.7333333333332,27.256,116.7,9.25,202.9,4.03,2.807,NA,NA,NA,NA,NA,1.186,1.186,0.02100000000000013,0.02100000000000013
8.82,274.7,0.667,2018-08-08,2018-08-08T11:41:58Z,074,NA,983.6,27.25,116.7,9.25,202.9,4.06,2.847,NA,NA,NA,NA,NA,1.207,1.207,0.020000000000000018,0.020000000000000018
8.82,274.7,0.659,2018-08-08,2018-08-08T11:41:59Z,074,NA,983.6,27.245,116.7,9.25,202.9,4.04,2.904,NA,NA,NA,NA,NA,1.227,1.227,0.020000000000000018,0.020000000000000018
8.82,274.7,0.661,2018-08-08,2018-08-08T11:42:00Z,074,NA,983.4666666666667,27.241,116.6,9.25,202.9,4.02,2.924,NA,NA,NA,NA,NA,1.247,1.247,0.02299999999999991,0.02299999999999991
8.82,274.6,0.664,2018-08-08,2018-08-08T11:42:04Z,074,NA,983.6,27.226,116.5,9.24,202.8,3.94,2.969,NA,NA,NA,NA,NA,1.323,1.323,0.020000000000000018,0.020000000000000018
8.8,274.4,0.685,2018-08-08,2018-08-08T11:42:29Z,074,NA,983.4666666666667,27.142,113.7,9.03,202.5,4.09,2.934,NA,NA,NA,NA,NA,1.731,1.731,0.02299999999999991,0.02299999999999991
