chlorophyll_RFU,depth_m,doSaturation_percent,doConcentration_mgpL,orp_mV,salinity_psu,specificConductivity_uSpcm,phycocyaninBGA_RFU,tds_mgpL,turbidity_FNU,pH,temp_degC,verticalPosition_m,latitude,longitude,altitude_m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars
0.71,0.01,95,8.29,298.6,0.1,207.1,0.52,135,5.76,7.86,22.054,0.135,39.39394,-94.26236,267.9,2018-09-27,2018-09-27T11:09:29Z,074,9.526401741970605e-4,984.9333333333334
1.32,0.052,84.4,7.36,311.5,0.1,207.3,0.64,135,2.42,7.75,22.073,0.167,39.39395,-94.26236,269.4,2018-09-27,2018-09-27T11:09:39Z,074,0.005035383777898748,985.0666666666666
1.32,0.171,78.1,6.81,317.2,0.1,207.6,0.66,135,2.33,7.66,22.158,0.305,39.39395,-94.26237,270.1,2018-09-27,2018-09-27T11:10:04Z,074,0.016467065868263474,984.9333333333334
1.37,0.203,77.6,6.76,316.7,0.1,207.7,0.67,135,2.35,7.67,22.167,0.4,39.39394,-94.26237,269.6,2018-09-27,2018-09-27T11:10:09Z,074,0.0195971692977681,984.9333333333334
1.49,0.239,77.3,6.73,316,0.1,207.7,0.67,135,2.39,7.68,22.172,0.441,39.39394,-94.26237,269.5,2018-09-27,2018-09-27T11:10:14Z,074,0.0231355470876429,984.9333333333334
1.62,0.277,76.9,6.7,315.3,0.1,207.8,0.7,135,2.41,7.69,22.169,0.478,39.39394,-94.26237,269.4,2018-09-27,2018-09-27T11:10:19Z,074,0.026673924877517692,985.0666666666666
1.75,0.326,76.7,6.68,314.6,0.1,207.8,0.72,135,2.37,7.7,22.166,0.583,39.39394,-94.26237,269.7,2018-09-27,2018-09-27T11:10:24Z,074,0.03150517147523136,984.8000000000001
1.89,0.385,76.4,6.66,313.8,0.1,207.8,0.76,135,2.36,7.72,22.161,0.624,39.39394,-94.26237,269.3,2018-09-27,2018-09-27T11:10:29Z,074,0.03715296679368536,984.9333333333334
2.03,0.45,76.2,6.64,313,0.1,207.8,0.81,135,2.34,7.73,22.157,0.67,39.39394,-94.26237,269.3,2018-09-27,2018-09-27T11:10:34Z,074,0.043481219379422974,984.9333333333334
2,0.655,75.3,6.56,309.5,0.1,207.9,0.83,135,2.41,7.79,22.155,0.765,39.39396,-94.26235,269.6,2018-09-27,2018-09-27T11:10:59Z,074,0.06328252585737616,984.8000000000001
