pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.6,NA,2018-07-10,2018-07-10T14:23:45Z,091,NA,992.1333333333333,34.017,149.1,10.53,178.4,5.5,NA,NA,NA,NA,NA,NA,NA,0.048,0.048
8.69,NA,2018-07-10,2018-07-10T14:24:07Z,091,NA,992.2666666666668,33.918,153.9,10.88,179.4,5.59,NA,NA,NA,NA,NA,NA,NA,0.109,0.109
8.7,NA,2018-07-10,2018-07-10T14:24:09Z,091,NA,992,33.753,153.9,10.9,179.5,5.74,NA,NA,NA,NA,NA,NA,NA,0.134,0.134
8.72,NA,2018-07-10,2018-07-10T14:24:11Z,091,NA,992.1333333333333,32.175,159.6,11.61,183.5,5.91,NA,NA,NA,NA,NA,NA,NA,0.159,0.159
8.73,NA,2018-07-10,2018-07-10T14:24:13Z,091,NA,992.1333333333333,32.19,161.1,11.73,182.7,6.14,NA,NA,NA,NA,NA,NA,NA,0.183,0.183
8.75,NA,2018-07-10,2018-07-10T14:24:15Z,091,NA,992.1333333333333,32.15,161.5,11.76,181.9,6.29,NA,NA,NA,NA,NA,NA,NA,0.21,0.21
8.76,NA,2018-07-10,2018-07-10T14:24:17Z,091,NA,992.1333333333333,32.144,162,11.8,180.9,6.47,NA,NA,NA,NA,NA,NA,NA,0.234,0.234
8.78,NA,2018-07-10,2018-07-10T14:24:19Z,091,NA,992.2666666666668,32.142,162.3,11.83,180,6.62,NA,NA,NA,NA,NA,NA,NA,0.261,0.261
8.79,NA,2018-07-10,2018-07-10T14:24:21Z,091,NA,992.1333333333333,32.156,162.7,11.85,179.2,6.7,NA,NA,NA,NA,NA,NA,NA,0.285,0.285
8.8,NA,2018-07-10,2018-07-10T14:24:23Z,091,NA,992.1333333333333,32.149,163,11.87,178.8,6.76,NA,NA,NA,NA,NA,NA,NA,0.314,0.314
8.82,NA,2018-07-10,2018-07-10T14:24:25Z,091,NA,992.1333333333333,32.134,163,11.88,178.5,6.81,NA,NA,NA,NA,NA,NA,NA,0.345,0.345
8.83,NA,2018-07-10,2018-07-10T14:24:27Z,091,NA,992.2666666666668,32.092,163.1,11.89,178.3,6.78,NA,NA,NA,NA,NA,NA,NA,0.385,0.385
8.84,NA,2018-07-10,2018-07-10T14:24:29Z,091,NA,992.1333333333333,32.051,163.4,11.92,178.1,6.82,NA,NA,NA,NA,NA,NA,NA,0.423,0.423
8.85,NA,2018-07-10,2018-07-10T14:24:31Z,091,NA,992.2666666666668,31.996,163.5,11.94,178,6.81,NA,NA,NA,NA,NA,NA,NA,0.468,0.468
8.85,NA,2018-07-10,2018-07-10T14:24:33Z,091,NA,992.1333333333333,31.932,163.6,11.96,177.9,6.85,NA,NA,NA,NA,NA,NA,NA,0.51,0.51
8.86,NA,2018-07-10,2018-07-10T14:24:35Z,091,NA,992.1333333333333,31.863,163.5,11.96,177.9,6.9,NA,NA,NA,NA,NA,NA,NA,0.555,0.555
8.86,NA,2018-07-10,2018-07-10T14:24:37Z,091,NA,992.1333333333333,31.791,163.4,11.97,177.9,6.94,NA,NA,NA,NA,NA,NA,NA,0.598,0.598
8.86,NA,2018-07-10,2018-07-10T14:24:39Z,091,NA,992.1333333333333,31.731,163.2,11.97,177.9,6.98,NA,NA,NA,NA,NA,NA,NA,0.64,0.64
8.86,NA,2018-07-10,2018-07-10T14:24:41Z,091,NA,992.1333333333333,31.671,162.7,11.94,178,7.09,NA,NA,NA,NA,NA,NA,NA,0.68,0.68
8.86,NA,2018-07-10,2018-07-10T14:24:43Z,091,NA,992.1333333333333,31.622,162,11.91,178,7.13,NA,NA,NA,NA,NA,NA,NA,0.717,0.717
