MULakeNumber,date,dateTime,depth_m,verticalPosition_m,temp_degC,doConcentration_mgpL,doSaturation_percent,chlorophyll_RFU,phycocyaninBGA_RFU,turbidity_FNU,pH,orp_mV,specificConductivity_uSpcm,salinity_psu,tds_mgpL,waterPressure_barA,latitude,longitude,altitude_m,barometerAirHandheld_mbars
094-WL-02-10,2018-07-31,2018-07-31T14:32:55Z,0,0,27.92,8.81,112.3,0.611,0.871,6.71,8.78,134.5,208.1,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:31Z,0.28,0.28,27.915,9.52,121.5,3.243,4.144,7.37,8.8,140.5,210.3,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:33Z,0.32,0.32,27.89,9.51,121.3,3.248,4.125,7.37,8.79,140.8,210.3,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:34Z,0.345,0.345,27.876,9.49,121.1,3.248,4.111,7.4,8.79,140.9,210.2,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:36Z,0.392,0.392,27.849,9.46,120.6,3.235,4.083,7.33,8.79,141.2,210.2,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:37Z,0.415,0.415,27.836,9.44,120.4,3.232,4.072,7.36,8.78,141.4,210.2,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:38Z,0.444,0.444,27.823,9.42,120.1,3.239,4.059,7.39,8.78,141.6,210.2,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:39Z,0.469,0.469,27.811,9.41,119.8,3.238,4.044,7.38,8.78,141.7,210.1,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:40Z,0.489,0.489,27.801,9.39,119.6,3.226,4.032,7.37,8.78,141.8,210.1,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:41Z,0.518,0.518,27.79,9.36,119.3,3.214,4.006,7.41,8.77,142,210.1,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:42Z,1.294,1.294,27.783,9.34,118.9,3.184,3.984,7.41,8.77,142.2,210.1,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:43Z,1.339,1.339,27.778,9.32,118.7,3.17,3.961,7.39,8.77,142.3,210.1,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:48Z,1.371,1.371,27.76,9.22,117.3,3.052,3.84,7.45,8.75,143,210,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:33:49Z,1.391,1.391,27.759,9.2,117.1,3.023,3.831,7.44,8.74,143.2,210,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:33:51Z,1.425,1.425,27.757,9.17,116.6,2.971,3.814,7.45,8.73,143.4,210,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:04Z,1.63,1.63,27.723,8.9,113.2,2.773,3.665,7.36,8.69,144.8,210.2,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:09Z,1.714,1.714,27.676,8.79,111.7,2.766,3.638,7.39,8.67,145.3,210.1,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:34:11Z,1.751,1.751,27.652,8.75,111.2,2.792,3.638,7.41,8.66,145.5,210.1,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:34:14Z,1.801,1.801,27.617,8.69,110.3,2.855,3.652,7.44,8.65,145.8,210,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:16Z,1.844,1.844,27.589,8.64,109.7,2.906,3.671,7.41,8.64,145.9,209.9,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:17Z,1.864,1.864,27.573,8.62,109.4,2.931,3.674,7.4,8.64,146,209.8,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:18Z,2.599,2.599,27.56,8.6,109.1,2.974,3.681,7.39,8.64,146.1,209.8,NA,NA,NA,NA,NA,NA,981.7333333333332
094-WL-02-10,2018-07-31,2018-07-31T14:34:19Z,2.659,2.659,27.547,8.58,108.8,3.006,3.696,7.4,8.63,146.2,209.8,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:20Z,2.682,2.682,27.538,8.56,108.5,3.018,3.7,7.41,8.63,146.3,209.8,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:21Z,2.718,2.718,27.523,8.53,108.1,3.036,3.699,7.4,8.63,146.4,209.7,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:24Z,2.763,2.763,27.497,8.46,107.2,3.075,3.7,7.37,8.61,146.6,209.7,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:25Z,2.784,2.784,27.488,8.43,106.8,3.079,3.695,7.38,8.61,146.7,209.7,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:29Z,2.845,2.845,27.456,8.34,105.6,3.088,3.697,7.29,8.6,146.7,209.7,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:31Z,2.876,2.876,27.444,8.3,105.1,3.071,3.68,10.14,8.59,146.7,209.8,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:32Z,2.91,2.91,27.432,8.29,104.8,3.092,3.682,580.74,8.59,146.7,209.9,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:33Z,2.932,2.932,27.423,8.27,104.6,3.522,3.703,527.22,8.41,135.3,210.1,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:34Z,2.962,2.962,27.411,8.26,104.5,3.101,3.727,271.59,8.34,133.2,210.3,NA,NA,NA,NA,NA,NA,981.8666666666667
094-WL-02-10,2018-07-31,2018-07-31T14:34:36Z,3.008,3.008,27.387,8.24,104.2,2.587,3.716,75.52,8.3,127.8,210.7,NA,NA,NA,NA,NA,NA,981.8666666666667
