pH,orp_mV,phycocyaninBGA_RFU,BGA.PC.c.mL,PAR1.ppfd,PAR2.ppfd,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
9.08,91.4,-1.752,NA,NA,NA,2018-06-06,2018-06-06T17:45:20Z,094,NA,976.6666666666666,30.142,171.2,12.9,215.1,2.64,4.757,NA,NA,NA,NA,NA,0.346,0.346,0.030000000000000027,0.030000000000000027
8.76,93.6,-1.453,NA,NA,NA,2018-06-06,2018-06-06T17:45:37Z,094,NA,976.6666666666666,29.241,136.4,10.44,212.3,3.4,5.475,NA,NA,NA,NA,NA,0.769,0.769,0.030000000000000027,0.030000000000000027
7.96,86.2,-1.45,NA,NA,NA,2018-06-06,2018-06-06T17:45:56Z,094,NA,976.5333333333333,27.832,82.1,6.44,211.1,4.1,5.833,NA,NA,NA,NA,NA,1.189,1.189,0.8420000000000001,0.8420000000000001
7.32,-89.7,-1.836,NA,NA,NA,2018-06-06,2018-06-06T17:47:41Z,094,NA,976.6666666666666,23.606,11.9,0.98,210.5,1.57,1.714,NA,NA,NA,NA,NA,3.187,3.187,0.03100000000000014,0.03100000000000014
7.21,-134.6,-1.929,NA,NA,NA,2018-06-06,2018-06-06T17:47:47Z,094,NA,976.5333333333333,23.393,6.7,0.57,212.8,0.84,1.227,NA,NA,NA,NA,NA,3.346,3.346,0.03399999999999981,0.03399999999999981
7.21,-136.3,-1.945,NA,NA,NA,2018-06-06,2018-06-06T17:47:48Z,094,NA,976.6666666666666,23.28,6.5,0.55,213,0.75,1.132,NA,NA,NA,NA,NA,3.38,3.38,0.03200000000000003,0.03200000000000003
7.2,-138.5,-1.966,NA,NA,NA,2018-06-06,2018-06-06T17:47:49Z,094,NA,976.6666666666666,23.169,6.3,0.53,213,0.7,1.066,NA,NA,NA,NA,NA,3.412,3.412,0.03200000000000003,0.03200000000000003
7.2,-141.2,-1.998,NA,NA,NA,2018-06-06,2018-06-06T17:47:50Z,094,NA,976.6666666666666,23.119,6.1,0.52,213.1,0.62,1.012,NA,NA,NA,NA,NA,3.444,3.444,0.03200000000000003,0.03200000000000003
7.19,-143.1,-2.022,NA,NA,NA,2018-06-06,2018-06-06T17:47:51Z,094,NA,976.5333333333333,23.109,5.9,0.51,213.2,0.56,0.986,NA,NA,NA,NA,NA,3.476,3.476,0.03799999999999981,0.03799999999999981
7.19,-144.6,-2.05,NA,NA,NA,2018-06-06,2018-06-06T17:47:52Z,094,NA,976.6666666666666,23.092,5.8,0.5,213.2,0.46,0.972,NA,NA,NA,NA,NA,3.514,3.514,0.03000000000000025,0.03000000000000025
7.18,-156.2,-2.072,NA,NA,NA,2018-06-06,2018-06-06T17:47:55Z,094,NA,976.5333333333333,23.02,5.4,0.47,212.7,0.3,0.927,NA,NA,NA,NA,NA,3.601,3.601,0.03200000000000003,0.03200000000000003
7.22,-213.8,-1.835,NA,NA,NA,2018-06-06,2018-06-06T17:49:10Z,094,NA,976.6666666666666,17.571,2.1,0.2,212.7,3.12,0.655,NA,NA,NA,NA,NA,4.872,4.872,0.030999999999999694,0.030999999999999694
7.22,-214.5,-1.836,NA,NA,NA,2018-06-06,2018-06-06T17:49:11Z,094,NA,976.6666666666666,17.531,2.1,0.2,212.7,3.13,0.659,NA,NA,NA,NA,NA,4.903,4.903,0.03000000000000025,0.03000000000000025
7.22,-215.1,-1.834,NA,NA,NA,2018-06-06,2018-06-06T17:49:12Z,094,NA,976.6666666666666,17.477,2.1,0.2,212.7,3.15,0.663,NA,NA,NA,NA,NA,4.933,4.933,0.03200000000000003,0.03200000000000003
7.23,-216.2,-1.836,NA,NA,NA,2018-06-06,2018-06-06T17:49:14Z,094,NA,976.6666666666666,17.393,2,0.19,212.8,3.24,0.677,NA,NA,NA,NA,NA,4.992,4.992,0.03000000000000025,0.03000000000000025
7.24,-221.2,-1.782,NA,NA,NA,2018-06-06,2018-06-06T17:49:24Z,094,NA,976.6666666666666,17.019,1.9,0.18,213.8,3.8,0.675,NA,NA,NA,NA,NA,5.206,5.206,0.7239999999999993,0.7239999999999993
7.24,-221.7,-1.772,NA,NA,NA,2018-06-06,2018-06-06T17:49:25Z,094,NA,976.5333333333333,16.974,1.8,0.18,213.9,3.9,0.683,NA,NA,NA,NA,NA,5.93,5.93,0.0600000000000005,0.0600000000000005
7.24,-234.7,-1.587,NA,NA,NA,2018-06-06,2018-06-06T17:50:04Z,094,NA,976.5333333333333,16.527,1.5,0.15,215.5,4.21,0.731,NA,NA,NA,NA,NA,5.7,5.7,0.7219999999999995,0.7219999999999995
7.26,-241.6,-1.486,NA,NA,NA,2018-06-06,2018-06-06T17:50:29Z,094,NA,976.6666666666666,14.677,1.3,0.13,212.9,8.63,0.711,NA,NA,NA,NA,NA,6.798,6.798,0.03399999999999981,0.03399999999999981
7.26,-242.7,-1.468,NA,NA,NA,2018-06-06,2018-06-06T17:50:35Z,094,NA,976.6666666666666,14.189,1.2,0.12,214.9,8.54,0.72,NA,NA,NA,NA,NA,6.954,6.954,0.7620000000000005,0.7620000000000005
7.26,-242.8,-1.467,NA,NA,NA,2018-06-06,2018-06-06T17:50:36Z,094,NA,976.6666666666666,14.113,1.2,0.12,215.7,8.49,0.735,NA,NA,NA,NA,NA,7.716,7.716,0.09100000000000019,0.09100000000000019
7.26,-242.9,-1.453,NA,NA,NA,2018-06-06,2018-06-06T17:50:37Z,094,NA,976.6666666666666,14.024,1.2,0.12,216.6,8.41,0.744,NA,NA,NA,NA,NA,7.807,7.807,0.032999999999999474,0.032999999999999474
