pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
8.78,NA,2018-07-10,2018-07-10T10:13:06Z,094,NA,986.2666666666668,31.2,135,9.99,199.8,6.9,NA,NA,NA,NA,NA,NA,NA,0.102,0.102,0.021000000000000005,0.021000000000000005
8.8,NA,2018-07-10,2018-07-10T10:13:10Z,094,NA,986.2666666666668,31.125,134.9,9.99,200.3,6.95,NA,NA,NA,NA,NA,NA,NA,0.142,0.142,0.02200000000000002,0.02200000000000002
8.8,NA,2018-07-10,2018-07-10T10:13:12Z,094,NA,986.2666666666668,31.047,128.7,9.55,200.6,6.98,NA,NA,NA,NA,NA,NA,NA,0.164,0.164,0.024999999999999994,0.024999999999999994
8.8,NA,2018-07-10,2018-07-10T10:13:14Z,094,NA,986.2666666666668,30.967,125.6,9.33,201,7.01,NA,NA,NA,NA,NA,NA,NA,0.189,0.189,0.025999999999999995,0.025999999999999995
8.81,NA,2018-07-10,2018-07-10T10:13:16Z,094,NA,986.2666666666668,30.874,124,9.22,201.4,7.1,NA,NA,NA,NA,NA,NA,NA,0.215,0.215,0.028999999999999998,0.028999999999999998
8.81,NA,2018-07-10,2018-07-10T10:13:18Z,094,NA,986.2666666666668,30.788,122.3,9.11,201.7,7.22,NA,NA,NA,NA,NA,NA,NA,0.244,0.244,0.029000000000000026,0.029000000000000026
8.81,NA,2018-07-10,2018-07-10T10:13:20Z,094,NA,986.4,30.724,121,9.03,201.9,7.33,NA,NA,NA,NA,NA,NA,NA,0.273,0.273,0.023999999999999966,0.023999999999999966
8.81,NA,2018-07-10,2018-07-10T10:13:22Z,094,NA,986.4,30.671,120,8.96,202.2,7.44,NA,NA,NA,NA,NA,NA,NA,0.297,0.297,0.030000000000000027,0.030000000000000027
8.8,NA,2018-07-10,2018-07-10T10:13:24Z,094,NA,986.2666666666668,30.63,114.8,8.58,202.4,7.51,NA,NA,NA,NA,NA,NA,NA,0.327,0.327,0.03199999999999997,0.03199999999999997
8.79,NA,2018-07-10,2018-07-10T10:13:26Z,094,NA,986.4,30.585,113,8.45,202.5,7.63,NA,NA,NA,NA,NA,NA,NA,0.359,0.359,0.028000000000000025,0.028000000000000025
8.78,NA,2018-07-10,2018-07-10T10:13:28Z,094,NA,986.2666666666668,30.525,111.9,8.38,202.7,7.79,NA,NA,NA,NA,NA,NA,NA,0.387,0.387,0.03899999999999998,0.03899999999999998
8.77,NA,2018-07-10,2018-07-10T10:13:30Z,094,NA,986.2666666666668,30.479,110.9,8.31,202.8,7.86,NA,NA,NA,NA,NA,NA,NA,0.426,0.426,0.030000000000000027,0.030000000000000027
8.76,NA,2018-07-10,2018-07-10T10:13:32Z,094,NA,986.2666666666668,30.419,110.1,8.26,203,7.83,NA,NA,NA,NA,NA,NA,NA,0.456,0.456,0.04099999999999998,0.04099999999999998
8.75,NA,2018-07-10,2018-07-10T10:13:34Z,094,NA,986.2666666666668,30.353,109.5,8.22,203.2,7.91,NA,NA,NA,NA,NA,NA,NA,0.497,0.497,0.039000000000000035,0.039000000000000035
8.74,NA,2018-07-10,2018-07-10T10:13:36Z,094,NA,986.2666666666668,30.304,109,8.19,203.4,8.01,NA,NA,NA,NA,NA,NA,NA,0.536,0.536,0.03499999999999992,0.03499999999999992
8.73,NA,2018-07-10,2018-07-10T10:13:38Z,094,NA,986.2666666666668,30.261,108.5,8.16,203.5,8.05,NA,NA,NA,NA,NA,NA,NA,0.571,0.571,0.03400000000000003,0.03400000000000003
8.72,NA,2018-07-10,2018-07-10T10:13:40Z,094,NA,986.2666666666668,30.231,102.4,7.71,203.6,8.09,NA,NA,NA,NA,NA,NA,NA,0.605,0.605,0.038000000000000034,0.038000000000000034
8.71,NA,2018-07-10,2018-07-10T10:13:42Z,094,NA,986.2666666666668,30.183,98.7,7.43,203.7,8.02,NA,NA,NA,NA,NA,NA,NA,0.643,0.643,0.03200000000000003,0.03200000000000003
8.69,NA,2018-07-10,2018-07-10T10:13:44Z,094,NA,986.4,30.138,95.8,7.22,203.9,8.04,NA,NA,NA,NA,NA,NA,NA,0.675,0.675,0.03499999999999992,0.03499999999999992
8.67,NA,2018-07-10,2018-07-10T10:13:46Z,094,NA,986.4,30.102,90.1,6.8,204,8.07,NA,NA,NA,NA,NA,NA,NA,0.71,0.71,0.03500000000000003,0.03500000000000003
8.66,NA,2018-07-10,2018-07-10T10:13:48Z,094,NA,986.2666666666668,30.058,88.2,6.66,204.2,8.07,NA,NA,NA,NA,NA,NA,NA,0.745,0.745,0.029000000000000026,0.029000000000000026
8.64,NA,2018-07-10,2018-07-10T10:13:50Z,094,NA,986.4,30.015,86.9,6.56,204.4,8.08,NA,NA,NA,NA,NA,NA,NA,0.774,0.774,0.025000000000000022,0.025000000000000022
8.62,NA,2018-07-10,2018-07-10T10:13:52Z,094,NA,986.4,29.989,86,6.5,204.5,8.04,NA,NA,NA,NA,NA,NA,NA,0.799,0.799,0.028999999999999915,0.028999999999999915
8.6,NA,2018-07-10,2018-07-10T10:13:54Z,094,NA,986.2666666666668,29.967,85.3,6.45,204.7,8.09,NA,NA,NA,NA,NA,NA,NA,0.828,0.828,0.029000000000000026,0.029000000000000026
8.58,NA,2018-07-10,2018-07-10T10:13:56Z,094,NA,986.2666666666668,29.954,84.8,6.42,204.8,8.12,NA,NA,NA,NA,NA,NA,NA,0.857,0.857,0.027000000000000024,0.027000000000000024
8.56,NA,2018-07-10,2018-07-10T10:13:58Z,094,NA,986.2666666666668,29.936,81.2,6.14,205,8.21,NA,NA,NA,NA,NA,NA,NA,0.884,0.884,0.038000000000000034,0.038000000000000034
8.54,NA,2018-07-10,2018-07-10T10:14:00Z,094,NA,986.4,29.915,79.9,6.04,205.1,8.2,NA,NA,NA,NA,NA,NA,NA,0.922,0.922,0.03699999999999992,0.03699999999999992
8.52,NA,2018-07-10,2018-07-10T10:14:02Z,094,NA,986.2666666666668,29.897,79.2,6,205.2,8.18,NA,NA,NA,NA,NA,NA,NA,0.959,0.959,0.03400000000000003,0.03400000000000003
8.5,NA,2018-07-10,2018-07-10T10:14:04Z,094,NA,986.2666666666668,29.878,78.7,5.96,205.4,8.12,NA,NA,NA,NA,NA,NA,NA,0.993,0.993,0.03700000000000003,0.03700000000000003
8.35,NA,2018-07-10,2018-07-10T10:14:06Z,094,NA,986.2666666666668,29.863,78.1,5.91,205.5,8.11,NA,NA,NA,NA,NA,NA,NA,1.03,1.03,0.030000000000000027,0.030000000000000027
8.34,NA,2018-07-10,2018-07-10T10:14:08Z,094,NA,986.2666666666668,29.852,77.5,5.87,205.6,8.03,NA,NA,NA,NA,NA,NA,NA,1.06,1.06,0.03400000000000003,0.03400000000000003
8.34,NA,2018-07-10,2018-07-10T10:14:10Z,094,NA,986.2666666666668,29.843,73.2,5.55,205.7,8.05,NA,NA,NA,NA,NA,NA,NA,1.094,1.094,0.039999999999999813,0.039999999999999813
8.33,NA,2018-07-10,2018-07-10T10:14:12Z,094,NA,986.2666666666668,29.833,71.9,5.45,205.8,8.03,NA,NA,NA,NA,NA,NA,NA,1.134,1.134,0.037000000000000144,0.037000000000000144
8.33,NA,2018-07-10,2018-07-10T10:14:14Z,094,NA,986.2666666666668,29.825,71.1,5.39,205.8,8.06,NA,NA,NA,NA,NA,NA,NA,1.171,1.171,0.04600000000000004,0.04600000000000004
8.32,NA,2018-07-10,2018-07-10T10:14:16Z,094,NA,986.4,29.815,70.5,5.34,205.9,8.06,NA,NA,NA,NA,NA,NA,NA,1.217,1.217,0.03599999999999981,0.03599999999999981
8.32,NA,2018-07-10,2018-07-10T10:14:18Z,094,NA,986.4,29.804,70.1,5.31,206,8.02,NA,NA,NA,NA,NA,NA,NA,1.253,1.253,0.037000000000000144,0.037000000000000144
8.31,NA,2018-07-10,2018-07-10T10:14:20Z,094,NA,986.2666666666668,29.796,69.7,5.28,206.1,8.03,NA,NA,NA,NA,NA,NA,NA,1.29,1.29,0.028999999999999915,0.028999999999999915
8.31,NA,2018-07-10,2018-07-10T10:14:22Z,094,NA,986.2666666666668,29.783,69.3,5.26,206.2,8.08,NA,NA,NA,NA,NA,NA,NA,1.319,1.319,0.037000000000000144,0.037000000000000144
8.3,NA,2018-07-10,2018-07-10T10:14:24Z,094,NA,986.4,29.77,68.9,5.23,206.3,7.98,NA,NA,NA,NA,NA,NA,NA,1.356,1.356,0.03499999999999992,0.03499999999999992
8.29,NA,2018-07-10,2018-07-10T10:14:26Z,094,NA,986.2666666666668,29.759,68.5,5.19,206.3,7.91,NA,NA,NA,NA,NA,NA,NA,1.391,1.391,0.040000000000000036,0.040000000000000036
8.28,NA,2018-07-10,2018-07-10T10:14:28Z,094,NA,986.2666666666668,29.751,64.2,4.88,206.4,7.8,NA,NA,NA,NA,NA,NA,NA,1.431,1.431,0.03699999999999992,0.03699999999999992
8.28,NA,2018-07-10,2018-07-10T10:14:30Z,094,NA,986.1333333333333,29.743,62.3,4.73,206.5,7.75,NA,NA,NA,NA,NA,NA,NA,1.468,1.468,0.03699999999999992,0.03699999999999992
8.27,NA,2018-07-10,2018-07-10T10:14:32Z,094,NA,986.4,29.735,61.7,4.68,206.6,7.63,NA,NA,NA,NA,NA,NA,NA,1.505,1.505,0.04100000000000015,0.04100000000000015
8.25,NA,2018-07-10,2018-07-10T10:14:34Z,094,NA,986.2666666666668,29.727,61,4.63,206.6,7.53,NA,NA,NA,NA,NA,NA,NA,1.546,1.546,0.038999999999999924,0.038999999999999924
8.24,NA,2018-07-10,2018-07-10T10:14:36Z,094,NA,986.2666666666668,29.718,60.2,4.57,206.7,7.45,NA,NA,NA,NA,NA,NA,NA,1.585,1.585,0.04400000000000004,0.04400000000000004
8.11,NA,2018-07-10,2018-07-10T10:14:38Z,094,NA,986.2666666666668,29.703,55.7,4.23,206.9,7.34,NA,NA,NA,NA,NA,NA,NA,1.629,1.629,0.038000000000000034,0.038000000000000034
8.1,NA,2018-07-10,2018-07-10T10:14:40Z,094,NA,986.2666666666668,29.686,54.5,4.14,207,7.26,NA,NA,NA,NA,NA,NA,NA,1.667,1.667,0.04200000000000004,0.04200000000000004
8.09,NA,2018-07-10,2018-07-10T10:14:42Z,094,NA,986.4,29.667,53.9,4.09,207.2,7.23,NA,NA,NA,NA,NA,NA,NA,1.709,1.709,0.038000000000000034,0.038000000000000034
