pH,orp_mV,phycocyaninBGA_RFU,BGA.PC.c.mL,PAR1.ppfd,PAR2.ppfd,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
7.83,285.5,0.983,NA,NA,NA,2018-10-30,2018-10-30T08:49:50Z,094,NA,974.2666666666668,15.305,87.2,8.73,178.1,3.47,2.376,NA,NA,NA,NA,NA,0.036,0.036
7.76,290.7,0.642,NA,NA,NA,2018-10-30,2018-10-30T08:50:31Z,094,NA,974.2666666666668,15.261,77.5,7.77,177.9,3.52,2.431,NA,NA,NA,NA,NA,0.399,0.399
7.76,290.7,0.643,NA,NA,NA,2018-10-30,2018-10-30T08:50:32Z,094,NA,974.2666666666668,15.26,77.4,7.76,177.9,3.52,2.432,NA,NA,NA,NA,NA,0.421,0.421
7.76,290.7,0.64,NA,NA,NA,2018-10-30,2018-10-30T08:50:33Z,094,NA,974.2666666666668,15.258,77.3,7.75,177.9,3.53,2.422,NA,NA,NA,NA,NA,0.441,0.441
7.75,290.9,0.639,NA,NA,NA,2018-10-30,2018-10-30T08:50:36Z,094,NA,974.2666666666668,15.246,77.1,7.73,177.9,3.52,2.374,NA,NA,NA,NA,NA,0.5,0.5
7.75,291,0.649,NA,NA,NA,2018-10-30,2018-10-30T08:50:37Z,094,NA,974.2666666666668,15.241,77,7.72,177.9,3.53,2.348,NA,NA,NA,NA,NA,0.524,0.524
7.74,291.2,0.654,NA,NA,NA,2018-10-30,2018-10-30T08:50:41Z,094,NA,974.2666666666668,15.221,76.7,7.69,177.8,3.5,2.344,NA,NA,NA,NA,NA,0.607,0.607
7.74,291.3,0.652,NA,NA,NA,2018-10-30,2018-10-30T08:50:42Z,094,NA,974.4,15.215,76.6,7.68,177.8,3.51,2.33,NA,NA,NA,NA,NA,0.627,0.627
7.74,291.4,0.642,NA,NA,NA,2018-10-30,2018-10-30T08:50:43Z,094,NA,974.2666666666668,15.209,76.5,7.68,177.8,3.51,2.325,NA,NA,NA,NA,NA,0.648,0.648
7.74,291.4,0.644,NA,NA,NA,2018-10-30,2018-10-30T08:50:44Z,094,NA,974.2666666666668,15.203,76.4,7.67,177.8,3.51,2.316,NA,NA,NA,NA,NA,0.668,0.668
7.73,291.5,0.645,NA,NA,NA,2018-10-30,2018-10-30T08:50:46Z,094,NA,974.2666666666668,15.193,76.2,7.65,177.8,3.49,2.33,NA,NA,NA,NA,NA,0.715,0.715
7.73,291.6,0.638,NA,NA,NA,2018-10-30,2018-10-30T08:50:47Z,094,NA,974.2666666666668,15.189,76.1,7.64,177.8,3.5,2.35,NA,NA,NA,NA,NA,0.735,0.735
7.73,291.7,0.634,NA,NA,NA,2018-10-30,2018-10-30T08:50:48Z,094,NA,974.2666666666668,15.187,76,7.63,177.8,3.48,2.37,NA,NA,NA,NA,NA,0.755,0.755
7.73,291.7,0.627,NA,NA,NA,2018-10-30,2018-10-30T08:50:49Z,094,NA,974.2666666666668,15.186,75.9,7.62,177.8,3.51,2.348,NA,NA,NA,NA,NA,0.775,0.775
7.72,291.9,0.617,NA,NA,NA,2018-10-30,2018-10-30T08:50:51Z,094,NA,974.2666666666668,15.182,75.7,7.6,177.7,3.47,2.321,NA,NA,NA,NA,NA,0.821,0.821
7.72,292,0.622,NA,NA,NA,2018-10-30,2018-10-30T08:50:52Z,094,NA,974.4,15.179,75.6,7.59,177.7,3.46,2.304,NA,NA,NA,NA,NA,0.842,0.842
7.72,292,0.616,NA,NA,NA,2018-10-30,2018-10-30T08:50:53Z,094,NA,974.2666666666668,15.178,75.5,7.58,177.7,3.44,2.316,NA,NA,NA,NA,NA,0.863,0.863
7.72,292.1,0.613,NA,NA,NA,2018-10-30,2018-10-30T08:50:54Z,094,NA,974.2666666666668,15.176,75.4,7.57,177.7,3.46,2.322,NA,NA,NA,NA,NA,0.889,0.889
7.71,292.2,0.614,NA,NA,NA,2018-10-30,2018-10-30T08:50:56Z,094,NA,974.2666666666668,15.174,75.2,7.55,177.7,3.47,2.339,NA,NA,NA,NA,NA,0.933,0.933
7.71,292.3,0.615,NA,NA,NA,2018-10-30,2018-10-30T08:50:57Z,094,NA,974.2666666666668,15.173,75,7.53,177.7,3.48,2.323,NA,NA,NA,NA,NA,0.954,0.954
7.71,292.3,0.621,NA,NA,NA,2018-10-30,2018-10-30T08:50:58Z,094,NA,974.2666666666668,15.173,74.9,7.52,177.7,3.49,2.326,NA,NA,NA,NA,NA,0.977,0.977
7.71,292.5,0.628,NA,NA,NA,2018-10-30,2018-10-30T08:51:01Z,094,NA,974.2666666666668,15.172,74.6,7.49,177.7,3.49,2.321,NA,NA,NA,NA,NA,1.031,1.031
7.68,293.6,0.597,NA,NA,NA,2018-10-30,2018-10-30T08:51:36Z,094,NA,974.2666666666668,15.148,73.5,7.38,177.6,3.45,2.216,NA,NA,NA,NA,NA,1.44,1.44
7.67,294.1,0.606,NA,NA,NA,2018-10-30,2018-10-30T08:51:41Z,094,NA,974.2666666666668,15.121,72.8,7.32,177.6,3.53,2.18,NA,NA,NA,NA,NA,1.523,1.523
7.66,294.3,0.612,NA,NA,NA,2018-10-30,2018-10-30T08:51:43Z,094,NA,974.2666666666668,15.113,72.4,7.28,177.6,3.5,2.153,NA,NA,NA,NA,NA,1.559,1.559
7.66,294.5,0.62,NA,NA,NA,2018-10-30,2018-10-30T08:51:46Z,094,NA,974.2666666666668,15.102,71.9,7.23,177.6,3.53,2.194,NA,NA,NA,NA,NA,1.616,1.616
7.66,294.6,0.615,NA,NA,NA,2018-10-30,2018-10-30T08:51:47Z,094,NA,974.2666666666668,15.099,71.8,7.22,177.5,3.52,2.213,NA,NA,NA,NA,NA,1.642,1.642
7.65,294.6,0.613,NA,NA,NA,2018-10-30,2018-10-30T08:51:48Z,094,NA,974.2666666666668,15.096,71.6,7.2,177.5,3.52,2.234,NA,NA,NA,NA,NA,1.665,1.665
7.65,294.7,0.614,NA,NA,NA,2018-10-30,2018-10-30T08:51:49Z,094,NA,974.2666666666668,15.091,71.5,7.19,177.6,3.52,2.217,NA,NA,NA,NA,NA,1.689,1.689
7.65,294.8,0.616,NA,NA,NA,2018-10-30,2018-10-30T08:51:50Z,094,NA,974.2666666666668,15.086,71.3,7.17,177.6,3.5,2.197,NA,NA,NA,NA,NA,1.709,1.709
7.65,294.9,0.611,NA,NA,NA,2018-10-30,2018-10-30T08:51:51Z,094,NA,974.2666666666668,15.079,71.1,7.16,177.6,3.49,2.222,NA,NA,NA,NA,NA,1.745,1.745
7.65,295,0.618,NA,NA,NA,2018-10-30,2018-10-30T08:51:52Z,094,NA,974.1333333333333,15.071,71,7.14,177.5,3.5,2.336,NA,NA,NA,NA,NA,2.509,2.509
7.64,295.1,0.615,NA,NA,NA,2018-10-30,2018-10-30T08:51:53Z,094,NA,974.2666666666668,15.064,70.8,7.12,177.6,3.48,2.44,NA,NA,NA,NA,NA,2.574,2.574
7.63,295.7,0.607,NA,NA,NA,2018-10-30,2018-10-30T08:52:01Z,094,NA,974.2666666666668,15.013,69.2,6.97,177.6,3.59,2.32,NA,NA,NA,NA,NA,2.606,2.606
7.63,295.7,0.6,NA,NA,NA,2018-10-30,2018-10-30T08:52:02Z,094,NA,974.2666666666668,15.008,69,6.95,177.6,3.6,2.306,NA,NA,NA,NA,NA,2.634,2.634
7.63,295.8,0.604,NA,NA,NA,2018-10-30,2018-10-30T08:52:03Z,094,NA,974.2666666666668,15.005,68.8,6.93,177.6,3.59,2.301,NA,NA,NA,NA,NA,2.665,2.665
7.61,296.4,0.622,NA,NA,NA,2018-10-30,2018-10-30T08:52:12Z,094,NA,974.2666666666668,14.987,67.3,6.79,177.6,3.63,2.362,NA,NA,NA,NA,NA,2.782,2.782
7.6,296.7,0.618,NA,NA,NA,2018-10-30,2018-10-30T08:52:17Z,094,NA,974.2666666666668,14.979,66.6,6.72,177.6,3.65,2.452,NA,NA,NA,NA,NA,2.859,2.859
7.58,297.2,0.653,NA,NA,NA,2018-10-30,2018-10-30T08:52:36Z,094,NA,974.4,14.944,64.6,6.52,177.2,3.8,2.478,NA,NA,NA,NA,NA,3.08,3.08
7.58,297.2,0.647,NA,NA,NA,2018-10-30,2018-10-30T08:52:37Z,094,NA,974.2666666666668,14.942,64.6,6.52,177.2,3.76,2.47,NA,NA,NA,NA,NA,3.105,3.105
7.58,297.3,0.685,NA,NA,NA,2018-10-30,2018-10-30T08:52:46Z,094,NA,974.2666666666668,14.926,64.1,6.47,177.1,3.72,2.509,NA,NA,NA,NA,NA,3.233,3.233
7.58,297.3,0.694,NA,NA,NA,2018-10-30,2018-10-30T08:52:47Z,094,NA,974.2666666666668,14.922,64.1,6.47,177,3.72,2.486,NA,NA,NA,NA,NA,3.254,3.254
