dateTime_Round,pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
2018-07-10T07:03:24Z,8.024999999999999,NA,2018-07-10,2018-07-10T07:03:24Z,098,NA,988.5333333333333,29.229,108.45,8.305,205.5,0.73,NA,NA,NA,NA,NA,NA,NA,0.07400000000000001,0.07400000000000001
2018-07-10T07:03:27Z,8.05,NA,2018-07-10,2018-07-10T07:03:27Z,098,NA,988.2666666666668,29.241,108.6,8.31,205.5,0.72,NA,NA,NA,NA,NA,NA,NA,0.099,0.099
2018-07-10T07:03:30Z,8.07,NA,2018-07-10,2018-07-10T07:03:30Z,098,NA,988.4666666666667,29.252499999999998,108.6,8.31,205.6,0.73,NA,NA,NA,NA,NA,NA,NA,0.138,0.138
2018-07-10T07:03:33Z,8.09,NA,2018-07-10,2018-07-10T07:03:33Z,098,NA,988.4,29.262,108.7,8.32,205.7,0.72,NA,NA,NA,NA,NA,NA,NA,0.193,0.193
2018-07-10T07:03:39Z,8.14,NA,2018-07-10,2018-07-10T07:03:39Z,098,NA,988.4,29.277,108.8,8.32,205.8,0.71,NA,NA,NA,NA,NA,NA,NA,1.051,1.051
2018-07-10T07:03:42Z,8.165,NA,2018-07-10,2018-07-10T07:03:42Z,098,NA,988.4,29.282,108.8,8.32,205.8,0.715,NA,NA,NA,NA,NA,NA,NA,1.1165,1.1165
2018-07-10T07:03:45Z,8.19,NA,2018-07-10,2018-07-10T07:03:45Z,098,NA,988.5333333333333,29.286,108.8,8.32,205.8,0.69,NA,NA,NA,NA,NA,NA,NA,1.174,1.174
2018-07-10T07:03:48Z,8.215,NA,2018-07-10,2018-07-10T07:03:48Z,098,NA,988.5333333333333,29.2895,108.8,8.32,205.8,0.7,NA,NA,NA,NA,NA,NA,NA,1.233,1.233
2018-07-10T07:03:51Z,8.24,NA,2018-07-10,2018-07-10T07:03:51Z,098,NA,988.5333333333333,29.293,108.8,8.32,205.9,0.67,NA,NA,NA,NA,NA,NA,NA,1.288,1.288
2018-07-10T07:03:54Z,8.26,NA,2018-07-10,2018-07-10T07:03:54Z,098,NA,988.4,29.295,108.85,8.325,205.9,0.695,NA,NA,NA,NA,NA,NA,NA,1.335,1.335
2018-07-10T07:03:57Z,8.28,NA,2018-07-10,2018-07-10T07:03:57Z,098,NA,988.5333333333333,29.295,108.9,8.33,205.9,0.68,NA,NA,NA,NA,NA,NA,NA,1.38,1.38
2018-07-10T07:04:00Z,8.305,NA,2018-07-10,2018-07-10T07:04:00Z,098,NA,988.5999999999999,29.295,108.85,8.33,205.85000000000002,0.715,NA,NA,NA,NA,NA,NA,NA,1.415,1.415
2018-07-10T07:04:03Z,8.33,NA,2018-07-10,2018-07-10T07:04:03Z,098,NA,988.5333333333333,29.295,108.8,8.32,205.9,0.69,NA,NA,NA,NA,NA,NA,NA,1.443,1.443
2018-07-10T07:04:06Z,8.344999999999999,NA,2018-07-10,2018-07-10T07:04:06Z,098,NA,988.4666666666667,29.295,108.8,8.32,205.9,0.695,NA,NA,NA,NA,NA,NA,NA,1.4775,1.4775
2018-07-10T07:04:09Z,8.36,NA,2018-07-10,2018-07-10T07:04:09Z,098,NA,988.5333333333333,29.295,108.8,8.32,205.9,0.68,NA,NA,NA,NA,NA,NA,NA,1.511,1.511
2018-07-10T07:04:12Z,8.375,NA,2018-07-10,2018-07-10T07:04:12Z,098,NA,988.4,29.2965,108.8,8.32,205.9,0.67,NA,NA,NA,NA,NA,NA,NA,1.545,1.545
2018-07-10T07:04:15Z,8.39,NA,2018-07-10,2018-07-10T07:04:15Z,098,NA,988.5333333333333,29.297,108.8,8.32,205.9,0.66,NA,NA,NA,NA,NA,NA,NA,1.577,1.577
2018-07-10T07:04:18Z,8.405000000000001,NA,2018-07-10,2018-07-10T07:04:18Z,098,NA,988.5333333333333,29.297,108.8,8.32,205.9,0.66,NA,NA,NA,NA,NA,NA,NA,1.6564999999999999,1.6564999999999999
