pH,orp_mV,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.49,120.6,0.267,2018-07-23,2018-07-23T15:47:54Z,112,NA,982.8000000000001,30.07,98,7.39,244.8,0.05,0.271,NA,NA,NA,NA,NA,0.016,0.016
8.46,120.9,-0.002,2018-07-23,2018-07-23T15:48:54Z,112,NA,982.8000000000001,30.043,102.2,7.72,243.9,NA,0.299,NA,NA,NA,NA,NA,0.582,0.582
8.46,120.9,-0.006,2018-07-23,2018-07-23T15:48:58Z,112,NA,982.8000000000001,30.029,102.2,7.72,243.8,NA,0.316,NA,NA,NA,NA,NA,0.701,0.701
8.46,120.9,-0.008,2018-07-23,2018-07-23T15:49:00Z,112,NA,982.8000000000001,30.024,102.2,7.72,243.8,NA,0.326,NA,NA,NA,NA,NA,0.768,0.768
8.46,121,-0.001,2018-07-23,2018-07-23T15:49:04Z,112,NA,982.8000000000001,30.014,102.2,7.72,243.7,NA,0.347,NA,NA,NA,NA,NA,0.889,0.889
8.46,121,-0.001,2018-07-23,2018-07-23T15:49:08Z,112,NA,982.9333333333334,29.995,102.2,7.72,243.6,NA,0.36,NA,NA,NA,NA,NA,1.007,1.007
8.47,121.8,0.011,2018-07-23,2018-07-23T15:49:59Z,112,NA,982.8000000000001,29.464,102.6,7.83,240.7,NA,0.425,NA,NA,NA,NA,NA,2.399,2.399
8.47,121.9,0.019,2018-07-23,2018-07-23T15:50:03Z,112,NA,982.8000000000001,29.436,102.6,7.83,240.6,NA,0.448,NA,NA,NA,NA,NA,2.518,2.518
8.47,121.9,0.04,2018-07-23,2018-07-23T15:50:07Z,112,NA,982.9333333333334,29.416,102.5,7.82,240.5,NA,0.447,NA,NA,NA,NA,NA,2.638,2.638
8.47,122,0.034,2018-07-23,2018-07-23T15:50:11Z,112,NA,982.6666666666666,29.39,102.5,7.82,240.3,NA,0.461,NA,NA,NA,NA,NA,2.755,2.755
8.47,122.1,0.044,2018-07-23,2018-07-23T15:50:15Z,112,NA,982.6666666666666,29.367,102.5,7.83,240.2,NA,0.467,NA,NA,NA,NA,NA,2.871,2.871
8.47,122.1,0.051,2018-07-23,2018-07-23T15:50:19Z,112,NA,982.8000000000001,29.333,102.5,7.84,240.1,NA,0.472,NA,NA,NA,NA,NA,2.993,2.993
8.47,122.2,0.036,2018-07-23,2018-07-23T15:50:23Z,112,NA,982.9333333333334,29.315,102.6,7.84,239.9,NA,0.479,NA,NA,NA,NA,NA,3.118,3.118
8.47,122.2,0.022,2018-07-23,2018-07-23T15:50:25Z,112,NA,982.8000000000001,29.308,102.6,7.85,239.8,NA,0.484,NA,NA,NA,NA,NA,3.179,3.179
8.47,122.3,0.021,2018-07-23,2018-07-23T15:50:27Z,112,NA,982.8000000000001,29.298,102.7,7.85,239.7,NA,0.492,NA,NA,NA,NA,NA,3.961,3.961
7.86,133.5,0.082,2018-07-23,2018-07-23T15:51:59Z,112,NA,982.6666666666666,18.776,86.4,8.03,208.2,NA,0.371,NA,NA,NA,NA,NA,5.628,5.628
7.85,134,0.069,2018-07-23,2018-07-23T15:52:03Z,112,NA,982.8000000000001,18.732,86.6,8.08,205.6,NA,0.392,NA,NA,NA,NA,NA,5.745,5.745
7.72,138.6,0.138,2018-07-23,2018-07-23T15:52:45Z,112,NA,982.8000000000001,14.667,67.8,6.87,184,NA,0.318,NA,NA,NA,NA,NA,6.87,6.87
7.69,139.3,0.14,2018-07-23,2018-07-23T15:52:51Z,112,NA,982.6666666666666,14.136,65.9,6.76,180.8,NA,0.309,NA,NA,NA,NA,NA,7.041,7.041
7.67,139.8,0.154,2018-07-23,2018-07-23T15:52:55Z,112,NA,982.6666666666666,13.882,64.7,6.67,179.4,NA,0.309,NA,NA,NA,NA,NA,7.16,7.16
7.65,140.3,0.161,2018-07-23,2018-07-23T15:52:59Z,112,NA,982.8000000000001,13.599,59.8,6.21,178.3,NA,0.311,NA,NA,NA,NA,NA,7.28,7.28
7.62,140.8,0.17,2018-07-23,2018-07-23T15:53:03Z,112,NA,982.8000000000001,13.323,58.8,6.14,177.3,NA,0.324,NA,NA,NA,NA,NA,7.4,7.4
7.6,141.2,0.166,2018-07-23,2018-07-23T15:53:07Z,112,NA,982.6666666666666,13.089,57.8,6.07,176.2,NA,0.333,NA,NA,NA,NA,NA,7.518,7.518
7.59,141.7,0.169,2018-07-23,2018-07-23T15:53:11Z,112,NA,982.8000000000001,12.986,56.8,5.99,175.2,NA,0.347,NA,NA,NA,NA,NA,7.634,7.634
7.57,142.1,0.159,2018-07-23,2018-07-23T15:53:15Z,112,NA,982.8000000000001,12.886,52,5.48,174.2,NA,0.335,NA,NA,NA,NA,NA,7.749,7.749
7.54,142.8,0.139,2018-07-23,2018-07-23T15:53:21Z,112,NA,982.9333333333334,12.567,50,5.32,172.8,NA,0.307,NA,NA,NA,NA,NA,7.925,7.925
7.51,143.7,0.158,2018-07-23,2018-07-23T15:53:29Z,112,NA,982.6666666666666,12.088,43.4,4.66,171,NA,0.281,NA,NA,NA,NA,NA,8.161,8.161
7.44,145.9,0.197,2018-07-23,2018-07-23T15:53:45Z,112,NA,982.8000000000001,11.507,33.6,3.66,168,NA,0.247,NA,NA,NA,NA,NA,8.599,8.599
7.43,146.3,0.203,2018-07-23,2018-07-23T15:53:47Z,112,NA,982.8000000000001,11.385,33,3.6,167.5,NA,0.234,NA,NA,NA,NA,NA,8.659,8.659
7.42,146.7,0.202,2018-07-23,2018-07-23T15:53:49Z,112,NA,982.6666666666666,11.274,32.3,3.54,167,NA,0.233,NA,NA,NA,NA,NA,8.727,8.727
7.41,147.1,0.206,2018-07-23,2018-07-23T15:53:51Z,112,NA,982.6666666666666,11.17,27.8,3.05,166.6,NA,0.234,NA,NA,NA,NA,NA,9.517,9.517
7.4,147.5,0.205,2018-07-23,2018-07-23T15:53:53Z,112,NA,982.8000000000001,11.049,26.6,2.93,166.2,NA,0.232,NA,NA,NA,NA,NA,9.598,9.598
7.39,147.9,0.213,2018-07-23,2018-07-23T15:53:55Z,112,NA,982.6666666666666,10.918,25.8,2.85,165.7,NA,0.221,NA,NA,NA,NA,NA,9.66,9.66
7.26,152.5,0.263,2018-07-23,2018-07-23T15:54:37Z,112,NA,982.8000000000001,9.931,10.7,1.21,163.1,NA,0.264,NA,NA,NA,NA,NA,10.41,10.41
7.26,152.7,0.289,2018-07-23,2018-07-23T15:54:41Z,112,NA,982.9333333333334,9.833,9.8,1.1,162.9,NA,0.325,NA,NA,NA,NA,NA,10.529,10.529
7.25,153,0.332,2018-07-23,2018-07-23T15:54:45Z,112,NA,982.8000000000001,9.729,8.8,1,162.6,NA,0.396,NA,NA,NA,NA,NA,10.649,10.649
7.25,153.1,0.384,2018-07-23,2018-07-23T15:54:47Z,112,NA,982.6666666666666,9.681,8.4,0.96,162.5,0.1,0.558,NA,NA,NA,NA,NA,10.71,10.71
7.25,153.3,0.459,2018-07-23,2018-07-23T15:54:49Z,112,NA,982.6666666666666,9.631,8,0.91,162.4,0.2,0.834,NA,NA,NA,NA,NA,10.773,10.773
7.24,153.5,0.523,2018-07-23,2018-07-23T15:54:51Z,112,NA,982.6666666666666,9.589,7.6,0.87,162.5,0.32,1.195,NA,NA,NA,NA,NA,10.841,10.841
7.24,153.7,0.567,2018-07-23,2018-07-23T15:54:53Z,112,NA,982.8000000000001,9.552,7.3,0.83,162.5,0.42,1.486,NA,NA,NA,NA,NA,10.901,10.901
7.24,153.9,0.613,2018-07-23,2018-07-23T15:54:55Z,112,NA,982.6666666666666,9.518,7,0.79,162.6,0.47,1.431,NA,NA,NA,NA,NA,10.966,10.966
7.23,154.5,0.653,2018-07-23,2018-07-23T15:54:59Z,112,NA,982.6666666666666,9.455,6.3,0.72,162.9,0.45,0.726,NA,NA,NA,NA,NA,11.09,11.09
7.23,154.7,0.678,2018-07-23,2018-07-23T15:55:01Z,112,NA,982.6666666666666,9.428,6.1,0.69,163,0.46,0.699,NA,NA,NA,NA,NA,11.855,11.855
7.09,-34.3,0.302,2018-07-23,2018-07-23T15:55:45Z,112,NA,982.8000000000001,8.953,3.1,0.36,164.4,4.19,0.205,NA,NA,NA,NA,NA,12.692,12.692
7.09,-36.5,0.299,2018-07-23,2018-07-23T15:55:47Z,112,NA,982.6666666666666,8.944,3.1,0.35,164.5,3.91,0.191,NA,NA,NA,NA,NA,12.759,12.759
7.09,-39,0.309,2018-07-23,2018-07-23T15:55:49Z,112,NA,982.8000000000001,8.935,3,0.35,164.6,3.45,0.202,NA,NA,NA,NA,NA,12.819,12.819
7.08,-48.6,0.311,2018-07-23,2018-07-23T15:55:51Z,112,NA,982.6666666666666,8.93,3,0.34,164.7,3.04,0.194,NA,NA,NA,NA,NA,12.885,12.885
7.13,-118.7,0.277,2018-07-23,2018-07-23T15:56:51Z,112,NA,982.8000000000001,8.673,2.1,0.25,167.1,1.58,0.137,NA,NA,NA,NA,NA,14.495,14.495
7.13,-119.9,0.269,2018-07-23,2018-07-23T15:56:55Z,112,NA,982.8000000000001,8.66,2.1,0.25,167.2,1.53,0.142,NA,NA,NA,NA,NA,14.62,14.62
7.13,-120.5,0.259,2018-07-23,2018-07-23T15:56:57Z,112,NA,982.6666666666666,8.654,2.1,0.24,167.3,1.53,0.146,NA,NA,NA,NA,NA,14.682,14.682
7.14,-121.1,0.262,2018-07-23,2018-07-23T15:56:59Z,112,NA,982.8000000000001,8.647,2.1,0.24,167.4,1.51,0.145,NA,NA,NA,NA,NA,14.751,14.751
7.14,-121.7,0.257,2018-07-23,2018-07-23T15:57:01Z,112,NA,982.8000000000001,8.64,2,0.24,167.5,1.49,0.141,NA,NA,NA,NA,NA,14.817,14.817
7.14,-122.3,0.261,2018-07-23,2018-07-23T15:57:03Z,112,NA,982.8000000000001,8.634,2,0.23,167.5,1.48,0.141,NA,NA,NA,NA,NA,14.889,14.889
7.14,-123.2,0.264,2018-07-23,2018-07-23T15:57:05Z,112,NA,982.8000000000001,8.63,2,0.23,167.6,1.48,0.141,NA,NA,NA,NA,NA,14.954,14.954
7.14,-124.4,0.252,2018-07-23,2018-07-23T15:57:07Z,112,NA,982.9333333333334,8.625,2,0.23,167.6,1.47,0.14,NA,NA,NA,NA,NA,15.025,15.025
7.15,-125.6,0.251,2018-07-23,2018-07-23T15:57:09Z,112,NA,982.8000000000001,8.617,1.9,0.23,167.7,1.47,0.136,NA,NA,NA,NA,NA,15.09,15.09
7.15,-126.7,0.249,2018-07-23,2018-07-23T15:57:11Z,112,NA,982.6666666666666,8.612,1.9,0.22,167.8,1.48,0.135,NA,NA,NA,NA,NA,15.16,15.16
7.15,-127.8,0.251,2018-07-23,2018-07-23T15:57:13Z,112,NA,982.8000000000001,8.606,1.9,0.22,167.9,1.47,0.133,NA,NA,NA,NA,NA,15.942,15.942
