pH,orp_mV,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.85,137.1,2.92,0.5,2018-06-13,2018-06-13T10:07:27Z,183,NA,989.7333333333332,28.527,108.7,8.42,180.6,NA,NA,NA,NA,NA,NA,NA,NA,0.478,0.478
8.92,123,11.25,2.1,2018-06-13,2018-06-13T10:09:40Z,183,NA,989.7333333333332,28.525,120.7,9.36,181,NA,NA,NA,NA,NA,NA,NA,NA,1.789,1.789
8.92,123.3,11.25,2.2,2018-06-13,2018-06-13T10:09:44Z,183,NA,989.8666666666667,28.52,120.5,9.35,181,NA,NA,NA,NA,NA,NA,NA,NA,1.857,1.857
8.9,123.6,11.13,2.3,2018-06-13,2018-06-13T10:09:49Z,183,NA,989.8666666666667,28.513,120.4,9.33,181.1,NA,NA,NA,NA,NA,NA,NA,NA,1.947,1.947
8.9,123.9,11.01,2.4,2018-06-13,2018-06-13T10:09:52Z,183,NA,989.8666666666667,28.51,120.3,9.33,181.1,NA,NA,NA,NA,NA,NA,NA,NA,2.007,2.007
8.89,124,10.97,2.4,2018-06-13,2018-06-13T10:09:54Z,183,NA,989.7333333333332,28.507,120.2,9.32,181.1,NA,NA,NA,NA,NA,NA,NA,NA,2.045,2.045
8.88,124.3,11.02,2.5,2018-06-13,2018-06-13T10:09:57Z,183,NA,989.8666666666667,28.503,120,9.31,181.1,NA,NA,NA,NA,NA,NA,NA,NA,2.105,2.105
8.88,124.5,10.77,2.5,2018-06-13,2018-06-13T10:10:01Z,183,NA,989.8666666666667,28.492,119.9,9.3,181.1,NA,NA,NA,NA,NA,NA,NA,NA,2.18,2.18
8.87,124.7,10.71,2.5,2018-06-13,2018-06-13T10:10:05Z,183,NA,989.7333333333332,28.455,119.6,9.28,181.3,NA,NA,NA,NA,NA,NA,NA,NA,2.253,2.253
8.85,125,10.65,2.6,2018-06-13,2018-06-13T10:10:09Z,183,NA,989.8666666666667,28.407,118.6,9.22,181.5,NA,NA,NA,NA,NA,NA,NA,NA,2.323,2.323
7.38,-108.1,7.34,3.8,2018-06-13,2018-06-13T10:11:37Z,183,NA,989.7333333333332,21.224,3.8,0.34,281.7,NA,NA,NA,NA,NA,NA,NA,NA,3.496,3.496
7.44,-159.2,14.9,4.7,2018-06-13,2018-06-13T10:12:31Z,183,NA,989.7333333333332,17.088,2.4,0.23,343.6,NA,NA,NA,NA,NA,NA,NA,NA,4.327,4.327
7.44,-160.6,14.98,4.8,2018-06-13,2018-06-13T10:12:35Z,183,NA,989.7333333333332,16.708,2.4,0.23,349.2,NA,NA,NA,NA,NA,NA,NA,NA,4.399,4.399
7.43,-161.9,14.79,4.9,2018-06-13,2018-06-13T10:12:39Z,183,NA,989.7333333333332,16.332,2.3,0.22,354.8,NA,NA,NA,NA,NA,NA,NA,NA,4.475,4.475
7.43,-164.7,14.26,5,2018-06-13,2018-06-13T10:12:44Z,183,NA,989.7333333333332,15.944,2.2,0.22,360,NA,NA,NA,NA,NA,NA,NA,NA,4.575,4.575
7.42,-165.9,14.01,5,2018-06-13,2018-06-13T10:12:46Z,183,NA,989.8666666666667,15.881,2.2,0.21,361.2,NA,NA,NA,NA,NA,NA,NA,NA,4.615,4.615
7.42,-167.1,13.89,5.1,2018-06-13,2018-06-13T10:12:48Z,183,NA,989.7333333333332,15.798,2.2,0.21,362.3,NA,NA,NA,NA,NA,NA,NA,NA,4.66,4.66
7.42,-168.3,13.8,5.1,2018-06-13,2018-06-13T10:12:50Z,183,NA,989.8666666666667,15.725,2.1,0.21,363.2,NA,NA,NA,NA,NA,NA,NA,NA,4.701,4.701
7.42,-168.8,13.71,5.1,2018-06-13,2018-06-13T10:12:51Z,183,NA,989.8666666666667,15.691,2.1,0.21,363.6,NA,NA,NA,NA,NA,NA,NA,NA,4.723,4.723
7.42,-169.3,13.59,5.2,2018-06-13,2018-06-13T10:12:52Z,183,NA,989.7333333333332,15.651,2.1,0.21,364,NA,NA,NA,NA,NA,NA,NA,NA,4.748,4.748
7.42,-169.8,13.45,5.2,2018-06-13,2018-06-13T10:12:53Z,183,NA,989.7333333333332,15.619,2.1,0.21,364.4,NA,NA,NA,NA,NA,NA,NA,NA,4.77,4.77
7.42,-170.3,13.41,5.2,2018-06-13,2018-06-13T10:12:54Z,183,NA,989.7333333333332,15.59,2.1,0.21,364.7,NA,NA,NA,NA,NA,NA,NA,NA,4.791,4.791
7.42,-170.8,13.34,5.2,2018-06-13,2018-06-13T10:12:55Z,183,NA,989.8666666666667,15.558,2.1,0.21,365,NA,NA,NA,NA,NA,NA,NA,NA,4.812,4.812
7.42,-171.3,13.29,5.2,2018-06-13,2018-06-13T10:12:56Z,183,NA,989.7333333333332,15.513,2.1,0.21,365.4,NA,NA,NA,NA,NA,NA,NA,NA,4.838,4.838
7.42,-171.7,13.2,5.3,2018-06-13,2018-06-13T10:12:57Z,183,NA,989.8666666666667,15.444,2.1,0.21,365.9,NA,NA,NA,NA,NA,NA,NA,NA,4.86,4.86
7.42,-172.1,13.15,5.3,2018-06-13,2018-06-13T10:12:58Z,183,NA,989.8666666666667,15.38,2.1,0.21,366.5,NA,NA,NA,NA,NA,NA,NA,NA,4.882,4.882
7.42,-172.6,13.1,5.3,2018-06-13,2018-06-13T10:12:59Z,183,NA,989.8666666666667,15.317,2.1,0.21,367,NA,NA,NA,NA,NA,NA,NA,NA,4.904,4.904
7.42,-173,13.07,5.3,2018-06-13,2018-06-13T10:13:00Z,183,NA,989.8666666666667,15.258,2,0.21,367.5,NA,NA,NA,NA,NA,NA,NA,NA,4.93,4.93
7.42,-173.4,13.05,5.3,2018-06-13,2018-06-13T10:13:01Z,183,NA,989.7333333333332,15.191,2,0.2,368,NA,NA,NA,NA,NA,NA,NA,NA,4.952,4.952
7.42,-173.8,13,5.3,2018-06-13,2018-06-13T10:13:02Z,183,NA,989.6,15.144,2,0.2,368.5,NA,NA,NA,NA,NA,NA,NA,NA,4.974,4.974
7.42,-174.2,12.91,5.4,2018-06-13,2018-06-13T10:13:03Z,183,NA,989.7333333333332,15.099,2,0.2,368.8,NA,NA,NA,NA,NA,NA,NA,NA,4.995,4.995
7.42,-174.6,12.86,5.4,2018-06-13,2018-06-13T10:13:04Z,183,NA,989.7333333333332,15.055,2,0.2,369.2,NA,NA,NA,NA,NA,NA,NA,NA,5.016,5.016
7.42,-175,12.78,5.4,2018-06-13,2018-06-13T10:13:05Z,183,NA,989.8666666666667,14.999,2,0.2,369.5,NA,NA,NA,NA,NA,NA,NA,NA,5.041,5.041
7.42,-175.7,12.51,5.4,2018-06-13,2018-06-13T10:13:07Z,183,NA,989.7333333333332,14.885,1.9,0.2,370.2,NA,NA,NA,NA,NA,NA,NA,NA,5.081,5.081
7.42,-176.5,11.7,5.5,2018-06-13,2018-06-13T10:13:09Z,183,NA,989.7333333333332,14.782,1.9,0.19,370.8,NA,NA,NA,NA,NA,NA,NA,NA,5.124,5.124
7.42,-176.8,11.9,5.5,2018-06-13,2018-06-13T10:13:10Z,183,NA,989.7333333333332,14.737,1.9,0.19,371,NA,NA,NA,NA,NA,NA,NA,NA,5.144,5.144
7.42,-177.2,11.9,5.6,2018-06-13,2018-06-13T10:13:11Z,183,NA,989.7333333333332,14.697,1.9,0.19,371.2,NA,NA,NA,NA,NA,NA,NA,NA,5.165,5.165
7.41,-177.8,11.81,5.6,2018-06-13,2018-06-13T10:13:13Z,183,NA,989.7333333333332,14.608,1.9,0.19,371.5,NA,NA,NA,NA,NA,NA,NA,NA,5.21,5.21
7.41,-178.1,11.85,5.6,2018-06-13,2018-06-13T10:13:14Z,183,NA,989.7333333333332,14.567,1.8,0.19,371.7,NA,NA,NA,NA,NA,NA,NA,NA,5.23,5.23
7.41,-179,11.82,5.7,2018-06-13,2018-06-13T10:13:17Z,183,NA,989.8666666666667,14.458,1.8,0.18,372,NA,NA,NA,NA,NA,NA,NA,NA,5.292,5.292
7.41,-180.1,11.77,5.7,2018-06-13,2018-06-13T10:13:21Z,183,NA,989.8666666666667,14.297,1.8,0.18,372.9,NA,NA,NA,NA,NA,NA,NA,NA,5.371,5.371
7.41,-181,11.65,5.8,2018-06-13,2018-06-13T10:13:24Z,183,NA,989.8666666666667,14.17,1.8,0.18,373.4,NA,NA,NA,NA,NA,NA,NA,NA,5.431,5.431
7.4,-182.2,11.36,5.9,2018-06-13,2018-06-13T10:13:29Z,183,NA,989.7333333333332,13.963,1.7,0.18,374.1,NA,NA,NA,NA,NA,NA,NA,NA,5.527,5.527
7.4,-182.5,11.28,6,2018-06-13,2018-06-13T10:13:30Z,183,NA,989.7333333333332,13.922,1.7,0.18,374.2,NA,NA,NA,NA,NA,NA,NA,NA,5.55,5.55
7.4,-182.7,11.17,6,2018-06-13,2018-06-13T10:13:31Z,183,NA,989.7333333333332,13.878,1.7,0.18,374.3,NA,NA,NA,NA,NA,NA,NA,NA,5.571,5.571
7.4,-182.9,11.1,6,2018-06-13,2018-06-13T10:13:32Z,183,NA,989.8666666666667,13.844,1.7,0.18,374.4,NA,NA,NA,NA,NA,NA,NA,NA,5.591,5.591
7.4,-183.4,10.86,6,2018-06-13,2018-06-13T10:13:34Z,183,NA,989.8666666666667,13.773,1.7,0.18,374.7,NA,NA,NA,NA,NA,NA,NA,NA,5.635,5.635
7.4,-183.6,10.79,6,2018-06-13,2018-06-13T10:13:35Z,183,NA,989.8666666666667,13.742,1.7,0.18,374.8,NA,NA,NA,NA,NA,NA,NA,NA,5.655,5.655
7.4,-184,10.57,6.1,2018-06-13,2018-06-13T10:13:37Z,183,NA,989.7333333333332,13.683,1.7,0.18,375.2,NA,NA,NA,NA,NA,NA,NA,NA,5.695,5.695
7.4,-184.2,10.52,6.1,2018-06-13,2018-06-13T10:13:38Z,183,NA,989.7333333333332,13.648,1.7,0.18,375.5,NA,NA,NA,NA,NA,NA,NA,NA,5.72,5.72
7.4,-184.4,10.5,6.2,2018-06-13,2018-06-13T10:13:39Z,183,NA,989.7333333333332,13.622,1.7,0.18,375.8,NA,NA,NA,NA,NA,NA,NA,NA,5.74,5.74
7.39,-184.6,10.41,6.2,2018-06-13,2018-06-13T10:13:40Z,183,NA,989.7333333333332,13.592,1.7,0.17,376,NA,NA,NA,NA,NA,NA,NA,NA,5.761,5.761
7.39,-184.8,10.39,6.2,2018-06-13,2018-06-13T10:13:41Z,183,NA,989.7333333333332,13.565,1.7,0.17,376.3,NA,NA,NA,NA,NA,NA,NA,NA,5.782,5.782
7.39,-185,10.38,6.2,2018-06-13,2018-06-13T10:13:42Z,183,NA,989.7333333333332,13.536,1.7,0.17,376.6,NA,NA,NA,NA,NA,NA,NA,NA,5.808,5.808
7.39,-185.2,12.27,6.2,2018-06-13,2018-06-13T10:13:43Z,183,NA,989.7333333333332,13.513,1.6,0.17,377,NA,NA,NA,NA,NA,NA,NA,NA,5.829,5.829
7.39,-185.4,133.63,6.2,2018-06-13,2018-06-13T10:13:44Z,183,NA,989.8666666666667,13.486,1.6,0.17,377.3,NA,NA,NA,NA,NA,NA,NA,NA,5.849,5.849
7.38,-185.7,131.92,6.3,2018-06-13,2018-06-13T10:13:46Z,183,NA,989.7333333333332,13.426,1.6,0.17,378.2,NA,NA,NA,NA,NA,NA,NA,NA,5.893,5.893
7.38,-185.9,235.51,6.3,2018-06-13,2018-06-13T10:13:47Z,183,NA,989.7333333333332,13.402,1.6,0.17,378.6,NA,NA,NA,NA,NA,NA,NA,NA,5.913,5.913
7.37,-186.4,524.44,6.3,2018-06-13,2018-06-13T10:13:50Z,183,NA,989.8666666666667,13.324,1.6,0.17,379.8,NA,NA,NA,NA,NA,NA,NA,NA,5.971,5.971
7.36,-187.4,206.45,6.3,2018-06-13,2018-06-13T10:13:55Z,183,NA,989.8666666666667,13.25,1.6,0.16,381.6,NA,NA,NA,NA,NA,NA,NA,NA,6.054,6.054
