pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m,depthDiff_m,verticalPositionDiff_m
8.54,NA,2018-07-06,2018-07-06T12:23:43Z,183,NA,999.4666666666667,32.456,125.3,9.08,174.1,11.26,NA,NA,NA,NA,NA,NA,NA,0.104,0.104,0.021000000000000005,0.021000000000000005
8.54,NA,2018-07-06,2018-07-06T12:23:45Z,183,NA,999.4666666666667,32.451,125.1,9.07,174.1,11.18,NA,NA,NA,NA,NA,NA,NA,0.125,0.125,0.026999999999999996,0.026999999999999996
8.54,NA,2018-07-06,2018-07-06T12:23:47Z,183,NA,999.4666666666667,32.443,125,9.06,174.1,11.08,NA,NA,NA,NA,NA,NA,NA,0.152,0.152,0.023999999999999994,0.023999999999999994
8.54,NA,2018-07-06,2018-07-06T12:23:49Z,183,NA,999.4666666666667,32.42,124.8,9.05,174.1,11.07,NA,NA,NA,NA,NA,NA,NA,0.176,0.176,0.033,0.033
8.54,NA,2018-07-06,2018-07-06T12:23:51Z,183,NA,999.4666666666667,32.385,124.6,9.04,174.1,10.93,NA,NA,NA,NA,NA,NA,NA,0.209,0.209,0.027999999999999997,0.027999999999999997
8.54,NA,2018-07-06,2018-07-06T12:23:53Z,183,NA,999.4666666666667,32.347,124.3,9.02,174.1,10.86,NA,NA,NA,NA,NA,NA,NA,0.237,0.237,0.03400000000000003,0.03400000000000003
8.53,NA,2018-07-06,2018-07-06T12:23:55Z,183,NA,999.6,32.307,123.9,9,174.2,10.85,NA,NA,NA,NA,NA,NA,NA,0.271,0.271,0.02999999999999997,0.02999999999999997
8.53,NA,2018-07-06,2018-07-06T12:23:57Z,183,NA,999.4666666666667,32.214,119.1,8.66,174.3,10.87,NA,NA,NA,NA,NA,NA,NA,0.301,0.301,0.03300000000000003,0.03300000000000003
8.52,NA,2018-07-06,2018-07-06T12:23:59Z,183,NA,999.4666666666667,32.144,113.6,8.27,174.3,10.94,NA,NA,NA,NA,NA,NA,NA,0.334,0.334,0.03699999999999998,0.03699999999999998
8.22,NA,2018-07-06,2018-07-06T12:24:01Z,183,NA,999.4666666666667,32.001,101.2,7.38,174.7,10.88,NA,NA,NA,NA,NA,NA,NA,0.371,0.371,0.03699999999999998,0.03699999999999998
8.11,NA,2018-07-06,2018-07-06T12:24:03Z,183,NA,999.4666666666667,30.519,86,6.3,179.4,10.78,NA,NA,NA,NA,NA,NA,NA,0.408,0.408,0.03300000000000003,0.03300000000000003
8.07,NA,2018-07-06,2018-07-06T12:24:05Z,183,NA,999.4666666666667,30.446,72.2,5.43,180,10.7,NA,NA,NA,NA,NA,NA,NA,0.441,0.441,0.034999999999999976,0.034999999999999976
8.04,NA,2018-07-06,2018-07-06T12:24:07Z,183,NA,999.4666666666667,30.611,61.3,4.59,179.6,10.52,NA,NA,NA,NA,NA,NA,NA,0.476,0.476,0.030000000000000027,0.030000000000000027
8.02,NA,2018-07-06,2018-07-06T12:24:09Z,183,NA,999.4666666666667,30.59,57.7,4.32,180,10.44,NA,NA,NA,NA,NA,NA,NA,0.506,0.506,0.03400000000000003,0.03400000000000003
7.88,NA,2018-07-06,2018-07-06T12:24:11Z,183,NA,999.4666666666667,30.474,46.7,3.5,180.8,10.28,NA,NA,NA,NA,NA,NA,NA,0.54,0.54,0.030999999999999917,0.030999999999999917
7.81,NA,2018-07-06,2018-07-06T12:24:13Z,183,NA,999.4666666666667,30.393,42,3.15,181.7,10.17,NA,NA,NA,NA,NA,NA,NA,0.571,0.571,0.03700000000000003,0.03700000000000003
7.78,NA,2018-07-06,2018-07-06T12:24:15Z,183,NA,999.4666666666667,30.333,34.1,2.56,182.4,10.12,NA,NA,NA,NA,NA,NA,NA,0.608,0.608,0.03700000000000003,0.03700000000000003
7.74,NA,2018-07-06,2018-07-06T12:24:17Z,183,NA,999.4666666666667,30.236,27.4,2.06,183.3,10.05,NA,NA,NA,NA,NA,NA,NA,0.645,0.645,0.03600000000000003,0.03600000000000003
7.71,NA,2018-07-06,2018-07-06T12:24:19Z,183,NA,999.4666666666667,30.146,24.5,1.85,184.4,9.84,NA,NA,NA,NA,NA,NA,NA,0.681,0.681,0.03199999999999992,0.03199999999999992
7.59,NA,2018-07-06,2018-07-06T12:24:21Z,183,NA,999.4666666666667,29.929,18.3,1.38,186.1,9.65,NA,NA,NA,NA,NA,NA,NA,0.713,0.713,0.029000000000000026,0.029000000000000026
